"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.8105,1,"TwoPatterns","svm"
"feasts",36,0.88825,1,"TwoPatterns","svm"
"tsfeatures",57,0.957,1,"TwoPatterns","svm"
"TSFEL",143,0.72875,1,"TwoPatterns","svm"
"Kats",35,0.51875,1,"TwoPatterns","svm"
"tsfresh",579,0.97975,1,"TwoPatterns","svm"
"quantiles",101,0.399,1,"TwoPatterns","svm"
"FFT (Mag^2 + Angle) + quantiles",231,0.5785,1,"TwoPatterns","svm"
"FFT coefficients",258,0.735,1,"TwoPatterns","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.76475,1,"TwoPatterns","svm"
"FFT (Re, Im) + quantiles",229,0.7355,1,"TwoPatterns","svm"
"FFT (Mag, Angle) + quantiles",231,0.5815,1,"TwoPatterns","svm"
"FFT (log(Mag), Angle) + quantiles",230,0.53875,1,"TwoPatterns","svm"
"catch22",22,0.8045,2,"TwoPatterns","svm"
"feasts",37,0.873,2,"TwoPatterns","svm"
"tsfeatures",57,0.95425,2,"TwoPatterns","svm"
"TSFEL",143,0.71375,2,"TwoPatterns","svm"
"Kats",35,0.5295,2,"TwoPatterns","svm"
"tsfresh",579,0.98475,2,"TwoPatterns","svm"
"quantiles",101,0.416,2,"TwoPatterns","svm"
"FFT (Mag^2 + Angle) + quantiles",231,0.58275,2,"TwoPatterns","svm"
"FFT coefficients",258,0.75825,2,"TwoPatterns","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.76425,2,"TwoPatterns","svm"
"FFT (Re, Im) + quantiles",229,0.736,2,"TwoPatterns","svm"
"FFT (Mag, Angle) + quantiles",231,0.575,2,"TwoPatterns","svm"
"FFT (log(Mag), Angle) + quantiles",230,0.52475,2,"TwoPatterns","svm"
"catch22",22,0.81325,3,"TwoPatterns","svm"
"feasts",36,0.8955,3,"TwoPatterns","svm"
"tsfeatures",57,0.96275,3,"TwoPatterns","svm"
"TSFEL",143,0.72125,3,"TwoPatterns","svm"
"Kats",35,0.51225,3,"TwoPatterns","svm"
"tsfresh",579,0.9815,3,"TwoPatterns","svm"
"quantiles",101,0.40825,3,"TwoPatterns","svm"
"FFT (Mag^2 + Angle) + quantiles",231,0.5725,3,"TwoPatterns","svm"
"FFT coefficients",258,0.76125,3,"TwoPatterns","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.7695,3,"TwoPatterns","svm"
"FFT (Re, Im) + quantiles",229,0.7265,3,"TwoPatterns","svm"
"FFT (Mag, Angle) + quantiles",231,0.58225,3,"TwoPatterns","svm"
"FFT (log(Mag), Angle) + quantiles",230,0.539,3,"TwoPatterns","svm"
"catch22",22,0.81475,4,"TwoPatterns","svm"
"feasts",36,0.88,4,"TwoPatterns","svm"
"tsfeatures",57,0.9595,4,"TwoPatterns","svm"
"TSFEL",143,0.72,4,"TwoPatterns","svm"
"Kats",35,0.523,4,"TwoPatterns","svm"
"tsfresh",579,0.98075,4,"TwoPatterns","svm"
"quantiles",101,0.402,4,"TwoPatterns","svm"
"FFT (Mag^2 + Angle) + quantiles",231,0.578,4,"TwoPatterns","svm"
"FFT coefficients",258,0.744,4,"TwoPatterns","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.765,4,"TwoPatterns","svm"
"FFT (Re, Im) + quantiles",229,0.71175,4,"TwoPatterns","svm"
"FFT (Mag, Angle) + quantiles",231,0.5805,4,"TwoPatterns","svm"
"FFT (log(Mag), Angle) + quantiles",230,0.535,4,"TwoPatterns","svm"
"catch22",22,0.814,5,"TwoPatterns","svm"
"feasts",36,0.88575,5,"TwoPatterns","svm"
"tsfeatures",57,0.9535,5,"TwoPatterns","svm"
"TSFEL",143,0.706,5,"TwoPatterns","svm"
"Kats",35,0.53225,5,"TwoPatterns","svm"
"tsfresh",579,0.97925,5,"TwoPatterns","svm"
"quantiles",101,0.39975,5,"TwoPatterns","svm"
"FFT (Mag^2 + Angle) + quantiles",231,0.56725,5,"TwoPatterns","svm"
"FFT coefficients",258,0.71925,5,"TwoPatterns","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.74875,5,"TwoPatterns","svm"
"FFT (Re, Im) + quantiles",229,0.712,5,"TwoPatterns","svm"
"FFT (Mag, Angle) + quantiles",231,0.564,5,"TwoPatterns","svm"
"FFT (log(Mag), Angle) + quantiles",230,0.52525,5,"TwoPatterns","svm"
"catch22",22,0.80425,6,"TwoPatterns","svm"
"feasts",36,0.87675,6,"TwoPatterns","svm"
"tsfeatures",59,0.9525,6,"TwoPatterns","svm"
"TSFEL",143,0.7145,6,"TwoPatterns","svm"
"Kats",35,0.5175,6,"TwoPatterns","svm"
"tsfresh",579,0.98075,6,"TwoPatterns","svm"
"quantiles",101,0.40225,6,"TwoPatterns","svm"
"FFT (Mag^2 + Angle) + quantiles",231,0.57975,6,"TwoPatterns","svm"
