"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.757118927973199,1,"UWaveGestureLibraryAll","svm"
"feasts",36,0.806253489670575,1,"UWaveGestureLibraryAll","svm"
"tsfeatures",59,0.841708542713568,1,"UWaveGestureLibraryAll","svm"
"TSFEL",144,0.802065884980458,1,"UWaveGestureLibraryAll","svm"
"Kats",36,0.639586823003908,1,"UWaveGestureLibraryAll","svm"
"tsfresh",735,0.954494695700726,1,"UWaveGestureLibraryAll","svm"
"timegp",7,0.701284198771636,1,"UWaveGestureLibraryAll","svm"
"catch22",22,0.732272473478504,2,"UWaveGestureLibraryAll","svm"
"feasts",36,0.8107202680067,2,"UWaveGestureLibraryAll","svm"
"tsfeatures",59,0.842546063651591,2,"UWaveGestureLibraryAll","svm"
"TSFEL",144,0.798436627582356,2,"UWaveGestureLibraryAll","svm"
"Kats",36,0.646566164154104,2,"UWaveGestureLibraryAll","svm"
"tsfresh",732,0.949469570072585,2,"UWaveGestureLibraryAll","svm"
"timegp",7,0.687046342825237,2,"UWaveGestureLibraryAll","svm"
"catch22",22,0.725572305974316,3,"UWaveGestureLibraryAll","svm"
"feasts",36,0.812674483528755,3,"UWaveGestureLibraryAll","svm"
"tsfeatures",59,0.834450027917365,3,"UWaveGestureLibraryAll","svm"
"TSFEL",144,0.784198771635958,3,"UWaveGestureLibraryAll","svm"
"Kats",36,0.639028475711893,3,"UWaveGestureLibraryAll","svm"
"tsfresh",733,0.94891122278057,3,"UWaveGestureLibraryAll","svm"
"timegp",7,0.698771635957566,3,"UWaveGestureLibraryAll","svm"
"catch22",22,0.745951982132887,4,"UWaveGestureLibraryAll","svm"
"feasts",36,0.825795644891122,4,"UWaveGestureLibraryAll","svm"
"tsfeatures",59,0.847012841987716,4,"UWaveGestureLibraryAll","svm"
"TSFEL",144,0.788665549972083,4,"UWaveGestureLibraryAll","svm"
"Kats",36,0.639307649357901,4,"UWaveGestureLibraryAll","svm"
"tsfresh",733,0.956169737576773,4,"UWaveGestureLibraryAll","svm"
"timegp",7,0.693188163037409,4,"UWaveGestureLibraryAll","svm"
"catch22",22,0.72640982691234,5,"UWaveGestureLibraryAll","svm"
"feasts",36,0.821887213847013,5,"UWaveGestureLibraryAll","svm"
"tsfeatures",59,0.830541596873255,5,"UWaveGestureLibraryAll","svm"
"TSFEL",144,0.79927414852038,5,"UWaveGestureLibraryAll","svm"
"Kats",36,0.64572864321608,5,"UWaveGestureLibraryAll","svm"
"tsfresh",735,0.95784477945282,5,"UWaveGestureLibraryAll","svm"
"timegp",7,0.687325516471245,5,"UWaveGestureLibraryAll","svm"
"catch22",22,0.729759910664433,6,"UWaveGestureLibraryAll","svm"
"feasts",36,0.810161920714685,6,"UWaveGestureLibraryAll","svm"
"tsfeatures",59,0.847292015633724,6,"UWaveGestureLibraryAll","svm"
"TSFEL",144,0.781686208821887,6,"UWaveGestureLibraryAll","svm"
"Kats",36,0.624511446119486,6,"UWaveGestureLibraryAll","svm"
"tsfresh",732,0.950307091010609,6,"UWaveGestureLibraryAll","svm"
"timegp",7,0.690117252931323,6,"UWaveGestureLibraryAll","svm"
"catch22",22,0.738693467336683,7,"UWaveGestureLibraryAll","svm"
"feasts",36,0.807091010608599,7,"UWaveGestureLibraryAll","svm"
"tsfeatures",59,0.804857621440536,7,"UWaveGestureLibraryAll","svm"
"TSFEL",144,0.774427694025684,7,"UWaveGestureLibraryAll","svm"
"Kats",36,0.651032942490229,7,"UWaveGestureLibraryAll","svm"
"tsfresh",730,0.950586264656616,7,"UWaveGestureLibraryAll","svm"
"timegp",7,0.695142378559464,7,"UWaveGestureLibraryAll","svm"
"catch22",22,0.74427694025684,8,"UWaveGestureLibraryAll","svm"
"feasts",36,0.806253489670575,8,"UWaveGestureLibraryAll","svm"
"tsfeatures",59,0.837800111669458,8,"UWaveGestureLibraryAll","svm"
"TSFEL",144,0.78894472361809,8,"UWaveGestureLibraryAll","svm"
"Kats",36,0.642099385817979,8,"UWaveGestureLibraryAll","svm"
"tsfresh",733,0.946957007258515,8,"UWaveGestureLibraryAll","svm"
