"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.617252931323283,1,"UWaveGestureLibraryY","svm"
"2","feasts",37,0.675879396984925,1,"UWaveGestureLibraryY","svm"
"3","tsfeatures",59,0.669179229480737,1,"UWaveGestureLibraryY","svm"
"4","TSFEL",146,0.673646007816862,1,"UWaveGestureLibraryY","svm"
"5","Kats",36,0.556113902847571,1,"UWaveGestureLibraryY","svm"
"6","tsfresh",740,0.70965940815187,1,"UWaveGestureLibraryY","svm"
"7","quantiles",101,0.332216638749302,1,"UWaveGestureLibraryY","svm"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.522054718034618,1,"UWaveGestureLibraryY","svm"
"9","catch22",22,0.604969290898939,2,"UWaveGestureLibraryY","svm"
"10","feasts",37,0.680067001675042,2,"UWaveGestureLibraryY","svm"
"11","tsfeatures",59,0.662479061976549,2,"UWaveGestureLibraryY","svm"
"12","TSFEL",146,0.649916247906198,2,"UWaveGestureLibraryY","svm"
"13","Kats",36,0.551926298157454,2,"UWaveGestureLibraryY","svm"
"14","tsfresh",736,0.714684533780011,2,"UWaveGestureLibraryY","svm"
"15","quantiles",101,0.323003908431044,2,"UWaveGestureLibraryY","svm"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.54215522054718,2,"UWaveGestureLibraryY","svm"
"17","catch22",22,0.6035734226689,3,"UWaveGestureLibraryY","svm"
"18","feasts",37,0.668620882188721,3,"UWaveGestureLibraryY","svm"
"19","tsfeatures",59,0.668900055834729,3,"UWaveGestureLibraryY","svm"
"20","TSFEL",146,0.658012283640424,3,"UWaveGestureLibraryY","svm"
"21","Kats",36,0.551926298157454,3,"UWaveGestureLibraryY","svm"
"22","tsfresh",735,0.708821887213847,3,"UWaveGestureLibraryY","svm"
"23","quantiles",101,0.329704075935232,3,"UWaveGestureLibraryY","svm"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.49748743718593,3,"UWaveGestureLibraryY","svm"
"25","catch22",22,0.620882188721385,4,"UWaveGestureLibraryY","svm"
"26","feasts",36,0.664712451144612,4,"UWaveGestureLibraryY","svm"
"27","tsfeatures",59,0.675041876046901,4,"UWaveGestureLibraryY","svm"
"28","TSFEL",146,0.67643774427694,4,"UWaveGestureLibraryY","svm"
"29","Kats",36,0.551647124511446,4,"UWaveGestureLibraryY","svm"
"30","tsfresh",736,0.695979899497487,4,"UWaveGestureLibraryY","svm"
