"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.989454899415964,1,"Wafer","svm"
"feasts",38,0.980532121998702,1,"Wafer","svm"
"tsfeatures",59,0.985561323815704,1,"Wafer","svm"
"TSFEL",146,1,1,"Wafer","svm"
"Kats",36,0.998864373783258,1,"Wafer","svm"
"tsfresh",652,1,1,"Wafer","svm"
"quantiles",101,0.987183646982479,1,"Wafer","svm"
"FFT (Mag^2 + Angle) + quantiles",255,0.994970798182998,1,"Wafer","svm"
"FFT coefficients",306,0.991888384166126,1,"Wafer","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",407,0.992861778066191,1,"Wafer","svm"
"FFT (Re, Im) + quantiles",253,0.97355613238157,1,"Wafer","svm"
"FFT (Mag, Angle) + quantiles",255,0.99610642439974,1,"Wafer","svm"
"FFT (log(Mag), Angle) + quantiles",254,0.995295262816353,1,"Wafer","svm"
"catch22",22,0.993835171966256,2,"Wafer","svm"
"feasts",38,0.983127839065542,2,"Wafer","svm"
"tsfeatures",59,0.986210253082414,2,"Wafer","svm"
"TSFEL",146,1,2,"Wafer","svm"
"Kats",36,0.999026606099935,2,"Wafer","svm"
"tsfresh",652,1,2,"Wafer","svm"
"quantiles",101,0.987994808565866,2,"Wafer","svm"
"FFT (Mag^2 + Angle) + quantiles",255,0.995944192083063,2,"Wafer","svm"
"FFT coefficients",306,0.992212848799481,2,"Wafer","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",407,0.993510707332901,2,"Wafer","svm"
"FFT (Re, Im) + quantiles",253,0.971447112264763,2,"Wafer","svm"
"FFT (Mag, Angle) + quantiles",255,0.996268656716418,2,"Wafer","svm"
"FFT (log(Mag), Angle) + quantiles",254,0.99545749513303,2,"Wafer","svm"
"catch22",22,0.991239454899416,3,"Wafer","svm"
"feasts",38,0.982154445165477,3,"Wafer","svm"
"tsfeatures",59,0.985885788449059,3,"Wafer","svm"
"TSFEL",146,1,3,"Wafer","svm"
"Kats",36,0.999837767683323,3,"Wafer","svm"
"tsfresh",652,1,3,"Wafer","svm"
