"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.452978056426332,1,"WordSynonyms","svm"
"feasts",36,0.492163009404389,1,"WordSynonyms","svm"
"tsfeatures",59,0.550156739811912,1,"WordSynonyms","svm"
"TSFEL",144,0.489028213166144,1,"WordSynonyms","svm"
"Kats",33,0.468652037617555,1,"WordSynonyms","svm"
"tsfresh",736,0.589341692789969,1,"WordSynonyms","svm"
"quantiles",101,0.272727272727273,1,"WordSynonyms","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.413793103448276,1,"WordSynonyms","svm"
"FFT coefficients",399,0.43730407523511,1,"WordSynonyms","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.492163009404389,1,"WordSynonyms","svm"
"FFT (Re, Im) + quantiles",300,0.467084639498433,1,"WordSynonyms","svm"
"FFT (Mag, Angle) + quantiles",301,0.438871473354232,1,"WordSynonyms","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.454545454545455,1,"WordSynonyms","svm"
"catch22",22,0.432601880877743,2,"WordSynonyms","svm"
"feasts",36,0.528213166144201,2,"WordSynonyms","svm"
"tsfeatures",59,0.537617554858934,2,"WordSynonyms","svm"
"TSFEL",144,0.5141065830721,2,"WordSynonyms","svm"
"Kats",34,0.438871473354232,2,"WordSynonyms","svm"
"tsfresh",736,0.570532915360502,2,"WordSynonyms","svm"
"quantiles",101,0.27742946708464,2,"WordSynonyms","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.398119122257053,2,"WordSynonyms","svm"
"FFT coefficients",399,0.440438871473354,2,"WordSynonyms","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.446708463949843,2,"WordSynonyms","svm"
"FFT (Re, Im) + quantiles",300,0.410658307210031,2,"WordSynonyms","svm"
"FFT (Mag, Angle) + quantiles",301,0.415360501567398,2,"WordSynonyms","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.431034482758621,2,"WordSynonyms","svm"
"catch22",22,0.443573667711599,3,"WordSynonyms","svm"
"feasts",37,0.490595611285266,3,"WordSynonyms","svm"
"tsfeatures",59,0.517241379310345,3,"WordSynonyms","svm"
"TSFEL",144,0.512539184952978,3,"WordSynonyms","svm"
"Kats",34,0.443573667711599,3,"WordSynonyms","svm"
"tsfresh",734,0.556426332288401,3,"WordSynonyms","svm"
"quantiles",101,0.27115987460815,3,"WordSynonyms","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.399686520376176,3,"WordSynonyms","svm"
"FFT coefficients",399,0.43730407523511,3,"WordSynonyms","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.449843260188088,3,"WordSynonyms","svm"
"FFT (Re, Im) + quantiles",300,0.448275862068966,3,"WordSynonyms","svm"
"FFT (Mag, Angle) + quantiles",301,0.420062695924765,3,"WordSynonyms","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.421630094043887,3,"WordSynonyms","svm"
"catch22",22,0.462382445141066,4,"WordSynonyms","svm"
"feasts",36,0.5,4,"WordSynonyms","svm"
"tsfeatures",59,0.536050156739812,4,"WordSynonyms","svm"
"TSFEL",144,0.525078369905956,4,"WordSynonyms","svm"
"Kats",33,0.476489028213166,4,"WordSynonyms","svm"
"tsfresh",736,0.576802507836991,4,"WordSynonyms","svm"
"quantiles",101,0.286833855799373,4,"WordSynonyms","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.387147335423198,4,"WordSynonyms","svm"
"FFT coefficients",399,0.41692789968652,4,"WordSynonyms","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.446708463949843,4,"WordSynonyms","svm"
"FFT (Re, Im) + quantiles",300,0.431034482758621,4,"WordSynonyms","svm"
"FFT (Mag, Angle) + quantiles",301,0.404388714733542,4,"WordSynonyms","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.426332288401254,4,"WordSynonyms","svm"
"catch22",22,0.473354231974922,5,"WordSynonyms","svm"
"feasts",37,0.525078369905956,5,"WordSynonyms","svm"
"tsfeatures",59,0.586206896551724,5,"WordSynonyms","svm"
"TSFEL",144,0.553291536050157,5,"WordSynonyms","svm"
"Kats",33,0.446708463949843,5,"WordSynonyms","svm"
"tsfresh",737,0.579937304075235,5,"WordSynonyms","svm"
