"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.714285714285714,1,"Worms","svm"
"2","feasts",37,0.714285714285714,1,"Worms","svm"
"3","tsfeatures",59,0.779220779220779,1,"Worms","svm"
"4","TSFEL",144,0.662337662337662,1,"Worms","svm"
"5","Kats",36,0.74025974025974,1,"Worms","svm"
"6","tsfresh",731,0.623376623376623,1,"Worms","svm"
"7","quantiles",101,0.493506493506494,1,"Worms","svm"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.597402597402597,1,"Worms","svm"
"9","catch22",22,0.675324675324675,2,"Worms","svm"
"10","feasts",37,0.701298701298701,2,"Worms","svm"
"11","tsfeatures",59,0.74025974025974,2,"Worms","svm"
"12","TSFEL",144,0.779220779220779,2,"Worms","svm"
"13","Kats",36,0.675324675324675,2,"Worms","svm"
"14","tsfresh",736,0.584415584415584,2,"Worms","svm"
"15","quantiles",101,0.545454545454545,2,"Worms","svm"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.571428571428571,2,"Worms","svm"
"17","catch22",22,0.61038961038961,3,"Worms","svm"
"18","feasts",37,0.74025974025974,3,"Worms","svm"
"19","tsfeatures",59,0.74025974025974,3,"Worms","svm"
"20","TSFEL",144,0.636363636363636,3,"Worms","svm"
"21","Kats",36,0.675324675324675,3,"Worms","svm"
"22","tsfresh",731,0.675324675324675,3,"Worms","svm"
"23","quantiles",101,0.506493506493506,3,"Worms","svm"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.636363636363636,3,"Worms","svm"
"25","catch22",22,0.675324675324675,4,"Worms","svm"
"26","feasts",37,0.675324675324675,4,"Worms","svm"
"27","tsfeatures",59,0.805194805194805,4,"Worms","svm"
"28","TSFEL",144,0.753246753246753,4,"Worms","svm"
"29","Kats",36,0.701298701298701,4,"Worms","svm"
"30","tsfresh",731,0.636363636363636,4,"Worms","svm"
"31","quantiles",101,0.558441558441558,4,"Worms","svm"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.558441558441558,4,"Worms","svm"
"33","catch22",22,0.649350649350649,5,"Worms","svm"
"34","feasts",37,0.753246753246753,5,"Worms","svm"
"35","tsfeatures",59,0.766233766233766,5,"Worms","svm"
"36","TSFEL",144,0.675324675324675,5,"Worms","svm"
"37","Kats",36,0.662337662337662,5,"Worms","svm"
"38","tsfresh",731,0.636363636363636,5,"Worms","svm"
"39","quantiles",101,0.558441558441558,5,"Worms","svm"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.584415584415584,5,"Worms","svm"
"41","catch22",22,0.662337662337662,6,"Worms","svm"
"42","feasts",37,0.623376623376623,6,"Worms","svm"
"43","tsfeatures",59,0.623376623376623,6,"Worms","svm"
"44","TSFEL",144,0.649350649350649,6,"Worms","svm"
"45","Kats",36,0.597402597402597,6,"Worms","svm"
"46","tsfresh",735,0.701298701298701,6,"Worms","svm"
"47","quantiles",101,0.428571428571429,6,"Worms","svm"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.597402597402597,6,"Worms","svm"
"49","catch22",22,0.584415584415584,7,"Worms","svm"
"50","feasts",37,0.74025974025974,7,"Worms","svm"
