"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.792207792207792,1,"WormsTwoClass","svm"
"feasts",37,0.727272727272727,1,"WormsTwoClass","svm"
"tsfeatures",59,0.805194805194805,1,"WormsTwoClass","svm"
"TSFEL",144,0.675324675324675,1,"WormsTwoClass","svm"
"Kats",36,0.779220779220779,1,"WormsTwoClass","svm"
"tsfresh",730,0.701298701298701,1,"WormsTwoClass","svm"
"timegp",4,0.701298701298701,1,"WormsTwoClass","svm"
"catch22",22,0.766233766233766,2,"WormsTwoClass","svm"
"feasts",37,0.727272727272727,2,"WormsTwoClass","svm"
"tsfeatures",59,0.701298701298701,2,"WormsTwoClass","svm"
"TSFEL",144,0.714285714285714,2,"WormsTwoClass","svm"
"Kats",36,0.792207792207792,2,"WormsTwoClass","svm"
"tsfresh",729,0.688311688311688,2,"WormsTwoClass","svm"
"timegp",4,0.74025974025974,2,"WormsTwoClass","svm"
"catch22",22,0.662337662337662,3,"WormsTwoClass","svm"
"feasts",37,0.714285714285714,3,"WormsTwoClass","svm"
"tsfeatures",59,0.753246753246753,3,"WormsTwoClass","svm"
"TSFEL",144,0.649350649350649,3,"WormsTwoClass","svm"
"Kats",36,0.662337662337662,3,"WormsTwoClass","svm"
"tsfresh",730,0.675324675324675,3,"WormsTwoClass","svm"
"timegp",4,0.766233766233766,3,"WormsTwoClass","svm"
"catch22",22,0.779220779220779,4,"WormsTwoClass","svm"
"feasts",37,0.727272727272727,4,"WormsTwoClass","svm"
"tsfeatures",59,0.688311688311688,4,"WormsTwoClass","svm"
"TSFEL",144,0.714285714285714,4,"WormsTwoClass","svm"
"Kats",36,0.675324675324675,4,"WormsTwoClass","svm"
"tsfresh",729,0.701298701298701,4,"WormsTwoClass","svm"
"timegp",4,0.779220779220779,4,"WormsTwoClass","svm"
"catch22",22,0.74025974025974,5,"WormsTwoClass","svm"
"feasts",37,0.766233766233766,5,"WormsTwoClass","svm"
"tsfeatures",59,0.779220779220779,5,"WormsTwoClass","svm"
"TSFEL",144,0.753246753246753,5,"WormsTwoClass","svm"
"Kats",36,0.701298701298701,5,"WormsTwoClass","svm"
"tsfresh",730,0.779220779220779,5,"WormsTwoClass","svm"
"timegp",4,0.753246753246753,5,"WormsTwoClass","svm"
"catch22",22,0.766233766233766,6,"WormsTwoClass","svm"
"feasts",37,0.753246753246753,6,"WormsTwoClass","svm"
"tsfeatures",59,0.701298701298701,6,"WormsTwoClass","svm"
"TSFEL",144,0.701298701298701,6,"WormsTwoClass","svm"
"Kats",36,0.701298701298701,6,"WormsTwoClass","svm"
"tsfresh",730,0.701298701298701,6,"WormsTwoClass","svm"
"timegp",4,0.753246753246753,6,"WormsTwoClass","svm"
"catch22",22,0.727272727272727,7,"WormsTwoClass","svm"
"feasts",37,0.675324675324675,7,"WormsTwoClass","svm"
"tsfeatures",59,0.688311688311688,7,"WormsTwoClass","svm"
"TSFEL",144,0.688311688311688,7,"WormsTwoClass","svm"
"Kats",36,0.753246753246753,7,"WormsTwoClass","svm"
"tsfresh",730,0.688311688311688,7,"WormsTwoClass","svm"
"timegp",4,0.714285714285714,7,"WormsTwoClass","svm"
"catch22",22,0.701298701298701,8,"WormsTwoClass","svm"
"feasts",37,0.792207792207792,8,"WormsTwoClass","svm"
"tsfeatures",59,0.688311688311688,8,"WormsTwoClass","svm"
"TSFEL",144,0.61038961038961,8,"WormsTwoClass","svm"
"Kats",36,0.727272727272727,8,"WormsTwoClass","svm"
"tsfresh",730,0.701298701298701,8,"WormsTwoClass","svm"
"timegp",4,0.727272727272727,8,"WormsTwoClass","svm"
"catch22",22,0.727272727272727,9,"WormsTwoClass","svm"
"feasts",37,0.701298701298701,9,"WormsTwoClass","svm"
"tsfeatures",59,0.727272727272727,9,"WormsTwoClass","svm"
"TSFEL",144,0.636363636363636,9,"WormsTwoClass","svm"
"Kats",36,0.701298701298701,9,"WormsTwoClass","svm"
"tsfresh",731,0.688311688311688,9,"WormsTwoClass","svm"
"timegp",4,0.701298701298701,9,"WormsTwoClass","svm"
"catch22",22,0.74025974025974,10,"WormsTwoClass","svm"
"feasts",37,0.74025974025974,10,"WormsTwoClass","svm"
"tsfeatures",59,0.688311688311688,10,"WormsTwoClass","svm"
"TSFEL",144,0.636363636363636,10,"WormsTwoClass","svm"
"Kats",36,0.701298701298701,10,"WormsTwoClass","svm"
"tsfresh",730,0.779220779220779,10,"WormsTwoClass","svm"
"timegp",4,0.753246753246753,10,"WormsTwoClass","svm"
"catch22",22,0.805194805194805,11,"WormsTwoClass","svm"
"feasts",37,0.74025974025974,11,"WormsTwoClass","svm"
"tsfeatures",59,0.74025974025974,11,"WormsTwoClass","svm"
"TSFEL",144,0.74025974025974,11,"WormsTwoClass","svm"
"Kats",36,0.753246753246753,11,"WormsTwoClass","svm"
"tsfresh",730,0.675324675324675,11,"WormsTwoClass","svm"
"timegp",4,0.753246753246753,11,"WormsTwoClass","svm"
"catch22",22,0.831168831168831,12,"WormsTwoClass","svm"
"feasts",37,0.844155844155844,12,"WormsTwoClass","svm"
"tsfeatures",59,0.727272727272727,12,"WormsTwoClass","svm"
"TSFEL",144,0.662337662337662,12,"WormsTwoClass","svm"
"Kats",36,0.74025974025974,12,"WormsTwoClass","svm"
"tsfresh",730,0.779220779220779,12,"WormsTwoClass","svm"
"timegp",4,0.779220779220779,12,"WormsTwoClass","svm"
"catch22",22,0.74025974025974,13,"WormsTwoClass","svm"
"feasts",37,0.662337662337662,13,"WormsTwoClass","svm"
"tsfeatures",59,0.766233766233766,13,"WormsTwoClass","svm"
"TSFEL",144,0.701298701298701,13,"WormsTwoClass","svm"
"Kats",36,0.675324675324675,13,"WormsTwoClass","svm"
"tsfresh",730,0.675324675324675,13,"WormsTwoClass","svm"
"timegp",4,0.792207792207792,13,"WormsTwoClass","svm"
"catch22",22,0.74025974025974,14,"WormsTwoClass","svm"
"feasts",37,0.649350649350649,14,"WormsTwoClass","svm"
"tsfeatures",59,0.649350649350649,14,"WormsTwoClass","svm"
"TSFEL",144,0.623376623376623,14,"WormsTwoClass","svm"
"Kats",36,0.688311688311688,14,"WormsTwoClass","svm"
"tsfresh",731,0.571428571428571,14,"WormsTwoClass","svm"
"timegp",4,0.701298701298701,14,"WormsTwoClass","svm"
"catch22",22,0.753246753246753,15,"WormsTwoClass","svm"
"feasts",37,0.701298701298701,15,"WormsTwoClass","svm"
"tsfeatures",59,0.714285714285714,15,"WormsTwoClass","svm"
"TSFEL",144,0.688311688311688,15,"WormsTwoClass","svm"
"Kats",36,0.727272727272727,15,"WormsTwoClass","svm"
"tsfresh",730,0.74025974025974,15,"WormsTwoClass","svm"
"timegp",4,0.701298701298701,15,"WormsTwoClass","svm"
"catch22",22,0.792207792207792,16,"WormsTwoClass","svm"
"feasts",37,0.766233766233766,16,"WormsTwoClass","svm"
"tsfeatures",59,0.714285714285714,16,"WormsTwoClass","svm"
"TSFEL",144,0.688311688311688,16,"WormsTwoClass","svm"
"Kats",36,0.714285714285714,16,"WormsTwoClass","svm"
"tsfresh",729,0.727272727272727,16,"WormsTwoClass","svm"
