"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",21,0.657289002557545,1,"Adiac","xgboost"
"feasts",35,0.698209718670077,1,"Adiac","xgboost"
"tsfeatures",59,0.710997442455243,1,"Adiac","xgboost"
"TSFEL",143,0.731457800511509,1,"Adiac","xgboost"
"Kats",36,0.682864450127877,1,"Adiac","xgboost"
"tsfresh",686,0.762148337595908,1,"Adiac","xgboost"
"FFT (Mag^2 + Angle) + quantiles",279,0.680306905370844,1,"Adiac","xgboost"
"Quantiles",101,0.670076726342711,1,"Adiac","xgboost"
"FFT coef. (Mag^2 + Angle)",178,0.618925831202046,1,"Adiac","xgboost"
"catch22",21,0.641943734015345,2,"Adiac","xgboost"
"feasts",35,0.657289002557545,2,"Adiac","xgboost"
"tsfeatures",59,0.657289002557545,2,"Adiac","xgboost"
"TSFEL",143,0.672634271099744,2,"Adiac","xgboost"
"Kats",36,0.657289002557545,2,"Adiac","xgboost"
"tsfresh",687,0.698209718670077,2,"Adiac","xgboost"
"FFT (Mag^2 + Angle) + quantiles",279,0.657289002557545,2,"Adiac","xgboost"
"Quantiles",101,0.644501278772379,2,"Adiac","xgboost"
"FFT coef. (Mag^2 + Angle)",178,0.603580562659846,2,"Adiac","xgboost"
"catch22",20,0.61381074168798,3,"Adiac","xgboost"
"feasts",35,0.659846547314578,3,"Adiac","xgboost"
"tsfeatures",59,0.695652173913043,3,"Adiac","xgboost"
"TSFEL",143,0.670076726342711,3,"Adiac","xgboost"
"Kats",36,0.657289002557545,3,"Adiac","xgboost"
"tsfresh",684,0.736572890025575,3,"Adiac","xgboost"
"FFT (Mag^2 + Angle) + quantiles",279,0.649616368286445,3,"Adiac","xgboost"
"Quantiles",101,0.603580562659846,3,"Adiac","xgboost"
"FFT coef. (Mag^2 + Angle)",178,0.636828644501279,3,"Adiac","xgboost"
"catch22",21,0.672634271099744,4,"Adiac","xgboost"
"feasts",35,0.687979539641944,4,"Adiac","xgboost"
"tsfeatures",59,0.710997442455243,4,"Adiac","xgboost"
"TSFEL",143,0.705882352941177,4,"Adiac","xgboost"
"Kats",36,0.695652173913043,4,"Adiac","xgboost"
"tsfresh",687,0.757033248081841,4,"Adiac","xgboost"
"FFT (Mag^2 + Angle) + quantiles",279,0.69309462915601,4,"Adiac","xgboost"
"Quantiles",101,0.672634271099744,4,"Adiac","xgboost"
"FFT coef. (Mag^2 + Angle)",178,0.644501278772379,4,"Adiac","xgboost"
"catch22",21,0.626598465473146,5,"Adiac","xgboost"
"feasts",35,0.667519181585678,5,"Adiac","xgboost"
"tsfeatures",59,0.726342710997442,5,"Adiac","xgboost"
"TSFEL",143,0.726342710997442,5,"Adiac","xgboost"
"Kats",36,0.659846547314578,5,"Adiac","xgboost"
"tsfresh",686,0.723785166240409,5,"Adiac","xgboost"
"FFT (Mag^2 + Angle) + quantiles",279,0.675191815856777,5,"Adiac","xgboost"
"Quantiles",101,0.60613810741688,5,"Adiac","xgboost"
"FFT coef. (Mag^2 + Angle)",178,0.61381074168798,5,"Adiac","xgboost"
"catch22",21,0.624040920716113,6,"Adiac","xgboost"
"feasts",35,0.667519181585678,6,"Adiac","xgboost"
"tsfeatures",59,0.690537084398977,6,"Adiac","xgboost"
"TSFEL",143,0.705882352941177,6,"Adiac","xgboost"
"Kats",36,0.69309462915601,6,"Adiac","xgboost"
"tsfresh",686,0.71611253196931,6,"Adiac","xgboost"
"FFT (Mag^2 + Angle) + quantiles",279,0.659846547314578,6,"Adiac","xgboost"
"Quantiles",101,0.611253196930946,6,"Adiac","xgboost"
"FFT coef. (Mag^2 + Angle)",178,0.629156010230179,6,"Adiac","xgboost"
"catch22",21,0.603580562659846,7,"Adiac","xgboost"
"feasts",35,0.657289002557545,7,"Adiac","xgboost"
"tsfeatures",59,0.664961636828645,7,"Adiac","xgboost"
"TSFEL",143,0.680306905370844,7,"Adiac","xgboost"
"Kats",36,0.647058823529412,7,"Adiac","xgboost"
"tsfresh",686,0.70843989769821,7,"Adiac","xgboost"
"FFT (Mag^2 + Angle) + quantiles",279,0.639386189258312,7,"Adiac","xgboost"
"Quantiles",101,0.616368286445013,7,"Adiac","xgboost"
"FFT coef. (Mag^2 + Angle)",178,0.603580562659846,7,"Adiac","xgboost"
"catch22",21,0.639386189258312,8,"Adiac","xgboost"
"feasts",35,0.662404092071611,8,"Adiac","xgboost"
"tsfeatures",59,0.687979539641944,8,"Adiac","xgboost"
"TSFEL",143,0.713554987212276,8,"Adiac","xgboost"
