"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",21,0.4,1,"Beef","xgboost"
"feasts",34,0.533333333333333,1,"Beef","xgboost"
"tsfeatures",59,0.466666666666667,1,"Beef","xgboost"
"TSFEL",144,0.466666666666667,1,"Beef","xgboost"
"Kats",36,0.466666666666667,1,"Beef","xgboost"
"tsfresh",732,0.666666666666667,1,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.666666666666667,1,"Beef","xgboost"
"Quantiles",101,0.533333333333333,1,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.6,1,"Beef","xgboost"
"catch22",22,0.4,2,"Beef","xgboost"
"feasts",34,0.633333333333333,2,"Beef","xgboost"
"tsfeatures",59,0.466666666666667,2,"Beef","xgboost"
"TSFEL",144,0.466666666666667,2,"Beef","xgboost"
"Kats",36,0.6,2,"Beef","xgboost"
"tsfresh",731,0.566666666666667,2,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.433333333333333,2,"Beef","xgboost"
"Quantiles",101,0.566666666666667,2,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.4,2,"Beef","xgboost"
"catch22",22,0.266666666666667,3,"Beef","xgboost"
"feasts",34,0.3,3,"Beef","xgboost"
"tsfeatures",59,0.466666666666667,3,"Beef","xgboost"
"TSFEL",143,0.466666666666667,3,"Beef","xgboost"
"Kats",36,0.333333333333333,3,"Beef","xgboost"
"tsfresh",729,0.533333333333333,3,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.533333333333333,3,"Beef","xgboost"
"Quantiles",101,0.466666666666667,3,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.566666666666667,3,"Beef","xgboost"
"catch22",21,0.4,4,"Beef","xgboost"
"feasts",34,0.5,4,"Beef","xgboost"
"tsfeatures",59,0.466666666666667,4,"Beef","xgboost"
"TSFEL",144,0.533333333333333,4,"Beef","xgboost"
"Kats",36,0.566666666666667,4,"Beef","xgboost"
"tsfresh",731,0.7,4,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.6,4,"Beef","xgboost"
"Quantiles",101,0.3,4,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.633333333333333,4,"Beef","xgboost"
"catch22",21,0.466666666666667,5,"Beef","xgboost"
"feasts",34,0.533333333333333,5,"Beef","xgboost"
"tsfeatures",59,0.533333333333333,5,"Beef","xgboost"
"TSFEL",143,0.566666666666667,5,"Beef","xgboost"
"Kats",36,0.433333333333333,5,"Beef","xgboost"
"tsfresh",730,0.7,5,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.5,5,"Beef","xgboost"
"Quantiles",101,0.433333333333333,5,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.533333333333333,5,"Beef","xgboost"
"catch22",22,0.466666666666667,6,"Beef","xgboost"
"feasts",34,0.333333333333333,6,"Beef","xgboost"
"tsfeatures",59,0.366666666666667,6,"Beef","xgboost"
"TSFEL",143,0.566666666666667,6,"Beef","xgboost"
"Kats",36,0.4,6,"Beef","xgboost"
"tsfresh",729,0.566666666666667,6,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.433333333333333,6,"Beef","xgboost"
"Quantiles",101,0.566666666666667,6,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.5,6,"Beef","xgboost"
"catch22",21,0.366666666666667,7,"Beef","xgboost"
"feasts",34,0.433333333333333,7,"Beef","xgboost"
"tsfeatures",59,0.533333333333333,7,"Beef","xgboost"
"TSFEL",143,0.433333333333333,7,"Beef","xgboost"
"Kats",36,0.4,7,"Beef","xgboost"
"tsfresh",730,0.6,7,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.666666666666667,7,"Beef","xgboost"
"Quantiles",101,0.533333333333333,7,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.666666666666667,7,"Beef","xgboost"
"catch22",22,0.3,8,"Beef","xgboost"
"feasts",34,0.3,8,"Beef","xgboost"
"tsfeatures",59,0.333333333333333,8,"Beef","xgboost"
"TSFEL",143,0.366666666666667,8,"Beef","xgboost"
"Kats",36,0.366666666666667,8,"Beef","xgboost"
"tsfresh",729,0.5,8,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.4,8,"Beef","xgboost"
"Quantiles",101,0.533333333333333,8,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.433333333333333,8,"Beef","xgboost"
"catch22",22,0.533333333333333,9,"Beef","xgboost"
"feasts",34,0.533333333333333,9,"Beef","xgboost"
"tsfeatures",59,0.433333333333333,9,"Beef","xgboost"
"TSFEL",144,0.566666666666667,9,"Beef","xgboost"
"Kats",36,0.433333333333333,9,"Beef","xgboost"
"tsfresh",731,0.6,9,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.566666666666667,9,"Beef","xgboost"
"Quantiles",101,0.466666666666667,9,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.6,9,"Beef","xgboost"
"catch22",22,0.333333333333333,10,"Beef","xgboost"
"feasts",34,0.433333333333333,10,"Beef","xgboost"
"tsfeatures",59,0.466666666666667,10,"Beef","xgboost"
"TSFEL",144,0.466666666666667,10,"Beef","xgboost"
"Kats",36,0.466666666666667,10,"Beef","xgboost"
"tsfresh",731,0.6,10,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.6,10,"Beef","xgboost"
"Quantiles",101,0.6,10,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.633333333333333,10,"Beef","xgboost"
"catch22",21,0.333333333333333,11,"Beef","xgboost"
"feasts",34,0.5,11,"Beef","xgboost"
"tsfeatures",59,0.533333333333333,11,"Beef","xgboost"
"TSFEL",143,0.566666666666667,11,"Beef","xgboost"
"Kats",36,0.466666666666667,11,"Beef","xgboost"
"tsfresh",731,0.733333333333333,11,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.6,11,"Beef","xgboost"
"Quantiles",101,0.333333333333333,11,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.633333333333333,11,"Beef","xgboost"
"catch22",21,0.433333333333333,12,"Beef","xgboost"
"feasts",34,0.466666666666667,12,"Beef","xgboost"
"tsfeatures",59,0.5,12,"Beef","xgboost"
"TSFEL",144,0.533333333333333,12,"Beef","xgboost"
"Kats",36,0.433333333333333,12,"Beef","xgboost"
"tsfresh",731,0.666666666666667,12,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.5,12,"Beef","xgboost"
"Quantiles",101,0.366666666666667,12,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.566666666666667,12,"Beef","xgboost"
"catch22",22,0.4,13,"Beef","xgboost"
"feasts",34,0.566666666666667,13,"Beef","xgboost"
"tsfeatures",59,0.566666666666667,13,"Beef","xgboost"
"TSFEL",143,0.5,13,"Beef","xgboost"
"Kats",36,0.6,13,"Beef","xgboost"
"tsfresh",730,0.7,13,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.566666666666667,13,"Beef","xgboost"
"Quantiles",101,0.433333333333333,13,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.6,13,"Beef","xgboost"
"catch22",21,0.466666666666667,14,"Beef","xgboost"
"feasts",34,0.466666666666667,14,"Beef","xgboost"
"tsfeatures",59,0.5,14,"Beef","xgboost"
"TSFEL",144,0.466666666666667,14,"Beef","xgboost"
"Kats",36,0.566666666666667,14,"Beef","xgboost"
"tsfresh",732,0.633333333333333,14,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.533333333333333,14,"Beef","xgboost"
"Quantiles",101,0.433333333333333,14,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.533333333333333,14,"Beef","xgboost"
"catch22",22,0.366666666666667,15,"Beef","xgboost"
"feasts",34,0.333333333333333,15,"Beef","xgboost"
"tsfeatures",59,0.3,15,"Beef","xgboost"
"TSFEL",144,0.533333333333333,15,"Beef","xgboost"
"Kats",36,0.366666666666667,15,"Beef","xgboost"
"tsfresh",731,0.6,15,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.566666666666667,15,"Beef","xgboost"
"Quantiles",101,0.366666666666667,15,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.533333333333333,15,"Beef","xgboost"
"catch22",22,0.433333333333333,16,"Beef","xgboost"
"feasts",34,0.6,16,"Beef","xgboost"
"tsfeatures",59,0.6,16,"Beef","xgboost"
"TSFEL",144,0.666666666666667,16,"Beef","xgboost"
"Kats",36,0.533333333333333,16,"Beef","xgboost"
"tsfresh",731,0.5,16,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.633333333333333,16,"Beef","xgboost"
"Quantiles",101,0.466666666666667,16,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.566666666666667,16,"Beef","xgboost"
"catch22",21,0.566666666666667,17,"Beef","xgboost"
"feasts",34,0.666666666666667,17,"Beef","xgboost"
"tsfeatures",59,0.633333333333333,17,"Beef","xgboost"
"TSFEL",144,0.466666666666667,17,"Beef","xgboost"
"Kats",36,0.566666666666667,17,"Beef","xgboost"
"tsfresh",731,0.666666666666667,17,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.766666666666667,17,"Beef","xgboost"
"Quantiles",101,0.566666666666667,17,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.766666666666667,17,"Beef","xgboost"
"catch22",22,0.366666666666667,18,"Beef","xgboost"
"feasts",34,0.466666666666667,18,"Beef","xgboost"
"tsfeatures",59,0.4,18,"Beef","xgboost"
"TSFEL",144,0.6,18,"Beef","xgboost"
"Kats",36,0.4,18,"Beef","xgboost"
"tsfresh",730,0.866666666666667,18,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.533333333333333,18,"Beef","xgboost"
"Quantiles",101,0.433333333333333,18,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.533333333333333,18,"Beef","xgboost"
"catch22",22,0.366666666666667,19,"Beef","xgboost"
"feasts",34,0.5,19,"Beef","xgboost"
"tsfeatures",59,0.5,19,"Beef","xgboost"
"TSFEL",143,0.4,19,"Beef","xgboost"
"Kats",36,0.3,19,"Beef","xgboost"
"tsfresh",730,0.666666666666667,19,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.633333333333333,19,"Beef","xgboost"
"Quantiles",101,0.4,19,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.633333333333333,19,"Beef","xgboost"
"catch22",22,0.366666666666667,20,"Beef","xgboost"
"feasts",34,0.366666666666667,20,"Beef","xgboost"
"tsfeatures",59,0.433333333333333,20,"Beef","xgboost"
"TSFEL",144,0.466666666666667,20,"Beef","xgboost"
"Kats",36,0.4,20,"Beef","xgboost"
"tsfresh",730,0.6,20,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.566666666666667,20,"Beef","xgboost"
"Quantiles",101,0.466666666666667,20,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.566666666666667,20,"Beef","xgboost"
"catch22",21,0.5,21,"Beef","xgboost"
"feasts",34,0.466666666666667,21,"Beef","xgboost"
"tsfeatures",59,0.533333333333333,21,"Beef","xgboost"
"TSFEL",143,0.566666666666667,21,"Beef","xgboost"
"Kats",36,0.466666666666667,21,"Beef","xgboost"
"tsfresh",730,0.666666666666667,21,"Beef","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.533333333333333,21,"Beef","xgboost"
"Quantiles",101,0.533333333333333,21,"Beef","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.5,21,"Beef","xgboost"
"catch22",21,0.333333333333333,22,"Beef","xgboost"
"feasts",34,0.366666666666667,22,"Beef","xgboost"
"tsfeatures",59,0.433333333333333,22,"Beef","xgboost"
"TSFEL",143,0.433333333333333,22,"Beef","xgboost"
"Kats",36,0.366666666666667,22,"Beef","xgboost"
