"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.793478260869565,1,"DistalPhalanxOutlineCorrect","xgboost"
"feasts",38,0.782608695652174,1,"DistalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.815217391304348,1,"DistalPhalanxOutlineCorrect","xgboost"
"TSFEL",142,0.768115942028985,1,"DistalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.771739130434783,1,"DistalPhalanxOutlineCorrect","xgboost"
"tsfresh",485,0.800724637681159,1,"DistalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.771739130434783,1,"DistalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.75,1,"DistalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.77536231884058,1,"DistalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.818840579710145,2,"DistalPhalanxOutlineCorrect","xgboost"
"feasts",38,0.793478260869565,2,"DistalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.818840579710145,2,"DistalPhalanxOutlineCorrect","xgboost"
"TSFEL",142,0.797101449275362,2,"DistalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.786231884057971,2,"DistalPhalanxOutlineCorrect","xgboost"
"tsfresh",484,0.818840579710145,2,"DistalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.815217391304348,2,"DistalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.778985507246377,2,"DistalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.786231884057971,2,"DistalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.815217391304348,3,"DistalPhalanxOutlineCorrect","xgboost"
"feasts",38,0.815217391304348,3,"DistalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.815217391304348,3,"DistalPhalanxOutlineCorrect","xgboost"
"TSFEL",142,0.804347826086957,3,"DistalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.804347826086957,3,"DistalPhalanxOutlineCorrect","xgboost"
"tsfresh",485,0.833333333333333,3,"DistalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.829710144927536,3,"DistalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.811594202898551,3,"DistalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.815217391304348,3,"DistalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.789855072463768,4,"DistalPhalanxOutlineCorrect","xgboost"
"feasts",38,0.786231884057971,4,"DistalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.822463768115942,4,"DistalPhalanxOutlineCorrect","xgboost"
"TSFEL",142,0.793478260869565,4,"DistalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.778985507246377,4,"DistalPhalanxOutlineCorrect","xgboost"
"tsfresh",485,0.818840579710145,4,"DistalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.818840579710145,4,"DistalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.811594202898551,4,"DistalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.771739130434783,4,"DistalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.789855072463768,5,"DistalPhalanxOutlineCorrect","xgboost"
"feasts",38,0.804347826086957,5,"DistalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.815217391304348,5,"DistalPhalanxOutlineCorrect","xgboost"
"TSFEL",142,0.782608695652174,5,"DistalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.811594202898551,5,"DistalPhalanxOutlineCorrect","xgboost"
"tsfresh",485,0.811594202898551,5,"DistalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.797101449275362,5,"DistalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.742753623188406,5,"DistalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.829710144927536,5,"DistalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.764492753623188,6,"DistalPhalanxOutlineCorrect","xgboost"
"feasts",38,0.782608695652174,6,"DistalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.786231884057971,6,"DistalPhalanxOutlineCorrect","xgboost"
"TSFEL",142,0.77536231884058,6,"DistalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.778985507246377,6,"DistalPhalanxOutlineCorrect","xgboost"
"tsfresh",485,0.793478260869565,6,"DistalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.757246376811594,6,"DistalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.746376811594203,6,"DistalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.768115942028985,6,"DistalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.840579710144927,7,"DistalPhalanxOutlineCorrect","xgboost"
"feasts",38,0.800724637681159,7,"DistalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.822463768115942,7,"DistalPhalanxOutlineCorrect","xgboost"
"TSFEL",142,0.840579710144927,7,"DistalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.807971014492754,7,"DistalPhalanxOutlineCorrect","xgboost"
"tsfresh",484,0.826086956521739,7,"DistalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.818840579710145,7,"DistalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.811594202898551,7,"DistalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.822463768115942,7,"DistalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.797101449275362,8,"DistalPhalanxOutlineCorrect","xgboost"
"feasts",35,0.793478260869565,8,"DistalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.811594202898551,8,"DistalPhalanxOutlineCorrect","xgboost"
"TSFEL",142,0.757246376811594,8,"DistalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.793478260869565,8,"DistalPhalanxOutlineCorrect","xgboost"
"tsfresh",485,0.800724637681159,8,"DistalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.764492753623188,8,"DistalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.782608695652174,8,"DistalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.786231884057971,8,"DistalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.786231884057971,9,"DistalPhalanxOutlineCorrect","xgboost"
"feasts",37,0.789855072463768,9,"DistalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.800724637681159,9,"DistalPhalanxOutlineCorrect","xgboost"
"TSFEL",142,0.786231884057971,9,"DistalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.77536231884058,9,"DistalPhalanxOutlineCorrect","xgboost"
"tsfresh",485,0.826086956521739,9,"DistalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.815217391304348,9,"DistalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.782608695652174,9,"DistalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.789855072463768,9,"DistalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.804347826086957,10,"DistalPhalanxOutlineCorrect","xgboost"
"feasts",38,0.800724637681159,10,"DistalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.826086956521739,10,"DistalPhalanxOutlineCorrect","xgboost"
"TSFEL",142,0.833333333333333,10,"DistalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.826086956521739,10,"DistalPhalanxOutlineCorrect","xgboost"
"tsfresh",484,0.83695652173913,10,"DistalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.826086956521739,10,"DistalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.786231884057971,10,"DistalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.818840579710145,10,"DistalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.822463768115942,11,"DistalPhalanxOutlineCorrect","xgboost"
"feasts",38,0.797101449275362,11,"DistalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.826086956521739,11,"DistalPhalanxOutlineCorrect","xgboost"
"TSFEL",142,0.815217391304348,11,"DistalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.807971014492754,11,"DistalPhalanxOutlineCorrect","xgboost"
"tsfresh",485,0.807971014492754,11,"DistalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.797101449275362,11,"DistalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.804347826086957,11,"DistalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.793478260869565,11,"DistalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.815217391304348,12,"DistalPhalanxOutlineCorrect","xgboost"
"feasts",38,0.778985507246377,12,"DistalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.815217391304348,12,"DistalPhalanxOutlineCorrect","xgboost"
"TSFEL",142,0.77536231884058,12,"DistalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.782608695652174,12,"DistalPhalanxOutlineCorrect","xgboost"
"tsfresh",484,0.83695652173913,12,"DistalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.807971014492754,12,"DistalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.782608695652174,12,"DistalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.782608695652174,12,"DistalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.811594202898551,13,"DistalPhalanxOutlineCorrect","xgboost"
"feasts",38,0.807971014492754,13,"DistalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.811594202898551,13,"DistalPhalanxOutlineCorrect","xgboost"
"TSFEL",142,0.811594202898551,13,"DistalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.818840579710145,13,"DistalPhalanxOutlineCorrect","xgboost"
"tsfresh",484,0.822463768115942,13,"DistalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.815217391304348,13,"DistalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.782608695652174,13,"DistalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.811594202898551,13,"DistalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.844202898550725,14,"DistalPhalanxOutlineCorrect","xgboost"
"feasts",37,0.818840579710145,14,"DistalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.840579710144927,14,"DistalPhalanxOutlineCorrect","xgboost"
"TSFEL",142,0.811594202898551,14,"DistalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.847826086956522,14,"DistalPhalanxOutlineCorrect","xgboost"
"tsfresh",485,0.833333333333333,14,"DistalPhalanxOutlineCorrect","xgboost"
