"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.527624309392265,1,"EOGHorizontalSignal","xgboost"
"feasts",37,0.411602209944751,1,"EOGHorizontalSignal","xgboost"
"tsfeatures",59,0.522099447513812,1,"EOGHorizontalSignal","xgboost"
"TSFEL",144,0.447513812154696,1,"EOGHorizontalSignal","xgboost"
"Kats",36,0.430939226519337,1,"EOGHorizontalSignal","xgboost"
"tsfresh",743,0.530386740331492,1,"EOGHorizontalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.422651933701657,1,"EOGHorizontalSignal","xgboost"
"Quantiles",101,0.356353591160221,1,"EOGHorizontalSignal","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.361878453038674,1,"EOGHorizontalSignal","xgboost"
"catch22",22,0.662983425414365,2,"EOGHorizontalSignal","xgboost"
"feasts",37,0.679558011049724,2,"EOGHorizontalSignal","xgboost"
"tsfeatures",59,0.720994475138122,2,"EOGHorizontalSignal","xgboost"
"TSFEL",144,0.665745856353591,2,"EOGHorizontalSignal","xgboost"
"Kats",36,0.671270718232044,2,"EOGHorizontalSignal","xgboost"
"tsfresh",745,0.685082872928177,2,"EOGHorizontalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.599447513812155,2,"EOGHorizontalSignal","xgboost"
"Quantiles",101,0.544198895027624,2,"EOGHorizontalSignal","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.477900552486188,2,"EOGHorizontalSignal","xgboost"
"catch22",22,0.679558011049724,3,"EOGHorizontalSignal","xgboost"
"feasts",37,0.638121546961326,3,"EOGHorizontalSignal","xgboost"
"tsfeatures",59,0.701657458563536,3,"EOGHorizontalSignal","xgboost"
"TSFEL",144,0.654696132596685,3,"EOGHorizontalSignal","xgboost"
"Kats",36,0.6353591160221,3,"EOGHorizontalSignal","xgboost"
"tsfresh",745,0.676795580110497,3,"EOGHorizontalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.560773480662983,3,"EOGHorizontalSignal","xgboost"
"Quantiles",101,0.483425414364641,3,"EOGHorizontalSignal","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.511049723756906,3,"EOGHorizontalSignal","xgboost"
"catch22",22,0.660220994475138,4,"EOGHorizontalSignal","xgboost"
"feasts",37,0.657458563535912,4,"EOGHorizontalSignal","xgboost"
"tsfeatures",59,0.715469613259669,4,"EOGHorizontalSignal","xgboost"
"TSFEL",144,0.654696132596685,4,"EOGHorizontalSignal","xgboost"
"Kats",36,0.679558011049724,4,"EOGHorizontalSignal","xgboost"
"tsfresh",745,0.668508287292818,4,"EOGHorizontalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.582872928176796,4,"EOGHorizontalSignal","xgboost"
"Quantiles",101,0.516574585635359,4,"EOGHorizontalSignal","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.505524861878453,4,"EOGHorizontalSignal","xgboost"
"catch22",22,0.685082872928177,5,"EOGHorizontalSignal","xgboost"
