"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.776978417266187,1,"Earthquakes","xgboost"
"feasts",38,0.726618705035971,1,"Earthquakes","xgboost"
"tsfeatures",57,0.762589928057554,1,"Earthquakes","xgboost"
"TSFEL",144,0.76978417266187,1,"Earthquakes","xgboost"
"Kats",36,0.748201438848921,1,"Earthquakes","xgboost"
"tsfresh",721,0.762589928057554,1,"Earthquakes","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.697841726618705,1,"Earthquakes","xgboost"
"Quantiles",101,0.690647482014389,1,"Earthquakes","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.76978417266187,1,"Earthquakes","xgboost"
"catch22",22,0.755395683453237,2,"Earthquakes","xgboost"
"feasts",38,0.741007194244604,2,"Earthquakes","xgboost"
"tsfeatures",57,0.733812949640288,2,"Earthquakes","xgboost"
"TSFEL",144,0.76978417266187,2,"Earthquakes","xgboost"
"Kats",36,0.748201438848921,2,"Earthquakes","xgboost"
"tsfresh",721,0.755395683453237,2,"Earthquakes","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.76978417266187,2,"Earthquakes","xgboost"
"Quantiles",101,0.690647482014389,2,"Earthquakes","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.755395683453237,2,"Earthquakes","xgboost"
"catch22",22,0.690647482014389,3,"Earthquakes","xgboost"
"feasts",38,0.705035971223022,3,"Earthquakes","xgboost"
"tsfeatures",57,0.726618705035971,3,"Earthquakes","xgboost"
"TSFEL",144,0.726618705035971,3,"Earthquakes","xgboost"
"Kats",36,0.705035971223022,3,"Earthquakes","xgboost"
"tsfresh",721,0.741007194244604,3,"Earthquakes","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.76978417266187,3,"Earthquakes","xgboost"
"Quantiles",101,0.733812949640288,3,"Earthquakes","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.733812949640288,3,"Earthquakes","xgboost"
"catch22",22,0.76978417266187,4,"Earthquakes","xgboost"
"feasts",38,0.676258992805755,4,"Earthquakes","xgboost"
"tsfeatures",57,0.719424460431655,4,"Earthquakes","xgboost"
"TSFEL",143,0.733812949640288,4,"Earthquakes","xgboost"
"Kats",36,0.719424460431655,4,"Earthquakes","xgboost"
"tsfresh",719,0.741007194244604,4,"Earthquakes","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.748201438848921,4,"Earthquakes","xgboost"
"Quantiles",101,0.705035971223022,4,"Earthquakes","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.726618705035971,4,"Earthquakes","xgboost"
"catch22",22,0.719424460431655,5,"Earthquakes","xgboost"
"feasts",38,0.690647482014389,5,"Earthquakes","xgboost"
"tsfeatures",57,0.748201438848921,5,"Earthquakes","xgboost"
"TSFEL",144,0.748201438848921,5,"Earthquakes","xgboost"
"Kats",36,0.762589928057554,5,"Earthquakes","xgboost"
"tsfresh",721,0.755395683453237,5,"Earthquakes","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.741007194244604,5,"Earthquakes","xgboost"
"Quantiles",101,0.690647482014389,5,"Earthquakes","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.741007194244604,5,"Earthquakes","xgboost"
"catch22",22,0.726618705035971,6,"Earthquakes","xgboost"
"feasts",38,0.748201438848921,6,"Earthquakes","xgboost"
"tsfeatures",57,0.741007194244604,6,"Earthquakes","xgboost"
"TSFEL",144,0.741007194244604,6,"Earthquakes","xgboost"
"Kats",36,0.762589928057554,6,"Earthquakes","xgboost"
"tsfresh",721,0.748201438848921,6,"Earthquakes","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.755395683453237,6,"Earthquakes","xgboost"
"Quantiles",101,0.741007194244604,6,"Earthquakes","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.741007194244604,6,"Earthquakes","xgboost"
"catch22",22,0.705035971223022,7,"Earthquakes","xgboost"
"feasts",38,0.726618705035971,7,"Earthquakes","xgboost"
"tsfeatures",57,0.733812949640288,7,"Earthquakes","xgboost"
"TSFEL",144,0.741007194244604,7,"Earthquakes","xgboost"
"Kats",36,0.719424460431655,7,"Earthquakes","xgboost"
"tsfresh",709,0.741007194244604,7,"Earthquakes","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.741007194244604,7,"Earthquakes","xgboost"
"Quantiles",101,0.683453237410072,7,"Earthquakes","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.733812949640288,7,"Earthquakes","xgboost"
"catch22",22,0.76978417266187,8,"Earthquakes","xgboost"
"feasts",38,0.719424460431655,8,"Earthquakes","xgboost"
"tsfeatures",57,0.690647482014389,8,"Earthquakes","xgboost"
"TSFEL",144,0.741007194244604,8,"Earthquakes","xgboost"
"Kats",36,0.726618705035971,8,"Earthquakes","xgboost"
"tsfresh",721,0.755395683453237,8,"Earthquakes","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.784172661870504,8,"Earthquakes","xgboost"
"Quantiles",101,0.726618705035971,8,"Earthquakes","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.748201438848921,8,"Earthquakes","xgboost"
"catch22",22,0.748201438848921,9,"Earthquakes","xgboost"
"feasts",38,0.712230215827338,9,"Earthquakes","xgboost"
"tsfeatures",57,0.748201438848921,9,"Earthquakes","xgboost"
"TSFEL",143,0.748201438848921,9,"Earthquakes","xgboost"
"Kats",36,0.741007194244604,9,"Earthquakes","xgboost"
"tsfresh",719,0.76978417266187,9,"Earthquakes","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.762589928057554,9,"Earthquakes","xgboost"
"Quantiles",101,0.741007194244604,9,"Earthquakes","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.748201438848921,9,"Earthquakes","xgboost"
"catch22",22,0.705035971223022,10,"Earthquakes","xgboost"
"feasts",38,0.690647482014389,10,"Earthquakes","xgboost"
"tsfeatures",57,0.690647482014389,10,"Earthquakes","xgboost"
"TSFEL",144,0.719424460431655,10,"Earthquakes","xgboost"
"Kats",36,0.719424460431655,10,"Earthquakes","xgboost"
"tsfresh",722,0.741007194244604,10,"Earthquakes","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.741007194244604,10,"Earthquakes","xgboost"
"Quantiles",101,0.676258992805755,10,"Earthquakes","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.748201438848921,10,"Earthquakes","xgboost"
"catch22",22,0.690647482014389,11,"Earthquakes","xgboost"
"feasts",38,0.719424460431655,11,"Earthquakes","xgboost"
"tsfeatures",57,0.697841726618705,11,"Earthquakes","xgboost"
"TSFEL",144,0.755395683453237,11,"Earthquakes","xgboost"
"Kats",36,0.733812949640288,11,"Earthquakes","xgboost"
"tsfresh",721,0.748201438848921,11,"Earthquakes","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.719424460431655,11,"Earthquakes","xgboost"
"Quantiles",101,0.647482014388489,11,"Earthquakes","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.726618705035971,11,"Earthquakes","xgboost"
"catch22",22,0.683453237410072,12,"Earthquakes","xgboost"
"feasts",38,0.741007194244604,12,"Earthquakes","xgboost"
"tsfeatures",57,0.690647482014389,12,"Earthquakes","xgboost"
"TSFEL",143,0.748201438848921,12,"Earthquakes","xgboost"
"Kats",36,0.762589928057554,12,"Earthquakes","xgboost"
"tsfresh",719,0.741007194244604,12,"Earthquakes","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.748201438848921,12,"Earthquakes","xgboost"
"Quantiles",101,0.669064748201439,12,"Earthquakes","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.748201438848921,12,"Earthquakes","xgboost"
"catch22",22,0.726618705035971,13,"Earthquakes","xgboost"
"feasts",38,0.748201438848921,13,"Earthquakes","xgboost"
"tsfeatures",57,0.784172661870504,13,"Earthquakes","xgboost"
