"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.839357429718876,1,"InsectEPGSmallTrain","xgboost"
"feasts",35,0.907630522088353,1,"InsectEPGSmallTrain","xgboost"
"tsfeatures",59,0.903614457831325,1,"InsectEPGSmallTrain","xgboost"
"TSFEL",141,0.8714859437751,1,"InsectEPGSmallTrain","xgboost"
"Kats",36,0.931726907630522,1,"InsectEPGSmallTrain","xgboost"
"tsfresh",733,0.843373493975904,1,"InsectEPGSmallTrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.730923694779116,1,"InsectEPGSmallTrain","xgboost"
"Quantiles",101,0.65863453815261,1,"InsectEPGSmallTrain","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.730923694779116,1,"InsectEPGSmallTrain","xgboost"
"catch22",22,0.879518072289157,2,"InsectEPGSmallTrain","xgboost"
"feasts",35,0.734939759036145,2,"InsectEPGSmallTrain","xgboost"
"tsfeatures",59,0.843373493975904,2,"InsectEPGSmallTrain","xgboost"
"TSFEL",141,0.8714859437751,2,"InsectEPGSmallTrain","xgboost"
"Kats",36,0.931726907630522,2,"InsectEPGSmallTrain","xgboost"
"tsfresh",733,0.578313253012048,2,"InsectEPGSmallTrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.775100401606426,2,"InsectEPGSmallTrain","xgboost"
"Quantiles",101,0.650602409638554,2,"InsectEPGSmallTrain","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.686746987951807,2,"InsectEPGSmallTrain","xgboost"
"catch22",22,0.78714859437751,3,"InsectEPGSmallTrain","xgboost"
"feasts",35,0.755020080321285,3,"InsectEPGSmallTrain","xgboost"
"tsfeatures",59,0.72289156626506,3,"InsectEPGSmallTrain","xgboost"
"TSFEL",143,0.839357429718876,3,"InsectEPGSmallTrain","xgboost"
"Kats",36,0.8714859437751,3,"InsectEPGSmallTrain","xgboost"
"tsfresh",732,0.875502008032129,3,"InsectEPGSmallTrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.682730923694779,3,"InsectEPGSmallTrain","xgboost"
"Quantiles",101,0.634538152610442,3,"InsectEPGSmallTrain","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.618473895582329,3,"InsectEPGSmallTrain","xgboost"
"catch22",22,0.867469879518072,4,"InsectEPGSmallTrain","xgboost"
"feasts",36,0.831325301204819,4,"InsectEPGSmallTrain","xgboost"
"tsfeatures",59,0.859437751004016,4,"InsectEPGSmallTrain","xgboost"
"TSFEL",143,0.879518072289157,4,"InsectEPGSmallTrain","xgboost"
"Kats",36,0.943775100401606,4,"InsectEPGSmallTrain","xgboost"
"tsfresh",731,0.855421686746988,4,"InsectEPGSmallTrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.666666666666667,4,"InsectEPGSmallTrain","xgboost"
"Quantiles",101,0.694779116465863,4,"InsectEPGSmallTrain","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.666666666666667,4,"InsectEPGSmallTrain","xgboost"
