"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",20,0.85,1,"Meat","xgboost"
"feasts",33,0.783333333333333,1,"Meat","xgboost"
"tsfeatures",55,0.866666666666667,1,"Meat","xgboost"
"TSFEL",142,0.866666666666667,1,"Meat","xgboost"
"Kats",34,0.85,1,"Meat","xgboost"
"tsfresh",723,0.833333333333333,1,"Meat","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.95,1,"Meat","xgboost"
"Quantiles",101,0.983333333333333,1,"Meat","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.966666666666667,1,"Meat","xgboost"
"catch22",18,0.816666666666667,2,"Meat","xgboost"
"feasts",33,0.733333333333333,2,"Meat","xgboost"
"tsfeatures",54,0.783333333333333,2,"Meat","xgboost"
"TSFEL",141,0.816666666666667,2,"Meat","xgboost"
"Kats",35,0.8,2,"Meat","xgboost"
"tsfresh",722,0.85,2,"Meat","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.933333333333333,2,"Meat","xgboost"
"Quantiles",101,0.966666666666667,2,"Meat","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.766666666666667,2,"Meat","xgboost"
"catch22",18,0.866666666666667,3,"Meat","xgboost"
"feasts",33,0.866666666666667,3,"Meat","xgboost"
"tsfeatures",54,0.933333333333333,3,"Meat","xgboost"
"TSFEL",141,0.85,3,"Meat","xgboost"
"Kats",36,0.783333333333333,3,"Meat","xgboost"
"tsfresh",723,0.933333333333333,3,"Meat","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.983333333333333,3,"Meat","xgboost"
"Quantiles",101,0.983333333333333,3,"Meat","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.95,3,"Meat","xgboost"
"catch22",19,0.883333333333333,4,"Meat","xgboost"
"feasts",33,0.85,4,"Meat","xgboost"
"tsfeatures",54,0.866666666666667,4,"Meat","xgboost"
"TSFEL",141,0.9,4,"Meat","xgboost"
"Kats",35,0.85,4,"Meat","xgboost"
"tsfresh",723,0.966666666666667,4,"Meat","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.916666666666667,4,"Meat","xgboost"
"Quantiles",101,0.95,4,"Meat","xgboost"
