"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.786941580756014,1,"MiddlePhalanxOutlineCorrect","xgboost"
"feasts",34,0.81786941580756,1,"MiddlePhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.810996563573883,1,"MiddlePhalanxOutlineCorrect","xgboost"
"TSFEL",142,0.804123711340206,1,"MiddlePhalanxOutlineCorrect","xgboost"
"Kats",36,0.804123711340206,1,"MiddlePhalanxOutlineCorrect","xgboost"
"tsfresh",484,0.81786941580756,1,"MiddlePhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.776632302405498,1,"MiddlePhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.738831615120275,1,"MiddlePhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.77319587628866,1,"MiddlePhalanxOutlineCorrect","xgboost"
"catch22",22,0.821305841924399,2,"MiddlePhalanxOutlineCorrect","xgboost"
"feasts",34,0.77319587628866,2,"MiddlePhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.786941580756014,2,"MiddlePhalanxOutlineCorrect","xgboost"
"TSFEL",142,0.810996563573883,2,"MiddlePhalanxOutlineCorrect","xgboost"
"Kats",36,0.810996563573883,2,"MiddlePhalanxOutlineCorrect","xgboost"
"tsfresh",483,0.845360824742268,2,"MiddlePhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.831615120274914,2,"MiddlePhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.742268041237113,2,"MiddlePhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.797250859106529,2,"MiddlePhalanxOutlineCorrect","xgboost"
"catch22",22,0.783505154639175,3,"MiddlePhalanxOutlineCorrect","xgboost"
"feasts",34,0.783505154639175,3,"MiddlePhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.810996563573883,3,"MiddlePhalanxOutlineCorrect","xgboost"
"TSFEL",142,0.810996563573883,3,"MiddlePhalanxOutlineCorrect","xgboost"
"Kats",36,0.783505154639175,3,"MiddlePhalanxOutlineCorrect","xgboost"
"tsfresh",482,0.86254295532646,3,"MiddlePhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.824742268041237,3,"MiddlePhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.738831615120275,3,"MiddlePhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.835051546391753,3,"MiddlePhalanxOutlineCorrect","xgboost"
"catch22",22,0.77319587628866,4,"MiddlePhalanxOutlineCorrect","xgboost"
"feasts",34,0.790378006872852,4,"MiddlePhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.793814432989691,4,"MiddlePhalanxOutlineCorrect","xgboost"
"TSFEL",142,0.831615120274914,4,"MiddlePhalanxOutlineCorrect","xgboost"
"Kats",36,0.790378006872852,4,"MiddlePhalanxOutlineCorrect","xgboost"
"tsfresh",483,0.810996563573883,4,"MiddlePhalanxOutlineCorrect","xgboost"
