"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.512987012987013,1,"MiddlePhalanxTW","xgboost"
"feasts",34,0.584415584415584,1,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.558441558441558,1,"MiddlePhalanxTW","xgboost"
"TSFEL",142,0.538961038961039,1,"MiddlePhalanxTW","xgboost"
"Kats",36,0.545454545454545,1,"MiddlePhalanxTW","xgboost"
"tsfresh",482,0.532467532467532,1,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.506493506493506,1,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.5,1,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.5,1,"MiddlePhalanxTW","xgboost"
"catch22",22,0.493506493506494,2,"MiddlePhalanxTW","xgboost"
"feasts",33,0.538961038961039,2,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.5,2,"MiddlePhalanxTW","xgboost"
"TSFEL",142,0.512987012987013,2,"MiddlePhalanxTW","xgboost"
"Kats",36,0.525974025974026,2,"MiddlePhalanxTW","xgboost"
"tsfresh",482,0.538961038961039,2,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.545454545454545,2,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.538961038961039,2,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.525974025974026,2,"MiddlePhalanxTW","xgboost"
"catch22",22,0.558441558441558,3,"MiddlePhalanxTW","xgboost"
"feasts",34,0.512987012987013,3,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.532467532467532,3,"MiddlePhalanxTW","xgboost"
"TSFEL",142,0.519480519480519,3,"MiddlePhalanxTW","xgboost"
"Kats",36,0.577922077922078,3,"MiddlePhalanxTW","xgboost"
"tsfresh",481,0.538961038961039,3,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.519480519480519,3,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.551948051948052,3,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.512987012987013,3,"MiddlePhalanxTW","xgboost"
"catch22",22,0.519480519480519,4,"MiddlePhalanxTW","xgboost"
"feasts",33,0.519480519480519,4,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.551948051948052,4,"MiddlePhalanxTW","xgboost"
"TSFEL",141,0.538961038961039,4,"MiddlePhalanxTW","xgboost"
"Kats",36,0.525974025974026,4,"MiddlePhalanxTW","xgboost"
"tsfresh",481,0.584415584415584,4,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.519480519480519,4,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.5,4,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.564935064935065,4,"MiddlePhalanxTW","xgboost"
"catch22",22,0.525974025974026,5,"MiddlePhalanxTW","xgboost"
"feasts",34,0.519480519480519,5,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.577922077922078,5,"MiddlePhalanxTW","xgboost"
"TSFEL",142,0.538961038961039,5,"MiddlePhalanxTW","xgboost"
"Kats",36,0.577922077922078,5,"MiddlePhalanxTW","xgboost"
"tsfresh",482,0.558441558441558,5,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.577922077922078,5,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.532467532467532,5,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.551948051948052,5,"MiddlePhalanxTW","xgboost"
"catch22",22,0.48051948051948,6,"MiddlePhalanxTW","xgboost"
"feasts",34,0.545454545454545,6,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.551948051948052,6,"MiddlePhalanxTW","xgboost"
"TSFEL",142,0.474025974025974,6,"MiddlePhalanxTW","xgboost"
"Kats",36,0.571428571428571,6,"MiddlePhalanxTW","xgboost"
"tsfresh",482,0.487012987012987,6,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.493506493506494,6,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.493506493506494,6,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.467532467532468,6,"MiddlePhalanxTW","xgboost"
"catch22",22,0.48051948051948,7,"MiddlePhalanxTW","xgboost"
"feasts",34,0.551948051948052,7,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.551948051948052,7,"MiddlePhalanxTW","xgboost"
"TSFEL",142,0.538961038961039,7,"MiddlePhalanxTW","xgboost"
"Kats",36,0.487012987012987,7,"MiddlePhalanxTW","xgboost"
"tsfresh",481,0.493506493506494,7,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.532467532467532,7,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.48051948051948,7,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.545454545454545,7,"MiddlePhalanxTW","xgboost"
"catch22",22,0.558441558441558,8,"MiddlePhalanxTW","xgboost"
"feasts",33,0.532467532467532,8,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.506493506493506,8,"MiddlePhalanxTW","xgboost"
"TSFEL",142,0.5,8,"MiddlePhalanxTW","xgboost"
"Kats",36,0.512987012987013,8,"MiddlePhalanxTW","xgboost"
"tsfresh",482,0.506493506493506,8,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.558441558441558,8,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.538961038961039,8,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.519480519480519,8,"MiddlePhalanxTW","xgboost"
"catch22",22,0.493506493506494,9,"MiddlePhalanxTW","xgboost"
"feasts",34,0.545454545454545,9,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.597402597402597,9,"MiddlePhalanxTW","xgboost"
"TSFEL",142,0.519480519480519,9,"MiddlePhalanxTW","xgboost"
"Kats",36,0.545454545454545,9,"MiddlePhalanxTW","xgboost"
"tsfresh",482,0.558441558441558,9,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.538961038961039,9,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.545454545454545,9,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.564935064935065,9,"MiddlePhalanxTW","xgboost"
"catch22",22,0.5,10,"MiddlePhalanxTW","xgboost"
"feasts",34,0.538961038961039,10,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.545454545454545,10,"MiddlePhalanxTW","xgboost"
"TSFEL",142,0.532467532467532,10,"MiddlePhalanxTW","xgboost"
"Kats",36,0.577922077922078,10,"MiddlePhalanxTW","xgboost"
"tsfresh",482,0.525974025974026,10,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.532467532467532,10,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.545454545454545,10,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.493506493506494,10,"MiddlePhalanxTW","xgboost"
"catch22",22,0.532467532467532,11,"MiddlePhalanxTW","xgboost"
"feasts",34,0.519480519480519,11,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.532467532467532,11,"MiddlePhalanxTW","xgboost"
"TSFEL",141,0.571428571428571,11,"MiddlePhalanxTW","xgboost"
"Kats",36,0.487012987012987,11,"MiddlePhalanxTW","xgboost"
"tsfresh",481,0.545454545454545,11,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.487012987012987,11,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.493506493506494,11,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.538961038961039,11,"MiddlePhalanxTW","xgboost"
"catch22",22,0.487012987012987,12,"MiddlePhalanxTW","xgboost"
"feasts",34,0.5,12,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.551948051948052,12,"MiddlePhalanxTW","xgboost"
"TSFEL",142,0.519480519480519,12,"MiddlePhalanxTW","xgboost"
"Kats",36,0.512987012987013,12,"MiddlePhalanxTW","xgboost"
"tsfresh",482,0.512987012987013,12,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.532467532467532,12,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.474025974025974,12,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.577922077922078,12,"MiddlePhalanxTW","xgboost"
"catch22",22,0.538961038961039,13,"MiddlePhalanxTW","xgboost"
"feasts",34,0.525974025974026,13,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.474025974025974,13,"MiddlePhalanxTW","xgboost"
"TSFEL",142,0.538961038961039,13,"MiddlePhalanxTW","xgboost"
"Kats",36,0.597402597402597,13,"MiddlePhalanxTW","xgboost"
"tsfresh",482,0.545454545454545,13,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.558441558441558,13,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.525974025974026,13,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.558441558441558,13,"MiddlePhalanxTW","xgboost"
"catch22",22,0.558441558441558,14,"MiddlePhalanxTW","xgboost"
"feasts",34,0.538961038961039,14,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.564935064935065,14,"MiddlePhalanxTW","xgboost"
"TSFEL",142,0.558441558441558,14,"MiddlePhalanxTW","xgboost"
"Kats",36,0.545454545454545,14,"MiddlePhalanxTW","xgboost"
"tsfresh",482,0.577922077922078,14,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.525974025974026,14,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.525974025974026,14,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.525974025974026,14,"MiddlePhalanxTW","xgboost"
"catch22",22,0.506493506493506,15,"MiddlePhalanxTW","xgboost"
"feasts",34,0.532467532467532,15,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.525974025974026,15,"MiddlePhalanxTW","xgboost"
"TSFEL",142,0.532467532467532,15,"MiddlePhalanxTW","xgboost"
"Kats",36,0.558441558441558,15,"MiddlePhalanxTW","xgboost"
"tsfresh",482,0.558441558441558,15,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.519480519480519,15,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.506493506493506,15,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.571428571428571,15,"MiddlePhalanxTW","xgboost"
"catch22",22,0.532467532467532,16,"MiddlePhalanxTW","xgboost"
"feasts",34,0.564935064935065,16,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.512987012987013,16,"MiddlePhalanxTW","xgboost"
"TSFEL",141,0.545454545454545,16,"MiddlePhalanxTW","xgboost"
"Kats",36,0.564935064935065,16,"MiddlePhalanxTW","xgboost"
"tsfresh",481,0.532467532467532,16,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.525974025974026,16,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.538961038961039,16,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.545454545454545,16,"MiddlePhalanxTW","xgboost"
"catch22",22,0.493506493506494,17,"MiddlePhalanxTW","xgboost"
"feasts",34,0.551948051948052,17,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.519480519480519,17,"MiddlePhalanxTW","xgboost"
"TSFEL",142,0.525974025974026,17,"MiddlePhalanxTW","xgboost"
"Kats",36,0.558441558441558,17,"MiddlePhalanxTW","xgboost"
"tsfresh",482,0.551948051948052,17,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.551948051948052,17,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.538961038961039,17,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.519480519480519,17,"MiddlePhalanxTW","xgboost"
"catch22",22,0.493506493506494,18,"MiddlePhalanxTW","xgboost"
"feasts",33,0.545454545454545,18,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.519480519480519,18,"MiddlePhalanxTW","xgboost"
"TSFEL",141,0.519480519480519,18,"MiddlePhalanxTW","xgboost"
"Kats",36,0.597402597402597,18,"MiddlePhalanxTW","xgboost"
"tsfresh",481,0.5,18,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.519480519480519,18,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.512987012987013,18,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.545454545454545,18,"MiddlePhalanxTW","xgboost"
"catch22",22,0.519480519480519,19,"MiddlePhalanxTW","xgboost"
"feasts",34,0.603896103896104,19,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.603896103896104,19,"MiddlePhalanxTW","xgboost"
"TSFEL",142,0.571428571428571,19,"MiddlePhalanxTW","xgboost"
"Kats",36,0.577922077922078,19,"MiddlePhalanxTW","xgboost"
"tsfresh",482,0.545454545454545,19,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.564935064935065,19,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.525974025974026,19,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.545454545454545,19,"MiddlePhalanxTW","xgboost"
"catch22",22,0.538961038961039,20,"MiddlePhalanxTW","xgboost"
"feasts",34,0.571428571428571,20,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.525974025974026,20,"MiddlePhalanxTW","xgboost"
"TSFEL",142,0.577922077922078,20,"MiddlePhalanxTW","xgboost"
"Kats",36,0.564935064935065,20,"MiddlePhalanxTW","xgboost"
"tsfresh",482,0.538961038961039,20,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.519480519480519,20,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.551948051948052,20,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.525974025974026,20,"MiddlePhalanxTW","xgboost"
"catch22",22,0.512987012987013,21,"MiddlePhalanxTW","xgboost"
"feasts",34,0.519480519480519,21,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.493506493506494,21,"MiddlePhalanxTW","xgboost"
"TSFEL",141,0.558441558441558,21,"MiddlePhalanxTW","xgboost"
"Kats",36,0.564935064935065,21,"MiddlePhalanxTW","xgboost"
"tsfresh",481,0.603896103896104,21,"MiddlePhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.538961038961039,21,"MiddlePhalanxTW","xgboost"
"Quantiles",101,0.538961038961039,21,"MiddlePhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.558441558441558,21,"MiddlePhalanxTW","xgboost"
"catch22",22,0.525974025974026,22,"MiddlePhalanxTW","xgboost"
"feasts",33,0.487012987012987,22,"MiddlePhalanxTW","xgboost"
"tsfeatures",59,0.603896103896104,22,"MiddlePhalanxTW","xgboost"
"TSFEL",141,0.512987012987013,22,"MiddlePhalanxTW","xgboost"
"Kats",36,0.538961038961039,22,"MiddlePhalanxTW","xgboost"
"tsfresh",481,0.512987012987013,22,"MiddlePhalanxTW","xgboost"
