"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.90020618556701,1,"MixedShapesRegularTrain","xgboost"
"feasts",36,0.905979381443299,1,"MixedShapesRegularTrain","xgboost"
"tsfeatures",59,0.938969072164948,1,"MixedShapesRegularTrain","xgboost"
"TSFEL",144,0.942268041237113,1,"MixedShapesRegularTrain","xgboost"
"Kats",36,0.912577319587629,1,"MixedShapesRegularTrain","xgboost"
"tsfresh",734,0.949690721649485,1,"MixedShapesRegularTrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.921237113402062,1,"MixedShapesRegularTrain","xgboost"
"Quantiles",101,0.702680412371134,1,"MixedShapesRegularTrain","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.904329896907217,1,"MixedShapesRegularTrain","xgboost"
"catch22",22,0.916288659793814,2,"MixedShapesRegularTrain","xgboost"
"feasts",37,0.903917525773196,2,"MixedShapesRegularTrain","xgboost"
"tsfeatures",59,0.940618556701031,2,"MixedShapesRegularTrain","xgboost"
"TSFEL",144,0.924536082474227,2,"MixedShapesRegularTrain","xgboost"
"Kats",36,0.924123711340206,2,"MixedShapesRegularTrain","xgboost"
"tsfresh",734,0.944329896907216,2,"MixedShapesRegularTrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.912577319587629,2,"MixedShapesRegularTrain","xgboost"
"Quantiles",101,0.701443298969072,2,"MixedShapesRegularTrain","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.903505154639175,2,"MixedShapesRegularTrain","xgboost"
"catch22",22,0.92659793814433,3,"MixedShapesRegularTrain","xgboost"
"feasts",37,0.928659793814433,3,"MixedShapesRegularTrain","xgboost"
"tsfeatures",59,0.936494845360825,3,"MixedShapesRegularTrain","xgboost"
"TSFEL",144,0.93979381443299,3,"MixedShapesRegularTrain","xgboost"
"Kats",36,0.936907216494845,3,"MixedShapesRegularTrain","xgboost"
"tsfresh",734,0.949690721649485,3,"MixedShapesRegularTrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.922061855670103,3,"MixedShapesRegularTrain","xgboost"
"Quantiles",101,0.695670103092784,3,"MixedShapesRegularTrain","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.903092783505155,3,"MixedShapesRegularTrain","xgboost"
"catch22",21,0.910927835051546,4,"MixedShapesRegularTrain","xgboost"
"feasts",35,0.903092783505155,4,"MixedShapesRegularTrain","xgboost"
"tsfeatures",59,0.93360824742268,4,"MixedShapesRegularTrain","xgboost"
"TSFEL",144,0.931546391752577,4,"MixedShapesRegularTrain","xgboost"
"Kats",36,0.922886597938144,4,"MixedShapesRegularTrain","xgboost"
"tsfresh",733,0.943092783505155,4,"MixedShapesRegularTrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.915876288659794,4,"MixedShapesRegularTrain","xgboost"
"Quantiles",101,0.710103092783505,4,"MixedShapesRegularTrain","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.901030927835052,4,"MixedShapesRegularTrain","xgboost"
