"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.788338658146965,1,"MoteStrain","xgboost"
"feasts",38,0.81629392971246,1,"MoteStrain","xgboost"
"tsfeatures",59,0.80111821086262,1,"MoteStrain","xgboost"
"TSFEL",144,0.904952076677316,1,"MoteStrain","xgboost"
"Kats",36,0.81150159744409,1,"MoteStrain","xgboost"
"tsfresh",502,0.766773162939297,1,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.777156549520767,1,"MoteStrain","xgboost"
"Quantiles",101,0.765974440894569,1,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.666932907348243,1,"MoteStrain","xgboost"
"catch22",22,0.821086261980831,2,"MoteStrain","xgboost"
"feasts",39,0.822683706070288,2,"MoteStrain","xgboost"
"tsfeatures",59,0.833865814696486,2,"MoteStrain","xgboost"
"TSFEL",143,0.759584664536741,2,"MoteStrain","xgboost"
"Kats",36,0.763578274760383,2,"MoteStrain","xgboost"
"tsfresh",506,0.753194888178914,2,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.72444089456869,2,"MoteStrain","xgboost"
"Quantiles",101,0.72444089456869,2,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.770766773162939,2,"MoteStrain","xgboost"
"catch22",22,0.817092651757188,3,"MoteStrain","xgboost"
"feasts",39,0.818690095846645,3,"MoteStrain","xgboost"
"tsfeatures",59,0.847444089456869,3,"MoteStrain","xgboost"
"TSFEL",144,0.727635782747604,3,"MoteStrain","xgboost"
"Kats",36,0.764376996805112,3,"MoteStrain","xgboost"
"tsfresh",504,0.818690095846645,3,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.773162939297125,3,"MoteStrain","xgboost"
"Quantiles",101,0.796325878594249,3,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.710862619808307,3,"MoteStrain","xgboost"
"catch22",22,0.80111821086262,4,"MoteStrain","xgboost"
"feasts",38,0.62220447284345,4,"MoteStrain","xgboost"
"tsfeatures",59,0.75,4,"MoteStrain","xgboost"
"TSFEL",144,0.900958466453674,4,"MoteStrain","xgboost"
"Kats",36,0.777955271565495,4,"MoteStrain","xgboost"
"tsfresh",501,0.837859424920128,4,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.746805111821086,4,"MoteStrain","xgboost"
"Quantiles",101,0.759584664536741,4,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.641373801916933,4,"MoteStrain","xgboost"
"catch22",22,0.818690095846645,5,"MoteStrain","xgboost"
"feasts",39,0.810702875399361,5,"MoteStrain","xgboost"
"tsfeatures",59,0.81150159744409,5,"MoteStrain","xgboost"
"TSFEL",144,0.880191693290735,5,"MoteStrain","xgboost"
"Kats",36,0.80591054313099,5,"MoteStrain","xgboost"
"tsfresh",502,0.861022364217252,5,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.736421725239617,5,"MoteStrain","xgboost"
"Quantiles",101,0.664536741214057,5,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.694888178913738,5,"MoteStrain","xgboost"
"catch22",22,0.836261980830671,6,"MoteStrain","xgboost"
"feasts",38,0.771565495207668,6,"MoteStrain","xgboost"
"tsfeatures",59,0.75,6,"MoteStrain","xgboost"
"TSFEL",143,0.87779552715655,6,"MoteStrain","xgboost"
"Kats",36,0.637380191693291,6,"MoteStrain","xgboost"
"tsfresh",505,0.769968051118211,6,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.802715654952077,6,"MoteStrain","xgboost"
"Quantiles",101,0.793929712460064,6,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.718051118210863,6,"MoteStrain","xgboost"
"catch22",22,0.847444089456869,7,"MoteStrain","xgboost"
"feasts",38,0.776357827476038,7,"MoteStrain","xgboost"
"tsfeatures",59,0.80591054313099,7,"MoteStrain","xgboost"
"TSFEL",144,0.813897763578275,7,"MoteStrain","xgboost"
"Kats",36,0.783546325878594,7,"MoteStrain","xgboost"
"tsfresh",499,0.876996805111821,7,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.781948881789137,7,"MoteStrain","xgboost"
"Quantiles",101,0.829073482428115,7,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.743610223642173,7,"MoteStrain","xgboost"
"catch22",22,0.810702875399361,8,"MoteStrain","xgboost"
"feasts",39,0.757987220447284,8,"MoteStrain","xgboost"
"tsfeatures",59,0.774760383386581,8,"MoteStrain","xgboost"
"TSFEL",144,0.798722044728435,8,"MoteStrain","xgboost"
"Kats",36,0.814696485623003,8,"MoteStrain","xgboost"
"tsfresh",500,0.666932907348243,8,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.836261980830671,8,"MoteStrain","xgboost"
"Quantiles",101,0.807507987220447,8,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.777955271565495,8,"MoteStrain","xgboost"
"catch22",22,0.781948881789137,9,"MoteStrain","xgboost"
"feasts",39,0.690095846645367,9,"MoteStrain","xgboost"
"tsfeatures",59,0.824281150159744,9,"MoteStrain","xgboost"
"TSFEL",144,0.851437699680511,9,"MoteStrain","xgboost"
"Kats",36,0.783546325878594,9,"MoteStrain","xgboost"
"tsfresh",499,0.837859424920128,9,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.80111821086262,9,"MoteStrain","xgboost"
"Quantiles",101,0.784345047923323,9,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.699680511182109,9,"MoteStrain","xgboost"
"catch22",22,0.765974440894569,10,"MoteStrain","xgboost"
"feasts",39,0.746805111821086,10,"MoteStrain","xgboost"
"tsfeatures",59,0.828274760383387,10,"MoteStrain","xgboost"
"TSFEL",144,0.751597444089457,10,"MoteStrain","xgboost"
"Kats",36,0.77555910543131,10,"MoteStrain","xgboost"
"tsfresh",509,0.772364217252396,10,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.765974440894569,10,"MoteStrain","xgboost"
"Quantiles",101,0.770766773162939,10,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.559105431309904,10,"MoteStrain","xgboost"
"catch22",22,0.788338658146965,11,"MoteStrain","xgboost"
"feasts",39,0.777955271565495,11,"MoteStrain","xgboost"
"tsfeatures",59,0.837859424920128,11,"MoteStrain","xgboost"
"TSFEL",144,0.787539936102236,11,"MoteStrain","xgboost"
"Kats",36,0.776357827476038,11,"MoteStrain","xgboost"
"tsfresh",501,0.792332268370607,11,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.792332268370607,11,"MoteStrain","xgboost"
"Quantiles",101,0.792332268370607,11,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.749201277955272,11,"MoteStrain","xgboost"
"catch22",22,0.855431309904153,12,"MoteStrain","xgboost"
"feasts",39,0.754792332268371,12,"MoteStrain","xgboost"
"tsfeatures",59,0.864217252396166,12,"MoteStrain","xgboost"
"TSFEL",144,0.893769968051118,12,"MoteStrain","xgboost"
"Kats",36,0.751597444089457,12,"MoteStrain","xgboost"
"tsfresh",500,0.768370607028754,12,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.764376996805112,12,"MoteStrain","xgboost"
"Quantiles",101,0.764376996805112,12,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.796325878594249,12,"MoteStrain","xgboost"
"catch22",22,0.757188498402556,13,"MoteStrain","xgboost"
"feasts",39,0.757188498402556,13,"MoteStrain","xgboost"
"tsfeatures",59,0.798722044728435,13,"MoteStrain","xgboost"
"TSFEL",144,0.937699680511182,13,"MoteStrain","xgboost"
"Kats",36,0.774760383386581,13,"MoteStrain","xgboost"
"tsfresh",499,0.837859424920128,13,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.804313099041534,13,"MoteStrain","xgboost"
"Quantiles",101,0.797124600638978,13,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.802715654952077,13,"MoteStrain","xgboost"
"catch22",22,0.79073482428115,14,"MoteStrain","xgboost"
"feasts",39,0.745207667731629,14,"MoteStrain","xgboost"
"tsfeatures",59,0.753993610223642,14,"MoteStrain","xgboost"
"TSFEL",144,0.8314696485623,14,"MoteStrain","xgboost"
"Kats",36,0.78594249201278,14,"MoteStrain","xgboost"
"tsfresh",500,0.698083067092652,14,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.777955271565495,14,"MoteStrain","xgboost"
"Quantiles",101,0.803514376996805,14,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.707667731629393,14,"MoteStrain","xgboost"
"catch22",22,0.840255591054313,15,"MoteStrain","xgboost"
"feasts",38,0.770766773162939,15,"MoteStrain","xgboost"
"tsfeatures",59,0.81629392971246,15,"MoteStrain","xgboost"
"TSFEL",143,0.880990415335463,15,"MoteStrain","xgboost"
"Kats",36,0.825079872204473,15,"MoteStrain","xgboost"
"tsfresh",503,0.827476038338658,15,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.740415335463259,15,"MoteStrain","xgboost"
"Quantiles",101,0.753194888178914,15,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.542332268370607,15,"MoteStrain","xgboost"
"catch22",22,0.834664536741214,16,"MoteStrain","xgboost"
"feasts",39,0.749201277955272,16,"MoteStrain","xgboost"
"tsfeatures",59,0.833865814696486,16,"MoteStrain","xgboost"
"TSFEL",143,0.875399361022364,16,"MoteStrain","xgboost"
"Kats",36,0.742012779552716,16,"MoteStrain","xgboost"
"tsfresh",504,0.73482428115016,16,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.813897763578275,16,"MoteStrain","xgboost"
"Quantiles",101,0.743610223642173,16,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.717252396166134,16,"MoteStrain","xgboost"
"catch22",22,0.784345047923323,17,"MoteStrain","xgboost"
"feasts",39,0.823482428115016,17,"MoteStrain","xgboost"
"tsfeatures",59,0.84185303514377,17,"MoteStrain","xgboost"
"TSFEL",144,0.864217252396166,17,"MoteStrain","xgboost"
"Kats",36,0.749201277955272,17,"MoteStrain","xgboost"
"tsfresh",500,0.77555910543131,17,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.737220447284345,17,"MoteStrain","xgboost"
"Quantiles",101,0.777955271565495,17,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.714856230031949,17,"MoteStrain","xgboost"
"catch22",22,0.824281150159744,18,"MoteStrain","xgboost"
"feasts",39,0.763578274760383,18,"MoteStrain","xgboost"
"tsfeatures",59,0.827476038338658,18,"MoteStrain","xgboost"
"TSFEL",144,0.875399361022364,18,"MoteStrain","xgboost"
"Kats",35,0.785143769968051,18,"MoteStrain","xgboost"
"tsfresh",503,0.758785942492013,18,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.773162939297125,18,"MoteStrain","xgboost"
"Quantiles",101,0.749201277955272,18,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.788338658146965,18,"MoteStrain","xgboost"
"catch22",22,0.797124600638978,19,"MoteStrain","xgboost"
"feasts",39,0.687699680511182,19,"MoteStrain","xgboost"
"tsfeatures",59,0.838658146964856,19,"MoteStrain","xgboost"
"TSFEL",144,0.833865814696486,19,"MoteStrain","xgboost"
"Kats",36,0.845846645367412,19,"MoteStrain","xgboost"
"tsfresh",508,0.761980830670926,19,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.773162939297125,19,"MoteStrain","xgboost"
"Quantiles",101,0.762779552715655,19,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.765974440894569,19,"MoteStrain","xgboost"
"catch22",22,0.670127795527157,20,"MoteStrain","xgboost"
"feasts",39,0.751597444089457,20,"MoteStrain","xgboost"
"tsfeatures",59,0.751597444089457,20,"MoteStrain","xgboost"
"TSFEL",143,0.745207667731629,20,"MoteStrain","xgboost"
"Kats",36,0.746805111821086,20,"MoteStrain","xgboost"
"tsfresh",503,0.726837060702875,20,"MoteStrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.698083067092652,20,"MoteStrain","xgboost"
"Quantiles",101,0.747603833865815,20,"MoteStrain","xgboost"
"FFT coef. (Mag^2 + Angle)",86,0.671725239616613,20,"MoteStrain","xgboost"
"catch22",22,0.81150159744409,21,"MoteStrain","xgboost"
"feasts",39,0.716453674121406,21,"MoteStrain","xgboost"
