"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.727272727272727,1,"OSULeaf","xgboost"
"feasts",37,0.855371900826446,1,"OSULeaf","xgboost"
"tsfeatures",59,0.896694214876033,1,"OSULeaf","xgboost"
"TSFEL",144,0.809917355371901,1,"OSULeaf","xgboost"
"Kats",36,0.896694214876033,1,"OSULeaf","xgboost"
"tsfresh",731,0.863636363636364,1,"OSULeaf","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.743801652892562,1,"OSULeaf","xgboost"
"Quantiles",101,0.466942148760331,1,"OSULeaf","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.706611570247934,1,"OSULeaf","xgboost"
"catch22",22,0.735537190082645,2,"OSULeaf","xgboost"
"feasts",36,0.867768595041322,2,"OSULeaf","xgboost"
"tsfeatures",59,0.880165289256198,2,"OSULeaf","xgboost"
"TSFEL",144,0.801652892561983,2,"OSULeaf","xgboost"
"Kats",36,0.867768595041322,2,"OSULeaf","xgboost"
"tsfresh",732,0.87603305785124,2,"OSULeaf","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.776859504132231,2,"OSULeaf","xgboost"
"Quantiles",101,0.466942148760331,2,"OSULeaf","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.727272727272727,2,"OSULeaf","xgboost"
"catch22",22,0.735537190082645,3,"OSULeaf","xgboost"
"feasts",37,0.793388429752066,3,"OSULeaf","xgboost"
"tsfeatures",59,0.830578512396694,3,"OSULeaf","xgboost"
"TSFEL",144,0.830578512396694,3,"OSULeaf","xgboost"
"Kats",36,0.830578512396694,3,"OSULeaf","xgboost"
"tsfresh",732,0.863636363636364,3,"OSULeaf","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.776859504132231,3,"OSULeaf","xgboost"
"Quantiles",101,0.528925619834711,3,"OSULeaf","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.706611570247934,3,"OSULeaf","xgboost"
"catch22",22,0.714876033057851,4,"OSULeaf","xgboost"
"feasts",36,0.863636363636364,4,"OSULeaf","xgboost"
"tsfeatures",59,0.863636363636364,4,"OSULeaf","xgboost"
"TSFEL",144,0.818181818181818,4,"OSULeaf","xgboost"
"Kats",36,0.87603305785124,4,"OSULeaf","xgboost"
"tsfresh",732,0.896694214876033,4,"OSULeaf","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.78099173553719,4,"OSULeaf","xgboost"
"Quantiles",101,0.458677685950413,4,"OSULeaf","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.731404958677686,4,"OSULeaf","xgboost"
"catch22",22,0.772727272727273,5,"OSULeaf","xgboost"
"feasts",36,0.863636363636364,5,"OSULeaf","xgboost"
"tsfeatures",59,0.851239669421488,5,"OSULeaf","xgboost"
"TSFEL",144,0.768595041322314,5,"OSULeaf","xgboost"
"Kats",36,0.863636363636364,5,"OSULeaf","xgboost"
"tsfresh",731,0.900826446280992,5,"OSULeaf","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.768595041322314,5,"OSULeaf","xgboost"
"Quantiles",101,0.504132231404959,5,"OSULeaf","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.739669421487603,5,"OSULeaf","xgboost"
"catch22",22,0.71900826446281,6,"OSULeaf","xgboost"
"feasts",37,0.84297520661157,6,"OSULeaf","xgboost"
"tsfeatures",59,0.826446280991736,6,"OSULeaf","xgboost"
"TSFEL",144,0.772727272727273,6,"OSULeaf","xgboost"
"Kats",35,0.859504132231405,6,"OSULeaf","xgboost"
"tsfresh",731,0.859504132231405,6,"OSULeaf","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.739669421487603,6,"OSULeaf","xgboost"
"Quantiles",101,0.458677685950413,6,"OSULeaf","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.710743801652893,6,"OSULeaf","xgboost"
"catch22",22,0.776859504132231,7,"OSULeaf","xgboost"
"feasts",36,0.834710743801653,7,"OSULeaf","xgboost"
"tsfeatures",59,0.834710743801653,7,"OSULeaf","xgboost"
"TSFEL",144,0.805785123966942,7,"OSULeaf","xgboost"
"Kats",35,0.867768595041322,7,"OSULeaf","xgboost"
"tsfresh",731,0.90495867768595,7,"OSULeaf","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.785123966942149,7,"OSULeaf","xgboost"
