"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.807692307692308,1,"PhalangesOutlinesCorrect","xgboost"
"feasts",38,0.792540792540793,1,"PhalangesOutlinesCorrect","xgboost"
"tsfeatures",59,0.794871794871795,1,"PhalangesOutlinesCorrect","xgboost"
"TSFEL",142,0.800699300699301,1,"PhalangesOutlinesCorrect","xgboost"
"Kats",36,0.784382284382284,1,"PhalangesOutlinesCorrect","xgboost"
"tsfresh",486,0.82983682983683,1,"PhalangesOutlinesCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.828671328671329,1,"PhalangesOutlinesCorrect","xgboost"
"Quantiles",101,0.749417249417249,1,"PhalangesOutlinesCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.805361305361305,1,"PhalangesOutlinesCorrect","xgboost"
"catch22",22,0.782051282051282,2,"PhalangesOutlinesCorrect","xgboost"
"feasts",38,0.801864801864802,2,"PhalangesOutlinesCorrect","xgboost"
"tsfeatures",59,0.804195804195804,2,"PhalangesOutlinesCorrect","xgboost"
"TSFEL",142,0.819347319347319,2,"PhalangesOutlinesCorrect","xgboost"
"Kats",36,0.798368298368298,2,"PhalangesOutlinesCorrect","xgboost"
"tsfresh",486,0.833333333333333,2,"PhalangesOutlinesCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.827505827505827,2,"PhalangesOutlinesCorrect","xgboost"
"Quantiles",101,0.79020979020979,2,"PhalangesOutlinesCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.815850815850816,2,"PhalangesOutlinesCorrect","xgboost"
"catch22",22,0.791375291375291,3,"PhalangesOutlinesCorrect","xgboost"
"feasts",38,0.817016317016317,3,"PhalangesOutlinesCorrect","xgboost"
"tsfeatures",59,0.825174825174825,3,"PhalangesOutlinesCorrect","xgboost"
"TSFEL",142,0.827505827505827,3,"PhalangesOutlinesCorrect","xgboost"
"Kats",36,0.803030303030303,3,"PhalangesOutlinesCorrect","xgboost"
"tsfresh",485,0.837995337995338,3,"PhalangesOutlinesCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.842657342657343,3,"PhalangesOutlinesCorrect","xgboost"
"Quantiles",101,0.785547785547786,3,"PhalangesOutlinesCorrect","xgboost"
