"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.6875,1,"PigArtPressure","xgboost"
"feasts",37,0.629807692307692,1,"PigArtPressure","xgboost"
"tsfeatures",59,0.725961538461538,1,"PigArtPressure","xgboost"
"TSFEL",144,0.677884615384615,1,"PigArtPressure","xgboost"
"Kats",36,0.673076923076923,1,"PigArtPressure","xgboost"
"tsfresh",736,0.475961538461538,1,"PigArtPressure","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.586538461538462,1,"PigArtPressure","xgboost"
"Quantiles",101,0.706730769230769,1,"PigArtPressure","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.350961538461538,1,"PigArtPressure","xgboost"
"catch22",22,0.634615384615385,2,"PigArtPressure","xgboost"
"feasts",37,0.634615384615385,2,"PigArtPressure","xgboost"
"tsfeatures",59,0.697115384615385,2,"PigArtPressure","xgboost"
"TSFEL",144,0.658653846153846,2,"PigArtPressure","xgboost"
"Kats",36,0.639423076923077,2,"PigArtPressure","xgboost"
"tsfresh",735,0.514423076923077,2,"PigArtPressure","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.586538461538462,2,"PigArtPressure","xgboost"
"Quantiles",101,0.706730769230769,2,"PigArtPressure","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.408653846153846,2,"PigArtPressure","xgboost"
"catch22",22,0.605769230769231,3,"PigArtPressure","xgboost"
"feasts",37,0.543269230769231,3,"PigArtPressure","xgboost"
"tsfeatures",59,0.629807692307692,3,"PigArtPressure","xgboost"
"TSFEL",144,0.644230769230769,3,"PigArtPressure","xgboost"
"Kats",36,0.610576923076923,3,"PigArtPressure","xgboost"
"tsfresh",736,0.581730769230769,3,"PigArtPressure","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.610576923076923,3,"PigArtPressure","xgboost"
"Quantiles",101,0.668269230769231,3,"PigArtPressure","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.423076923076923,3,"PigArtPressure","xgboost"
"catch22",22,0.634615384615385,4,"PigArtPressure","xgboost"
"feasts",37,0.600961538461538,4,"PigArtPressure","xgboost"
"tsfeatures",59,0.605769230769231,4,"PigArtPressure","xgboost"
"TSFEL",144,0.677884615384615,4,"PigArtPressure","xgboost"
"Kats",36,0.620192307692308,4,"PigArtPressure","xgboost"
"tsfresh",735,0.5625,4,"PigArtPressure","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.586538461538462,4,"PigArtPressure","xgboost"
