"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.911111111111111,1,"PowerCons","xgboost"
"feasts",37,0.866666666666667,1,"PowerCons","xgboost"
"tsfeatures",59,0.911111111111111,1,"PowerCons","xgboost"
"TSFEL",144,0.933333333333333,1,"PowerCons","xgboost"
"Kats",35,0.85,1,"PowerCons","xgboost"
"tsfresh",625,0.95,1,"PowerCons","xgboost"
"FFT (Mag^2 + Angle) + quantiles",247,0.9,1,"PowerCons","xgboost"
"Quantiles",101,0.9,1,"PowerCons","xgboost"
"FFT coef. (Mag^2 + Angle)",146,0.861111111111111,1,"PowerCons","xgboost"
"catch22",22,0.888888888888889,2,"PowerCons","xgboost"
"feasts",37,0.916666666666667,2,"PowerCons","xgboost"
"tsfeatures",59,0.944444444444444,2,"PowerCons","xgboost"
"TSFEL",144,0.955555555555556,2,"PowerCons","xgboost"
"Kats",35,0.927777777777778,2,"PowerCons","xgboost"
"tsfresh",624,0.966666666666667,2,"PowerCons","xgboost"
"FFT (Mag^2 + Angle) + quantiles",247,0.922222222222222,2,"PowerCons","xgboost"
"Quantiles",101,0.927777777777778,2,"PowerCons","xgboost"
"FFT coef. (Mag^2 + Angle)",146,0.861111111111111,2,"PowerCons","xgboost"
"catch22",22,0.888888888888889,3,"PowerCons","xgboost"
"feasts",37,0.9,3,"PowerCons","xgboost"
"tsfeatures",59,0.938888888888889,3,"PowerCons","xgboost"
"TSFEL",144,0.938888888888889,3,"PowerCons","xgboost"
"Kats",35,0.938888888888889,3,"PowerCons","xgboost"
"tsfresh",625,0.972222222222222,3,"PowerCons","xgboost"
"FFT (Mag^2 + Angle) + quantiles",247,0.927777777777778,3,"PowerCons","xgboost"
"Quantiles",101,0.888888888888889,3,"PowerCons","xgboost"
"FFT coef. (Mag^2 + Angle)",146,0.905555555555556,3,"PowerCons","xgboost"
"catch22",22,0.922222222222222,4,"PowerCons","xgboost"
"feasts",37,0.905555555555556,4,"PowerCons","xgboost"
"tsfeatures",59,0.955555555555556,4,"PowerCons","xgboost"
"TSFEL",144,0.938888888888889,4,"PowerCons","xgboost"
"Kats",35,0.911111111111111,4,"PowerCons","xgboost"
"tsfresh",623,0.972222222222222,4,"PowerCons","xgboost"
"FFT (Mag^2 + Angle) + quantiles",247,0.922222222222222,4,"PowerCons","xgboost"
"Quantiles",101,0.866666666666667,4,"PowerCons","xgboost"
"FFT coef. (Mag^2 + Angle)",146,0.844444444444444,4,"PowerCons","xgboost"
"catch22",22,0.922222222222222,5,"PowerCons","xgboost"
"feasts",37,0.855555555555556,5,"PowerCons","xgboost"
"tsfeatures",59,0.894444444444444,5,"PowerCons","xgboost"
"TSFEL",144,0.922222222222222,5,"PowerCons","xgboost"
"Kats",35,0.883333333333333,5,"PowerCons","xgboost"
"tsfresh",623,0.977777777777778,5,"PowerCons","xgboost"
"FFT (Mag^2 + Angle) + quantiles",247,0.916666666666667,5,"PowerCons","xgboost"
"Quantiles",101,0.905555555555556,5,"PowerCons","xgboost"
"FFT coef. (Mag^2 + Angle)",146,0.894444444444444,5,"PowerCons","xgboost"
"catch22",22,0.933333333333333,6,"PowerCons","xgboost"
"feasts",37,0.894444444444444,6,"PowerCons","xgboost"
"tsfeatures",59,0.894444444444444,6,"PowerCons","xgboost"
"TSFEL",144,0.933333333333333,6,"PowerCons","xgboost"
"Kats",35,0.866666666666667,6,"PowerCons","xgboost"
"tsfresh",623,0.922222222222222,6,"PowerCons","xgboost"
"FFT (Mag^2 + Angle) + quantiles",247,0.938888888888889,6,"PowerCons","xgboost"
"Quantiles",101,0.888888888888889,6,"PowerCons","xgboost"
"FFT coef. (Mag^2 + Angle)",146,0.911111111111111,6,"PowerCons","xgboost"
"catch22",22,0.944444444444444,7,"PowerCons","xgboost"
"feasts",37,0.888888888888889,7,"PowerCons","xgboost"
"tsfeatures",59,0.922222222222222,7,"PowerCons","xgboost"
"TSFEL",144,0.972222222222222,7,"PowerCons","xgboost"
"Kats",35,0.905555555555556,7,"PowerCons","xgboost"
"tsfresh",625,0.983333333333333,7,"PowerCons","xgboost"
"FFT (Mag^2 + Angle) + quantiles",247,0.927777777777778,7,"PowerCons","xgboost"
"Quantiles",101,0.888888888888889,7,"PowerCons","xgboost"
"FFT coef. (Mag^2 + Angle)",146,0.883333333333333,7,"PowerCons","xgboost"
"catch22",22,0.861111111111111,8,"PowerCons","xgboost"
"feasts",37,0.866666666666667,8,"PowerCons","xgboost"
"tsfeatures",59,0.9,8,"PowerCons","xgboost"
"TSFEL",144,0.911111111111111,8,"PowerCons","xgboost"
"Kats",35,0.877777777777778,8,"PowerCons","xgboost"
"tsfresh",625,0.95,8,"PowerCons","xgboost"
"FFT (Mag^2 + Angle) + quantiles",247,0.922222222222222,8,"PowerCons","xgboost"
"Quantiles",101,0.883333333333333,8,"PowerCons","xgboost"
"FFT coef. (Mag^2 + Angle)",146,0.85,8,"PowerCons","xgboost"
"catch22",22,0.922222222222222,9,"PowerCons","xgboost"
"feasts",37,0.844444444444444,9,"PowerCons","xgboost"
"tsfeatures",59,0.883333333333333,9,"PowerCons","xgboost"
"TSFEL",144,0.888888888888889,9,"PowerCons","xgboost"
"Kats",35,0.927777777777778,9,"PowerCons","xgboost"
"tsfresh",625,0.922222222222222,9,"PowerCons","xgboost"
"FFT (Mag^2 + Angle) + quantiles",247,0.911111111111111,9,"PowerCons","xgboost"
"Quantiles",101,0.927777777777778,9,"PowerCons","xgboost"
"FFT coef. (Mag^2 + Angle)",146,0.866666666666667,9,"PowerCons","xgboost"
"catch22",22,0.961111111111111,10,"PowerCons","xgboost"
"feasts",37,0.894444444444444,10,"PowerCons","xgboost"
"tsfeatures",59,0.927777777777778,10,"PowerCons","xgboost"
"TSFEL",144,0.961111111111111,10,"PowerCons","xgboost"
"Kats",35,0.927777777777778,10,"PowerCons","xgboost"
"tsfresh",625,0.983333333333333,10,"PowerCons","xgboost"
"FFT (Mag^2 + Angle) + quantiles",247,0.933333333333333,10,"PowerCons","xgboost"
"Quantiles",101,0.905555555555556,10,"PowerCons","xgboost"
"FFT coef. (Mag^2 + Angle)",146,0.894444444444444,10,"PowerCons","xgboost"
"catch22",22,0.85,11,"PowerCons","xgboost"
"feasts",37,0.861111111111111,11,"PowerCons","xgboost"
"tsfeatures",59,0.861111111111111,11,"PowerCons","xgboost"
"TSFEL",144,0.894444444444444,11,"PowerCons","xgboost"
"Kats",35,0.866666666666667,11,"PowerCons","xgboost"
"tsfresh",624,0.933333333333333,11,"PowerCons","xgboost"
"FFT (Mag^2 + Angle) + quantiles",247,0.861111111111111,11,"PowerCons","xgboost"
"Quantiles",101,0.811111111111111,11,"PowerCons","xgboost"
"FFT coef. (Mag^2 + Angle)",146,0.894444444444444,11,"PowerCons","xgboost"
"catch22",22,0.883333333333333,12,"PowerCons","xgboost"
"feasts",37,0.861111111111111,12,"PowerCons","xgboost"
"tsfeatures",59,0.866666666666667,12,"PowerCons","xgboost"
"TSFEL",144,0.911111111111111,12,"PowerCons","xgboost"
"Kats",35,0.883333333333333,12,"PowerCons","xgboost"
"tsfresh",625,0.933333333333333,12,"PowerCons","xgboost"
"FFT (Mag^2 + Angle) + quantiles",247,0.894444444444444,12,"PowerCons","xgboost"
"Quantiles",101,0.872222222222222,12,"PowerCons","xgboost"
"FFT coef. (Mag^2 + Angle)",146,0.877777777777778,12,"PowerCons","xgboost"
"catch22",22,0.877777777777778,13,"PowerCons","xgboost"
"feasts",37,0.872222222222222,13,"PowerCons","xgboost"
"tsfeatures",59,0.894444444444444,13,"PowerCons","xgboost"
"TSFEL",144,0.922222222222222,13,"PowerCons","xgboost"
