"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.848797250859107,1,"ProximalPhalanxOutlineCorrect","xgboost"
"feasts",34,0.831615120274914,1,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.879725085910653,1,"ProximalPhalanxOutlineCorrect","xgboost"
"TSFEL",141,0.872852233676976,1,"ProximalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.84192439862543,1,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfresh",481,0.907216494845361,1,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.883161512027491,1,"ProximalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.855670103092783,1,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.88659793814433,1,"ProximalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.81786941580756,2,"ProximalPhalanxOutlineCorrect","xgboost"
"feasts",34,0.831615120274914,2,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.831615120274914,2,"ProximalPhalanxOutlineCorrect","xgboost"
"TSFEL",141,0.859106529209622,2,"ProximalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.852233676975945,2,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfresh",480,0.865979381443299,2,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.84192439862543,2,"ProximalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.855670103092783,2,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.855670103092783,2,"ProximalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.852233676975945,3,"ProximalPhalanxOutlineCorrect","xgboost"
"feasts",34,0.845360824742268,3,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.828178694158076,3,"ProximalPhalanxOutlineCorrect","xgboost"
"TSFEL",141,0.869415807560137,3,"ProximalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.86254295532646,3,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfresh",481,0.88659793814433,3,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.872852233676976,3,"ProximalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.845360824742268,3,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.893470790378007,3,"ProximalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.814432989690722,4,"ProximalPhalanxOutlineCorrect","xgboost"
"feasts",34,0.824742268041237,4,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.824742268041237,4,"ProximalPhalanxOutlineCorrect","xgboost"
"TSFEL",141,0.893470790378007,4,"ProximalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.845360824742268,4,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfresh",481,0.869415807560137,4,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.872852233676976,4,"ProximalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.835051546391753,4,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.879725085910653,4,"ProximalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.835051546391753,5,"ProximalPhalanxOutlineCorrect","xgboost"
"feasts",34,0.855670103092783,5,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.859106529209622,5,"ProximalPhalanxOutlineCorrect","xgboost"
"TSFEL",141,0.900343642611684,5,"ProximalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.865979381443299,5,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfresh",481,0.890034364261168,5,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.903780068728522,5,"ProximalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.86254295532646,5,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.896907216494845,5,"ProximalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.824742268041237,6,"ProximalPhalanxOutlineCorrect","xgboost"
"feasts",34,0.852233676975945,6,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.865979381443299,6,"ProximalPhalanxOutlineCorrect","xgboost"
"TSFEL",141,0.88659793814433,6,"ProximalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.876288659793814,6,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfresh",480,0.890034364261168,6,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.893470790378007,6,"ProximalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.855670103092783,6,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.876288659793814,6,"ProximalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.800687285223368,7,"ProximalPhalanxOutlineCorrect","xgboost"
"feasts",34,0.828178694158076,7,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.824742268041237,7,"ProximalPhalanxOutlineCorrect","xgboost"
"TSFEL",141,0.831615120274914,7,"ProximalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.824742268041237,7,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfresh",481,0.84192439862543,7,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.828178694158076,7,"ProximalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.81786941580756,7,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.810996563573883,7,"ProximalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.797250859106529,8,"ProximalPhalanxOutlineCorrect","xgboost"
"feasts",34,0.845360824742268,8,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.845360824742268,8,"ProximalPhalanxOutlineCorrect","xgboost"
"TSFEL",141,0.865979381443299,8,"ProximalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.824742268041237,8,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfresh",480,0.879725085910653,8,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.845360824742268,8,"ProximalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.807560137457045,8,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.845360824742268,8,"ProximalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.831615120274914,9,"ProximalPhalanxOutlineCorrect","xgboost"
"feasts",34,0.838487972508591,9,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.852233676975945,9,"ProximalPhalanxOutlineCorrect","xgboost"
"TSFEL",141,0.859106529209622,9,"ProximalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.86254295532646,9,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfresh",480,0.838487972508591,9,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.859106529209622,9,"ProximalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.855670103092783,9,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.814432989690722,9,"ProximalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.835051546391753,10,"ProximalPhalanxOutlineCorrect","xgboost"
"feasts",34,0.824742268041237,10,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.869415807560137,10,"ProximalPhalanxOutlineCorrect","xgboost"
"TSFEL",141,0.900343642611684,10,"ProximalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.838487972508591,10,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfresh",481,0.879725085910653,10,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.872852233676976,10,"ProximalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.848797250859107,10,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.852233676975945,10,"ProximalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.810996563573883,11,"ProximalPhalanxOutlineCorrect","xgboost"
"feasts",34,0.831615120274914,11,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.84192439862543,11,"ProximalPhalanxOutlineCorrect","xgboost"
"TSFEL",141,0.883161512027491,11,"ProximalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.848797250859107,11,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfresh",481,0.872852233676976,11,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.879725085910653,11,"ProximalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.86254295532646,11,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.893470790378007,11,"ProximalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.84192439862543,12,"ProximalPhalanxOutlineCorrect","xgboost"
"feasts",34,0.852233676975945,12,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.852233676975945,12,"ProximalPhalanxOutlineCorrect","xgboost"
"TSFEL",141,0.86254295532646,12,"ProximalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.872852233676976,12,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfresh",481,0.865979381443299,12,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.872852233676976,12,"ProximalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.852233676975945,12,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.845360824742268,12,"ProximalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.824742268041237,13,"ProximalPhalanxOutlineCorrect","xgboost"
"feasts",34,0.828178694158076,13,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.845360824742268,13,"ProximalPhalanxOutlineCorrect","xgboost"
"TSFEL",141,0.890034364261168,13,"ProximalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.869415807560137,13,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfresh",480,0.876288659793814,13,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.879725085910653,13,"ProximalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.845360824742268,13,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.86254295532646,13,"ProximalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.824742268041237,14,"ProximalPhalanxOutlineCorrect","xgboost"
"feasts",34,0.835051546391753,14,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.838487972508591,14,"ProximalPhalanxOutlineCorrect","xgboost"
"TSFEL",141,0.876288659793814,14,"ProximalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.872852233676976,14,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfresh",481,0.883161512027491,14,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.879725085910653,14,"ProximalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.865979381443299,14,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.876288659793814,14,"ProximalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.786941580756014,15,"ProximalPhalanxOutlineCorrect","xgboost"
"feasts",34,0.807560137457045,15,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.807560137457045,15,"ProximalPhalanxOutlineCorrect","xgboost"
"TSFEL",141,0.828178694158076,15,"ProximalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.807560137457045,15,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfresh",481,0.831615120274914,15,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.824742268041237,15,"ProximalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.821305841924399,15,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.804123711340206,15,"ProximalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.810996563573883,16,"ProximalPhalanxOutlineCorrect","xgboost"
"feasts",34,0.821305841924399,16,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.845360824742268,16,"ProximalPhalanxOutlineCorrect","xgboost"
"TSFEL",141,0.855670103092783,16,"ProximalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.869415807560137,16,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfresh",480,0.865979381443299,16,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.876288659793814,16,"ProximalPhalanxOutlineCorrect","xgboost"
"Quantiles",101,0.821305841924399,16,"ProximalPhalanxOutlineCorrect","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.859106529209622,16,"ProximalPhalanxOutlineCorrect","xgboost"
"catch22",22,0.807560137457045,17,"ProximalPhalanxOutlineCorrect","xgboost"
"feasts",34,0.86254295532646,17,"ProximalPhalanxOutlineCorrect","xgboost"
"tsfeatures",59,0.855670103092783,17,"ProximalPhalanxOutlineCorrect","xgboost"
"TSFEL",141,0.876288659793814,17,"ProximalPhalanxOutlineCorrect","xgboost"
"Kats",36,0.852233676975945,17,"ProximalPhalanxOutlineCorrect","xgboost"
