"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.736585365853659,1,"ProximalPhalanxTW","xgboost"
"feasts",34,0.785365853658537,1,"ProximalPhalanxTW","xgboost"
"tsfeatures",59,0.780487804878049,1,"ProximalPhalanxTW","xgboost"
"TSFEL",141,0.760975609756098,1,"ProximalPhalanxTW","xgboost"
"Kats",36,0.726829268292683,1,"ProximalPhalanxTW","xgboost"
"tsfresh",479,0.780487804878049,1,"ProximalPhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.795121951219512,1,"ProximalPhalanxTW","xgboost"
"Quantiles",101,0.780487804878049,1,"ProximalPhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.790243902439024,1,"ProximalPhalanxTW","xgboost"
"catch22",22,0.751219512195122,2,"ProximalPhalanxTW","xgboost"
"feasts",34,0.824390243902439,2,"ProximalPhalanxTW","xgboost"
"tsfeatures",59,0.804878048780488,2,"ProximalPhalanxTW","xgboost"
"TSFEL",141,0.824390243902439,2,"ProximalPhalanxTW","xgboost"
"Kats",36,0.736585365853659,2,"ProximalPhalanxTW","xgboost"
"tsfresh",478,0.819512195121951,2,"ProximalPhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.785365853658537,2,"ProximalPhalanxTW","xgboost"
"Quantiles",101,0.780487804878049,2,"ProximalPhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.746341463414634,2,"ProximalPhalanxTW","xgboost"
"catch22",22,0.814634146341463,3,"ProximalPhalanxTW","xgboost"
"feasts",34,0.765853658536585,3,"ProximalPhalanxTW","xgboost"
"tsfeatures",59,0.780487804878049,3,"ProximalPhalanxTW","xgboost"
"TSFEL",141,0.809756097560976,3,"ProximalPhalanxTW","xgboost"
"Kats",36,0.795121951219512,3,"ProximalPhalanxTW","xgboost"
"tsfresh",479,0.785365853658537,3,"ProximalPhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.795121951219512,3,"ProximalPhalanxTW","xgboost"
"Quantiles",101,0.770731707317073,3,"ProximalPhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.780487804878049,3,"ProximalPhalanxTW","xgboost"
"catch22",22,0.760975609756098,4,"ProximalPhalanxTW","xgboost"
"feasts",34,0.785365853658537,4,"ProximalPhalanxTW","xgboost"
"tsfeatures",59,0.785365853658537,4,"ProximalPhalanxTW","xgboost"
"TSFEL",141,0.770731707317073,4,"ProximalPhalanxTW","xgboost"
"Kats",36,0.741463414634146,4,"ProximalPhalanxTW","xgboost"
"tsfresh",478,0.8,4,"ProximalPhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.751219512195122,4,"ProximalPhalanxTW","xgboost"
"Quantiles",101,0.746341463414634,4,"ProximalPhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.790243902439024,4,"ProximalPhalanxTW","xgboost"
"catch22",22,0.785365853658537,5,"ProximalPhalanxTW","xgboost"
"feasts",34,0.8,5,"ProximalPhalanxTW","xgboost"
"tsfeatures",59,0.809756097560976,5,"ProximalPhalanxTW","xgboost"
"TSFEL",141,0.814634146341463,5,"ProximalPhalanxTW","xgboost"
"Kats",36,0.775609756097561,5,"ProximalPhalanxTW","xgboost"
"tsfresh",478,0.839024390243902,5,"ProximalPhalanxTW","xgboost"
"FFT (Mag^2 + Angle) + quantiles",183,0.824390243902439,5,"ProximalPhalanxTW","xgboost"
"Quantiles",101,0.790243902439024,5,"ProximalPhalanxTW","xgboost"
"FFT coef. (Mag^2 + Angle)",82,0.819512195121951,5,"ProximalPhalanxTW","xgboost"
"catch22",22,0.804878048780488,6,"ProximalPhalanxTW","xgboost"
