"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.805333333333333,1,"SmallKitchenAppliances","xgboost"
"feasts",38,0.749333333333333,1,"SmallKitchenAppliances","xgboost"
"tsfeatures",59,0.821333333333333,1,"SmallKitchenAppliances","xgboost"
"TSFEL",145,0.797333333333333,1,"SmallKitchenAppliances","xgboost"
"Kats",36,0.781333333333333,1,"SmallKitchenAppliances","xgboost"
"tsfresh",738,0.832,1,"SmallKitchenAppliances","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.824,1,"SmallKitchenAppliances","xgboost"
"Quantiles",101,0.717333333333333,1,"SmallKitchenAppliances","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.64,1,"SmallKitchenAppliances","xgboost"
"catch22",22,0.805333333333333,2,"SmallKitchenAppliances","xgboost"
"feasts",38,0.765333333333333,2,"SmallKitchenAppliances","xgboost"
"tsfeatures",59,0.805333333333333,2,"SmallKitchenAppliances","xgboost"
"TSFEL",145,0.797333333333333,2,"SmallKitchenAppliances","xgboost"
"Kats",35,0.789333333333333,2,"SmallKitchenAppliances","xgboost"
"tsfresh",737,0.826666666666667,2,"SmallKitchenAppliances","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.768,2,"SmallKitchenAppliances","xgboost"
"Quantiles",101,0.725333333333333,2,"SmallKitchenAppliances","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.648,2,"SmallKitchenAppliances","xgboost"
"catch22",22,0.784,3,"SmallKitchenAppliances","xgboost"
"feasts",38,0.768,3,"SmallKitchenAppliances","xgboost"
"tsfeatures",59,0.821333333333333,3,"SmallKitchenAppliances","xgboost"
"TSFEL",144,0.821333333333333,3,"SmallKitchenAppliances","xgboost"
"Kats",35,0.792,3,"SmallKitchenAppliances","xgboost"
"tsfresh",738,0.821333333333333,3,"SmallKitchenAppliances","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.792,3,"SmallKitchenAppliances","xgboost"
"Quantiles",101,0.746666666666667,3,"SmallKitchenAppliances","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.637333333333333,3,"SmallKitchenAppliances","xgboost"
"catch22",22,0.818666666666667,4,"SmallKitchenAppliances","xgboost"
"feasts",38,0.776,4,"SmallKitchenAppliances","xgboost"
"tsfeatures",59,0.818666666666667,4,"SmallKitchenAppliances","xgboost"
"TSFEL",145,0.858666666666667,4,"SmallKitchenAppliances","xgboost"
"Kats",35,0.797333333333333,4,"SmallKitchenAppliances","xgboost"
"tsfresh",737,0.824,4,"SmallKitchenAppliances","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.808,4,"SmallKitchenAppliances","xgboost"
"Quantiles",101,0.741333333333333,4,"SmallKitchenAppliances","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.664,4,"SmallKitchenAppliances","xgboost"
"catch22",22,0.818666666666667,5,"SmallKitchenAppliances","xgboost"
"feasts",38,0.789333333333333,5,"SmallKitchenAppliances","xgboost"
"tsfeatures",59,0.837333333333333,5,"SmallKitchenAppliances","xgboost"
"TSFEL",145,0.816,5,"SmallKitchenAppliances","xgboost"
"Kats",35,0.818666666666667,5,"SmallKitchenAppliances","xgboost"
"tsfresh",737,0.858666666666667,5,"SmallKitchenAppliances","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.805333333333333,5,"SmallKitchenAppliances","xgboost"
"Quantiles",101,0.709333333333333,5,"SmallKitchenAppliances","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.666666666666667,5,"SmallKitchenAppliances","xgboost"
"catch22",22,0.781333333333333,6,"SmallKitchenAppliances","xgboost"
"feasts",38,0.765333333333333,6,"SmallKitchenAppliances","xgboost"
"tsfeatures",59,0.837333333333333,6,"SmallKitchenAppliances","xgboost"
"TSFEL",145,0.826666666666667,6,"SmallKitchenAppliances","xgboost"
"Kats",35,0.816,6,"SmallKitchenAppliances","xgboost"
"tsfresh",738,0.816,6,"SmallKitchenAppliances","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.792,6,"SmallKitchenAppliances","xgboost"
"Quantiles",101,0.725333333333333,6,"SmallKitchenAppliances","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.632,6,"SmallKitchenAppliances","xgboost"
"catch22",22,0.8,7,"SmallKitchenAppliances","xgboost"
"feasts",38,0.749333333333333,7,"SmallKitchenAppliances","xgboost"
"tsfeatures",59,0.813333333333333,7,"SmallKitchenAppliances","xgboost"
"TSFEL",145,0.824,7,"SmallKitchenAppliances","xgboost"
"Kats",35,0.832,7,"SmallKitchenAppliances","xgboost"
"tsfresh",738,0.818666666666667,7,"SmallKitchenAppliances","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.778666666666667,7,"SmallKitchenAppliances","xgboost"
"Quantiles",101,0.757333333333333,7,"SmallKitchenAppliances","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.658666666666667,7,"SmallKitchenAppliances","xgboost"
"catch22",22,0.805333333333333,8,"SmallKitchenAppliances","xgboost"
"feasts",38,0.781333333333333,8,"SmallKitchenAppliances","xgboost"
"tsfeatures",59,0.805333333333333,8,"SmallKitchenAppliances","xgboost"
"TSFEL",145,0.810666666666667,8,"SmallKitchenAppliances","xgboost"
"Kats",36,0.8,8,"SmallKitchenAppliances","xgboost"
"tsfresh",737,0.837333333333333,8,"SmallKitchenAppliances","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.789333333333333,8,"SmallKitchenAppliances","xgboost"
"Quantiles",101,0.752,8,"SmallKitchenAppliances","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.64,8,"SmallKitchenAppliances","xgboost"
"catch22",22,0.813333333333333,9,"SmallKitchenAppliances","xgboost"
"feasts",38,0.794666666666667,9,"SmallKitchenAppliances","xgboost"
"tsfeatures",59,0.848,9,"SmallKitchenAppliances","xgboost"
"TSFEL",145,0.842666666666667,9,"SmallKitchenAppliances","xgboost"
"Kats",35,0.837333333333333,9,"SmallKitchenAppliances","xgboost"
"tsfresh",738,0.826666666666667,9,"SmallKitchenAppliances","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.797333333333333,9,"SmallKitchenAppliances","xgboost"
"Quantiles",101,0.752,9,"SmallKitchenAppliances","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.637333333333333,9,"SmallKitchenAppliances","xgboost"
"catch22",22,0.805333333333333,10,"SmallKitchenAppliances","xgboost"
"feasts",38,0.776,10,"SmallKitchenAppliances","xgboost"
"tsfeatures",59,0.842666666666667,10,"SmallKitchenAppliances","xgboost"
"TSFEL",144,0.821333333333333,10,"SmallKitchenAppliances","xgboost"
"Kats",36,0.84,10,"SmallKitchenAppliances","xgboost"
"tsfresh",742,0.829333333333333,10,"SmallKitchenAppliances","xgboost"
