"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.774874371859297,1,"Symbols","xgboost"
"feasts",37,0.78894472361809,1,"Symbols","xgboost"
"tsfeatures",59,0.885427135678392,1,"Symbols","xgboost"
"TSFEL",144,0.777889447236181,1,"Symbols","xgboost"
"Kats",36,0.855276381909548,1,"Symbols","xgboost"
"tsfresh",725,0.765829145728643,1,"Symbols","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.592964824120603,1,"Symbols","xgboost"
"Quantiles",101,0.491457286432161,1,"Symbols","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.623115577889447,1,"Symbols","xgboost"
"catch22",22,0.882412060301508,2,"Symbols","xgboost"
"feasts",37,0.830150753768844,2,"Symbols","xgboost"
"tsfeatures",59,0.883417085427136,2,"Symbols","xgboost"
"TSFEL",144,0.830150753768844,2,"Symbols","xgboost"
"Kats",36,0.904522613065327,2,"Symbols","xgboost"
"tsfresh",725,0.864321608040201,2,"Symbols","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.70251256281407,2,"Symbols","xgboost"
"Quantiles",101,0.550753768844221,2,"Symbols","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.716582914572864,2,"Symbols","xgboost"
"catch22",22,0.817085427135678,3,"Symbols","xgboost"
"feasts",37,0.84321608040201,3,"Symbols","xgboost"
"tsfeatures",59,0.754773869346734,3,"Symbols","xgboost"
"TSFEL",144,0.721608040201005,3,"Symbols","xgboost"
"Kats",36,0.721608040201005,3,"Symbols","xgboost"
"tsfresh",725,0.815075376884422,3,"Symbols","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.647236180904523,3,"Symbols","xgboost"
"Quantiles",101,0.532663316582915,3,"Symbols","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.652261306532663,3,"Symbols","xgboost"
"catch22",22,0.831155778894472,4,"Symbols","xgboost"
"feasts",37,0.867336683417085,4,"Symbols","xgboost"
"tsfeatures",59,0.817085427135678,4,"Symbols","xgboost"
"TSFEL",144,0.620100502512563,4,"Symbols","xgboost"
"Kats",36,0.912562814070352,4,"Symbols","xgboost"
"tsfresh",726,0.804020100502513,4,"Symbols","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.709547738693467,4,"Symbols","xgboost"
"Quantiles",101,0.483417085427136,4,"Symbols","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.65427135678392,4,"Symbols","xgboost"
"catch22",22,0.910552763819095,5,"Symbols","xgboost"
