"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.769230769230769,1,"ToeSegmentation2","xgboost"
"feasts",37,0.715384615384615,1,"ToeSegmentation2","xgboost"
"tsfeatures",59,0.776923076923077,1,"ToeSegmentation2","xgboost"
"TSFEL",144,0.823076923076923,1,"ToeSegmentation2","xgboost"
"Kats",36,0.715384615384615,1,"ToeSegmentation2","xgboost"
"tsfresh",730,0.823076923076923,1,"ToeSegmentation2","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.692307692307692,1,"ToeSegmentation2","xgboost"
"Quantiles",101,0.630769230769231,1,"ToeSegmentation2","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.707692307692308,1,"ToeSegmentation2","xgboost"
"catch22",22,0.676923076923077,2,"ToeSegmentation2","xgboost"
"feasts",37,0.607692307692308,2,"ToeSegmentation2","xgboost"
"tsfeatures",59,0.623076923076923,2,"ToeSegmentation2","xgboost"
"TSFEL",144,0.823076923076923,2,"ToeSegmentation2","xgboost"
"Kats",36,0.707692307692308,2,"ToeSegmentation2","xgboost"
"tsfresh",733,0.869230769230769,2,"ToeSegmentation2","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.792307692307692,2,"ToeSegmentation2","xgboost"
"Quantiles",101,0.7,2,"ToeSegmentation2","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.746153846153846,2,"ToeSegmentation2","xgboost"
"catch22",22,0.815384615384615,3,"ToeSegmentation2","xgboost"
"feasts",37,0.638461538461538,3,"ToeSegmentation2","xgboost"
"tsfeatures",59,0.692307692307692,3,"ToeSegmentation2","xgboost"
"TSFEL",144,0.807692307692308,3,"ToeSegmentation2","xgboost"
"Kats",36,0.761538461538461,3,"ToeSegmentation2","xgboost"
"tsfresh",732,0.892307692307692,3,"ToeSegmentation2","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.7,3,"ToeSegmentation2","xgboost"
"Quantiles",101,0.676923076923077,3,"ToeSegmentation2","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.669230769230769,3,"ToeSegmentation2","xgboost"
"catch22",22,0.815384615384615,4,"ToeSegmentation2","xgboost"
"feasts",37,0.684615384615385,4,"ToeSegmentation2","xgboost"
"tsfeatures",59,0.753846153846154,4,"ToeSegmentation2","xgboost"
"TSFEL",144,0.823076923076923,4,"ToeSegmentation2","xgboost"
"Kats",36,0.561538461538462,4,"ToeSegmentation2","xgboost"
"tsfresh",733,0.807692307692308,4,"ToeSegmentation2","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.607692307692308,4,"ToeSegmentation2","xgboost"
"Quantiles",101,0.653846153846154,4,"ToeSegmentation2","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.6,4,"ToeSegmentation2","xgboost"
"catch22",22,0.784615384615385,5,"ToeSegmentation2","xgboost"
"feasts",37,0.807692307692308,5,"ToeSegmentation2","xgboost"
"tsfeatures",59,0.838461538461538,5,"ToeSegmentation2","xgboost"
