"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",21,0.93,1,"Trace","xgboost"
"feasts",37,1,1,"Trace","xgboost"
"tsfeatures",59,1,1,"Trace","xgboost"
"TSFEL",141,0.94,1,"Trace","xgboost"
"Kats",35,0.99,1,"Trace","xgboost"
"tsfresh",733,0.97,1,"Trace","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.95,1,"Trace","xgboost"
"Quantiles",101,0.95,1,"Trace","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.95,1,"Trace","xgboost"
"catch22",21,0.98,2,"Trace","xgboost"
"feasts",37,0.99,2,"Trace","xgboost"
"tsfeatures",59,1,2,"Trace","xgboost"
"TSFEL",142,0.99,2,"Trace","xgboost"
"Kats",35,0.99,2,"Trace","xgboost"
"tsfresh",739,0.97,2,"Trace","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.98,2,"Trace","xgboost"
"Quantiles",101,0.96,2,"Trace","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.99,2,"Trace","xgboost"
"catch22",21,0.91,3,"Trace","xgboost"
"feasts",37,0.99,3,"Trace","xgboost"
"tsfeatures",59,0.99,3,"Trace","xgboost"
"TSFEL",142,0.94,3,"Trace","xgboost"
"Kats",35,0.98,3,"Trace","xgboost"
"tsfresh",739,0.99,3,"Trace","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.99,3,"Trace","xgboost"
"Quantiles",101,0.96,3,"Trace","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.89,3,"Trace","xgboost"
"catch22",21,0.98,4,"Trace","xgboost"
"feasts",37,0.98,4,"Trace","xgboost"
"tsfeatures",59,0.99,4,"Trace","xgboost"
"TSFEL",141,0.99,4,"Trace","xgboost"
"Kats",35,0.97,4,"Trace","xgboost"
"tsfresh",733,1,4,"Trace","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.98,4,"Trace","xgboost"
"Quantiles",101,0.95,4,"Trace","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.97,4,"Trace","xgboost"
"catch22",21,0.94,5,"Trace","xgboost"
"feasts",37,0.99,5,"Trace","xgboost"
"tsfeatures",59,1,5,"Trace","xgboost"
"TSFEL",141,0.93,5,"Trace","xgboost"
"Kats",35,0.95,5,"Trace","xgboost"
"tsfresh",733,1,5,"Trace","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.99,5,"Trace","xgboost"
"Quantiles",101,0.9,5,"Trace","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.89,5,"Trace","xgboost"
"catch22",21,0.98,6,"Trace","xgboost"
"feasts",37,0.99,6,"Trace","xgboost"
"tsfeatures",59,0.99,6,"Trace","xgboost"
"TSFEL",141,1,6,"Trace","xgboost"
"Kats",35,1,6,"Trace","xgboost"
"tsfresh",733,0.99,6,"Trace","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.98,6,"Trace","xgboost"
"Quantiles",101,0.99,6,"Trace","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.91,6,"Trace","xgboost"
"catch22",21,0.98,7,"Trace","xgboost"
"feasts",37,0.93,7,"Trace","xgboost"
"tsfeatures",59,0.93,7,"Trace","xgboost"
"TSFEL",141,0.97,7,"Trace","xgboost"
"Kats",35,0.91,7,"Trace","xgboost"
"tsfresh",733,0.94,7,"Trace","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.93,7,"Trace","xgboost"
"Quantiles",101,0.91,7,"Trace","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.9,7,"Trace","xgboost"
"catch22",21,0.95,8,"Trace","xgboost"
"feasts",37,0.96,8,"Trace","xgboost"
"tsfeatures",59,0.97,8,"Trace","xgboost"
"TSFEL",142,1,8,"Trace","xgboost"
"Kats",35,0.96,8,"Trace","xgboost"
"tsfresh",739,0.95,8,"Trace","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.99,8,"Trace","xgboost"
"Quantiles",101,0.98,8,"Trace","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.89,8,"Trace","xgboost"
"catch22",21,0.97,9,"Trace","xgboost"
"feasts",37,0.95,9,"Trace","xgboost"
"tsfeatures",59,0.94,9,"Trace","xgboost"
"TSFEL",141,0.93,9,"Trace","xgboost"
