"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.697934115019542,1,"UWaveGestureLibraryY","xgboost"
"feasts",37,0.708821887213847,1,"UWaveGestureLibraryY","xgboost"
"tsfeatures",59,0.738414293690676,1,"UWaveGestureLibraryY","xgboost"
"TSFEL",146,0.733109994416527,1,"UWaveGestureLibraryY","xgboost"
"Kats",36,0.638190954773869,1,"UWaveGestureLibraryY","xgboost"
"tsfresh",740,0.755443886097152,1,"UWaveGestureLibraryY","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.674762702400893,1,"UWaveGestureLibraryY","xgboost"
"Quantiles",101,0.358738135120045,1,"UWaveGestureLibraryY","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.663874930206588,1,"UWaveGestureLibraryY","xgboost"
"catch22",22,0.689838079285315,2,"UWaveGestureLibraryY","xgboost"
"feasts",37,0.702121719709659,2,"UWaveGestureLibraryY","xgboost"
"tsfeatures",59,0.730039084310441,2,"UWaveGestureLibraryY","xgboost"
"TSFEL",146,0.722780569514238,2,"UWaveGestureLibraryY","xgboost"
"Kats",36,0.616136236739252,2,"UWaveGestureLibraryY","xgboost"
"tsfresh",736,0.757677275265215,2,"UWaveGestureLibraryY","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.668900055834729,2,"UWaveGestureLibraryY","xgboost"
"Quantiles",101,0.371021775544389,2,"UWaveGestureLibraryY","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.66750418760469,2,"UWaveGestureLibraryY","xgboost"
"catch22",22,0.70072585147962,3,"UWaveGestureLibraryY","xgboost"
"feasts",37,0.710217755443886,3,"UWaveGestureLibraryY","xgboost"
"tsfeatures",59,0.736180904522613,3,"UWaveGestureLibraryY","xgboost"
"TSFEL",146,0.715242881072027,3,"UWaveGestureLibraryY","xgboost"
"Kats",36,0.629257398101619,3,"UWaveGestureLibraryY","xgboost"
"tsfresh",741,0.746510329424902,3,"UWaveGestureLibraryY","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.665829145728643,3,"UWaveGestureLibraryY","xgboost"
"Quantiles",101,0.359017308766052,3,"UWaveGestureLibraryY","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.663595756560581,3,"UWaveGestureLibraryY","xgboost"
"catch22",22,0.682021217197097,4,"UWaveGestureLibraryY","xgboost"
"feasts",36,0.701842546063652,4,"UWaveGestureLibraryY","xgboost"
"tsfeatures",59,0.718313791178113,4,"UWaveGestureLibraryY","xgboost"
"TSFEL",146,0.707984366275824,4,"UWaveGestureLibraryY","xgboost"
"Kats",36,0.614182021217197,4,"UWaveGestureLibraryY","xgboost"
"tsfresh",736,0.745393634840871,4,"UWaveGestureLibraryY","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.667783361250698,4,"UWaveGestureLibraryY","xgboost"
"Quantiles",101,0.37213847012842,4,"UWaveGestureLibraryY","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.664433277498604,4,"UWaveGestureLibraryY","xgboost"
"catch22",22,0.706867671691792,5,"UWaveGestureLibraryY","xgboost"
"feasts",36,0.710217755443886,5,"UWaveGestureLibraryY","xgboost"
"tsfeatures",59,0.730597431602457,5,"UWaveGestureLibraryY","xgboost"
"TSFEL",146,0.713288665549972,5,"UWaveGestureLibraryY","xgboost"
"Kats",36,0.623394751535455,5,"UWaveGestureLibraryY","xgboost"
"tsfresh",735,0.736739251814629,5,"UWaveGestureLibraryY","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.669737576772753,5,"UWaveGestureLibraryY","xgboost"
"Quantiles",101,0.369905080960357,5,"UWaveGestureLibraryY","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.657733109994416,5,"UWaveGestureLibraryY","xgboost"
"catch22",22,0.694863204913456,6,"UWaveGestureLibraryY","xgboost"
"feasts",37,0.695421552205472,6,"UWaveGestureLibraryY","xgboost"
"tsfeatures",59,0.721105527638191,6,"UWaveGestureLibraryY","xgboost"
"TSFEL",146,0.722780569514238,6,"UWaveGestureLibraryY","xgboost"
"Kats",36,0.608598548297041,6,"UWaveGestureLibraryY","xgboost"
"tsfresh",734,0.752652149637074,6,"UWaveGestureLibraryY","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.659128978224456,6,"UWaveGestureLibraryY","xgboost"
"Quantiles",101,0.371300949190396,6,"UWaveGestureLibraryY","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.663874930206588,6,"UWaveGestureLibraryY","xgboost"
"catch22",22,0.689000558347292,7,"UWaveGestureLibraryY","xgboost"
"feasts",36,0.69179229480737,7,"UWaveGestureLibraryY","xgboost"
"tsfeatures",59,0.718034617532105,7,"UWaveGestureLibraryY","xgboost"
"TSFEL",146,0.707426018983808,7,"UWaveGestureLibraryY","xgboost"
"Kats",36,0.62283640424344,7,"UWaveGestureLibraryY","xgboost"
"tsfresh",740,0.748464544946957,7,"UWaveGestureLibraryY","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.64963707426019,7,"UWaveGestureLibraryY","xgboost"
"Quantiles",101,0.363763260748185,7,"UWaveGestureLibraryY","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.647403685092127,7,"UWaveGestureLibraryY","xgboost"
"catch22",22,0.686487995533222,8,"UWaveGestureLibraryY","xgboost"
"feasts",36,0.702400893355667,8,"UWaveGestureLibraryY","xgboost"
"tsfeatures",59,0.728643216080402,8,"UWaveGestureLibraryY","xgboost"
"TSFEL",146,0.718034617532105,8,"UWaveGestureLibraryY","xgboost"
"Kats",36,0.623394751535455,8,"UWaveGestureLibraryY","xgboost"
"tsfresh",736,0.763260748185371,8,"UWaveGestureLibraryY","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.672529313232831,8,"UWaveGestureLibraryY","xgboost"
"Quantiles",101,0.365159128978224,8,"UWaveGestureLibraryY","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.662479061976549,8,"UWaveGestureLibraryY","xgboost"
"catch22",22,0.692908989391401,9,"UWaveGestureLibraryY","xgboost"
"feasts",36,0.713288665549972,9,"UWaveGestureLibraryY","xgboost"
"tsfeatures",59,0.727526521496371,9,"UWaveGestureLibraryY","xgboost"
"TSFEL",146,0.721663874930207,9,"UWaveGestureLibraryY","xgboost"
"Kats",36,0.62283640424344,9,"UWaveGestureLibraryY","xgboost"
"tsfresh",736,0.757677275265215,9,"UWaveGestureLibraryY","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.687604690117253,9,"UWaveGestureLibraryY","xgboost"
"Quantiles",101,0.371859296482412,9,"UWaveGestureLibraryY","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.668341708542714,9,"UWaveGestureLibraryY","xgboost"
"catch22",22,0.692071468453378,10,"UWaveGestureLibraryY","xgboost"
"feasts",36,0.694584031267448,10,"UWaveGestureLibraryY","xgboost"
"tsfeatures",59,0.737576772752652,10,"UWaveGestureLibraryY","xgboost"
"TSFEL",146,0.717755443886097,10,"UWaveGestureLibraryY","xgboost"
"Kats",36,0.615298715801228,10,"UWaveGestureLibraryY","xgboost"
"tsfresh",737,0.747627024008934,10,"UWaveGestureLibraryY","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.669179229480737,10,"UWaveGestureLibraryY","xgboost"
"Quantiles",101,0.348408710217755,10,"UWaveGestureLibraryY","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.656616415410385,10,"UWaveGestureLibraryY","xgboost"
"catch22",22,0.687604690117253,11,"UWaveGestureLibraryY","xgboost"
"feasts",37,0.704355108877722,11,"UWaveGestureLibraryY","xgboost"
"tsfeatures",59,0.733389168062535,11,"UWaveGestureLibraryY","xgboost"
"TSFEL",146,0.715242881072027,11,"UWaveGestureLibraryY","xgboost"
"Kats",36,0.618090452261307,11,"UWaveGestureLibraryY","xgboost"
"tsfresh",740,0.751256281407035,11,"UWaveGestureLibraryY","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.668620882188721,11,"UWaveGestureLibraryY","xgboost"
"Quantiles",101,0.371580122836404,11,"UWaveGestureLibraryY","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.657733109994416,11,"UWaveGestureLibraryY","xgboost"
"catch22",22,0.70463428252373,12,"UWaveGestureLibraryY","xgboost"
