"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.779220779220779,1,"WormsTwoClass","xgboost"
"feasts",37,0.844155844155844,1,"WormsTwoClass","xgboost"
"tsfeatures",59,0.831168831168831,1,"WormsTwoClass","xgboost"
"TSFEL",144,0.844155844155844,1,"WormsTwoClass","xgboost"
"Kats",36,0.883116883116883,1,"WormsTwoClass","xgboost"
"tsfresh",731,0.792207792207792,1,"WormsTwoClass","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.74025974025974,1,"WormsTwoClass","xgboost"
"Quantiles",101,0.623376623376623,1,"WormsTwoClass","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.805194805194805,1,"WormsTwoClass","xgboost"
"catch22",22,0.766233766233766,2,"WormsTwoClass","xgboost"
"feasts",37,0.727272727272727,2,"WormsTwoClass","xgboost"
"tsfeatures",59,0.753246753246753,2,"WormsTwoClass","xgboost"
"TSFEL",144,0.701298701298701,2,"WormsTwoClass","xgboost"
"Kats",36,0.753246753246753,2,"WormsTwoClass","xgboost"
"tsfresh",731,0.727272727272727,2,"WormsTwoClass","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.701298701298701,2,"WormsTwoClass","xgboost"
"Quantiles",101,0.636363636363636,2,"WormsTwoClass","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.675324675324675,2,"WormsTwoClass","xgboost"
"catch22",22,0.831168831168831,3,"WormsTwoClass","xgboost"
"feasts",37,0.805194805194805,3,"WormsTwoClass","xgboost"
"tsfeatures",59,0.831168831168831,3,"WormsTwoClass","xgboost"
"TSFEL",144,0.818181818181818,3,"WormsTwoClass","xgboost"
"Kats",36,0.792207792207792,3,"WormsTwoClass","xgboost"
"tsfresh",731,0.792207792207792,3,"WormsTwoClass","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.779220779220779,3,"WormsTwoClass","xgboost"
"Quantiles",101,0.662337662337662,3,"WormsTwoClass","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.714285714285714,3,"WormsTwoClass","xgboost"
"catch22",22,0.792207792207792,4,"WormsTwoClass","xgboost"
"feasts",37,0.753246753246753,4,"WormsTwoClass","xgboost"
"tsfeatures",59,0.805194805194805,4,"WormsTwoClass","xgboost"
"TSFEL",144,0.766233766233766,4,"WormsTwoClass","xgboost"
"Kats",36,0.753246753246753,4,"WormsTwoClass","xgboost"
"tsfresh",731,0.818181818181818,4,"WormsTwoClass","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.805194805194805,4,"WormsTwoClass","xgboost"
"Quantiles",101,0.636363636363636,4,"WormsTwoClass","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.766233766233766,4,"WormsTwoClass","xgboost"
"catch22",22,0.753246753246753,5,"WormsTwoClass","xgboost"
"feasts",37,0.805194805194805,5,"WormsTwoClass","xgboost"
"tsfeatures",59,0.805194805194805,5,"WormsTwoClass","xgboost"
"TSFEL",144,0.766233766233766,5,"WormsTwoClass","xgboost"
"Kats",36,0.779220779220779,5,"WormsTwoClass","xgboost"
"tsfresh",736,0.779220779220779,5,"WormsTwoClass","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.714285714285714,5,"WormsTwoClass","xgboost"
"Quantiles",101,0.61038961038961,5,"WormsTwoClass","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.701298701298701,5,"WormsTwoClass","xgboost"
"catch22",22,0.753246753246753,6,"WormsTwoClass","xgboost"
"feasts",37,0.74025974025974,6,"WormsTwoClass","xgboost"
"tsfeatures",59,0.818181818181818,6,"WormsTwoClass","xgboost"
"TSFEL",144,0.844155844155844,6,"WormsTwoClass","xgboost"
"Kats",36,0.792207792207792,6,"WormsTwoClass","xgboost"
"tsfresh",731,0.831168831168831,6,"WormsTwoClass","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.766233766233766,6,"WormsTwoClass","xgboost"
"Quantiles",101,0.753246753246753,6,"WormsTwoClass","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.701298701298701,6,"WormsTwoClass","xgboost"
"catch22",22,0.714285714285714,7,"WormsTwoClass","xgboost"
"feasts",37,0.779220779220779,7,"WormsTwoClass","xgboost"
"tsfeatures",59,0.831168831168831,7,"WormsTwoClass","xgboost"
"TSFEL",144,0.766233766233766,7,"WormsTwoClass","xgboost"
"Kats",36,0.766233766233766,7,"WormsTwoClass","xgboost"
"tsfresh",731,0.74025974025974,7,"WormsTwoClass","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.688311688311688,7,"WormsTwoClass","xgboost"
"Quantiles",101,0.649350649350649,7,"WormsTwoClass","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.701298701298701,7,"WormsTwoClass","xgboost"
"catch22",22,0.818181818181818,8,"WormsTwoClass","xgboost"
"feasts",37,0.818181818181818,8,"WormsTwoClass","xgboost"
"tsfeatures",59,0.844155844155844,8,"WormsTwoClass","xgboost"
"TSFEL",144,0.844155844155844,8,"WormsTwoClass","xgboost"
"Kats",36,0.883116883116883,8,"WormsTwoClass","xgboost"
"tsfresh",736,0.805194805194805,8,"WormsTwoClass","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.662337662337662,8,"WormsTwoClass","xgboost"
"Quantiles",101,0.571428571428571,8,"WormsTwoClass","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.688311688311688,8,"WormsTwoClass","xgboost"
"catch22",22,0.727272727272727,9,"WormsTwoClass","xgboost"
"feasts",37,0.792207792207792,9,"WormsTwoClass","xgboost"
"tsfeatures",59,0.857142857142857,9,"WormsTwoClass","xgboost"
"TSFEL",144,0.766233766233766,9,"WormsTwoClass","xgboost"
"Kats",36,0.805194805194805,9,"WormsTwoClass","xgboost"
"tsfresh",731,0.779220779220779,9,"WormsTwoClass","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.714285714285714,9,"WormsTwoClass","xgboost"
"Quantiles",101,0.584415584415584,9,"WormsTwoClass","xgboost"
"FFT coef. (Mag^2 + Angle)",200,0.675324675324675,9,"WormsTwoClass","xgboost"
