"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.965753424657534,1,"AconityMINIPrinterSmall","xgboost"
"feasts",39,0.972602739726027,1,"AconityMINIPrinterSmall","xgboost"
"tsfeatures",57,0.969178082191781,1,"AconityMINIPrinterSmall","xgboost"
"TSFEL",144,0.972602739726027,1,"AconityMINIPrinterSmall","xgboost"
"Kats",36,0.979452054794521,1,"AconityMINIPrinterSmall","xgboost"
"tsfresh",731,0.976027397260274,1,"AconityMINIPrinterSmall","xgboost"
"quantiles",101,0.921232876712329,1,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.965753424657534,1,"AconityMINIPrinterSmall","xgboost"
"FFT coefficients",399,0.958904109589041,1,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.962328767123288,1,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im) + quantiles",300,0.958904109589041,1,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.965753424657534,1,"AconityMINIPrinterSmall","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.965753424657534,1,"AconityMINIPrinterSmall","xgboost"
"catch22",22,0.965753424657534,2,"AconityMINIPrinterSmall","xgboost"
"feasts",39,0.969178082191781,2,"AconityMINIPrinterSmall","xgboost"
"tsfeatures",57,0.976027397260274,2,"AconityMINIPrinterSmall","xgboost"
"TSFEL",144,0.976027397260274,2,"AconityMINIPrinterSmall","xgboost"
"Kats",36,0.972602739726027,2,"AconityMINIPrinterSmall","xgboost"
"tsfresh",731,0.979452054794521,2,"AconityMINIPrinterSmall","xgboost"
"quantiles",101,0.900684931506849,2,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.962328767123288,2,"AconityMINIPrinterSmall","xgboost"
"FFT coefficients",399,0.955479452054795,2,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.969178082191781,2,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im) + quantiles",300,0.945205479452055,2,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.958904109589041,2,"AconityMINIPrinterSmall","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.958904109589041,2,"AconityMINIPrinterSmall","xgboost"
"catch22",22,0.965753424657534,3,"AconityMINIPrinterSmall","xgboost"
"feasts",39,0.962328767123288,3,"AconityMINIPrinterSmall","xgboost"
"tsfeatures",57,0.965753424657534,3,"AconityMINIPrinterSmall","xgboost"
"TSFEL",144,0.969178082191781,3,"AconityMINIPrinterSmall","xgboost"
"Kats",36,0.976027397260274,3,"AconityMINIPrinterSmall","xgboost"
"tsfresh",731,0.979452054794521,3,"AconityMINIPrinterSmall","xgboost"
"quantiles",101,0.900684931506849,3,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.962328767123288,3,"AconityMINIPrinterSmall","xgboost"
"FFT coefficients",399,0.938356164383562,3,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.938356164383562,3,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im) + quantiles",300,0.934931506849315,3,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.965753424657534,3,"AconityMINIPrinterSmall","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.962328767123288,3,"AconityMINIPrinterSmall","xgboost"
"catch22",22,0.945205479452055,4,"AconityMINIPrinterSmall","xgboost"
"feasts",39,0.945205479452055,4,"AconityMINIPrinterSmall","xgboost"
"tsfeatures",57,0.945205479452055,4,"AconityMINIPrinterSmall","xgboost"
"TSFEL",144,0.952054794520548,4,"AconityMINIPrinterSmall","xgboost"
"Kats",36,0.958904109589041,4,"AconityMINIPrinterSmall","xgboost"
"tsfresh",732,0.952054794520548,4,"AconityMINIPrinterSmall","xgboost"
"quantiles",101,0.904109589041096,4,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.945205479452055,4,"AconityMINIPrinterSmall","xgboost"
"FFT coefficients",399,0.941780821917808,4,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.938356164383562,4,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im) + quantiles",300,0.931506849315068,4,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.945205479452055,4,"AconityMINIPrinterSmall","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.945205479452055,4,"AconityMINIPrinterSmall","xgboost"
"catch22",22,0.972602739726027,5,"AconityMINIPrinterSmall","xgboost"
"feasts",39,0.982876712328767,5,"AconityMINIPrinterSmall","xgboost"
"tsfeatures",57,0.976027397260274,5,"AconityMINIPrinterSmall","xgboost"
"TSFEL",144,0.979452054794521,5,"AconityMINIPrinterSmall","xgboost"
"Kats",36,0.982876712328767,5,"AconityMINIPrinterSmall","xgboost"
"tsfresh",731,0.982876712328767,5,"AconityMINIPrinterSmall","xgboost"
"quantiles",101,0.931506849315068,5,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.969178082191781,5,"AconityMINIPrinterSmall","xgboost"
"FFT coefficients",399,0.969178082191781,5,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.965753424657534,5,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im) + quantiles",300,0.965753424657534,5,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.969178082191781,5,"AconityMINIPrinterSmall","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.969178082191781,5,"AconityMINIPrinterSmall","xgboost"
"catch22",22,0.952054794520548,6,"AconityMINIPrinterSmall","xgboost"
"feasts",39,0.955479452054795,6,"AconityMINIPrinterSmall","xgboost"
"tsfeatures",57,0.958904109589041,6,"AconityMINIPrinterSmall","xgboost"
"TSFEL",144,0.955479452054795,6,"AconityMINIPrinterSmall","xgboost"
"Kats",36,0.955479452054795,6,"AconityMINIPrinterSmall","xgboost"
"tsfresh",731,0.962328767123288,6,"AconityMINIPrinterSmall","xgboost"
"quantiles",101,0.876712328767123,6,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.931506849315068,6,"AconityMINIPrinterSmall","xgboost"
"FFT coefficients",399,0.928082191780822,6,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.934931506849315,6,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im) + quantiles",300,0.928082191780822,6,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.934931506849315,6,"AconityMINIPrinterSmall","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.931506849315068,6,"AconityMINIPrinterSmall","xgboost"
"catch22",22,0.972602739726027,7,"AconityMINIPrinterSmall","xgboost"
"feasts",39,0.969178082191781,7,"AconityMINIPrinterSmall","xgboost"
"tsfeatures",57,0.972602739726027,7,"AconityMINIPrinterSmall","xgboost"
"TSFEL",144,0.976027397260274,7,"AconityMINIPrinterSmall","xgboost"
"Kats",36,0.979452054794521,7,"AconityMINIPrinterSmall","xgboost"
"tsfresh",731,0.972602739726027,7,"AconityMINIPrinterSmall","xgboost"
"quantiles",101,0.893835616438356,7,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.955479452054795,7,"AconityMINIPrinterSmall","xgboost"
"FFT coefficients",399,0.948630136986301,7,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.955479452054795,7,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im) + quantiles",300,0.948630136986301,7,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.955479452054795,7,"AconityMINIPrinterSmall","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.955479452054795,7,"AconityMINIPrinterSmall","xgboost"
"catch22",22,0.958904109589041,8,"AconityMINIPrinterSmall","xgboost"
"feasts",39,0.965753424657534,8,"AconityMINIPrinterSmall","xgboost"
"tsfeatures",57,0.962328767123288,8,"AconityMINIPrinterSmall","xgboost"
"TSFEL",144,0.958904109589041,8,"AconityMINIPrinterSmall","xgboost"
"Kats",36,0.962328767123288,8,"AconityMINIPrinterSmall","xgboost"
"tsfresh",731,0.962328767123288,8,"AconityMINIPrinterSmall","xgboost"
"quantiles",101,0.893835616438356,8,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.965753424657534,8,"AconityMINIPrinterSmall","xgboost"
"FFT coefficients",399,0.955479452054795,8,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.969178082191781,8,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im) + quantiles",300,0.948630136986301,8,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.965753424657534,8,"AconityMINIPrinterSmall","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.965753424657534,8,"AconityMINIPrinterSmall","xgboost"
"catch22",22,0.958904109589041,9,"AconityMINIPrinterSmall","xgboost"
"feasts",39,0.952054794520548,9,"AconityMINIPrinterSmall","xgboost"
"tsfeatures",57,0.948630136986301,9,"AconityMINIPrinterSmall","xgboost"
"TSFEL",144,0.955479452054795,9,"AconityMINIPrinterSmall","xgboost"
"Kats",36,0.969178082191781,9,"AconityMINIPrinterSmall","xgboost"
"tsfresh",731,0.972602739726027,9,"AconityMINIPrinterSmall","xgboost"
"quantiles",101,0.910958904109589,9,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.962328767123288,9,"AconityMINIPrinterSmall","xgboost"
"FFT coefficients",399,0.952054794520548,9,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.965753424657534,9,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im) + quantiles",300,0.955479452054795,9,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.958904109589041,9,"AconityMINIPrinterSmall","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.958904109589041,9,"AconityMINIPrinterSmall","xgboost"
"catch22",22,0.969178082191781,10,"AconityMINIPrinterSmall","xgboost"
"feasts",39,0.958904109589041,10,"AconityMINIPrinterSmall","xgboost"
"tsfeatures",57,0.972602739726027,10,"AconityMINIPrinterSmall","xgboost"
"TSFEL",144,0.969178082191781,10,"AconityMINIPrinterSmall","xgboost"
"Kats",36,0.979452054794521,10,"AconityMINIPrinterSmall","xgboost"
"tsfresh",731,0.969178082191781,10,"AconityMINIPrinterSmall","xgboost"
"quantiles",101,0.904109589041096,10,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.972602739726027,10,"AconityMINIPrinterSmall","xgboost"
"FFT coefficients",399,0.965753424657534,10,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.972602739726027,10,"AconityMINIPrinterSmall","xgboost"
"FFT (Re, Im) + quantiles",300,0.965753424657534,10,"AconityMINIPrinterSmall","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.972602739726027,10,"AconityMINIPrinterSmall","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.972602739726027,10,"AconityMINIPrinterSmall","xgboost"
"catch22",22,0.955479452054795,11,"AconityMINIPrinterSmall","xgboost"
"feasts",39,0.955479452054795,11,"AconityMINIPrinterSmall","xgboost"
"tsfeatures",57,0.952054794520548,11,"AconityMINIPrinterSmall","xgboost"
"TSFEL",144,0.955479452054795,11,"AconityMINIPrinterSmall","xgboost"
"Kats",36,0.958904109589041,11,"AconityMINIPrinterSmall","xgboost"
"tsfresh",731,0.958904109589041,11,"AconityMINIPrinterSmall","xgboost"
