"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",21,0.682864450127877,1,"Adiac","xgboost"
"feasts",35,0.741687979539642,1,"Adiac","xgboost"
"tsfeatures",59,0.741687979539642,1,"Adiac","xgboost"
"TSFEL",143,0.751918158567775,1,"Adiac","xgboost"
"Kats",36,0.698209718670077,1,"Adiac","xgboost"
"tsfresh",686,0.777493606138107,1,"Adiac","xgboost"
"quantiles",101,0.703324808184143,1,"Adiac","xgboost"
"FFT (Mag^2 + Angle) + quantiles",279,0.68542199488491,1,"Adiac","xgboost"
"FFT coefficients",354,0.652173913043478,1,"Adiac","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",455,0.690537084398977,1,"Adiac","xgboost"
"FFT (Re, Im) + quantiles",277,0.721227621483376,1,"Adiac","xgboost"
"FFT (Mag, Angle) + quantiles",279,0.687979539641944,1,"Adiac","xgboost"
"FFT (log(Mag), Angle) + quantiles",278,0.682864450127877,1,"Adiac","xgboost"
"catch22",21,0.652173913043478,2,"Adiac","xgboost"
"feasts",35,0.672634271099744,2,"Adiac","xgboost"
"tsfeatures",59,0.70843989769821,2,"Adiac","xgboost"
"TSFEL",143,0.675191815856777,2,"Adiac","xgboost"
"Kats",36,0.664961636828645,2,"Adiac","xgboost"
"tsfresh",687,0.721227621483376,2,"Adiac","xgboost"
"quantiles",101,0.670076726342711,2,"Adiac","xgboost"
"FFT (Mag^2 + Angle) + quantiles",279,0.687979539641944,2,"Adiac","xgboost"
"FFT coefficients",354,0.667519181585678,2,"Adiac","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",455,0.698209718670077,2,"Adiac","xgboost"
"FFT (Re, Im) + quantiles",277,0.703324808184143,2,"Adiac","xgboost"
"FFT (Mag, Angle) + quantiles",279,0.677749360613811,2,"Adiac","xgboost"
"FFT (log(Mag), Angle) + quantiles",278,0.687979539641944,2,"Adiac","xgboost"
"catch22",21,0.698209718670077,3,"Adiac","xgboost"
"feasts",35,0.70843989769821,3,"Adiac","xgboost"
"tsfeatures",59,0.721227621483376,3,"Adiac","xgboost"
"TSFEL",143,0.721227621483376,3,"Adiac","xgboost"
"Kats",36,0.677749360613811,3,"Adiac","xgboost"
"tsfresh",686,0.754475703324808,3,"Adiac","xgboost"
"quantiles",101,0.687979539641944,3,"Adiac","xgboost"
"FFT (Mag^2 + Angle) + quantiles",279,0.68542199488491,3,"Adiac","xgboost"
"FFT coefficients",354,0.639386189258312,3,"Adiac","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",455,0.687979539641944,3,"Adiac","xgboost"
"FFT (Re, Im) + quantiles",277,0.710997442455243,3,"Adiac","xgboost"
"FFT (Mag, Angle) + quantiles",279,0.687979539641944,3,"Adiac","xgboost"
"FFT (log(Mag), Angle) + quantiles",278,0.69309462915601,3,"Adiac","xgboost"
"catch22",21,0.675191815856777,4,"Adiac","xgboost"
"feasts",35,0.713554987212276,4,"Adiac","xgboost"
"tsfeatures",59,0.744245524296675,4,"Adiac","xgboost"
