"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.926666666666667,1,"BME","xgboost"
"2","feasts",36,0.906666666666667,1,"BME","xgboost"
"3","tsfeatures",59,0.926666666666667,1,"BME","xgboost"
"4","TSFEL",142,0.94,1,"BME","xgboost"
"5","Kats",35,0.74,1,"BME","xgboost"
"6","tsfresh",595,1,1,"BME","xgboost"
"7","quantiles",101,0.573333333333333,1,"BME","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",231,0.793333333333333,1,"BME","xgboost"
"9","catch22",22,0.8,2,"BME","xgboost"
"10","feasts",36,0.906666666666667,2,"BME","xgboost"
"11","tsfeatures",59,0.933333333333333,2,"BME","xgboost"
"12","TSFEL",142,0.84,2,"BME","xgboost"
"13","Kats",35,0.686666666666667,2,"BME","xgboost"
"14","tsfresh",593,1,2,"BME","xgboost"
"15","quantiles",101,0.573333333333333,2,"BME","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",231,0.82,2,"BME","xgboost"
"17","catch22",22,0.873333333333333,3,"BME","xgboost"
"18","feasts",36,0.706666666666667,3,"BME","xgboost"
"19","tsfeatures",59,0.933333333333333,3,"BME","xgboost"
"20","TSFEL",142,0.86,3,"BME","xgboost"
"21","Kats",36,0.7,3,"BME","xgboost"
"22","tsfresh",593,1,3,"BME","xgboost"
"23","quantiles",101,0.513333333333333,3,"BME","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",231,0.76,3,"BME","xgboost"
"25","catch22",22,0.893333333333333,4,"BME","xgboost"
"26","feasts",35,0.8,4,"BME","xgboost"
"27","tsfeatures",59,0.773333333333333,4,"BME","xgboost"
"28","TSFEL",142,0.826666666666667,4,"BME","xgboost"
"29","Kats",36,0.633333333333333,4,"BME","xgboost"
"30","tsfresh",595,0.993333333333333,4,"BME","xgboost"
"31","quantiles",101,0.513333333333333,4,"BME","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",231,0.833333333333333,4,"BME","xgboost"
"33","catch22",22,0.813333333333333,5,"BME","xgboost"
"34","feasts",36,0.806666666666667,5,"BME","xgboost"
"35","tsfeatures",59,0.86,5,"BME","xgboost"
"36","TSFEL",142,0.813333333333333,5,"BME","xgboost"
"37","Kats",35,0.733333333333333,5,"BME","xgboost"
"38","tsfresh",594,0.986666666666667,5,"BME","xgboost"
"39","quantiles",101,0.526666666666667,5,"BME","xgboost"
"40","FFT (Mag^2 + Angle) + quantiles",231,0.733333333333333,5,"BME","xgboost"
"41","catch22",21,0.86,6,"BME","xgboost"
"42","feasts",36,0.906666666666667,6,"BME","xgboost"
"43","tsfeatures",59,0.906666666666667,6,"BME","xgboost"
"44","TSFEL",142,0.92,6,"BME","xgboost"
"45","Kats",35,0.693333333333333,6,"BME","xgboost"
"46","tsfresh",593,0.993333333333333,6,"BME","xgboost"
"47","quantiles",101,0.553333333333333,6,"BME","xgboost"
"48","FFT (Mag^2 + Angle) + quantiles",231,0.873333333333333,6,"BME","xgboost"
"49","catch22",22,0.906666666666667,7,"BME","xgboost"
"50","feasts",36,0.92,7,"BME","xgboost"
"51","tsfeatures",59,0.906666666666667,7,"BME","xgboost"
"52","TSFEL",142,0.9,7,"BME","xgboost"
"53","Kats",35,0.606666666666667,7,"BME","xgboost"
"54","tsfresh",594,1,7,"BME","xgboost"
"55","quantiles",101,0.513333333333333,7,"BME","xgboost"
"56","FFT (Mag^2 + Angle) + quantiles",231,0.726666666666667,7,"BME","xgboost"
"57","catch22",22,0.913333333333333,8,"BME","xgboost"
"58","feasts",36,0.906666666666667,8,"BME","xgboost"
"59","tsfeatures",59,0.92,8,"BME","xgboost"
"60","TSFEL",142,0.92,8,"BME","xgboost"
"61","Kats",35,0.72,8,"BME","xgboost"
"62","tsfresh",593,0.993333333333333,8,"BME","xgboost"
"63","quantiles",101,0.553333333333333,8,"BME","xgboost"
"64","FFT (Mag^2 + Angle) + quantiles",231,0.786666666666667,8,"BME","xgboost"
"65","catch22",21,0.9,9,"BME","xgboost"
"66","feasts",36,0.86,9,"BME","xgboost"
"67","tsfeatures",59,0.866666666666667,9,"BME","xgboost"
"68","TSFEL",142,0.833333333333333,9,"BME","xgboost"
"69","Kats",35,0.726666666666667,9,"BME","xgboost"
"70","tsfresh",593,0.96,9,"BME","xgboost"
"71","quantiles",101,0.593333333333333,9,"BME","xgboost"
"72","FFT (Mag^2 + Angle) + quantiles",231,0.84,9,"BME","xgboost"
"73","catch22",22,0.873333333333333,10,"BME","xgboost"
"74","feasts",35,0.873333333333333,10,"BME","xgboost"
