"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",21,0.5,1,"Beef","xgboost"
"2","feasts",34,0.466666666666667,1,"Beef","xgboost"
"3","tsfeatures",59,0.433333333333333,1,"Beef","xgboost"
"4","TSFEL",144,0.433333333333333,1,"Beef","xgboost"
"5","Kats",36,0.466666666666667,1,"Beef","xgboost"
"6","tsfresh",732,0.7,1,"Beef","xgboost"
"7","quantiles",101,0.6,1,"Beef","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.766666666666667,1,"Beef","xgboost"
"9","catch22",22,0.4,2,"Beef","xgboost"
"10","feasts",34,0.566666666666667,2,"Beef","xgboost"
"11","tsfeatures",59,0.533333333333333,2,"Beef","xgboost"
"12","TSFEL",143,0.666666666666667,2,"Beef","xgboost"
"13","Kats",36,0.4,2,"Beef","xgboost"
"14","tsfresh",729,0.7,2,"Beef","xgboost"
"15","quantiles",101,0.7,2,"Beef","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.633333333333333,2,"Beef","xgboost"
"17","catch22",22,0.3,3,"Beef","xgboost"
"18","feasts",34,0.366666666666667,3,"Beef","xgboost"
"19","tsfeatures",59,0.466666666666667,3,"Beef","xgboost"
"20","TSFEL",143,0.433333333333333,3,"Beef","xgboost"
"21","Kats",36,0.433333333333333,3,"Beef","xgboost"
"22","tsfresh",730,0.666666666666667,3,"Beef","xgboost"
"23","quantiles",101,0.4,3,"Beef","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.766666666666667,3,"Beef","xgboost"
"25","catch22",22,0.266666666666667,4,"Beef","xgboost"
"26","feasts",34,0.433333333333333,4,"Beef","xgboost"
"27","tsfeatures",59,0.5,4,"Beef","xgboost"
"28","TSFEL",144,0.4,4,"Beef","xgboost"
"29","Kats",36,0.4,4,"Beef","xgboost"
"30","tsfresh",730,0.633333333333333,4,"Beef","xgboost"
"31","quantiles",101,0.433333333333333,4,"Beef","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.566666666666667,4,"Beef","xgboost"
"33","catch22",22,0.4,5,"Beef","xgboost"
"34","feasts",34,0.5,5,"Beef","xgboost"
"35","tsfeatures",59,0.4,5,"Beef","xgboost"
"36","TSFEL",143,0.5,5,"Beef","xgboost"
"37","Kats",36,0.433333333333333,5,"Beef","xgboost"
"38","tsfresh",729,0.533333333333333,5,"Beef","xgboost"
"39","quantiles",101,0.533333333333333,5,"Beef","xgboost"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.6,5,"Beef","xgboost"
"41","catch22",22,0.366666666666667,6,"Beef","xgboost"
"42","feasts",34,0.633333333333333,6,"Beef","xgboost"
"43","tsfeatures",59,0.433333333333333,6,"Beef","xgboost"
