"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.935555555555556,1,"CBF","xgboost"
"feasts",39,0.947777777777778,1,"CBF","xgboost"
"tsfeatures",57,0.991111111111111,1,"CBF","xgboost"
"TSFEL",141,0.967777777777778,1,"CBF","xgboost"
"Kats",34,0.94,1,"CBF","xgboost"
"tsfresh",587,0.992222222222222,1,"CBF","xgboost"
"quantiles",101,0.646666666666667,1,"CBF","xgboost"
"FFT (Mag^2 + Angle) + quantiles",231,0.668888888888889,1,"CBF","xgboost"
"FFT coefficients",258,0.635555555555556,1,"CBF","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.781111111111111,1,"CBF","xgboost"
"FFT (Re, Im) + quantiles",229,0.795555555555556,1,"CBF","xgboost"
"FFT (Mag, Angle) + quantiles",231,0.674444444444444,1,"CBF","xgboost"
"FFT (log(Mag), Angle) + quantiles",231,0.674444444444444,1,"CBF","xgboost"
"catch22",22,0.903333333333333,2,"CBF","xgboost"
"feasts",39,0.925555555555556,2,"CBF","xgboost"
"tsfeatures",57,0.942222222222222,2,"CBF","xgboost"
"TSFEL",141,0.927777777777778,2,"CBF","xgboost"
"Kats",35,0.923333333333333,2,"CBF","xgboost"
"tsfresh",588,0.974444444444444,2,"CBF","xgboost"
"quantiles",101,0.62,2,"CBF","xgboost"
"FFT (Mag^2 + Angle) + quantiles",231,0.778888888888889,2,"CBF","xgboost"
"FFT coefficients",258,0.773333333333333,2,"CBF","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.862222222222222,2,"CBF","xgboost"
"FFT (Re, Im) + quantiles",229,0.898888888888889,2,"CBF","xgboost"
"FFT (Mag, Angle) + quantiles",231,0.776666666666667,2,"CBF","xgboost"
"FFT (log(Mag), Angle) + quantiles",231,0.767777777777778,2,"CBF","xgboost"
"catch22",22,0.916666666666667,3,"CBF","xgboost"
"feasts",39,0.92,3,"CBF","xgboost"
"tsfeatures",57,0.955555555555556,3,"CBF","xgboost"
"TSFEL",141,0.915555555555556,3,"CBF","xgboost"
"Kats",35,0.913333333333333,3,"CBF","xgboost"
"tsfresh",586,0.988888888888889,3,"CBF","xgboost"
"quantiles",101,0.568888888888889,3,"CBF","xgboost"
"FFT (Mag^2 + Angle) + quantiles",231,0.712222222222222,3,"CBF","xgboost"
"FFT coefficients",258,0.777777777777778,3,"CBF","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.836666666666667,3,"CBF","xgboost"
"FFT (Re, Im) + quantiles",229,0.837777777777778,3,"CBF","xgboost"
"FFT (Mag, Angle) + quantiles",231,0.716666666666667,3,"CBF","xgboost"
"FFT (log(Mag), Angle) + quantiles",231,0.712222222222222,3,"CBF","xgboost"
"catch22",22,0.941111111111111,4,"CBF","xgboost"
"feasts",39,0.908888888888889,4,"CBF","xgboost"
"tsfeatures",57,0.942222222222222,4,"CBF","xgboost"
"TSFEL",141,0.944444444444444,4,"CBF","xgboost"
"Kats",35,0.885555555555556,4,"CBF","xgboost"
"tsfresh",588,0.957777777777778,4,"CBF","xgboost"
"quantiles",101,0.583333333333333,4,"CBF","xgboost"
"FFT (Mag^2 + Angle) + quantiles",231,0.672222222222222,4,"CBF","xgboost"
"FFT coefficients",258,0.766666666666667,4,"CBF","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.863333333333333,4,"CBF","xgboost"
"FFT (Re, Im) + quantiles",229,0.86,4,"CBF","xgboost"
"FFT (Mag, Angle) + quantiles",231,0.681111111111111,4,"CBF","xgboost"
"FFT (log(Mag), Angle) + quantiles",230,0.677777777777778,4,"CBF","xgboost"
"catch22",22,0.903333333333333,5,"CBF","xgboost"
"feasts",39,0.892222222222222,5,"CBF","xgboost"
"tsfeatures",57,0.984444444444444,5,"CBF","xgboost"
"TSFEL",141,0.965555555555556,5,"CBF","xgboost"
"Kats",35,0.915555555555556,5,"CBF","xgboost"
"tsfresh",587,0.95,5,"CBF","xgboost"
"quantiles",101,0.586666666666667,5,"CBF","xgboost"
"FFT (Mag^2 + Angle) + quantiles",231,0.595555555555556,5,"CBF","xgboost"
"FFT coefficients",258,0.67,5,"CBF","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.784444444444444,5,"CBF","xgboost"
"FFT (Re, Im) + quantiles",229,0.866666666666667,5,"CBF","xgboost"
"FFT (Mag, Angle) + quantiles",231,0.583333333333333,5,"CBF","xgboost"
"FFT (log(Mag), Angle) + quantiles",231,0.591111111111111,5,"CBF","xgboost"
"catch22",22,0.842222222222222,6,"CBF","xgboost"
"feasts",39,0.836666666666667,6,"CBF","xgboost"
"tsfeatures",57,0.893333333333333,6,"CBF","xgboost"
"TSFEL",141,0.843333333333333,6,"CBF","xgboost"
"Kats",34,0.877777777777778,6,"CBF","xgboost"
"tsfresh",588,0.896666666666667,6,"CBF","xgboost"
"quantiles",101,0.514444444444444,6,"CBF","xgboost"
"FFT (Mag^2 + Angle) + quantiles",231,0.624444444444444,6,"CBF","xgboost"
"FFT coefficients",258,0.772222222222222,6,"CBF","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.785555555555556,6,"CBF","xgboost"
"FFT (Re, Im) + quantiles",229,0.775555555555556,6,"CBF","xgboost"
"FFT (Mag, Angle) + quantiles",231,0.635555555555556,6,"CBF","xgboost"
"FFT (log(Mag), Angle) + quantiles",230,0.622222222222222,6,"CBF","xgboost"
"catch22",22,0.923333333333333,7,"CBF","xgboost"
"feasts",39,0.94,7,"CBF","xgboost"
"tsfeatures",57,0.981111111111111,7,"CBF","xgboost"
"TSFEL",141,0.948888888888889,7,"CBF","xgboost"
"Kats",35,0.85,7,"CBF","xgboost"
"tsfresh",587,0.982222222222222,7,"CBF","xgboost"
"quantiles",101,0.563333333333333,7,"CBF","xgboost"
"FFT (Mag^2 + Angle) + quantiles",231,0.728888888888889,7,"CBF","xgboost"
"FFT coefficients",258,0.814444444444444,7,"CBF","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.862222222222222,7,"CBF","xgboost"
"FFT (Re, Im) + quantiles",229,0.861111111111111,7,"CBF","xgboost"
"FFT (Mag, Angle) + quantiles",231,0.746666666666667,7,"CBF","xgboost"
"FFT (log(Mag), Angle) + quantiles",231,0.734444444444444,7,"CBF","xgboost"
"catch22",22,0.907777777777778,8,"CBF","xgboost"
"feasts",39,0.926666666666667,8,"CBF","xgboost"
"tsfeatures",57,0.965555555555556,8,"CBF","xgboost"
"TSFEL",141,0.975555555555556,8,"CBF","xgboost"
"Kats",35,0.895555555555556,8,"CBF","xgboost"
"tsfresh",587,0.985555555555556,8,"CBF","xgboost"
"quantiles",101,0.608888888888889,8,"CBF","xgboost"
"FFT (Mag^2 + Angle) + quantiles",231,0.752222222222222,8,"CBF","xgboost"
"FFT coefficients",258,0.686666666666667,8,"CBF","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.861111111111111,8,"CBF","xgboost"
"FFT (Re, Im) + quantiles",229,0.861111111111111,8,"CBF","xgboost"
"FFT (Mag, Angle) + quantiles",231,0.744444444444444,8,"CBF","xgboost"
"FFT (log(Mag), Angle) + quantiles",230,0.747777777777778,8,"CBF","xgboost"
"catch22",22,0.92,9,"CBF","xgboost"
"feasts",39,0.933333333333333,9,"CBF","xgboost"
"tsfeatures",57,0.98,9,"CBF","xgboost"
"TSFEL",141,0.95,9,"CBF","xgboost"
"Kats",35,0.904444444444444,9,"CBF","xgboost"
"tsfresh",587,0.956666666666667,9,"CBF","xgboost"
"quantiles",101,0.562222222222222,9,"CBF","xgboost"
"FFT (Mag^2 + Angle) + quantiles",231,0.575555555555556,9,"CBF","xgboost"
"FFT coefficients",258,0.731111111111111,9,"CBF","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.844444444444444,9,"CBF","xgboost"
"FFT (Re, Im) + quantiles",229,0.844444444444444,9,"CBF","xgboost"
"FFT (Mag, Angle) + quantiles",231,0.567777777777778,9,"CBF","xgboost"
"FFT (log(Mag), Angle) + quantiles",231,0.565555555555556,9,"CBF","xgboost"
"catch22",22,0.904444444444444,10,"CBF","xgboost"
"feasts",39,0.911111111111111,10,"CBF","xgboost"
"tsfeatures",57,0.967777777777778,10,"CBF","xgboost"
"TSFEL",141,0.898888888888889,10,"CBF","xgboost"
"Kats",35,0.943333333333333,10,"CBF","xgboost"
"tsfresh",585,0.98,10,"CBF","xgboost"
"quantiles",101,0.623333333333333,10,"CBF","xgboost"
"FFT (Mag^2 + Angle) + quantiles",231,0.646666666666667,10,"CBF","xgboost"
"FFT coefficients",258,0.645555555555556,10,"CBF","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.851111111111111,10,"CBF","xgboost"
"FFT (Re, Im) + quantiles",229,0.875555555555556,10,"CBF","xgboost"
"FFT (Mag, Angle) + quantiles",231,0.637777777777778,10,"CBF","xgboost"
"FFT (log(Mag), Angle) + quantiles",231,0.638888888888889,10,"CBF","xgboost"
"catch22",22,0.946666666666667,11,"CBF","xgboost"
"feasts",39,0.933333333333333,11,"CBF","xgboost"
"tsfeatures",57,0.956666666666667,11,"CBF","xgboost"
"TSFEL",141,0.947777777777778,11,"CBF","xgboost"
"Kats",35,0.892222222222222,11,"CBF","xgboost"
"tsfresh",587,0.974444444444444,11,"CBF","xgboost"
"quantiles",101,0.61,11,"CBF","xgboost"
"FFT (Mag^2 + Angle) + quantiles",231,0.657777777777778,11,"CBF","xgboost"
"FFT coefficients",258,0.742222222222222,11,"CBF","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.85,11,"CBF","xgboost"
"FFT (Re, Im) + quantiles",229,0.854444444444444,11,"CBF","xgboost"
