"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",20,0.932944606413994,1,"Chinatown","xgboost"
"2","feasts",37,0.900874635568513,1,"Chinatown","xgboost"
"3","tsfeatures",54,0.900874635568513,1,"Chinatown","xgboost"
"4","TSFEL",123,0.892128279883382,1,"Chinatown","xgboost"
"5","Kats",35,0.924198250728863,1,"Chinatown","xgboost"
"6","tsfresh",360,0.956268221574344,1,"Chinatown","xgboost"
"7","quantiles",101,0.755102040816326,1,"Chinatown","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",127,0.769679300291545,1,"Chinatown","xgboost"
"9","catch22",19,0.927113702623907,2,"Chinatown","xgboost"
"10","feasts",37,0.857142857142857,2,"Chinatown","xgboost"
"11","tsfeatures",54,0.871720116618076,2,"Chinatown","xgboost"
"12","TSFEL",123,0.897959183673469,2,"Chinatown","xgboost"
"13","Kats",36,0.9067055393586,2,"Chinatown","xgboost"
"14","tsfresh",356,0.912536443148688,2,"Chinatown","xgboost"
"15","quantiles",101,0.80466472303207,2,"Chinatown","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",127,0.807580174927114,2,"Chinatown","xgboost"
"17","catch22",19,0.9067055393586,3,"Chinatown","xgboost"
"18","feasts",37,0.909620991253644,3,"Chinatown","xgboost"
"19","tsfeatures",54,0.915451895043732,3,"Chinatown","xgboost"
"20","TSFEL",122,0.801749271137026,3,"Chinatown","xgboost"
"21","Kats",35,0.927113702623907,3,"Chinatown","xgboost"
"22","tsfresh",356,0.970845481049563,3,"Chinatown","xgboost"
"23","quantiles",101,0.787172011661808,3,"Chinatown","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",127,0.825072886297376,3,"Chinatown","xgboost"
"25","catch22",19,0.900874635568513,4,"Chinatown","xgboost"
"26","feasts",37,0.857142857142857,4,"Chinatown","xgboost"
"27","tsfeatures",54,0.897959183673469,4,"Chinatown","xgboost"
"28","TSFEL",122,0.877551020408163,4,"Chinatown","xgboost"
"29","Kats",35,0.819241982507289,4,"Chinatown","xgboost"
"30","tsfresh",357,0.9533527696793,4,"Chinatown","xgboost"
"31","quantiles",101,0.664723032069971,4,"Chinatown","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",127,0.676384839650146,4,"Chinatown","xgboost"
"33","catch22",20,0.93002915451895,5,"Chinatown","xgboost"
"34","feasts",36,0.883381924198251,5,"Chinatown","xgboost"
"35","tsfeatures",54,0.883381924198251,5,"Chinatown","xgboost"
"36","TSFEL",123,0.790087463556851,5,"Chinatown","xgboost"
"37","Kats",35,0.900874635568513,5,"Chinatown","xgboost"
"38","tsfresh",359,0.938775510204082,5,"Chinatown","xgboost"
"39","quantiles",101,0.766763848396501,5,"Chinatown","xgboost"
"40","FFT (Mag^2 + Angle) + quantiles",127,0.772594752186589,5,"Chinatown","xgboost"
"41","catch22",19,0.900874635568513,6,"Chinatown","xgboost"
"42","feasts",37,0.883381924198251,6,"Chinatown","xgboost"
"43","tsfeatures",54,0.886297376093295,6,"Chinatown","xgboost"
"44","TSFEL",123,0.924198250728863,6,"Chinatown","xgboost"
"45","Kats",33,0.813411078717201,6,"Chinatown","xgboost"
"46","tsfresh",359,0.956268221574344,6,"Chinatown","xgboost"
"47","quantiles",101,0.836734693877551,6,"Chinatown","xgboost"
"48","FFT (Mag^2 + Angle) + quantiles",127,0.85131195335277,6,"Chinatown","xgboost"
"49","catch22",19,0.93002915451895,7,"Chinatown","xgboost"
"50","feasts",37,0.892128279883382,7,"Chinatown","xgboost"
"51","tsfeatures",54,0.883381924198251,7,"Chinatown","xgboost"
"52","TSFEL",123,0.836734693877551,7,"Chinatown","xgboost"
"53","Kats",36,0.9067055393586,7,"Chinatown","xgboost"
"54","tsfresh",356,0.915451895043732,7,"Chinatown","xgboost"
"55","quantiles",101,0.813411078717201,7,"Chinatown","xgboost"
"56","FFT (Mag^2 + Angle) + quantiles",127,0.813411078717201,7,"Chinatown","xgboost"
"57","catch22",19,0.638483965014577,8,"Chinatown","xgboost"
"58","feasts",37,0.638483965014577,8,"Chinatown","xgboost"
"59","tsfeatures",54,0.626822157434402,8,"Chinatown","xgboost"
"60","TSFEL",123,0.644314868804665,8,"Chinatown","xgboost"
"61","Kats",35,0.9067055393586,8,"Chinatown","xgboost"
"62","tsfresh",356,0.760932944606414,8,"Chinatown","xgboost"
"63","quantiles",101,0.763848396501458,8,"Chinatown","xgboost"
"64","FFT (Mag^2 + Angle) + quantiles",127,0.763848396501458,8,"Chinatown","xgboost"
"65","catch22",20,0.935860058309038,9,"Chinatown","xgboost"
"66","feasts",36,0.883381924198251,9,"Chinatown","xgboost"
"67","tsfeatures",54,0.883381924198251,9,"Chinatown","xgboost"
"68","TSFEL",123,0.938775510204082,9,"Chinatown","xgboost"
"69","Kats",36,0.915451895043732,9,"Chinatown","xgboost"
"70","tsfresh",358,0.965014577259475,9,"Chinatown","xgboost"
"71","quantiles",101,0.848396501457726,9,"Chinatown","xgboost"
"72","FFT (Mag^2 + Angle) + quantiles",127,0.889212827988338,9,"Chinatown","xgboost"
"73","catch22",19,0.897959183673469,10,"Chinatown","xgboost"
"74","feasts",37,0.82798833819242,10,"Chinatown","xgboost"
"75","tsfeatures",54,0.860058309037901,10,"Chinatown","xgboost"
"76","TSFEL",123,0.959183673469388,10,"Chinatown","xgboost"
"77","Kats",36,0.848396501457726,10,"Chinatown","xgboost"
"78","tsfresh",357,0.9533527696793,10,"Chinatown","xgboost"
"79","quantiles",101,0.87463556851312,10,"Chinatown","xgboost"
"80","FFT (Mag^2 + Angle) + quantiles",127,0.932944606413994,10,"Chinatown","xgboost"
"81","catch22",20,0.924198250728863,11,"Chinatown","xgboost"
"82","feasts",37,0.877551020408163,11,"Chinatown","xgboost"
"83","tsfeatures",54,0.883381924198251,11,"Chinatown","xgboost"
"84","TSFEL",123,0.848396501457726,11,"Chinatown","xgboost"
"85","Kats",36,0.924198250728863,11,"Chinatown","xgboost"
"86","tsfresh",357,0.944606413994169,11,"Chinatown","xgboost"
