"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.60655737704918,1,"Covid3Month","xgboost"
"feasts",40,0.622950819672131,1,"Covid3Month","xgboost"
"tsfeatures",59,0.59016393442623,1,"Covid3Month","xgboost"
"TSFEL",145,0.60655737704918,1,"Covid3Month","xgboost"
"Kats",36,0.540983606557377,1,"Covid3Month","xgboost"
"tsfresh",498,0.704918032786885,1,"Covid3Month","xgboost"
"quantiles",101,0.655737704918033,1,"Covid3Month","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.688524590163934,1,"Covid3Month","xgboost"
"FFT coefficients",170,0.622950819672131,1,"Covid3Month","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",271,0.704918032786885,1,"Covid3Month","xgboost"
"FFT (Re, Im) + quantiles",185,0.622950819672131,1,"Covid3Month","xgboost"
"FFT (Mag, Angle) + quantiles",187,0.655737704918033,1,"Covid3Month","xgboost"
"FFT (log(Mag), Angle) + quantiles",185,0.688524590163934,1,"Covid3Month","xgboost"
"catch22",22,0.59016393442623,2,"Covid3Month","xgboost"
"feasts",39,0.557377049180328,2,"Covid3Month","xgboost"
"tsfeatures",59,0.622950819672131,2,"Covid3Month","xgboost"
"TSFEL",145,0.573770491803279,2,"Covid3Month","xgboost"
"Kats",36,0.540983606557377,2,"Covid3Month","xgboost"
"tsfresh",497,0.540983606557377,2,"Covid3Month","xgboost"
"quantiles",101,0.540983606557377,2,"Covid3Month","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.557377049180328,2,"Covid3Month","xgboost"
"FFT coefficients",170,0.491803278688525,2,"Covid3Month","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",271,0.60655737704918,2,"Covid3Month","xgboost"
"FFT (Re, Im) + quantiles",185,0.573770491803279,2,"Covid3Month","xgboost"
"FFT (Mag, Angle) + quantiles",187,0.540983606557377,2,"Covid3Month","xgboost"
"FFT (log(Mag), Angle) + quantiles",185,0.524590163934426,2,"Covid3Month","xgboost"
"catch22",22,0.639344262295082,3,"Covid3Month","xgboost"
"feasts",40,0.540983606557377,3,"Covid3Month","xgboost"
"tsfeatures",59,0.557377049180328,3,"Covid3Month","xgboost"
"TSFEL",145,0.60655737704918,3,"Covid3Month","xgboost"
"Kats",36,0.557377049180328,3,"Covid3Month","xgboost"
"tsfresh",498,0.655737704918033,3,"Covid3Month","xgboost"
"quantiles",101,0.639344262295082,3,"Covid3Month","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.721311475409836,3,"Covid3Month","xgboost"
"FFT coefficients",170,0.60655737704918,3,"Covid3Month","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",271,0.655737704918033,3,"Covid3Month","xgboost"
"FFT (Re, Im) + quantiles",185,0.60655737704918,3,"Covid3Month","xgboost"
"FFT (Mag, Angle) + quantiles",187,0.704918032786885,3,"Covid3Month","xgboost"
"FFT (log(Mag), Angle) + quantiles",185,0.704918032786885,3,"Covid3Month","xgboost"
"catch22",22,0.540983606557377,4,"Covid3Month","xgboost"
"feasts",40,0.508196721311475,4,"Covid3Month","xgboost"
"tsfeatures",59,0.508196721311475,4,"Covid3Month","xgboost"
"TSFEL",145,0.639344262295082,4,"Covid3Month","xgboost"
"Kats",35,0.491803278688525,4,"Covid3Month","xgboost"
"tsfresh",491,0.59016393442623,4,"Covid3Month","xgboost"
"quantiles",101,0.573770491803279,4,"Covid3Month","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.540983606557377,4,"Covid3Month","xgboost"
"FFT coefficients",170,0.524590163934426,4,"Covid3Month","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",271,0.573770491803279,4,"Covid3Month","xgboost"
"FFT (Re, Im) + quantiles",185,0.540983606557377,4,"Covid3Month","xgboost"
"FFT (Mag, Angle) + quantiles",187,0.540983606557377,4,"Covid3Month","xgboost"
"FFT (log(Mag), Angle) + quantiles",185,0.540983606557377,4,"Covid3Month","xgboost"
"catch22",22,0.639344262295082,5,"Covid3Month","xgboost"
"feasts",39,0.540983606557377,5,"Covid3Month","xgboost"
"tsfeatures",59,0.573770491803279,5,"Covid3Month","xgboost"
"TSFEL",145,0.60655737704918,5,"Covid3Month","xgboost"
"Kats",36,0.557377049180328,5,"Covid3Month","xgboost"
"tsfresh",498,0.60655737704918,5,"Covid3Month","xgboost"
"quantiles",101,0.60655737704918,5,"Covid3Month","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.60655737704918,5,"Covid3Month","xgboost"
"FFT coefficients",170,0.639344262295082,5,"Covid3Month","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",271,0.639344262295082,5,"Covid3Month","xgboost"
"FFT (Re, Im) + quantiles",185,0.622950819672131,5,"Covid3Month","xgboost"
"FFT (Mag, Angle) + quantiles",187,0.60655737704918,5,"Covid3Month","xgboost"
"FFT (log(Mag), Angle) + quantiles",185,0.655737704918033,5,"Covid3Month","xgboost"
"catch22",22,0.540983606557377,6,"Covid3Month","xgboost"
"feasts",40,0.508196721311475,6,"Covid3Month","xgboost"
"tsfeatures",59,0.540983606557377,6,"Covid3Month","xgboost"
"TSFEL",145,0.60655737704918,6,"Covid3Month","xgboost"
"Kats",36,0.573770491803279,6,"Covid3Month","xgboost"
"tsfresh",497,0.59016393442623,6,"Covid3Month","xgboost"
"quantiles",101,0.475409836065574,6,"Covid3Month","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.540983606557377,6,"Covid3Month","xgboost"
"FFT coefficients",170,0.540983606557377,6,"Covid3Month","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",271,0.622950819672131,6,"Covid3Month","xgboost"
"FFT (Re, Im) + quantiles",185,0.59016393442623,6,"Covid3Month","xgboost"
"FFT (Mag, Angle) + quantiles",187,0.573770491803279,6,"Covid3Month","xgboost"
"FFT (log(Mag), Angle) + quantiles",185,0.540983606557377,6,"Covid3Month","xgboost"
"catch22",22,0.524590163934426,7,"Covid3Month","xgboost"
"feasts",40,0.508196721311475,7,"Covid3Month","xgboost"
"tsfeatures",59,0.508196721311475,7,"Covid3Month","xgboost"
"TSFEL",145,0.573770491803279,7,"Covid3Month","xgboost"
"Kats",36,0.573770491803279,7,"Covid3Month","xgboost"
"tsfresh",498,0.59016393442623,7,"Covid3Month","xgboost"
"quantiles",101,0.557377049180328,7,"Covid3Month","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.59016393442623,7,"Covid3Month","xgboost"
"FFT coefficients",170,0.540983606557377,7,"Covid3Month","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",271,0.557377049180328,7,"Covid3Month","xgboost"
"FFT (Re, Im) + quantiles",185,0.622950819672131,7,"Covid3Month","xgboost"
"FFT (Mag, Angle) + quantiles",187,0.59016393442623,7,"Covid3Month","xgboost"
"FFT (log(Mag), Angle) + quantiles",186,0.573770491803279,7,"Covid3Month","xgboost"
"catch22",22,0.60655737704918,8,"Covid3Month","xgboost"
"feasts",40,0.459016393442623,8,"Covid3Month","xgboost"
"tsfeatures",59,0.573770491803279,8,"Covid3Month","xgboost"
"TSFEL",145,0.573770491803279,8,"Covid3Month","xgboost"
"Kats",36,0.524590163934426,8,"Covid3Month","xgboost"
"tsfresh",498,0.59016393442623,8,"Covid3Month","xgboost"
"quantiles",101,0.557377049180328,8,"Covid3Month","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.60655737704918,8,"Covid3Month","xgboost"
"FFT coefficients",170,0.573770491803279,8,"Covid3Month","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",271,0.59016393442623,8,"Covid3Month","xgboost"
"FFT (Re, Im) + quantiles",185,0.540983606557377,8,"Covid3Month","xgboost"
"FFT (Mag, Angle) + quantiles",187,0.573770491803279,8,"Covid3Month","xgboost"
"FFT (log(Mag), Angle) + quantiles",185,0.59016393442623,8,"Covid3Month","xgboost"
"catch22",22,0.540983606557377,9,"Covid3Month","xgboost"
"feasts",39,0.508196721311475,9,"Covid3Month","xgboost"
"tsfeatures",59,0.573770491803279,9,"Covid3Month","xgboost"
"TSFEL",145,0.540983606557377,9,"Covid3Month","xgboost"
"Kats",36,0.524590163934426,9,"Covid3Month","xgboost"
"tsfresh",497,0.540983606557377,9,"Covid3Month","xgboost"
"quantiles",101,0.540983606557377,9,"Covid3Month","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.59016393442623,9,"Covid3Month","xgboost"
"FFT coefficients",170,0.508196721311475,9,"Covid3Month","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",271,0.573770491803279,9,"Covid3Month","xgboost"
"FFT (Re, Im) + quantiles",185,0.573770491803279,9,"Covid3Month","xgboost"
"FFT (Mag, Angle) + quantiles",187,0.59016393442623,9,"Covid3Month","xgboost"
"FFT (log(Mag), Angle) + quantiles",185,0.557377049180328,9,"Covid3Month","xgboost"
"catch22",22,0.688524590163934,10,"Covid3Month","xgboost"
"feasts",39,0.491803278688525,10,"Covid3Month","xgboost"
"tsfeatures",59,0.557377049180328,10,"Covid3Month","xgboost"
"TSFEL",145,0.540983606557377,10,"Covid3Month","xgboost"
"Kats",35,0.573770491803279,10,"Covid3Month","xgboost"
"tsfresh",490,0.557377049180328,10,"Covid3Month","xgboost"
"quantiles",101,0.688524590163934,10,"Covid3Month","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.60655737704918,10,"Covid3Month","xgboost"
"FFT coefficients",170,0.655737704918033,10,"Covid3Month","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",271,0.655737704918033,10,"Covid3Month","xgboost"
"FFT (Re, Im) + quantiles",185,0.639344262295082,10,"Covid3Month","xgboost"
"FFT (Mag, Angle) + quantiles",187,0.639344262295082,10,"Covid3Month","xgboost"
"FFT (log(Mag), Angle) + quantiles",185,0.639344262295082,10,"Covid3Month","xgboost"
"catch22",22,0.655737704918033,11,"Covid3Month","xgboost"
"feasts",40,0.59016393442623,11,"Covid3Month","xgboost"
"tsfeatures",59,0.573770491803279,11,"Covid3Month","xgboost"
"TSFEL",145,0.622950819672131,11,"Covid3Month","xgboost"
"Kats",36,0.540983606557377,11,"Covid3Month","xgboost"
"tsfresh",499,0.59016393442623,11,"Covid3Month","xgboost"
"quantiles",101,0.60655737704918,11,"Covid3Month","xgboost"
"FFT (Mag^2 + Angle) + quantiles",187,0.59016393442623,11,"Covid3Month","xgboost"
"FFT coefficients",170,0.557377049180328,11,"Covid3Month","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",271,0.573770491803279,11,"Covid3Month","xgboost"
