"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.58974358974359,1,"CricketX","xgboost"
"feasts",39,0.548717948717949,1,"CricketX","xgboost"
"tsfeatures",59,0.617948717948718,1,"CricketX","xgboost"
"TSFEL",143,0.658974358974359,1,"CricketX","xgboost"
"Kats",35,0.576923076923077,1,"CricketX","xgboost"
"tsfresh",734,0.682051282051282,1,"CricketX","xgboost"
"quantiles",101,0.523076923076923,1,"CricketX","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.605128205128205,1,"CricketX","xgboost"
"FFT coefficients",399,0.538461538461538,1,"CricketX","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.594871794871795,1,"CricketX","xgboost"
"FFT (Re, Im) + quantiles",300,0.520512820512821,1,"CricketX","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.6,1,"CricketX","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.592307692307692,1,"CricketX","xgboost"
"catch22",22,0.602564102564103,2,"CricketX","xgboost"
"feasts",39,0.61025641025641,2,"CricketX","xgboost"
"tsfeatures",59,0.658974358974359,2,"CricketX","xgboost"
"TSFEL",143,0.638461538461538,2,"CricketX","xgboost"
"Kats",35,0.566666666666667,2,"CricketX","xgboost"
"tsfresh",734,0.71025641025641,2,"CricketX","xgboost"
"quantiles",101,0.520512820512821,2,"CricketX","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.605128205128205,2,"CricketX","xgboost"
"FFT coefficients",399,0.584615384615385,2,"CricketX","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.633333333333333,2,"CricketX","xgboost"
"FFT (Re, Im) + quantiles",300,0.58974358974359,2,"CricketX","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.61025641025641,2,"CricketX","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.62051282051282,2,"CricketX","xgboost"
"catch22",22,0.582051282051282,3,"CricketX","xgboost"
"feasts",39,0.561538461538462,3,"CricketX","xgboost"
"tsfeatures",59,0.658974358974359,3,"CricketX","xgboost"
"TSFEL",143,0.67948717948718,3,"CricketX","xgboost"
"Kats",35,0.57948717948718,3,"CricketX","xgboost"
"tsfresh",734,0.715384615384615,3,"CricketX","xgboost"
"quantiles",101,0.566666666666667,3,"CricketX","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.62051282051282,3,"CricketX","xgboost"
"FFT coefficients",399,0.57948717948718,3,"CricketX","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.646153846153846,3,"CricketX","xgboost"
"FFT (Re, Im) + quantiles",300,0.594871794871795,3,"CricketX","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.638461538461538,3,"CricketX","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.628205128205128,3,"CricketX","xgboost"
"catch22",22,0.58974358974359,4,"CricketX","xgboost"
"feasts",39,0.553846153846154,4,"CricketX","xgboost"
"tsfeatures",59,0.638461538461538,4,"CricketX","xgboost"
"TSFEL",143,0.648717948717949,4,"CricketX","xgboost"
"Kats",35,0.602564102564103,4,"CricketX","xgboost"
"tsfresh",734,0.67948717948718,4,"CricketX","xgboost"
"quantiles",101,0.541025641025641,4,"CricketX","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.633333333333333,4,"CricketX","xgboost"
"FFT coefficients",399,0.538461538461538,4,"CricketX","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.625641025641026,4,"CricketX","xgboost"
"FFT (Re, Im) + quantiles",300,0.574358974358974,4,"CricketX","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.633333333333333,4,"CricketX","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.638461538461538,4,"CricketX","xgboost"
"catch22",22,0.623076923076923,5,"CricketX","xgboost"
"feasts",39,0.612820512820513,5,"CricketX","xgboost"
"tsfeatures",59,0.684615384615385,5,"CricketX","xgboost"
"TSFEL",143,0.658974358974359,5,"CricketX","xgboost"
"Kats",35,0.643589743589744,5,"CricketX","xgboost"
"tsfresh",733,0.735897435897436,5,"CricketX","xgboost"
"quantiles",101,0.525641025641026,5,"CricketX","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.597435897435897,5,"CricketX","xgboost"
"FFT coefficients",399,0.543589743589744,5,"CricketX","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.612820512820513,5,"CricketX","xgboost"
"FFT (Re, Im) + quantiles",300,0.566666666666667,5,"CricketX","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.592307692307692,5,"CricketX","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.594871794871795,5,"CricketX","xgboost"
"catch22",22,0.625641025641026,6,"CricketX","xgboost"
"feasts",39,0.615384615384615,6,"CricketX","xgboost"
"tsfeatures",59,0.666666666666667,6,"CricketX","xgboost"
"TSFEL",143,0.653846153846154,6,"CricketX","xgboost"
"Kats",35,0.633333333333333,6,"CricketX","xgboost"
"tsfresh",734,0.712820512820513,6,"CricketX","xgboost"
"quantiles",101,0.525641025641026,6,"CricketX","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.635897435897436,6,"CricketX","xgboost"
"FFT coefficients",399,0.57948717948718,6,"CricketX","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.635897435897436,6,"CricketX","xgboost"
"FFT (Re, Im) + quantiles",300,0.587179487179487,6,"CricketX","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.635897435897436,6,"CricketX","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.641025641025641,6,"CricketX","xgboost"
"catch22",22,0.592307692307692,7,"CricketX","xgboost"
"feasts",39,0.602564102564103,7,"CricketX","xgboost"
"tsfeatures",59,0.674358974358974,7,"CricketX","xgboost"
"TSFEL",143,0.656410256410256,7,"CricketX","xgboost"
"Kats",35,0.57948717948718,7,"CricketX","xgboost"
"tsfresh",734,0.72051282051282,7,"CricketX","xgboost"
"quantiles",101,0.525641025641026,7,"CricketX","xgboost"
