"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.651309523809524,1,"Crop","xgboost"
"feasts",39,0.666666666666667,1,"Crop","xgboost"
"tsfeatures",57,0.68125,1,"Crop","xgboost"
"TSFEL",138,0.700654761904762,1,"Crop","xgboost"
"Kats",36,0.661011904761905,1,"Crop","xgboost"
"tsfresh",415,0.745119047619048,1,"Crop","xgboost"
"quantiles",101,0.511011904761905,1,"Crop","xgboost"
"FFT (Mag^2 + Angle) + quantiles",149,0.718869047619048,1,"Crop","xgboost"
"FFT coefficients",94,0.733809523809524,1,"Crop","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",195,0.73327380952381,1,"Crop","xgboost"
"FFT (Re, Im) + quantiles",147,0.733214285714286,1,"Crop","xgboost"
"FFT (Mag, Angle) + quantiles",149,0.718988095238095,1,"Crop","xgboost"
"FFT (log(Mag), Angle) + quantiles",148,0.71672619047619,1,"Crop","xgboost"
"catch22",22,0.658869047619048,2,"Crop","xgboost"
"feasts",40,0.665654761904762,2,"Crop","xgboost"
"tsfeatures",57,0.681190476190476,2,"Crop","xgboost"
"TSFEL",138,0.700535714285714,2,"Crop","xgboost"
"Kats",36,0.665654761904762,2,"Crop","xgboost"
"tsfresh",415,0.746190476190476,2,"Crop","xgboost"
"quantiles",101,0.508809523809524,2,"Crop","xgboost"
"FFT (Mag^2 + Angle) + quantiles",149,0.719166666666667,2,"Crop","xgboost"
"FFT coefficients",94,0.733869047619048,2,"Crop","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",195,0.73577380952381,2,"Crop","xgboost"
"FFT (Re, Im) + quantiles",147,0.732857142857143,2,"Crop","xgboost"
"FFT (Mag, Angle) + quantiles",149,0.718928571428571,2,"Crop","xgboost"
"FFT (log(Mag), Angle) + quantiles",148,0.720357142857143,2,"Crop","xgboost"
"catch22",22,0.653333333333333,3,"Crop","xgboost"
"feasts",39,0.662142857142857,3,"Crop","xgboost"
"tsfeatures",57,0.677678571428571,3,"Crop","xgboost"
"TSFEL",138,0.698690476190476,3,"Crop","xgboost"
"Kats",36,0.659404761904762,3,"Crop","xgboost"
"tsfresh",415,0.743392857142857,3,"Crop","xgboost"
"quantiles",101,0.503333333333333,3,"Crop","xgboost"
"FFT (Mag^2 + Angle) + quantiles",149,0.712142857142857,3,"Crop","xgboost"
"FFT coefficients",94,0.731428571428571,3,"Crop","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",195,0.730119047619048,3,"Crop","xgboost"
"FFT (Re, Im) + quantiles",147,0.728214285714286,3,"Crop","xgboost"
"FFT (Mag, Angle) + quantiles",149,0.71422619047619,3,"Crop","xgboost"
"FFT (log(Mag), Angle) + quantiles",148,0.711071428571429,3,"Crop","xgboost"
"catch22",22,0.654285714285714,4,"Crop","xgboost"
