"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",18,0.856209150326797,1,"DiatomSizeReduction","xgboost"
"2","feasts",34,0.839869281045752,1,"DiatomSizeReduction","xgboost"
"3","tsfeatures",58,0.888888888888889,1,"DiatomSizeReduction","xgboost"
"4","TSFEL",140,0.836601307189543,1,"DiatomSizeReduction","xgboost"
"5","Kats",35,0.803921568627451,1,"DiatomSizeReduction","xgboost"
"6","tsfresh",723,0.869281045751634,1,"DiatomSizeReduction","xgboost"
"7","quantiles",101,0.745098039215686,1,"DiatomSizeReduction","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.751633986928105,1,"DiatomSizeReduction","xgboost"
"9","catch22",18,0.852941176470588,2,"DiatomSizeReduction","xgboost"
"10","feasts",33,0.88562091503268,2,"DiatomSizeReduction","xgboost"
"11","tsfeatures",57,0.888888888888889,2,"DiatomSizeReduction","xgboost"
"12","TSFEL",140,0.830065359477124,2,"DiatomSizeReduction","xgboost"
"13","Kats",35,0.833333333333333,2,"DiatomSizeReduction","xgboost"
"14","tsfresh",724,0.856209150326797,2,"DiatomSizeReduction","xgboost"
"15","quantiles",101,0.862745098039216,2,"DiatomSizeReduction","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.879084967320261,2,"DiatomSizeReduction","xgboost"
"17","catch22",22,0.869281045751634,3,"DiatomSizeReduction","xgboost"
"18","feasts",36,0.869281045751634,3,"DiatomSizeReduction","xgboost"
"19","tsfeatures",57,0.888888888888889,3,"DiatomSizeReduction","xgboost"
"20","TSFEL",144,0.872549019607843,3,"DiatomSizeReduction","xgboost"
"21","Kats",35,0.859477124183007,3,"DiatomSizeReduction","xgboost"
"22","tsfresh",729,0.875816993464052,3,"DiatomSizeReduction","xgboost"
"23","quantiles",101,0.820261437908497,3,"DiatomSizeReduction","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.859477124183007,3,"DiatomSizeReduction","xgboost"
"25","catch22",16,0.88235294117647,4,"DiatomSizeReduction","xgboost"
"26","feasts",33,0.843137254901961,4,"DiatomSizeReduction","xgboost"
"27","tsfeatures",55,0.88235294117647,4,"DiatomSizeReduction","xgboost"
"28","TSFEL",140,0.84640522875817,4,"DiatomSizeReduction","xgboost"
