"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.778985507246377,1,"DistalPhalanxOutlineCorrect","xgboost"
"2","feasts",38,0.77536231884058,1,"DistalPhalanxOutlineCorrect","xgboost"
"3","tsfeatures",59,0.786231884057971,1,"DistalPhalanxOutlineCorrect","xgboost"
"4","TSFEL",142,0.768115942028985,1,"DistalPhalanxOutlineCorrect","xgboost"
"5","Kats",36,0.77536231884058,1,"DistalPhalanxOutlineCorrect","xgboost"
"6","tsfresh",485,0.789855072463768,1,"DistalPhalanxOutlineCorrect","xgboost"
"7","quantiles",101,0.742753623188406,1,"DistalPhalanxOutlineCorrect","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",183,0.793478260869565,1,"DistalPhalanxOutlineCorrect","xgboost"
"9","catch22",22,0.818840579710145,2,"DistalPhalanxOutlineCorrect","xgboost"
"10","feasts",38,0.807971014492754,2,"DistalPhalanxOutlineCorrect","xgboost"
"11","tsfeatures",59,0.815217391304348,2,"DistalPhalanxOutlineCorrect","xgboost"
"12","TSFEL",142,0.797101449275362,2,"DistalPhalanxOutlineCorrect","xgboost"
"13","Kats",36,0.786231884057971,2,"DistalPhalanxOutlineCorrect","xgboost"
"14","tsfresh",485,0.844202898550725,2,"DistalPhalanxOutlineCorrect","xgboost"
"15","quantiles",101,0.851449275362319,2,"DistalPhalanxOutlineCorrect","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",183,0.829710144927536,2,"DistalPhalanxOutlineCorrect","xgboost"
"17","catch22",22,0.786231884057971,3,"DistalPhalanxOutlineCorrect","xgboost"
"18","feasts",38,0.793478260869565,3,"DistalPhalanxOutlineCorrect","xgboost"
"19","tsfeatures",59,0.83695652173913,3,"DistalPhalanxOutlineCorrect","xgboost"
"20","TSFEL",142,0.829710144927536,3,"DistalPhalanxOutlineCorrect","xgboost"
"21","Kats",36,0.786231884057971,3,"DistalPhalanxOutlineCorrect","xgboost"
"22","tsfresh",485,0.851449275362319,3,"DistalPhalanxOutlineCorrect","xgboost"
"23","quantiles",101,0.818840579710145,3,"DistalPhalanxOutlineCorrect","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",183,0.844202898550725,3,"DistalPhalanxOutlineCorrect","xgboost"
"25","catch22",22,0.797101449275362,4,"DistalPhalanxOutlineCorrect","xgboost"
"26","feasts",37,0.789855072463768,4,"DistalPhalanxOutlineCorrect","xgboost"
"27","tsfeatures",59,0.815217391304348,4,"DistalPhalanxOutlineCorrect","xgboost"
"28","TSFEL",142,0.77536231884058,4,"DistalPhalanxOutlineCorrect","xgboost"
"29","Kats",36,0.789855072463768,4,"DistalPhalanxOutlineCorrect","xgboost"
"30","tsfresh",485,0.826086956521739,4,"DistalPhalanxOutlineCorrect","xgboost"
"31","quantiles",101,0.811594202898551,4,"DistalPhalanxOutlineCorrect","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",183,0.822463768115942,4,"DistalPhalanxOutlineCorrect","xgboost"
"33","catch22",22,0.815217391304348,5,"DistalPhalanxOutlineCorrect","xgboost"
"34","feasts",38,0.786231884057971,5,"DistalPhalanxOutlineCorrect","xgboost"
"35","tsfeatures",59,0.826086956521739,5,"DistalPhalanxOutlineCorrect","xgboost"
"36","TSFEL",142,0.782608695652174,5,"DistalPhalanxOutlineCorrect","xgboost"
"37","Kats",36,0.778985507246377,5,"DistalPhalanxOutlineCorrect","xgboost"
"38","tsfresh",485,0.826086956521739,5,"DistalPhalanxOutlineCorrect","xgboost"
"39","quantiles",101,0.797101449275362,5,"DistalPhalanxOutlineCorrect","xgboost"
"40","FFT (Mag^2 + Angle) + quantiles",183,0.804347826086957,5,"DistalPhalanxOutlineCorrect","xgboost"
"41","catch22",22,0.793478260869565,6,"DistalPhalanxOutlineCorrect","xgboost"
"42","feasts",38,0.815217391304348,6,"DistalPhalanxOutlineCorrect","xgboost"
"43","tsfeatures",59,0.83695652173913,6,"DistalPhalanxOutlineCorrect","xgboost"
"44","TSFEL",142,0.822463768115942,6,"DistalPhalanxOutlineCorrect","xgboost"
"45","Kats",36,0.793478260869565,6,"DistalPhalanxOutlineCorrect","xgboost"
"46","tsfresh",485,0.840579710144927,6,"DistalPhalanxOutlineCorrect","xgboost"
"47","quantiles",101,0.782608695652174,6,"DistalPhalanxOutlineCorrect","xgboost"
"48","FFT (Mag^2 + Angle) + quantiles",183,0.829710144927536,6,"DistalPhalanxOutlineCorrect","xgboost"
"49","catch22",22,0.804347826086957,7,"DistalPhalanxOutlineCorrect","xgboost"
"50","feasts",38,0.77536231884058,7,"DistalPhalanxOutlineCorrect","xgboost"
"51","tsfeatures",59,0.789855072463768,7,"DistalPhalanxOutlineCorrect","xgboost"
"52","TSFEL",142,0.782608695652174,7,"DistalPhalanxOutlineCorrect","xgboost"
"53","Kats",36,0.760869565217391,7,"DistalPhalanxOutlineCorrect","xgboost"
"54","tsfresh",484,0.807971014492754,7,"DistalPhalanxOutlineCorrect","xgboost"
"55","quantiles",101,0.786231884057971,7,"DistalPhalanxOutlineCorrect","xgboost"
"56","FFT (Mag^2 + Angle) + quantiles",183,0.807971014492754,7,"DistalPhalanxOutlineCorrect","xgboost"
"57","catch22",22,0.829710144927536,8,"DistalPhalanxOutlineCorrect","xgboost"
"58","feasts",34,0.840579710144927,8,"DistalPhalanxOutlineCorrect","xgboost"
"59","tsfeatures",59,0.818840579710145,8,"DistalPhalanxOutlineCorrect","xgboost"
"60","TSFEL",142,0.807971014492754,8,"DistalPhalanxOutlineCorrect","xgboost"
"61","Kats",36,0.818840579710145,8,"DistalPhalanxOutlineCorrect","xgboost"
"62","tsfresh",485,0.822463768115942,8,"DistalPhalanxOutlineCorrect","xgboost"
"63","quantiles",101,0.786231884057971,8,"DistalPhalanxOutlineCorrect","xgboost"
"64","FFT (Mag^2 + Angle) + quantiles",183,0.815217391304348,8,"DistalPhalanxOutlineCorrect","xgboost"
"65","catch22",22,0.833333333333333,9,"DistalPhalanxOutlineCorrect","xgboost"
"66","feasts",38,0.815217391304348,9,"DistalPhalanxOutlineCorrect","xgboost"
"67","tsfeatures",59,0.840579710144927,9,"DistalPhalanxOutlineCorrect","xgboost"
"68","TSFEL",142,0.855072463768116,9,"DistalPhalanxOutlineCorrect","xgboost"
"69","Kats",36,0.797101449275362,9,"DistalPhalanxOutlineCorrect","xgboost"
"70","tsfresh",484,0.844202898550725,9,"DistalPhalanxOutlineCorrect","xgboost"
"71","quantiles",101,0.807971014492754,9,"DistalPhalanxOutlineCorrect","xgboost"
"72","FFT (Mag^2 + Angle) + quantiles",183,0.826086956521739,9,"DistalPhalanxOutlineCorrect","xgboost"
"73","catch22",22,0.807971014492754,10,"DistalPhalanxOutlineCorrect","xgboost"
"74","feasts",37,0.847826086956522,10,"DistalPhalanxOutlineCorrect","xgboost"
"75","tsfeatures",59,0.833333333333333,10,"DistalPhalanxOutlineCorrect","xgboost"
"76","TSFEL",142,0.818840579710145,10,"DistalPhalanxOutlineCorrect","xgboost"
"77","Kats",36,0.811594202898551,10,"DistalPhalanxOutlineCorrect","xgboost"
"78","tsfresh",485,0.83695652173913,10,"DistalPhalanxOutlineCorrect","xgboost"
"79","quantiles",101,0.768115942028985,10,"DistalPhalanxOutlineCorrect","xgboost"
"80","FFT (Mag^2 + Angle) + quantiles",183,0.811594202898551,10,"DistalPhalanxOutlineCorrect","xgboost"
"81","catch22",22,0.807971014492754,11,"DistalPhalanxOutlineCorrect","xgboost"
"82","feasts",38,0.793478260869565,11,"DistalPhalanxOutlineCorrect","xgboost"
"83","tsfeatures",59,0.818840579710145,11,"DistalPhalanxOutlineCorrect","xgboost"
"84","TSFEL",142,0.807971014492754,11,"DistalPhalanxOutlineCorrect","xgboost"
"85","Kats",36,0.793478260869565,11,"DistalPhalanxOutlineCorrect","xgboost"
"86","tsfresh",485,0.822463768115942,11,"DistalPhalanxOutlineCorrect","xgboost"
"87","quantiles",101,0.77536231884058,11,"DistalPhalanxOutlineCorrect","xgboost"
"88","FFT (Mag^2 + Angle) + quantiles",183,0.807971014492754,11,"DistalPhalanxOutlineCorrect","xgboost"
"89","catch22",22,0.793478260869565,12,"DistalPhalanxOutlineCorrect","xgboost"
"90","feasts",37,0.811594202898551,12,"DistalPhalanxOutlineCorrect","xgboost"
"91","tsfeatures",59,0.815217391304348,12,"DistalPhalanxOutlineCorrect","xgboost"
"92","TSFEL",142,0.800724637681159,12,"DistalPhalanxOutlineCorrect","xgboost"
"93","Kats",36,0.768115942028985,12,"DistalPhalanxOutlineCorrect","xgboost"
"94","tsfresh",484,0.840579710144927,12,"DistalPhalanxOutlineCorrect","xgboost"
"95","quantiles",101,0.786231884057971,12,"DistalPhalanxOutlineCorrect","xgboost"
"96","FFT (Mag^2 + Angle) + quantiles",183,0.822463768115942,12,"DistalPhalanxOutlineCorrect","xgboost"
"97","catch22",22,0.807971014492754,13,"DistalPhalanxOutlineCorrect","xgboost"
"98","feasts",38,0.822463768115942,13,"DistalPhalanxOutlineCorrect","xgboost"
"99","tsfeatures",59,0.811594202898551,13,"DistalPhalanxOutlineCorrect","xgboost"
"100","TSFEL",142,0.822463768115942,13,"DistalPhalanxOutlineCorrect","xgboost"
"101","Kats",36,0.829710144927536,13,"DistalPhalanxOutlineCorrect","xgboost"
"102","tsfresh",484,0.83695652173913,13,"DistalPhalanxOutlineCorrect","xgboost"
"103","quantiles",101,0.778985507246377,13,"DistalPhalanxOutlineCorrect","xgboost"
"104","FFT (Mag^2 + Angle) + quantiles",183,0.822463768115942,13,"DistalPhalanxOutlineCorrect","xgboost"
"105","catch22",22,0.833333333333333,14,"DistalPhalanxOutlineCorrect","xgboost"
"106","feasts",37,0.818840579710145,14,"DistalPhalanxOutlineCorrect","xgboost"
"107","tsfeatures",59,0.840579710144927,14,"DistalPhalanxOutlineCorrect","xgboost"
"108","TSFEL",142,0.83695652173913,14,"DistalPhalanxOutlineCorrect","xgboost"
"109","Kats",36,0.844202898550725,14,"DistalPhalanxOutlineCorrect","xgboost"
"110","tsfresh",485,0.83695652173913,14,"DistalPhalanxOutlineCorrect","xgboost"
"111","quantiles",101,0.811594202898551,14,"DistalPhalanxOutlineCorrect","xgboost"
"112","FFT (Mag^2 + Angle) + quantiles",183,0.83695652173913,14,"DistalPhalanxOutlineCorrect","xgboost"
"113","catch22",22,0.847826086956522,15,"DistalPhalanxOutlineCorrect","xgboost"
"114","feasts",37,0.844202898550725,15,"DistalPhalanxOutlineCorrect","xgboost"
"115","tsfeatures",59,0.858695652173913,15,"DistalPhalanxOutlineCorrect","xgboost"
"116","TSFEL",142,0.822463768115942,15,"DistalPhalanxOutlineCorrect","xgboost"
"117","Kats",36,0.818840579710145,15,"DistalPhalanxOutlineCorrect","xgboost"
"118","tsfresh",485,0.876811594202899,15,"DistalPhalanxOutlineCorrect","xgboost"
"119","quantiles",101,0.826086956521739,15,"DistalPhalanxOutlineCorrect","xgboost"
"120","FFT (Mag^2 + Angle) + quantiles",183,0.840579710144927,15,"DistalPhalanxOutlineCorrect","xgboost"
"121","catch22",22,0.855072463768116,16,"DistalPhalanxOutlineCorrect","xgboost"
"122","feasts",38,0.851449275362319,16,"DistalPhalanxOutlineCorrect","xgboost"
"123","tsfeatures",59,0.876811594202899,16,"DistalPhalanxOutlineCorrect","xgboost"
"124","TSFEL",142,0.855072463768116,16,"DistalPhalanxOutlineCorrect","xgboost"
"125","Kats",36,0.818840579710145,16,"DistalPhalanxOutlineCorrect","xgboost"
"126","tsfresh",485,0.865942028985507,16,"DistalPhalanxOutlineCorrect","xgboost"
"127","quantiles",101,0.822463768115942,16,"DistalPhalanxOutlineCorrect","xgboost"
"128","FFT (Mag^2 + Angle) + quantiles",183,0.844202898550725,16,"DistalPhalanxOutlineCorrect","xgboost"
"129","catch22",22,0.811594202898551,17,"DistalPhalanxOutlineCorrect","xgboost"
"130","feasts",38,0.807971014492754,17,"DistalPhalanxOutlineCorrect","xgboost"
"131","tsfeatures",59,0.847826086956522,17,"DistalPhalanxOutlineCorrect","xgboost"
"132","TSFEL",142,0.822463768115942,17,"DistalPhalanxOutlineCorrect","xgboost"
"133","Kats",36,0.797101449275362,17,"DistalPhalanxOutlineCorrect","xgboost"
"134","tsfresh",484,0.826086956521739,17,"DistalPhalanxOutlineCorrect","xgboost"
"135","quantiles",101,0.786231884057971,17,"DistalPhalanxOutlineCorrect","xgboost"
"136","FFT (Mag^2 + Angle) + quantiles",183,0.829710144927536,17,"DistalPhalanxOutlineCorrect","xgboost"
"137","catch22",22,0.818840579710145,18,"DistalPhalanxOutlineCorrect","xgboost"
"138","feasts",38,0.782608695652174,18,"DistalPhalanxOutlineCorrect","xgboost"
"139","tsfeatures",59,0.847826086956522,18,"DistalPhalanxOutlineCorrect","xgboost"
"140","TSFEL",142,0.83695652173913,18,"DistalPhalanxOutlineCorrect","xgboost"
"141","Kats",36,0.771739130434783,18,"DistalPhalanxOutlineCorrect","xgboost"
"142","tsfresh",484,0.880434782608696,18,"DistalPhalanxOutlineCorrect","xgboost"
"143","quantiles",101,0.807971014492754,18,"DistalPhalanxOutlineCorrect","xgboost"
"144","FFT (Mag^2 + Angle) + quantiles",183,0.851449275362319,18,"DistalPhalanxOutlineCorrect","xgboost"
"145","catch22",22,0.847826086956522,19,"DistalPhalanxOutlineCorrect","xgboost"
"146","feasts",38,0.840579710144927,19,"DistalPhalanxOutlineCorrect","xgboost"
"147","tsfeatures",59,0.855072463768116,19,"DistalPhalanxOutlineCorrect","xgboost"
"148","TSFEL",142,0.840579710144927,19,"DistalPhalanxOutlineCorrect","xgboost"
"149","Kats",36,0.793478260869565,19,"DistalPhalanxOutlineCorrect","xgboost"
"150","tsfresh",485,0.840579710144927,19,"DistalPhalanxOutlineCorrect","xgboost"
"151","quantiles",101,0.829710144927536,19,"DistalPhalanxOutlineCorrect","xgboost"
"152","FFT (Mag^2 + Angle) + quantiles",183,0.822463768115942,19,"DistalPhalanxOutlineCorrect","xgboost"
"153","catch22",22,0.822463768115942,20,"DistalPhalanxOutlineCorrect","xgboost"
"154","feasts",38,0.786231884057971,20,"DistalPhalanxOutlineCorrect","xgboost"
"155","tsfeatures",59,0.822463768115942,20,"DistalPhalanxOutlineCorrect","xgboost"
"156","TSFEL",142,0.804347826086957,20,"DistalPhalanxOutlineCorrect","xgboost"
"157","Kats",36,0.786231884057971,20,"DistalPhalanxOutlineCorrect","xgboost"
"158","tsfresh",484,0.829710144927536,20,"DistalPhalanxOutlineCorrect","xgboost"
"159","quantiles",101,0.789855072463768,20,"DistalPhalanxOutlineCorrect","xgboost"
"160","FFT (Mag^2 + Angle) + quantiles",183,0.797101449275362,20,"DistalPhalanxOutlineCorrect","xgboost"
"161","catch22",22,0.826086956521739,21,"DistalPhalanxOutlineCorrect","xgboost"
"162","feasts",37,0.855072463768116,21,"DistalPhalanxOutlineCorrect","xgboost"
"163","tsfeatures",59,0.865942028985507,21,"DistalPhalanxOutlineCorrect","xgboost"
"164","TSFEL",142,0.829710144927536,21,"DistalPhalanxOutlineCorrect","xgboost"
"165","Kats",36,0.807971014492754,21,"DistalPhalanxOutlineCorrect","xgboost"
"166","tsfresh",485,0.865942028985507,21,"DistalPhalanxOutlineCorrect","xgboost"
"167","quantiles",101,0.811594202898551,21,"DistalPhalanxOutlineCorrect","xgboost"
"168","FFT (Mag^2 + Angle) + quantiles",183,0.844202898550725,21,"DistalPhalanxOutlineCorrect","xgboost"
"169","catch22",22,0.829710144927536,22,"DistalPhalanxOutlineCorrect","xgboost"
"170","feasts",37,0.851449275362319,22,"DistalPhalanxOutlineCorrect","xgboost"
"171","tsfeatures",59,0.833333333333333,22,"DistalPhalanxOutlineCorrect","xgboost"
"172","TSFEL",142,0.829710144927536,22,"DistalPhalanxOutlineCorrect","xgboost"
"173","Kats",36,0.83695652173913,22,"DistalPhalanxOutlineCorrect","xgboost"
"174","tsfresh",485,0.83695652173913,22,"DistalPhalanxOutlineCorrect","xgboost"
"175","quantiles",101,0.804347826086957,22,"DistalPhalanxOutlineCorrect","xgboost"
"176","FFT (Mag^2 + Angle) + quantiles",183,0.83695652173913,22,"DistalPhalanxOutlineCorrect","xgboost"
"177","catch22",22,0.829710144927536,23,"DistalPhalanxOutlineCorrect","xgboost"
"178","feasts",37,0.826086956521739,23,"DistalPhalanxOutlineCorrect","xgboost"
"179","tsfeatures",59,0.833333333333333,23,"DistalPhalanxOutlineCorrect","xgboost"
"180","TSFEL",142,0.815217391304348,23,"DistalPhalanxOutlineCorrect","xgboost"
"181","Kats",36,0.782608695652174,23,"DistalPhalanxOutlineCorrect","xgboost"
"182","tsfresh",485,0.826086956521739,23,"DistalPhalanxOutlineCorrect","xgboost"
"183","quantiles",101,0.804347826086957,23,"DistalPhalanxOutlineCorrect","xgboost"
"184","FFT (Mag^2 + Angle) + quantiles",183,0.811594202898551,23,"DistalPhalanxOutlineCorrect","xgboost"
"185","catch22",22,0.804347826086957,24,"DistalPhalanxOutlineCorrect","xgboost"
"186","feasts",36,0.826086956521739,24,"DistalPhalanxOutlineCorrect","xgboost"
"187","tsfeatures",59,0.851449275362319,24,"DistalPhalanxOutlineCorrect","xgboost"
"188","TSFEL",142,0.807971014492754,24,"DistalPhalanxOutlineCorrect","xgboost"
"189","Kats",36,0.833333333333333,24,"DistalPhalanxOutlineCorrect","xgboost"
"190","tsfresh",485,0.822463768115942,24,"DistalPhalanxOutlineCorrect","xgboost"
"191","quantiles",101,0.818840579710145,24,"DistalPhalanxOutlineCorrect","xgboost"
"192","FFT (Mag^2 + Angle) + quantiles",183,0.815217391304348,24,"DistalPhalanxOutlineCorrect","xgboost"
"193","catch22",22,0.822463768115942,25,"DistalPhalanxOutlineCorrect","xgboost"
"194","feasts",34,0.800724637681159,25,"DistalPhalanxOutlineCorrect","xgboost"
"195","tsfeatures",59,0.829710144927536,25,"DistalPhalanxOutlineCorrect","xgboost"
"196","TSFEL",142,0.800724637681159,25,"DistalPhalanxOutlineCorrect","xgboost"
"197","Kats",36,0.789855072463768,25,"DistalPhalanxOutlineCorrect","xgboost"
"198","tsfresh",484,0.815217391304348,25,"DistalPhalanxOutlineCorrect","xgboost"
"199","quantiles",101,0.77536231884058,25,"DistalPhalanxOutlineCorrect","xgboost"
"200","FFT (Mag^2 + Angle) + quantiles",183,0.807971014492754,25,"DistalPhalanxOutlineCorrect","xgboost"
"201","catch22",22,0.818840579710145,26,"DistalPhalanxOutlineCorrect","xgboost"
"202","feasts",38,0.800724637681159,26,"DistalPhalanxOutlineCorrect","xgboost"
"203","tsfeatures",59,0.826086956521739,26,"DistalPhalanxOutlineCorrect","xgboost"
"204","TSFEL",142,0.789855072463768,26,"DistalPhalanxOutlineCorrect","xgboost"
"205","Kats",36,0.804347826086957,26,"DistalPhalanxOutlineCorrect","xgboost"
"206","tsfresh",485,0.800724637681159,26,"DistalPhalanxOutlineCorrect","xgboost"
"207","quantiles",101,0.807971014492754,26,"DistalPhalanxOutlineCorrect","xgboost"
"208","FFT (Mag^2 + Angle) + quantiles",183,0.811594202898551,26,"DistalPhalanxOutlineCorrect","xgboost"
"209","catch22",22,0.822463768115942,27,"DistalPhalanxOutlineCorrect","xgboost"
"210","feasts",38,0.793478260869565,27,"DistalPhalanxOutlineCorrect","xgboost"
"211","tsfeatures",59,0.829710144927536,27,"DistalPhalanxOutlineCorrect","xgboost"
"212","TSFEL",142,0.807971014492754,27,"DistalPhalanxOutlineCorrect","xgboost"
"213","Kats",36,0.800724637681159,27,"DistalPhalanxOutlineCorrect","xgboost"
"214","tsfresh",485,0.822463768115942,27,"DistalPhalanxOutlineCorrect","xgboost"
"215","quantiles",101,0.797101449275362,27,"DistalPhalanxOutlineCorrect","xgboost"
"216","FFT (Mag^2 + Angle) + quantiles",183,0.818840579710145,27,"DistalPhalanxOutlineCorrect","xgboost"
"217","catch22",22,0.807971014492754,28,"DistalPhalanxOutlineCorrect","xgboost"
"218","feasts",38,0.797101449275362,28,"DistalPhalanxOutlineCorrect","xgboost"
"219","tsfeatures",59,0.847826086956522,28,"DistalPhalanxOutlineCorrect","xgboost"
"220","TSFEL",142,0.833333333333333,28,"DistalPhalanxOutlineCorrect","xgboost"
"221","Kats",36,0.800724637681159,28,"DistalPhalanxOutlineCorrect","xgboost"
"222","tsfresh",484,0.83695652173913,28,"DistalPhalanxOutlineCorrect","xgboost"
"223","quantiles",101,0.804347826086957,28,"DistalPhalanxOutlineCorrect","xgboost"
"224","FFT (Mag^2 + Angle) + quantiles",183,0.807971014492754,28,"DistalPhalanxOutlineCorrect","xgboost"
"225","catch22",22,0.83695652173913,29,"DistalPhalanxOutlineCorrect","xgboost"
"226","feasts",38,0.811594202898551,29,"DistalPhalanxOutlineCorrect","xgboost"
"227","tsfeatures",59,0.840579710144927,29,"DistalPhalanxOutlineCorrect","xgboost"
"228","TSFEL",142,0.829710144927536,29,"DistalPhalanxOutlineCorrect","xgboost"
"229","Kats",36,0.840579710144927,29,"DistalPhalanxOutlineCorrect","xgboost"
"230","tsfresh",485,0.851449275362319,29,"DistalPhalanxOutlineCorrect","xgboost"
"231","quantiles",101,0.844202898550725,29,"DistalPhalanxOutlineCorrect","xgboost"
"232","FFT (Mag^2 + Angle) + quantiles",183,0.851449275362319,29,"DistalPhalanxOutlineCorrect","xgboost"
"233","catch22",22,0.829710144927536,30,"DistalPhalanxOutlineCorrect","xgboost"
"234","feasts",38,0.83695652173913,30,"DistalPhalanxOutlineCorrect","xgboost"
"235","tsfeatures",59,0.844202898550725,30,"DistalPhalanxOutlineCorrect","xgboost"
"236","TSFEL",142,0.83695652173913,30,"DistalPhalanxOutlineCorrect","xgboost"
"237","Kats",36,0.826086956521739,30,"DistalPhalanxOutlineCorrect","xgboost"
"238","tsfresh",485,0.86231884057971,30,"DistalPhalanxOutlineCorrect","xgboost"
"239","quantiles",101,0.844202898550725,30,"DistalPhalanxOutlineCorrect","xgboost"
"240","FFT (Mag^2 + Angle) + quantiles",183,0.815217391304348,30,"DistalPhalanxOutlineCorrect","xgboost"
"241","FFT coef. (Mag^2 + Angle)",82,0.782608695652174,1,"DistalPhalanxOutlineCorrect","xgboost"
"242","FFT coef. (Mag^2 + Angle)",82,0.829710144927536,2,"DistalPhalanxOutlineCorrect","xgboost"
"243","FFT coef. (Mag^2 + Angle)",82,0.826086956521739,3,"DistalPhalanxOutlineCorrect","xgboost"
"244","FFT coef. (Mag^2 + Angle)",82,0.797101449275362,4,"DistalPhalanxOutlineCorrect","xgboost"
"245","FFT coef. (Mag^2 + Angle)",82,0.818840579710145,5,"DistalPhalanxOutlineCorrect","xgboost"
"246","FFT coef. (Mag^2 + Angle)",82,0.833333333333333,6,"DistalPhalanxOutlineCorrect","xgboost"
"247","FFT coef. (Mag^2 + Angle)",82,0.815217391304348,7,"DistalPhalanxOutlineCorrect","xgboost"
"248","FFT coef. (Mag^2 + Angle)",82,0.815217391304348,8,"DistalPhalanxOutlineCorrect","xgboost"
