"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.968253968253968,1,"DodgerLoopWeekend","xgboost"
"2","feasts",35,0.865079365079365,1,"DodgerLoopWeekend","xgboost"
"3","tsfeatures",57,0.944444444444444,1,"DodgerLoopWeekend","xgboost"
"4","TSFEL",143,0.968253968253968,1,"DodgerLoopWeekend","xgboost"
"5","Kats",36,0.944444444444444,1,"DodgerLoopWeekend","xgboost"
"6","tsfresh",726,0.968253968253968,1,"DodgerLoopWeekend","xgboost"
"7","quantiles",101,0.896825396825397,1,"DodgerLoopWeekend","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.944444444444444,1,"DodgerLoopWeekend","xgboost"
"9","catch22",22,0.896825396825397,2,"DodgerLoopWeekend","xgboost"
"10","feasts",35,0.849206349206349,2,"DodgerLoopWeekend","xgboost"
"11","tsfeatures",57,0.865079365079365,2,"DodgerLoopWeekend","xgboost"
"12","TSFEL",143,0.952380952380952,2,"DodgerLoopWeekend","xgboost"
"13","Kats",36,0.920634920634921,2,"DodgerLoopWeekend","xgboost"
"14","tsfresh",727,0.944444444444444,2,"DodgerLoopWeekend","xgboost"
"15","quantiles",101,0.865079365079365,2,"DodgerLoopWeekend","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.873015873015873,2,"DodgerLoopWeekend","xgboost"
"17","catch22",22,0.912698412698413,3,"DodgerLoopWeekend","xgboost"
"18","feasts",35,0.825396825396825,3,"DodgerLoopWeekend","xgboost"
"19","tsfeatures",57,0.880952380952381,3,"DodgerLoopWeekend","xgboost"
"20","TSFEL",141,0.896825396825397,3,"DodgerLoopWeekend","xgboost"
"21","Kats",36,0.753968253968254,3,"DodgerLoopWeekend","xgboost"
"22","tsfresh",726,0.920634920634921,3,"DodgerLoopWeekend","xgboost"
"23","quantiles",101,0.896825396825397,3,"DodgerLoopWeekend","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.857142857142857,3,"DodgerLoopWeekend","xgboost"
"25","catch22",22,0.968253968253968,4,"DodgerLoopWeekend","xgboost"
"26","feasts",35,0.857142857142857,4,"DodgerLoopWeekend","xgboost"
"27","tsfeatures",57,0.944444444444444,4,"DodgerLoopWeekend","xgboost"
"28","TSFEL",141,0.968253968253968,4,"DodgerLoopWeekend","xgboost"
"29","Kats",36,0.944444444444444,4,"DodgerLoopWeekend","xgboost"
"30","tsfresh",727,0.96031746031746,4,"DodgerLoopWeekend","xgboost"
"31","quantiles",101,0.880952380952381,4,"DodgerLoopWeekend","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.833333333333333,4,"DodgerLoopWeekend","xgboost"
"33","catch22",22,0.96031746031746,5,"DodgerLoopWeekend","xgboost"
"34","feasts",36,0.801587301587302,5,"DodgerLoopWeekend","xgboost"
"35","tsfeatures",57,0.944444444444444,5,"DodgerLoopWeekend","xgboost"
"36","TSFEL",143,0.976190476190476,5,"DodgerLoopWeekend","xgboost"
"37","Kats",36,0.96031746031746,5,"DodgerLoopWeekend","xgboost"
"38","tsfresh",728,0.992063492063492,5,"DodgerLoopWeekend","xgboost"
"39","quantiles",101,0.888888888888889,5,"DodgerLoopWeekend","xgboost"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.952380952380952,5,"DodgerLoopWeekend","xgboost"
"41","catch22",22,0.968253968253968,6,"DodgerLoopWeekend","xgboost"
"42","feasts",35,0.873015873015873,6,"DodgerLoopWeekend","xgboost"
"43","tsfeatures",57,0.936507936507937,6,"DodgerLoopWeekend","xgboost"
"44","TSFEL",141,0.952380952380952,6,"DodgerLoopWeekend","xgboost"
"45","Kats",36,0.936507936507937,6,"DodgerLoopWeekend","xgboost"
"46","tsfresh",727,0.952380952380952,6,"DodgerLoopWeekend","xgboost"
"47","quantiles",101,0.912698412698413,6,"DodgerLoopWeekend","xgboost"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.96031746031746,6,"DodgerLoopWeekend","xgboost"
"49","catch22",22,0.944444444444444,7,"DodgerLoopWeekend","xgboost"
"50","feasts",35,0.857142857142857,7,"DodgerLoopWeekend","xgboost"
"51","tsfeatures",57,0.880952380952381,7,"DodgerLoopWeekend","xgboost"
"52","TSFEL",141,0.912698412698413,7,"DodgerLoopWeekend","xgboost"
"53","Kats",36,0.944444444444444,7,"DodgerLoopWeekend","xgboost"
"54","tsfresh",727,0.873015873015873,7,"DodgerLoopWeekend","xgboost"
"55","quantiles",101,0.841269841269841,7,"DodgerLoopWeekend","xgboost"
