"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.936888888888889,1,"ECG5000","xgboost"
"feasts",36,0.933333333333333,1,"ECG5000","xgboost"
"tsfeatures",59,0.940444444444444,1,"ECG5000","xgboost"
"TSFEL",144,0.935111111111111,1,"ECG5000","xgboost"
"Kats",36,0.936444444444444,1,"ECG5000","xgboost"
"tsfresh",614,0.942888888888889,1,"ECG5000","xgboost"
"quantiles",101,0.930666666666667,1,"ECG5000","xgboost"
"FFT (Mag^2 + Angle) + quantiles",243,0.934444444444444,1,"ECG5000","xgboost"
"FFT coefficients",282,0.934222222222222,1,"ECG5000","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",383,0.936222222222222,1,"ECG5000","xgboost"
"FFT (Re, Im) + quantiles",241,0.936888888888889,1,"ECG5000","xgboost"
"FFT (Mag, Angle) + quantiles",243,0.934444444444444,1,"ECG5000","xgboost"
"FFT (log(Mag), Angle) + quantiles",242,0.935111111111111,1,"ECG5000","xgboost"
"catch22",22,0.936666666666667,2,"ECG5000","xgboost"
"feasts",36,0.933555555555556,2,"ECG5000","xgboost"
"tsfeatures",59,0.942444444444444,2,"ECG5000","xgboost"
"TSFEL",144,0.934,2,"ECG5000","xgboost"
"Kats",36,0.938,2,"ECG5000","xgboost"
"tsfresh",619,0.943555555555556,2,"ECG5000","xgboost"
"quantiles",101,0.931111111111111,2,"ECG5000","xgboost"
"FFT (Mag^2 + Angle) + quantiles",243,0.934,2,"ECG5000","xgboost"
"FFT coefficients",282,0.935555555555556,2,"ECG5000","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",383,0.937111111111111,2,"ECG5000","xgboost"
"FFT (Re, Im) + quantiles",241,0.942,2,"ECG5000","xgboost"
"FFT (Mag, Angle) + quantiles",243,0.935555555555556,2,"ECG5000","xgboost"
"FFT (log(Mag), Angle) + quantiles",242,0.933777777777778,2,"ECG5000","xgboost"
"catch22",22,0.936888888888889,3,"ECG5000","xgboost"
"feasts",36,0.937111111111111,3,"ECG5000","xgboost"
"tsfeatures",59,0.936888888888889,3,"ECG5000","xgboost"
"TSFEL",144,0.937777777777778,3,"ECG5000","xgboost"
"Kats",35,0.933777777777778,3,"ECG5000","xgboost"
"tsfresh",619,0.942888888888889,3,"ECG5000","xgboost"
"quantiles",101,0.936666666666667,3,"ECG5000","xgboost"
"FFT (Mag^2 + Angle) + quantiles",243,0.935111111111111,3,"ECG5000","xgboost"
"FFT coefficients",282,0.935333333333333,3,"ECG5000","xgboost"
