"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.44475138121547,1,"EOGVerticalSignal","xgboost"
"feasts",37,0.375690607734807,1,"EOGVerticalSignal","xgboost"
"tsfeatures",59,0.477900552486188,1,"EOGVerticalSignal","xgboost"
"TSFEL",144,0.389502762430939,1,"EOGVerticalSignal","xgboost"
"Kats",36,0.389502762430939,1,"EOGVerticalSignal","xgboost"
"tsfresh",744,0.42817679558011,1,"EOGVerticalSignal","xgboost"
"quantiles",101,0.359116022099448,1,"EOGVerticalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.42817679558011,1,"EOGVerticalSignal","xgboost"
"FFT coefficients",399,0.389502762430939,1,"EOGVerticalSignal","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.450276243093923,1,"EOGVerticalSignal","xgboost"
"FFT (Re, Im) + quantiles",300,0.441988950276243,1,"EOGVerticalSignal","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.417127071823204,1,"EOGVerticalSignal","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.417127071823204,1,"EOGVerticalSignal","xgboost"
"catch22",22,0.57182320441989,2,"EOGVerticalSignal","xgboost"
"feasts",37,0.580110497237569,2,"EOGVerticalSignal","xgboost"
"tsfeatures",59,0.61878453038674,2,"EOGVerticalSignal","xgboost"
"TSFEL",144,0.582872928176796,2,"EOGVerticalSignal","xgboost"
"Kats",36,0.538674033149171,2,"EOGVerticalSignal","xgboost"
"tsfresh",745,0.624309392265193,2,"EOGVerticalSignal","xgboost"
"quantiles",101,0.486187845303867,2,"EOGVerticalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.55524861878453,2,"EOGVerticalSignal","xgboost"
"FFT coefficients",399,0.494475138121547,2,"EOGVerticalSignal","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.55524861878453,2,"EOGVerticalSignal","xgboost"
"FFT (Re, Im) + quantiles",300,0.56353591160221,2,"EOGVerticalSignal","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.55524861878453,2,"EOGVerticalSignal","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.558011049723757,2,"EOGVerticalSignal","xgboost"
"catch22",22,0.624309392265193,3,"EOGVerticalSignal","xgboost"
"feasts",37,0.621546961325967,3,"EOGVerticalSignal","xgboost"
"tsfeatures",59,0.654696132596685,3,"EOGVerticalSignal","xgboost"
"TSFEL",144,0.582872928176796,3,"EOGVerticalSignal","xgboost"
"Kats",36,0.604972375690608,3,"EOGVerticalSignal","xgboost"
"tsfresh",745,0.654696132596685,3,"EOGVerticalSignal","xgboost"
"quantiles",101,0.483425414364641,3,"EOGVerticalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.558011049723757,3,"EOGVerticalSignal","xgboost"
"FFT coefficients",399,0.49171270718232,3,"EOGVerticalSignal","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.591160220994475,3,"EOGVerticalSignal","xgboost"
"FFT (Re, Im) + quantiles",300,0.574585635359116,3,"EOGVerticalSignal","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.566298342541437,3,"EOGVerticalSignal","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.566298342541437,3,"EOGVerticalSignal","xgboost"
"catch22",22,0.596685082872928,4,"EOGVerticalSignal","xgboost"
"feasts",37,0.6353591160221,4,"EOGVerticalSignal","xgboost"
"tsfeatures",59,0.662983425414365,4,"EOGVerticalSignal","xgboost"
"TSFEL",144,0.582872928176796,4,"EOGVerticalSignal","xgboost"
"Kats",36,0.602209944751381,4,"EOGVerticalSignal","xgboost"
"tsfresh",745,0.629834254143646,4,"EOGVerticalSignal","xgboost"
"quantiles",101,0.480662983425414,4,"EOGVerticalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.552486187845304,4,"EOGVerticalSignal","xgboost"
"FFT coefficients",399,0.511049723756906,4,"EOGVerticalSignal","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.566298342541437,4,"EOGVerticalSignal","xgboost"
"FFT (Re, Im) + quantiles",300,0.585635359116022,4,"EOGVerticalSignal","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.549723756906077,4,"EOGVerticalSignal","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.538674033149171,4,"EOGVerticalSignal","xgboost"
"catch22",22,0.569060773480663,5,"EOGVerticalSignal","xgboost"
"feasts",37,0.599447513812155,5,"EOGVerticalSignal","xgboost"
"tsfeatures",59,0.660220994475138,5,"EOGVerticalSignal","xgboost"
"TSFEL",144,0.580110497237569,5,"EOGVerticalSignal","xgboost"
"Kats",36,0.57182320441989,5,"EOGVerticalSignal","xgboost"
"tsfresh",745,0.6353591160221,5,"EOGVerticalSignal","xgboost"
"quantiles",101,0.511049723756906,5,"EOGVerticalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.56353591160221,5,"EOGVerticalSignal","xgboost"
"FFT coefficients",399,0.533149171270718,5,"EOGVerticalSignal","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.591160220994475,5,"EOGVerticalSignal","xgboost"
"FFT (Re, Im) + quantiles",300,0.596685082872928,5,"EOGVerticalSignal","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.566298342541437,5,"EOGVerticalSignal","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.566298342541437,5,"EOGVerticalSignal","xgboost"
"catch22",22,0.558011049723757,6,"EOGVerticalSignal","xgboost"
"feasts",37,0.596685082872928,6,"EOGVerticalSignal","xgboost"
"tsfeatures",59,0.632596685082873,6,"EOGVerticalSignal","xgboost"
"TSFEL",144,0.580110497237569,6,"EOGVerticalSignal","xgboost"
"Kats",36,0.569060773480663,6,"EOGVerticalSignal","xgboost"
"tsfresh",745,0.61878453038674,6,"EOGVerticalSignal","xgboost"
"quantiles",101,0.516574585635359,6,"EOGVerticalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.560773480662983,6,"EOGVerticalSignal","xgboost"
"FFT coefficients",399,0.519337016574586,6,"EOGVerticalSignal","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.57182320441989,6,"EOGVerticalSignal","xgboost"
"FFT (Re, Im) + quantiles",300,0.591160220994475,6,"EOGVerticalSignal","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.57182320441989,6,"EOGVerticalSignal","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.582872928176796,6,"EOGVerticalSignal","xgboost"
"catch22",22,0.577348066298343,7,"EOGVerticalSignal","xgboost"
"feasts",37,0.610497237569061,7,"EOGVerticalSignal","xgboost"
"tsfeatures",59,0.62707182320442,7,"EOGVerticalSignal","xgboost"
"TSFEL",144,0.593922651933702,7,"EOGVerticalSignal","xgboost"
"Kats",36,0.604972375690608,7,"EOGVerticalSignal","xgboost"
"tsfresh",745,0.621546961325967,7,"EOGVerticalSignal","xgboost"
"quantiles",101,0.49171270718232,7,"EOGVerticalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.55524861878453,7,"EOGVerticalSignal","xgboost"
"FFT coefficients",399,0.502762430939227,7,"EOGVerticalSignal","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.558011049723757,7,"EOGVerticalSignal","xgboost"
"FFT (Re, Im) + quantiles",300,0.541436464088398,7,"EOGVerticalSignal","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.549723756906077,7,"EOGVerticalSignal","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.546961325966851,7,"EOGVerticalSignal","xgboost"
"catch22",22,0.616022099447514,8,"EOGVerticalSignal","xgboost"
"feasts",37,0.621546961325967,8,"EOGVerticalSignal","xgboost"
"tsfeatures",59,0.649171270718232,8,"EOGVerticalSignal","xgboost"
"TSFEL",144,0.574585635359116,8,"EOGVerticalSignal","xgboost"
"Kats",36,0.582872928176796,8,"EOGVerticalSignal","xgboost"
"tsfresh",745,0.62707182320442,8,"EOGVerticalSignal","xgboost"
"quantiles",101,0.480662983425414,8,"EOGVerticalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.546961325966851,8,"EOGVerticalSignal","xgboost"
"FFT coefficients",399,0.50828729281768,8,"EOGVerticalSignal","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.57182320441989,8,"EOGVerticalSignal","xgboost"
"FFT (Re, Im) + quantiles",300,0.580110497237569,8,"EOGVerticalSignal","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.544198895027624,8,"EOGVerticalSignal","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.535911602209945,8,"EOGVerticalSignal","xgboost"
"catch22",22,0.585635359116022,9,"EOGVerticalSignal","xgboost"
"feasts",37,0.591160220994475,9,"EOGVerticalSignal","xgboost"
"tsfeatures",59,0.654696132596685,9,"EOGVerticalSignal","xgboost"
"TSFEL",144,0.588397790055249,9,"EOGVerticalSignal","xgboost"
"Kats",36,0.610497237569061,9,"EOGVerticalSignal","xgboost"
"tsfresh",745,0.649171270718232,9,"EOGVerticalSignal","xgboost"
"quantiles",101,0.49171270718232,9,"EOGVerticalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.577348066298343,9,"EOGVerticalSignal","xgboost"
"FFT coefficients",399,0.516574585635359,9,"EOGVerticalSignal","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.577348066298343,9,"EOGVerticalSignal","xgboost"
"FFT (Re, Im) + quantiles",300,0.577348066298343,9,"EOGVerticalSignal","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.569060773480663,9,"EOGVerticalSignal","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.585635359116022,9,"EOGVerticalSignal","xgboost"
"catch22",22,0.599447513812155,10,"EOGVerticalSignal","xgboost"
"feasts",37,0.593922651933702,10,"EOGVerticalSignal","xgboost"
"tsfeatures",59,0.632596685082873,10,"EOGVerticalSignal","xgboost"
"TSFEL",144,0.55524861878453,10,"EOGVerticalSignal","xgboost"
"Kats",36,0.57182320441989,10,"EOGVerticalSignal","xgboost"
"tsfresh",745,0.599447513812155,10,"EOGVerticalSignal","xgboost"
"quantiles",101,0.450276243093923,10,"EOGVerticalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.535911602209945,10,"EOGVerticalSignal","xgboost"
"FFT coefficients",399,0.477900552486188,10,"EOGVerticalSignal","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.549723756906077,10,"EOGVerticalSignal","xgboost"
"FFT (Re, Im) + quantiles",300,0.56353591160221,10,"EOGVerticalSignal","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.538674033149171,10,"EOGVerticalSignal","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.535911602209945,10,"EOGVerticalSignal","xgboost"
"catch22",22,0.569060773480663,11,"EOGVerticalSignal","xgboost"
"feasts",37,0.604972375690608,11,"EOGVerticalSignal","xgboost"
"tsfeatures",59,0.632596685082873,11,"EOGVerticalSignal","xgboost"
"TSFEL",144,0.552486187845304,11,"EOGVerticalSignal","xgboost"
"Kats",36,0.569060773480663,11,"EOGVerticalSignal","xgboost"
"tsfresh",745,0.640883977900553,11,"EOGVerticalSignal","xgboost"
"quantiles",101,0.461325966850829,11,"EOGVerticalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.57182320441989,11,"EOGVerticalSignal","xgboost"
"FFT coefficients",399,0.513812154696133,11,"EOGVerticalSignal","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.582872928176796,11,"EOGVerticalSignal","xgboost"
"FFT (Re, Im) + quantiles",300,0.580110497237569,11,"EOGVerticalSignal","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.558011049723757,11,"EOGVerticalSignal","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.558011049723757,11,"EOGVerticalSignal","xgboost"
"catch22",22,0.610497237569061,12,"EOGVerticalSignal","xgboost"
"feasts",37,0.62707182320442,12,"EOGVerticalSignal","xgboost"
"tsfeatures",59,0.643646408839779,12,"EOGVerticalSignal","xgboost"
"TSFEL",144,0.580110497237569,12,"EOGVerticalSignal","xgboost"
"Kats",36,0.585635359116022,12,"EOGVerticalSignal","xgboost"
"tsfresh",745,0.624309392265193,12,"EOGVerticalSignal","xgboost"
"quantiles",101,0.511049723756906,12,"EOGVerticalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.582872928176796,12,"EOGVerticalSignal","xgboost"
"FFT coefficients",399,0.5,12,"EOGVerticalSignal","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.599447513812155,12,"EOGVerticalSignal","xgboost"
"FFT (Re, Im) + quantiles",300,0.580110497237569,12,"EOGVerticalSignal","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.574585635359116,12,"EOGVerticalSignal","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.574585635359116,12,"EOGVerticalSignal","xgboost"
"catch22",22,0.588397790055249,13,"EOGVerticalSignal","xgboost"
"feasts",37,0.624309392265193,13,"EOGVerticalSignal","xgboost"
"tsfeatures",59,0.665745856353591,13,"EOGVerticalSignal","xgboost"
"TSFEL",144,0.57182320441989,13,"EOGVerticalSignal","xgboost"
"Kats",36,0.580110497237569,13,"EOGVerticalSignal","xgboost"
"tsfresh",745,0.638121546961326,13,"EOGVerticalSignal","xgboost"
"quantiles",101,0.5,13,"EOGVerticalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.566298342541437,13,"EOGVerticalSignal","xgboost"
"FFT coefficients",399,0.488950276243094,13,"EOGVerticalSignal","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.602209944751381,13,"EOGVerticalSignal","xgboost"
"FFT (Re, Im) + quantiles",300,0.599447513812155,13,"EOGVerticalSignal","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.569060773480663,13,"EOGVerticalSignal","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.574585635359116,13,"EOGVerticalSignal","xgboost"
"catch22",22,0.582872928176796,14,"EOGVerticalSignal","xgboost"
"feasts",37,0.602209944751381,14,"EOGVerticalSignal","xgboost"
"tsfeatures",59,0.6353591160221,14,"EOGVerticalSignal","xgboost"
"TSFEL",144,0.566298342541437,14,"EOGVerticalSignal","xgboost"
"Kats",36,0.593922651933702,14,"EOGVerticalSignal","xgboost"
"tsfresh",745,0.649171270718232,14,"EOGVerticalSignal","xgboost"
"quantiles",101,0.488950276243094,14,"EOGVerticalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.57182320441989,14,"EOGVerticalSignal","xgboost"
"FFT coefficients",399,0.49171270718232,14,"EOGVerticalSignal","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.591160220994475,14,"EOGVerticalSignal","xgboost"
"FFT (Re, Im) + quantiles",300,0.582872928176796,14,"EOGVerticalSignal","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.55524861878453,14,"EOGVerticalSignal","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.57182320441989,14,"EOGVerticalSignal","xgboost"
"catch22",22,0.604972375690608,15,"EOGVerticalSignal","xgboost"
"feasts",37,0.580110497237569,15,"EOGVerticalSignal","xgboost"
"tsfeatures",59,0.629834254143646,15,"EOGVerticalSignal","xgboost"
"TSFEL",144,0.588397790055249,15,"EOGVerticalSignal","xgboost"
"Kats",36,0.552486187845304,15,"EOGVerticalSignal","xgboost"
"tsfresh",745,0.629834254143646,15,"EOGVerticalSignal","xgboost"
"quantiles",101,0.5,15,"EOGVerticalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.558011049723757,15,"EOGVerticalSignal","xgboost"
"FFT coefficients",399,0.480662983425414,15,"EOGVerticalSignal","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.549723756906077,15,"EOGVerticalSignal","xgboost"
"FFT (Re, Im) + quantiles",300,0.55524861878453,15,"EOGVerticalSignal","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.538674033149171,15,"EOGVerticalSignal","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.541436464088398,15,"EOGVerticalSignal","xgboost"
"catch22",22,0.621546961325967,16,"EOGVerticalSignal","xgboost"
"feasts",37,0.624309392265193,16,"EOGVerticalSignal","xgboost"
"tsfeatures",59,0.665745856353591,16,"EOGVerticalSignal","xgboost"
"TSFEL",144,0.62707182320442,16,"EOGVerticalSignal","xgboost"
"Kats",36,0.599447513812155,16,"EOGVerticalSignal","xgboost"
"tsfresh",745,0.676795580110497,16,"EOGVerticalSignal","xgboost"
"quantiles",101,0.49171270718232,16,"EOGVerticalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.580110497237569,16,"EOGVerticalSignal","xgboost"
"FFT coefficients",399,0.541436464088398,16,"EOGVerticalSignal","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.621546961325967,16,"EOGVerticalSignal","xgboost"
"FFT (Re, Im) + quantiles",300,0.621546961325967,16,"EOGVerticalSignal","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.585635359116022,16,"EOGVerticalSignal","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.593922651933702,16,"EOGVerticalSignal","xgboost"
"catch22",22,0.6353591160221,17,"EOGVerticalSignal","xgboost"
"feasts",37,0.632596685082873,17,"EOGVerticalSignal","xgboost"
"tsfeatures",59,0.665745856353591,17,"EOGVerticalSignal","xgboost"
"TSFEL",144,0.580110497237569,17,"EOGVerticalSignal","xgboost"
"Kats",36,0.591160220994475,17,"EOGVerticalSignal","xgboost"
"tsfresh",745,0.629834254143646,17,"EOGVerticalSignal","xgboost"
"quantiles",101,0.480662983425414,17,"EOGVerticalSignal","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.558011049723757,17,"EOGVerticalSignal","xgboost"
"FFT coefficients",399,0.511049723756906,17,"EOGVerticalSignal","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.569060773480663,17,"EOGVerticalSignal","xgboost"
"FFT (Re, Im) + quantiles",300,0.577348066298343,17,"EOGVerticalSignal","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.535911602209945,17,"EOGVerticalSignal","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.538674033149171,17,"EOGVerticalSignal","xgboost"
"catch22",22,0.62707182320442,18,"EOGVerticalSignal","xgboost"
"feasts",37,0.643646408839779,18,"EOGVerticalSignal","xgboost"
"tsfeatures",59,0.68232044198895,18,"EOGVerticalSignal","xgboost"
"TSFEL",144,0.607734806629834,18,"EOGVerticalSignal","xgboost"
"Kats",36,0.674033149171271,18,"EOGVerticalSignal","xgboost"
"tsfresh",745,0.649171270718232,18,"EOGVerticalSignal","xgboost"
