"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.853768577494692,1,"ElectricDeviceDetection","xgboost"
"feasts",36,0.859872611464968,1,"ElectricDeviceDetection","xgboost"
"tsfeatures",57,0.863322717622081,1,"ElectricDeviceDetection","xgboost"
"TSFEL",146,0.863057324840764,1,"ElectricDeviceDetection","xgboost"
"Kats",36,0.857749469214437,1,"ElectricDeviceDetection","xgboost"
"tsfresh",737,0.860403397027601,1,"ElectricDeviceDetection","xgboost"
"quantiles",101,0.864649681528662,1,"ElectricDeviceDetection","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.863322717622081,1,"ElectricDeviceDetection","xgboost"
"FFT coefficients",399,0.86119957537155,1,"ElectricDeviceDetection","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.866507430997877,1,"ElectricDeviceDetection","xgboost"
"FFT (Re, Im) + quantiles",300,0.86916135881104,1,"ElectricDeviceDetection","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.86411889596603,1,"ElectricDeviceDetection","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.863057324840764,1,"ElectricDeviceDetection","xgboost"
"catch22",22,0.881634819532909,2,"ElectricDeviceDetection","xgboost"
"feasts",37,0.882165605095541,2,"ElectricDeviceDetection","xgboost"
"tsfeatures",57,0.892515923566879,2,"ElectricDeviceDetection","xgboost"
"TSFEL",146,0.892250530785563,2,"ElectricDeviceDetection","xgboost"
"Kats",35,0.883227176220807,2,"ElectricDeviceDetection","xgboost"
"tsfresh",739,0.880307855626327,2,"ElectricDeviceDetection","xgboost"
"quantiles",101,0.882696390658174,2,"ElectricDeviceDetection","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.877388535031847,2,"ElectricDeviceDetection","xgboost"
"FFT coefficients",399,0.872876857749469,2,"ElectricDeviceDetection","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.874734607218684,2,"ElectricDeviceDetection","xgboost"
"FFT (Re, Im) + quantiles",300,0.873673036093418,2,"ElectricDeviceDetection","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.877388535031847,2,"ElectricDeviceDetection","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.878980891719745,2,"ElectricDeviceDetection","xgboost"
"catch22",22,0.885084925690021,3,"ElectricDeviceDetection","xgboost"
"feasts",38,0.884819532908705,3,"ElectricDeviceDetection","xgboost"
"tsfeatures",58,0.887473460721868,3,"ElectricDeviceDetection","xgboost"
"TSFEL",146,0.889331210191083,3,"ElectricDeviceDetection","xgboost"
"Kats",35,0.888535031847134,3,"ElectricDeviceDetection","xgboost"
"tsfresh",738,0.884819532908705,3,"ElectricDeviceDetection","xgboost"
"quantiles",101,0.88083864118896,3,"ElectricDeviceDetection","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.880307855626327,3,"ElectricDeviceDetection","xgboost"
"FFT coefficients",399,0.872876857749469,3,"ElectricDeviceDetection","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.879511677282378,3,"ElectricDeviceDetection","xgboost"
"FFT (Re, Im) + quantiles",300,0.878184713375796,3,"ElectricDeviceDetection","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.880573248407643,3,"ElectricDeviceDetection","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.878715498938429,3,"ElectricDeviceDetection","xgboost"
"catch22",22,0.879246284501062,4,"ElectricDeviceDetection","xgboost"
"feasts",36,0.881369426751592,4,"ElectricDeviceDetection","xgboost"
"tsfeatures",58,0.891454352441614,4,"ElectricDeviceDetection","xgboost"
"TSFEL",146,0.877388535031847,4,"ElectricDeviceDetection","xgboost"
"Kats",35,0.876592356687898,4,"ElectricDeviceDetection","xgboost"
"tsfresh",737,0.873142250530786,4,"ElectricDeviceDetection","xgboost"
"quantiles",101,0.868630573248408,4,"ElectricDeviceDetection","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.869692144373673,4,"ElectricDeviceDetection","xgboost"
"FFT coefficients",399,0.870488322717622,4,"ElectricDeviceDetection","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.871815286624204,4,"ElectricDeviceDetection","xgboost"
"FFT (Re, Im) + quantiles",300,0.86916135881104,4,"ElectricDeviceDetection","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.869957537154989,4,"ElectricDeviceDetection","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.868630573248408,4,"ElectricDeviceDetection","xgboost"
"catch22",22,0.873938428874735,5,"ElectricDeviceDetection","xgboost"
"feasts",36,0.874203821656051,5,"ElectricDeviceDetection","xgboost"
"tsfeatures",57,0.88083864118896,5,"ElectricDeviceDetection","xgboost"
"TSFEL",146,0.873938428874735,5,"ElectricDeviceDetection","xgboost"
"Kats",36,0.875796178343949,5,"ElectricDeviceDetection","xgboost"
"tsfresh",737,0.87208067940552,5,"ElectricDeviceDetection","xgboost"
"quantiles",101,0.862791932059448,5,"ElectricDeviceDetection","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.874203821656051,5,"ElectricDeviceDetection","xgboost"
"FFT coefficients",399,0.868365180467091,5,"ElectricDeviceDetection","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.872876857749469,5,"ElectricDeviceDetection","xgboost"
"FFT (Re, Im) + quantiles",300,0.866507430997877,5,"ElectricDeviceDetection","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.873673036093418,5,"ElectricDeviceDetection","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.873938428874735,5,"ElectricDeviceDetection","xgboost"
"catch22",22,0.876326963906582,6,"ElectricDeviceDetection","xgboost"
"feasts",38,0.878450106157112,6,"ElectricDeviceDetection","xgboost"
"tsfeatures",59,0.882696390658174,6,"ElectricDeviceDetection","xgboost"
"TSFEL",146,0.884554140127389,6,"ElectricDeviceDetection","xgboost"
"Kats",35,0.870753715498938,6,"ElectricDeviceDetection","xgboost"
"tsfresh",736,0.874734607218684,6,"ElectricDeviceDetection","xgboost"
"quantiles",101,0.873938428874735,6,"ElectricDeviceDetection","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.875265392781316,6,"ElectricDeviceDetection","xgboost"
"FFT coefficients",399,0.871284501061571,6,"ElectricDeviceDetection","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.873142250530786,6,"ElectricDeviceDetection","xgboost"
"FFT (Re, Im) + quantiles",300,0.878715498938429,6,"ElectricDeviceDetection","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.873673036093418,6,"ElectricDeviceDetection","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.874734607218684,6,"ElectricDeviceDetection","xgboost"
"catch22",22,0.885350318471338,7,"ElectricDeviceDetection","xgboost"
"feasts",38,0.888269639065817,7,"ElectricDeviceDetection","xgboost"
"tsfeatures",58,0.893312101910828,7,"ElectricDeviceDetection","xgboost"
"TSFEL",146,0.888269639065817,7,"ElectricDeviceDetection","xgboost"
"Kats",36,0.887738853503185,7,"ElectricDeviceDetection","xgboost"
"tsfresh",737,0.878980891719745,7,"ElectricDeviceDetection","xgboost"
