"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.806930693069307,1,"FloodModeling1","xgboost"
"2","feasts",38,0.806930693069307,1,"FloodModeling1","xgboost"
"3","tsfeatures",59,0.801980198019802,1,"FloodModeling1","xgboost"
"4","TSFEL",143,0.787128712871287,1,"FloodModeling1","xgboost"
"5","Kats",35,0.792079207920792,1,"FloodModeling1","xgboost"
"6","tsfresh",726,0.806930693069307,1,"FloodModeling1","xgboost"
"7","quantiles",101,0.762376237623762,1,"FloodModeling1","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.821782178217822,1,"FloodModeling1","xgboost"
"9","catch22",22,0.777227722772277,2,"FloodModeling1","xgboost"
"10","feasts",38,0.782178217821782,2,"FloodModeling1","xgboost"
"11","tsfeatures",59,0.806930693069307,2,"FloodModeling1","xgboost"
"12","TSFEL",143,0.797029702970297,2,"FloodModeling1","xgboost"
"13","Kats",35,0.797029702970297,2,"FloodModeling1","xgboost"
"14","tsfresh",726,0.831683168316832,2,"FloodModeling1","xgboost"
"15","quantiles",101,0.762376237623762,2,"FloodModeling1","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.806930693069307,2,"FloodModeling1","xgboost"
"17","catch22",22,0.762376237623762,3,"FloodModeling1","xgboost"
"18","feasts",38,0.742574257425743,3,"FloodModeling1","xgboost"
"19","tsfeatures",59,0.797029702970297,3,"FloodModeling1","xgboost"
"20","TSFEL",143,0.782178217821782,3,"FloodModeling1","xgboost"
"21","Kats",35,0.767326732673267,3,"FloodModeling1","xgboost"
"22","tsfresh",726,0.782178217821782,3,"FloodModeling1","xgboost"
"23","quantiles",101,0.742574257425743,3,"FloodModeling1","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.777227722772277,3,"FloodModeling1","xgboost"
"25","catch22",22,0.782178217821782,4,"FloodModeling1","xgboost"
"26","feasts",38,0.787128712871287,4,"FloodModeling1","xgboost"
"27","tsfeatures",59,0.816831683168317,4,"FloodModeling1","xgboost"
"28","TSFEL",143,0.801980198019802,4,"FloodModeling1","xgboost"
"29","Kats",35,0.782178217821782,4,"FloodModeling1","xgboost"
"30","tsfresh",727,0.801980198019802,4,"FloodModeling1","xgboost"
"31","quantiles",101,0.772277227722772,4,"FloodModeling1","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.777227722772277,4,"FloodModeling1","xgboost"
"33","catch22",22,0.757425742574257,5,"FloodModeling1","xgboost"
"34","feasts",38,0.782178217821782,5,"FloodModeling1","xgboost"
"35","tsfeatures",59,0.782178217821782,5,"FloodModeling1","xgboost"
"36","TSFEL",143,0.757425742574257,5,"FloodModeling1","xgboost"
"37","Kats",36,0.747524752475248,5,"FloodModeling1","xgboost"
"38","tsfresh",727,0.797029702970297,5,"FloodModeling1","xgboost"
"39","quantiles",101,0.767326732673267,5,"FloodModeling1","xgboost"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.767326732673267,5,"FloodModeling1","xgboost"
"41","catch22",22,0.737623762376238,6,"FloodModeling1","xgboost"
"42","feasts",38,0.782178217821782,6,"FloodModeling1","xgboost"
