"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.755555555555556,1,"FordB","xgboost"
"2","feasts",33,0.811111111111111,1,"FordB","xgboost"
"3","tsfeatures",59,0.816049382716049,1,"FordB","xgboost"
"4","TSFEL",144,0.833333333333333,1,"FordB","xgboost"
"5","Kats",34,0.797530864197531,1,"FordB","xgboost"
"6","tsfresh",733,0.835802469135802,1,"FordB","xgboost"
"7","quantiles",101,0.535802469135802,1,"FordB","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.833333333333333,1,"FordB","xgboost"
"9","catch22",22,0.890123456790124,2,"FordB","xgboost"
"10","feasts",33,0.911111111111111,2,"FordB","xgboost"
"11","tsfeatures",59,0.918518518518519,2,"FordB","xgboost"
"12","TSFEL",144,0.917283950617284,2,"FordB","xgboost"
"13","Kats",34,0.896296296296296,2,"FordB","xgboost"
"14","tsfresh",733,0.933333333333333,2,"FordB","xgboost"
"15","quantiles",101,0.603703703703704,2,"FordB","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.918518518518519,2,"FordB","xgboost"
"17","catch22",22,0.883950617283951,3,"FordB","xgboost"
"18","feasts",33,0.909876543209877,3,"FordB","xgboost"
"19","tsfeatures",59,0.922222222222222,3,"FordB","xgboost"
"20","TSFEL",144,0.932098765432099,3,"FordB","xgboost"
"21","Kats",34,0.904938271604938,3,"FordB","xgboost"
"22","tsfresh",733,0.945679012345679,3,"FordB","xgboost"
"23","quantiles",101,0.604938271604938,3,"FordB","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.916049382716049,3,"FordB","xgboost"
"25","catch22",22,0.875308641975309,4,"FordB","xgboost"
"26","feasts",33,0.933333333333333,4,"FordB","xgboost"
"27","tsfeatures",59,0.919753086419753,4,"FordB","xgboost"
"28","TSFEL",144,0.932098765432099,4,"FordB","xgboost"
"29","Kats",34,0.91358024691358,4,"FordB","xgboost"
"30","tsfresh",733,0.949382716049383,4,"FordB","xgboost"
"31","quantiles",101,0.609876543209876,4,"FordB","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.920987654320988,4,"FordB","xgboost"
"33","catch22",22,0.871604938271605,5,"FordB","xgboost"
"34","feasts",33,0.918518518518519,5,"FordB","xgboost"
"35","tsfeatures",59,0.914814814814815,5,"FordB","xgboost"
"36","TSFEL",144,0.92962962962963,5,"FordB","xgboost"
"37","Kats",34,0.909876543209877,5,"FordB","xgboost"
"38","tsfresh",733,0.92962962962963,5,"FordB","xgboost"
"39","quantiles",101,0.616049382716049,5,"FordB","xgboost"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.924691358024691,5,"FordB","xgboost"
"41","catch22",22,0.879012345679012,6,"FordB","xgboost"
"42","feasts",33,0.932098765432099,6,"FordB","xgboost"
"43","tsfeatures",59,0.928395061728395,6,"FordB","xgboost"
"44","TSFEL",144,0.938271604938272,6,"FordB","xgboost"
"45","Kats",34,0.923456790123457,6,"FordB","xgboost"
"46","tsfresh",733,0.94320987654321,6,"FordB","xgboost"
"47","quantiles",101,0.588888888888889,6,"FordB","xgboost"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.92962962962963,6,"FordB","xgboost"
"49","catch22",22,0.893827160493827,7,"FordB","xgboost"
"50","feasts",33,0.918518518518519,7,"FordB","xgboost"
"51","tsfeatures",59,0.914814814814815,7,"FordB","xgboost"
"52","TSFEL",144,0.933333333333333,7,"FordB","xgboost"
"53","Kats",34,0.912345679012346,7,"FordB","xgboost"
"54","tsfresh",733,0.946913580246914,7,"FordB","xgboost"
"55","quantiles",101,0.616049382716049,7,"FordB","xgboost"
"56","FFT (Mag^2 + Angle) + quantiles",301,0.935802469135802,7,"FordB","xgboost"
"57","catch22",22,0.877777777777778,8,"FordB","xgboost"
"58","feasts",33,0.909876543209877,8,"FordB","xgboost"
"59","tsfeatures",59,0.917283950617284,8,"FordB","xgboost"
"60","TSFEL",144,0.919753086419753,8,"FordB","xgboost"
"61","Kats",34,0.906172839506173,8,"FordB","xgboost"
"62","tsfresh",733,0.941975308641975,8,"FordB","xgboost"
"63","quantiles",101,0.620987654320988,8,"FordB","xgboost"
"64","FFT (Mag^2 + Angle) + quantiles",301,0.919753086419753,8,"FordB","xgboost"
