"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.0376344086021505,1,"Fungi","xgboost"
"2","feasts",37,0.0376344086021505,1,"Fungi","xgboost"
"3","tsfeatures",59,0.0376344086021505,1,"Fungi","xgboost"
"4","TSFEL",142,0.0376344086021505,1,"Fungi","xgboost"
"5","Kats",33,0.0376344086021505,1,"Fungi","xgboost"
"6","tsfresh",725,0.0376344086021505,1,"Fungi","xgboost"
"7","quantiles",101,0.0376344086021505,1,"Fungi","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.0376344086021505,1,"Fungi","xgboost"
"9","catch22",22,0.0376344086021505,2,"Fungi","xgboost"
"10","feasts",37,0.0376344086021505,2,"Fungi","xgboost"
"11","tsfeatures",59,0.0376344086021505,2,"Fungi","xgboost"
"12","TSFEL",142,0.0376344086021505,2,"Fungi","xgboost"
"13","Kats",33,0.0376344086021505,2,"Fungi","xgboost"
"14","tsfresh",725,0.0376344086021505,2,"Fungi","xgboost"
"15","quantiles",101,0.0376344086021505,2,"Fungi","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.0376344086021505,2,"Fungi","xgboost"
"17","catch22",22,0.0376344086021505,3,"Fungi","xgboost"
"18","feasts",37,0.0376344086021505,3,"Fungi","xgboost"
"19","tsfeatures",59,0.0376344086021505,3,"Fungi","xgboost"
"20","TSFEL",142,0.0376344086021505,3,"Fungi","xgboost"
"21","Kats",33,0.0376344086021505,3,"Fungi","xgboost"
"22","tsfresh",725,0.0376344086021505,3,"Fungi","xgboost"
"23","quantiles",101,0.0376344086021505,3,"Fungi","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.0376344086021505,3,"Fungi","xgboost"
"25","catch22",22,0.0376344086021505,4,"Fungi","xgboost"
"26","feasts",37,0.0376344086021505,4,"Fungi","xgboost"
"27","tsfeatures",59,0.0376344086021505,4,"Fungi","xgboost"
"28","TSFEL",142,0.0376344086021505,4,"Fungi","xgboost"
"29","Kats",33,0.0376344086021505,4,"Fungi","xgboost"
"30","tsfresh",724,0.0376344086021505,4,"Fungi","xgboost"
"31","quantiles",101,0.0376344086021505,4,"Fungi","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.0376344086021505,4,"Fungi","xgboost"
"33","catch22",22,0.0376344086021505,5,"Fungi","xgboost"
"34","feasts",37,0.0376344086021505,5,"Fungi","xgboost"
"35","tsfeatures",59,0.0376344086021505,5,"Fungi","xgboost"
"36","TSFEL",142,0.0376344086021505,5,"Fungi","xgboost"
"37","Kats",33,0.0376344086021505,5,"Fungi","xgboost"
"38","tsfresh",725,0.0376344086021505,5,"Fungi","xgboost"
"39","quantiles",101,0.0376344086021505,5,"Fungi","xgboost"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.0376344086021505,5,"Fungi","xgboost"
"41","catch22",22,0.0376344086021505,6,"Fungi","xgboost"
"42","feasts",36,0.0376344086021505,6,"Fungi","xgboost"
"43","tsfeatures",59,0.0376344086021505,6,"Fungi","xgboost"
"44","TSFEL",142,0.0376344086021505,6,"Fungi","xgboost"
"45","Kats",33,0.0376344086021505,6,"Fungi","xgboost"
"46","tsfresh",724,0.0376344086021505,6,"Fungi","xgboost"
"47","quantiles",101,0.0376344086021505,6,"Fungi","xgboost"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.0376344086021505,6,"Fungi","xgboost"
"49","catch22",22,0.0376344086021505,7,"Fungi","xgboost"
"50","feasts",37,0.0376344086021505,7,"Fungi","xgboost"
"51","tsfeatures",59,0.0376344086021505,7,"Fungi","xgboost"
"52","TSFEL",142,0.0376344086021505,7,"Fungi","xgboost"
"53","Kats",33,0.0376344086021505,7,"Fungi","xgboost"
"54","tsfresh",724,0.0376344086021505,7,"Fungi","xgboost"
"55","quantiles",101,0.0376344086021505,7,"Fungi","xgboost"
"56","FFT (Mag^2 + Angle) + quantiles",301,0.0376344086021505,7,"Fungi","xgboost"
"57","catch22",22,0.0376344086021505,8,"Fungi","xgboost"
"58","feasts",37,0.0376344086021505,8,"Fungi","xgboost"
"59","tsfeatures",59,0.0376344086021505,8,"Fungi","xgboost"
"60","TSFEL",142,0.0376344086021505,8,"Fungi","xgboost"
"61","Kats",33,0.0376344086021505,8,"Fungi","xgboost"
"62","tsfresh",725,0.0376344086021505,8,"Fungi","xgboost"
"63","quantiles",101,0.0376344086021505,8,"Fungi","xgboost"
"64","FFT (Mag^2 + Angle) + quantiles",301,0.0376344086021505,8,"Fungi","xgboost"
"65","catch22",22,0.0376344086021505,9,"Fungi","xgboost"
"66","feasts",36,0.0376344086021505,9,"Fungi","xgboost"
"67","tsfeatures",59,0.0376344086021505,9,"Fungi","xgboost"
"68","TSFEL",142,0.0376344086021505,9,"Fungi","xgboost"
"69","Kats",33,0.0376344086021505,9,"Fungi","xgboost"
"70","tsfresh",725,0.0376344086021505,9,"Fungi","xgboost"
"71","quantiles",101,0.0376344086021505,9,"Fungi","xgboost"
"72","FFT (Mag^2 + Angle) + quantiles",301,0.0376344086021505,9,"Fungi","xgboost"
"73","catch22",22,0.0376344086021505,10,"Fungi","xgboost"
"74","feasts",37,0.0376344086021505,10,"Fungi","xgboost"
"75","tsfeatures",59,0.0376344086021505,10,"Fungi","xgboost"
"76","TSFEL",142,0.0376344086021505,10,"Fungi","xgboost"
"77","Kats",33,0.0376344086021505,10,"Fungi","xgboost"
"78","tsfresh",726,0.0376344086021505,10,"Fungi","xgboost"
"79","quantiles",101,0.0376344086021505,10,"Fungi","xgboost"
"80","FFT (Mag^2 + Angle) + quantiles",301,0.0376344086021505,10,"Fungi","xgboost"
"81","catch22",22,0.0376344086021505,11,"Fungi","xgboost"
"82","feasts",37,0.0376344086021505,11,"Fungi","xgboost"
"83","tsfeatures",59,0.0376344086021505,11,"Fungi","xgboost"
"84","TSFEL",142,0.0376344086021505,11,"Fungi","xgboost"
"85","Kats",33,0.0376344086021505,11,"Fungi","xgboost"
"86","tsfresh",724,0.0376344086021505,11,"Fungi","xgboost"
"87","quantiles",101,0.0376344086021505,11,"Fungi","xgboost"
