"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.95253164556962,1,"GunPointAgeSpan","xgboost"
"feasts",36,0.936708860759494,1,"GunPointAgeSpan","xgboost"
"tsfeatures",59,0.933544303797468,1,"GunPointAgeSpan","xgboost"
"TSFEL",142,0.958860759493671,1,"GunPointAgeSpan","xgboost"
"Kats",36,0.94620253164557,1,"GunPointAgeSpan","xgboost"
"tsfresh",642,0.962025316455696,1,"GunPointAgeSpan","xgboost"
"quantiles",101,0.920886075949367,1,"GunPointAgeSpan","xgboost"
"FFT (Mag^2 + Angle) + quantiles",253,0.939873417721519,1,"GunPointAgeSpan","xgboost"
"FFT coefficients",302,0.911392405063291,1,"GunPointAgeSpan","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",403,0.95253164556962,1,"GunPointAgeSpan","xgboost"
"FFT (Re, Im) + quantiles",251,0.943037974683544,1,"GunPointAgeSpan","xgboost"
"FFT (Mag, Angle) + quantiles",253,0.939873417721519,1,"GunPointAgeSpan","xgboost"
"FFT (log(Mag), Angle) + quantiles",253,0.943037974683544,1,"GunPointAgeSpan","xgboost"
"catch22",22,0.95253164556962,2,"GunPointAgeSpan","xgboost"
"feasts",36,0.949367088607595,2,"GunPointAgeSpan","xgboost"
"tsfeatures",59,0.955696202531646,2,"GunPointAgeSpan","xgboost"
"TSFEL",143,0.943037974683544,2,"GunPointAgeSpan","xgboost"
"Kats",36,0.962025316455696,2,"GunPointAgeSpan","xgboost"
"tsfresh",642,0.94620253164557,2,"GunPointAgeSpan","xgboost"
"quantiles",101,0.930379746835443,2,"GunPointAgeSpan","xgboost"
"FFT (Mag^2 + Angle) + quantiles",253,0.924050632911392,2,"GunPointAgeSpan","xgboost"
"FFT coefficients",302,0.892405063291139,2,"GunPointAgeSpan","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",403,0.920886075949367,2,"GunPointAgeSpan","xgboost"
"FFT (Re, Im) + quantiles",251,0.924050632911392,2,"GunPointAgeSpan","xgboost"
"FFT (Mag, Angle) + quantiles",253,0.924050632911392,2,"GunPointAgeSpan","xgboost"
"FFT (log(Mag), Angle) + quantiles",253,0.924050632911392,2,"GunPointAgeSpan","xgboost"
"catch22",22,0.949367088607595,3,"GunPointAgeSpan","xgboost"
"feasts",36,0.920886075949367,3,"GunPointAgeSpan","xgboost"
"tsfeatures",59,0.958860759493671,3,"GunPointAgeSpan","xgboost"
"TSFEL",142,0.949367088607595,3,"GunPointAgeSpan","xgboost"
"Kats",36,0.955696202531646,3,"GunPointAgeSpan","xgboost"
"tsfresh",640,0.939873417721519,3,"GunPointAgeSpan","xgboost"
"quantiles",101,0.914556962025316,3,"GunPointAgeSpan","xgboost"
"FFT (Mag^2 + Angle) + quantiles",253,0.892405063291139,3,"GunPointAgeSpan","xgboost"
"FFT coefficients",302,0.879746835443038,3,"GunPointAgeSpan","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",403,0.914556962025316,3,"GunPointAgeSpan","xgboost"
"FFT (Re, Im) + quantiles",251,0.901898734177215,3,"GunPointAgeSpan","xgboost"
"FFT (Mag, Angle) + quantiles",253,0.889240506329114,3,"GunPointAgeSpan","xgboost"
"FFT (log(Mag), Angle) + quantiles",253,0.892405063291139,3,"GunPointAgeSpan","xgboost"
"catch22",22,0.895569620253165,4,"GunPointAgeSpan","xgboost"
"feasts",36,0.927215189873418,4,"GunPointAgeSpan","xgboost"
"tsfeatures",59,0.936708860759494,4,"GunPointAgeSpan","xgboost"
"TSFEL",142,0.943037974683544,4,"GunPointAgeSpan","xgboost"
