"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.974683544303797,1,"GunPointMaleVersusFemale","xgboost"
"2","feasts",36,0.990506329113924,1,"GunPointMaleVersusFemale","xgboost"
"3","tsfeatures",59,0.993670886075949,1,"GunPointMaleVersusFemale","xgboost"
"4","TSFEL",142,0.974683544303797,1,"GunPointMaleVersusFemale","xgboost"
"5","Kats",36,0.984177215189873,1,"GunPointMaleVersusFemale","xgboost"
"6","tsfresh",641,0.974683544303797,1,"GunPointMaleVersusFemale","xgboost"
"7","quantiles",101,0.968354430379747,1,"GunPointMaleVersusFemale","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",253,0.968354430379747,1,"GunPointMaleVersusFemale","xgboost"
"9","catch22",22,0.974683544303797,2,"GunPointMaleVersusFemale","xgboost"
"10","feasts",36,0.987341772151899,2,"GunPointMaleVersusFemale","xgboost"
"11","tsfeatures",59,0.981012658227848,2,"GunPointMaleVersusFemale","xgboost"
"12","TSFEL",143,0.974683544303797,2,"GunPointMaleVersusFemale","xgboost"
"13","Kats",36,0.981012658227848,2,"GunPointMaleVersusFemale","xgboost"
"14","tsfresh",639,0.971518987341772,2,"GunPointMaleVersusFemale","xgboost"
"15","quantiles",101,0.974683544303797,2,"GunPointMaleVersusFemale","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",253,0.977848101265823,2,"GunPointMaleVersusFemale","xgboost"
"17","catch22",22,0.984177215189873,3,"GunPointMaleVersusFemale","xgboost"
"18","feasts",36,0.981012658227848,3,"GunPointMaleVersusFemale","xgboost"
"19","tsfeatures",59,0.943037974683544,3,"GunPointMaleVersusFemale","xgboost"
"20","TSFEL",142,0.965189873417722,3,"GunPointMaleVersusFemale","xgboost"
"21","Kats",36,0.955696202531646,3,"GunPointMaleVersusFemale","xgboost"
"22","tsfresh",639,0.977848101265823,3,"GunPointMaleVersusFemale","xgboost"
"23","quantiles",101,0.977848101265823,3,"GunPointMaleVersusFemale","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",253,0.990506329113924,3,"GunPointMaleVersusFemale","xgboost"
"25","catch22",22,0.987341772151899,4,"GunPointMaleVersusFemale","xgboost"
"26","feasts",36,0.984177215189873,4,"GunPointMaleVersusFemale","xgboost"
"27","tsfeatures",59,0.990506329113924,4,"GunPointMaleVersusFemale","xgboost"
"28","TSFEL",143,0.984177215189873,4,"GunPointMaleVersusFemale","xgboost"
"29","Kats",36,0.987341772151899,4,"GunPointMaleVersusFemale","xgboost"
"30","tsfresh",640,0.987341772151899,4,"GunPointMaleVersusFemale","xgboost"
"31","quantiles",101,0.977848101265823,4,"GunPointMaleVersusFemale","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",253,0.987341772151899,4,"GunPointMaleVersusFemale","xgboost"
"33","catch22",22,0.984177215189873,5,"GunPointMaleVersusFemale","xgboost"
"34","feasts",36,0.990506329113924,5,"GunPointMaleVersusFemale","xgboost"
"35","tsfeatures",59,0.996835443037975,5,"GunPointMaleVersusFemale","xgboost"
"36","TSFEL",142,0.987341772151899,5,"GunPointMaleVersusFemale","xgboost"
"37","Kats",36,0.984177215189873,5,"GunPointMaleVersusFemale","xgboost"
"38","tsfresh",641,0.984177215189873,5,"GunPointMaleVersusFemale","xgboost"
"39","quantiles",101,0.977848101265823,5,"GunPointMaleVersusFemale","xgboost"
"40","FFT (Mag^2 + Angle) + quantiles",253,0.981012658227848,5,"GunPointMaleVersusFemale","xgboost"
"41","catch22",22,0.984177215189873,6,"GunPointMaleVersusFemale","xgboost"
"42","feasts",36,0.987341772151899,6,"GunPointMaleVersusFemale","xgboost"
"43","tsfeatures",59,0.984177215189873,6,"GunPointMaleVersusFemale","xgboost"
"44","TSFEL",142,0.974683544303797,6,"GunPointMaleVersusFemale","xgboost"
"45","Kats",36,0.984177215189873,6,"GunPointMaleVersusFemale","xgboost"
"46","tsfresh",640,0.965189873417722,6,"GunPointMaleVersusFemale","xgboost"
"47","quantiles",101,0.943037974683544,6,"GunPointMaleVersusFemale","xgboost"
"48","FFT (Mag^2 + Angle) + quantiles",253,0.943037974683544,6,"GunPointMaleVersusFemale","xgboost"
"49","catch22",22,0.981012658227848,7,"GunPointMaleVersusFemale","xgboost"
"50","feasts",36,0.971518987341772,7,"GunPointMaleVersusFemale","xgboost"
"51","tsfeatures",59,0.993670886075949,7,"GunPointMaleVersusFemale","xgboost"
"52","TSFEL",142,0.987341772151899,7,"GunPointMaleVersusFemale","xgboost"
"53","Kats",36,0.984177215189873,7,"GunPointMaleVersusFemale","xgboost"
"54","tsfresh",639,0.984177215189873,7,"GunPointMaleVersusFemale","xgboost"
"55","quantiles",101,0.971518987341772,7,"GunPointMaleVersusFemale","xgboost"
"56","FFT (Mag^2 + Angle) + quantiles",253,0.984177215189873,7,"GunPointMaleVersusFemale","xgboost"
"57","catch22",22,0.990506329113924,8,"GunPointMaleVersusFemale","xgboost"
"58","feasts",36,0.987341772151899,8,"GunPointMaleVersusFemale","xgboost"
"59","tsfeatures",59,0.981012658227848,8,"GunPointMaleVersusFemale","xgboost"
"60","TSFEL",142,0.981012658227848,8,"GunPointMaleVersusFemale","xgboost"
"61","Kats",36,0.990506329113924,8,"GunPointMaleVersusFemale","xgboost"
"62","tsfresh",639,0.987341772151899,8,"GunPointMaleVersusFemale","xgboost"
"63","quantiles",101,0.971518987341772,8,"GunPointMaleVersusFemale","xgboost"
"64","FFT (Mag^2 + Angle) + quantiles",253,0.971518987341772,8,"GunPointMaleVersusFemale","xgboost"
"65","catch22",22,0.977848101265823,9,"GunPointMaleVersusFemale","xgboost"
"66","feasts",36,0.984177215189873,9,"GunPointMaleVersusFemale","xgboost"
"67","tsfeatures",59,0.987341772151899,9,"GunPointMaleVersusFemale","xgboost"
"68","TSFEL",143,0.977848101265823,9,"GunPointMaleVersusFemale","xgboost"
"69","Kats",36,0.984177215189873,9,"GunPointMaleVersusFemale","xgboost"
"70","tsfresh",638,0.974683544303797,9,"GunPointMaleVersusFemale","xgboost"
"71","quantiles",101,0.974683544303797,9,"GunPointMaleVersusFemale","xgboost"
"72","FFT (Mag^2 + Angle) + quantiles",253,0.974683544303797,9,"GunPointMaleVersusFemale","xgboost"
"73","catch22",22,0.987341772151899,10,"GunPointMaleVersusFemale","xgboost"
"74","feasts",36,0.984177215189873,10,"GunPointMaleVersusFemale","xgboost"
"75","tsfeatures",59,0.993670886075949,10,"GunPointMaleVersusFemale","xgboost"
"76","TSFEL",142,0.987341772151899,10,"GunPointMaleVersusFemale","xgboost"
"77","Kats",36,0.993670886075949,10,"GunPointMaleVersusFemale","xgboost"
"78","tsfresh",639,0.993670886075949,10,"GunPointMaleVersusFemale","xgboost"
"79","quantiles",101,0.965189873417722,10,"GunPointMaleVersusFemale","xgboost"
"80","FFT (Mag^2 + Angle) + quantiles",253,0.968354430379747,10,"GunPointMaleVersusFemale","xgboost"
"81","catch22",22,0.977848101265823,11,"GunPointMaleVersusFemale","xgboost"
"82","feasts",36,0.968354430379747,11,"GunPointMaleVersusFemale","xgboost"
"83","tsfeatures",59,0.990506329113924,11,"GunPointMaleVersusFemale","xgboost"
"84","TSFEL",143,0.965189873417722,11,"GunPointMaleVersusFemale","xgboost"
"85","Kats",36,0.977848101265823,11,"GunPointMaleVersusFemale","xgboost"
"86","tsfresh",640,0.965189873417722,11,"GunPointMaleVersusFemale","xgboost"
"87","quantiles",101,0.958860759493671,11,"GunPointMaleVersusFemale","xgboost"
"88","FFT (Mag^2 + Angle) + quantiles",253,0.968354430379747,11,"GunPointMaleVersusFemale","xgboost"
"89","catch22",22,0.965189873417722,12,"GunPointMaleVersusFemale","xgboost"
"90","feasts",36,0.996835443037975,12,"GunPointMaleVersusFemale","xgboost"
"91","tsfeatures",59,0.987341772151899,12,"GunPointMaleVersusFemale","xgboost"
"92","TSFEL",143,0.977848101265823,12,"GunPointMaleVersusFemale","xgboost"
"93","Kats",36,0.974683544303797,12,"GunPointMaleVersusFemale","xgboost"
"94","tsfresh",639,0.981012658227848,12,"GunPointMaleVersusFemale","xgboost"
"95","quantiles",101,0.971518987341772,12,"GunPointMaleVersusFemale","xgboost"
"96","FFT (Mag^2 + Angle) + quantiles",253,0.977848101265823,12,"GunPointMaleVersusFemale","xgboost"
"97","catch22",22,0.993670886075949,13,"GunPointMaleVersusFemale","xgboost"
"98","feasts",36,0.990506329113924,13,"GunPointMaleVersusFemale","xgboost"
"99","tsfeatures",59,0.974683544303797,13,"GunPointMaleVersusFemale","xgboost"
"100","TSFEL",142,0.987341772151899,13,"GunPointMaleVersusFemale","xgboost"
"101","Kats",36,0.987341772151899,13,"GunPointMaleVersusFemale","xgboost"
