"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.59047619047619,1,"Ham","xgboost"
"feasts",37,0.685714285714286,1,"Ham","xgboost"
"tsfeatures",59,0.714285714285714,1,"Ham","xgboost"
"TSFEL",144,0.685714285714286,1,"Ham","xgboost"
"Kats",34,0.60952380952381,1,"Ham","xgboost"
"tsfresh",737,0.695238095238095,1,"Ham","xgboost"
"quantiles",101,0.59047619047619,1,"Ham","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.638095238095238,1,"Ham","xgboost"
"FFT coefficients",399,0.628571428571429,1,"Ham","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.628571428571429,1,"Ham","xgboost"
"FFT (Re, Im) + quantiles",300,0.714285714285714,1,"Ham","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.619047619047619,1,"Ham","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.628571428571429,1,"Ham","xgboost"
"catch22",22,0.723809523809524,2,"Ham","xgboost"
"feasts",37,0.685714285714286,2,"Ham","xgboost"
"tsfeatures",59,0.714285714285714,2,"Ham","xgboost"
"TSFEL",144,0.752380952380952,2,"Ham","xgboost"
"Kats",34,0.628571428571429,2,"Ham","xgboost"
"tsfresh",737,0.79047619047619,2,"Ham","xgboost"
"quantiles",101,0.628571428571429,2,"Ham","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.761904761904762,2,"Ham","xgboost"
"FFT coefficients",399,0.752380952380952,2,"Ham","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.79047619047619,2,"Ham","xgboost"
"FFT (Re, Im) + quantiles",300,0.780952380952381,2,"Ham","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.752380952380952,2,"Ham","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.733333333333333,2,"Ham","xgboost"
"catch22",22,0.695238095238095,3,"Ham","xgboost"
"feasts",37,0.657142857142857,3,"Ham","xgboost"
"tsfeatures",59,0.714285714285714,3,"Ham","xgboost"
"TSFEL",144,0.685714285714286,3,"Ham","xgboost"
"Kats",34,0.60952380952381,3,"Ham","xgboost"
"tsfresh",737,0.704761904761905,3,"Ham","xgboost"
"quantiles",101,0.628571428571429,3,"Ham","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.723809523809524,3,"Ham","xgboost"
"FFT coefficients",399,0.752380952380952,3,"Ham","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.733333333333333,3,"Ham","xgboost"
"FFT (Re, Im) + quantiles",300,0.733333333333333,3,"Ham","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.723809523809524,3,"Ham","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.723809523809524,3,"Ham","xgboost"
"catch22",22,0.714285714285714,4,"Ham","xgboost"
"feasts",37,0.780952380952381,4,"Ham","xgboost"
"tsfeatures",59,0.761904761904762,4,"Ham","xgboost"
"TSFEL",144,0.695238095238095,4,"Ham","xgboost"
"Kats",35,0.571428571428571,4,"Ham","xgboost"
"tsfresh",738,0.761904761904762,4,"Ham","xgboost"
"quantiles",101,0.59047619047619,4,"Ham","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.695238095238095,4,"Ham","xgboost"
"FFT coefficients",399,0.80952380952381,4,"Ham","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.761904761904762,4,"Ham","xgboost"
"FFT (Re, Im) + quantiles",300,0.8,4,"Ham","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.704761904761905,4,"Ham","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.695238095238095,4,"Ham","xgboost"
"catch22",22,0.714285714285714,5,"Ham","xgboost"
"feasts",37,0.59047619047619,5,"Ham","xgboost"
"tsfeatures",59,0.657142857142857,5,"Ham","xgboost"
"TSFEL",144,0.676190476190476,5,"Ham","xgboost"
"Kats",34,0.561904761904762,5,"Ham","xgboost"
"tsfresh",737,0.761904761904762,5,"Ham","xgboost"
"quantiles",101,0.6,5,"Ham","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.752380952380952,5,"Ham","xgboost"
"FFT coefficients",399,0.761904761904762,5,"Ham","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.742857142857143,5,"Ham","xgboost"
"FFT (Re, Im) + quantiles",300,0.761904761904762,5,"Ham","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.733333333333333,5,"Ham","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.752380952380952,5,"Ham","xgboost"
"catch22",22,0.619047619047619,6,"Ham","xgboost"
"feasts",37,0.657142857142857,6,"Ham","xgboost"
"tsfeatures",59,0.676190476190476,6,"Ham","xgboost"
"TSFEL",144,0.60952380952381,6,"Ham","xgboost"
"Kats",34,0.628571428571429,6,"Ham","xgboost"
"tsfresh",738,0.742857142857143,6,"Ham","xgboost"
"quantiles",101,0.561904761904762,6,"Ham","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.742857142857143,6,"Ham","xgboost"
"FFT coefficients",399,0.8,6,"Ham","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.742857142857143,6,"Ham","xgboost"
"FFT (Re, Im) + quantiles",300,0.752380952380952,6,"Ham","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.723809523809524,6,"Ham","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.733333333333333,6,"Ham","xgboost"
"catch22",22,0.666666666666667,7,"Ham","xgboost"
"feasts",37,0.676190476190476,7,"Ham","xgboost"
"tsfeatures",59,0.723809523809524,7,"Ham","xgboost"
"TSFEL",144,0.704761904761905,7,"Ham","xgboost"
"Kats",34,0.638095238095238,7,"Ham","xgboost"
"tsfresh",737,0.761904761904762,7,"Ham","xgboost"
"quantiles",101,0.580952380952381,7,"Ham","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.742857142857143,7,"Ham","xgboost"
"FFT coefficients",399,0.828571428571429,7,"Ham","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.819047619047619,7,"Ham","xgboost"
"FFT (Re, Im) + quantiles",300,0.847619047619048,7,"Ham","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.742857142857143,7,"Ham","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.723809523809524,7,"Ham","xgboost"
"catch22",22,0.685714285714286,8,"Ham","xgboost"
"feasts",37,0.742857142857143,8,"Ham","xgboost"
"tsfeatures",59,0.752380952380952,8,"Ham","xgboost"
"TSFEL",144,0.704761904761905,8,"Ham","xgboost"
"Kats",35,0.59047619047619,8,"Ham","xgboost"
"tsfresh",738,0.876190476190476,8,"Ham","xgboost"
"quantiles",101,0.523809523809524,8,"Ham","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.80952380952381,8,"Ham","xgboost"
"FFT coefficients",399,0.857142857142857,8,"Ham","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.857142857142857,8,"Ham","xgboost"
"FFT (Re, Im) + quantiles",300,0.838095238095238,8,"Ham","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.771428571428571,8,"Ham","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.80952380952381,8,"Ham","xgboost"
"catch22",22,0.742857142857143,9,"Ham","xgboost"
"feasts",37,0.695238095238095,9,"Ham","xgboost"
"tsfeatures",59,0.695238095238095,9,"Ham","xgboost"
"TSFEL",144,0.723809523809524,9,"Ham","xgboost"
"Kats",34,0.676190476190476,9,"Ham","xgboost"
"tsfresh",737,0.828571428571429,9,"Ham","xgboost"
"quantiles",101,0.561904761904762,9,"Ham","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.761904761904762,9,"Ham","xgboost"
"FFT coefficients",399,0.79047619047619,9,"Ham","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.80952380952381,9,"Ham","xgboost"
"FFT (Re, Im) + quantiles",300,0.857142857142857,9,"Ham","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.771428571428571,9,"Ham","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.771428571428571,9,"Ham","xgboost"
"catch22",22,0.704761904761905,10,"Ham","xgboost"
"feasts",37,0.676190476190476,10,"Ham","xgboost"
"tsfeatures",59,0.723809523809524,10,"Ham","xgboost"
"TSFEL",144,0.704761904761905,10,"Ham","xgboost"
"Kats",34,0.657142857142857,10,"Ham","xgboost"
"tsfresh",738,0.8,10,"Ham","xgboost"
"quantiles",101,0.619047619047619,10,"Ham","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.752380952380952,10,"Ham","xgboost"
"FFT coefficients",399,0.780952380952381,10,"Ham","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.8,10,"Ham","xgboost"
"FFT (Re, Im) + quantiles",300,0.8,10,"Ham","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.742857142857143,10,"Ham","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.752380952380952,10,"Ham","xgboost"
"catch22",22,0.666666666666667,11,"Ham","xgboost"
"feasts",37,0.685714285714286,11,"Ham","xgboost"
"tsfeatures",59,0.752380952380952,11,"Ham","xgboost"
"TSFEL",144,0.666666666666667,11,"Ham","xgboost"
"Kats",35,0.647619047619048,11,"Ham","xgboost"
"tsfresh",738,0.780952380952381,11,"Ham","xgboost"
"quantiles",101,0.6,11,"Ham","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.761904761904762,11,"Ham","xgboost"
"FFT coefficients",399,0.79047619047619,11,"Ham","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.80952380952381,11,"Ham","xgboost"
"FFT (Re, Im) + quantiles",300,0.819047619047619,11,"Ham","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.771428571428571,11,"Ham","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.780952380952381,11,"Ham","xgboost"
"catch22",22,0.657142857142857,12,"Ham","xgboost"
"feasts",37,0.723809523809524,12,"Ham","xgboost"
"tsfeatures",59,0.733333333333333,12,"Ham","xgboost"
"TSFEL",144,0.742857142857143,12,"Ham","xgboost"
"Kats",35,0.657142857142857,12,"Ham","xgboost"
"tsfresh",738,0.847619047619048,12,"Ham","xgboost"
"quantiles",101,0.542857142857143,12,"Ham","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.780952380952381,12,"Ham","xgboost"
"FFT coefficients",399,0.819047619047619,12,"Ham","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.857142857142857,12,"Ham","xgboost"
"FFT (Re, Im) + quantiles",300,0.838095238095238,12,"Ham","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.780952380952381,12,"Ham","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.771428571428571,12,"Ham","xgboost"
"catch22",22,0.714285714285714,13,"Ham","xgboost"
"feasts",37,0.733333333333333,13,"Ham","xgboost"
"tsfeatures",59,0.704761904761905,13,"Ham","xgboost"
"TSFEL",144,0.714285714285714,13,"Ham","xgboost"
"Kats",35,0.714285714285714,13,"Ham","xgboost"
"tsfresh",737,0.771428571428571,13,"Ham","xgboost"
"quantiles",101,0.571428571428571,13,"Ham","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.742857142857143,13,"Ham","xgboost"
"FFT coefficients",399,0.761904761904762,13,"Ham","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.771428571428571,13,"Ham","xgboost"
"FFT (Re, Im) + quantiles",300,0.8,13,"Ham","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.723809523809524,13,"Ham","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.704761904761905,13,"Ham","xgboost"
"catch22",22,0.8,14,"Ham","xgboost"
"feasts",37,0.771428571428571,14,"Ham","xgboost"
"tsfeatures",59,0.8,14,"Ham","xgboost"
"TSFEL",144,0.666666666666667,14,"Ham","xgboost"
"Kats",35,0.723809523809524,14,"Ham","xgboost"
"tsfresh",737,0.828571428571429,14,"Ham","xgboost"
"quantiles",101,0.628571428571429,14,"Ham","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.8,14,"Ham","xgboost"
"FFT coefficients",399,0.819047619047619,14,"Ham","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.838095238095238,14,"Ham","xgboost"
"FFT (Re, Im) + quantiles",300,0.828571428571429,14,"Ham","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.819047619047619,14,"Ham","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.79047619047619,14,"Ham","xgboost"
"catch22",22,0.723809523809524,15,"Ham","xgboost"
"feasts",37,0.723809523809524,15,"Ham","xgboost"
"tsfeatures",59,0.733333333333333,15,"Ham","xgboost"
"TSFEL",144,0.752380952380952,15,"Ham","xgboost"
"Kats",34,0.704761904761905,15,"Ham","xgboost"
"tsfresh",737,0.8,15,"Ham","xgboost"
"quantiles",101,0.628571428571429,15,"Ham","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.828571428571429,15,"Ham","xgboost"
"FFT coefficients",399,0.8,15,"Ham","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.80952380952381,15,"Ham","xgboost"
"FFT (Re, Im) + quantiles",300,0.80952380952381,15,"Ham","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.819047619047619,15,"Ham","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.819047619047619,15,"Ham","xgboost"
"catch22",22,0.685714285714286,16,"Ham","xgboost"
"feasts",37,0.723809523809524,16,"Ham","xgboost"
"tsfeatures",59,0.742857142857143,16,"Ham","xgboost"
"TSFEL",144,0.752380952380952,16,"Ham","xgboost"
"Kats",34,0.704761904761905,16,"Ham","xgboost"
"tsfresh",738,0.771428571428571,16,"Ham","xgboost"
"quantiles",101,0.6,16,"Ham","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.742857142857143,16,"Ham","xgboost"
"FFT coefficients",399,0.771428571428571,16,"Ham","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.780952380952381,16,"Ham","xgboost"
"FFT (Re, Im) + quantiles",300,0.828571428571429,16,"Ham","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.761904761904762,16,"Ham","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.723809523809524,16,"Ham","xgboost"
"catch22",22,0.657142857142857,17,"Ham","xgboost"
"feasts",37,0.676190476190476,17,"Ham","xgboost"
"tsfeatures",59,0.695238095238095,17,"Ham","xgboost"
"TSFEL",144,0.714285714285714,17,"Ham","xgboost"
"Kats",35,0.647619047619048,17,"Ham","xgboost"
"tsfresh",737,0.80952380952381,17,"Ham","xgboost"
"quantiles",101,0.59047619047619,17,"Ham","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.828571428571429,17,"Ham","xgboost"
"FFT coefficients",399,0.857142857142857,17,"Ham","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.847619047619048,17,"Ham","xgboost"
"FFT (Re, Im) + quantiles",300,0.828571428571429,17,"Ham","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.828571428571429,17,"Ham","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.838095238095238,17,"Ham","xgboost"
"catch22",22,0.742857142857143,18,"Ham","xgboost"
