"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.957983193277311,1,"HouseTwenty","xgboost"
"2","feasts",35,0.932773109243697,1,"HouseTwenty","xgboost"
"3","tsfeatures",59,0.941176470588235,1,"HouseTwenty","xgboost"
"4","TSFEL",143,0.865546218487395,1,"HouseTwenty","xgboost"
"5","Kats",35,0.92436974789916,1,"HouseTwenty","xgboost"
"6","tsfresh",739,0.941176470588235,1,"HouseTwenty","xgboost"
"7","quantiles",101,0.840336134453782,1,"HouseTwenty","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.823529411764706,1,"HouseTwenty","xgboost"
"9","catch22",22,0.907563025210084,2,"HouseTwenty","xgboost"
"10","feasts",35,0.865546218487395,2,"HouseTwenty","xgboost"
"11","tsfeatures",59,0.949579831932773,2,"HouseTwenty","xgboost"
"12","TSFEL",143,0.92436974789916,2,"HouseTwenty","xgboost"
"13","Kats",35,0.899159663865546,2,"HouseTwenty","xgboost"
"14","tsfresh",736,0.966386554621849,2,"HouseTwenty","xgboost"
"15","quantiles",101,0.823529411764706,2,"HouseTwenty","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.815126050420168,2,"HouseTwenty","xgboost"
"17","catch22",22,0.957983193277311,3,"HouseTwenty","xgboost"
"18","feasts",37,0.88235294117647,3,"HouseTwenty","xgboost"
"19","tsfeatures",59,0.890756302521008,3,"HouseTwenty","xgboost"
"20","TSFEL",143,0.890756302521008,3,"HouseTwenty","xgboost"
"21","Kats",35,0.890756302521008,3,"HouseTwenty","xgboost"
"22","tsfresh",737,0.915966386554622,3,"HouseTwenty","xgboost"
"23","quantiles",101,0.815126050420168,3,"HouseTwenty","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.831932773109244,3,"HouseTwenty","xgboost"
"25","catch22",22,0.957983193277311,4,"HouseTwenty","xgboost"
"26","feasts",36,0.88235294117647,4,"HouseTwenty","xgboost"
"27","tsfeatures",59,0.932773109243697,4,"HouseTwenty","xgboost"
"28","TSFEL",143,0.899159663865546,4,"HouseTwenty","xgboost"
"29","Kats",35,0.932773109243697,4,"HouseTwenty","xgboost"
"30","tsfresh",734,0.966386554621849,4,"HouseTwenty","xgboost"
"31","quantiles",101,0.764705882352941,4,"HouseTwenty","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.840336134453782,4,"HouseTwenty","xgboost"
"33","catch22",22,0.932773109243697,5,"HouseTwenty","xgboost"
"34","feasts",36,0.915966386554622,5,"HouseTwenty","xgboost"
"35","tsfeatures",59,0.873949579831933,5,"HouseTwenty","xgboost"
"36","TSFEL",143,0.890756302521008,5,"HouseTwenty","xgboost"
"37","Kats",35,0.92436974789916,5,"HouseTwenty","xgboost"
"38","tsfresh",733,0.941176470588235,5,"HouseTwenty","xgboost"
"39","quantiles",101,0.773109243697479,5,"HouseTwenty","xgboost"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.789915966386555,5,"HouseTwenty","xgboost"
"41","catch22",22,0.966386554621849,6,"HouseTwenty","xgboost"
"42","feasts",36,0.890756302521008,6,"HouseTwenty","xgboost"
"43","tsfeatures",59,0.932773109243697,6,"HouseTwenty","xgboost"
"44","TSFEL",143,0.932773109243697,6,"HouseTwenty","xgboost"
"45","Kats",35,0.932773109243697,6,"HouseTwenty","xgboost"
"46","tsfresh",734,0.966386554621849,6,"HouseTwenty","xgboost"
"47","quantiles",101,0.80672268907563,6,"HouseTwenty","xgboost"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.764705882352941,6,"HouseTwenty","xgboost"
"49","catch22",22,0.966386554621849,7,"HouseTwenty","xgboost"
"50","feasts",36,0.907563025210084,7,"HouseTwenty","xgboost"
"51","tsfeatures",59,0.974789915966387,7,"HouseTwenty","xgboost"
"52","TSFEL",143,0.941176470588235,7,"HouseTwenty","xgboost"
"53","Kats",35,0.932773109243697,7,"HouseTwenty","xgboost"
"54","tsfresh",734,0.974789915966387,7,"HouseTwenty","xgboost"
"55","quantiles",101,0.80672268907563,7,"HouseTwenty","xgboost"
"56","FFT (Mag^2 + Angle) + quantiles",301,0.823529411764706,7,"HouseTwenty","xgboost"
"57","catch22",22,0.92436974789916,8,"HouseTwenty","xgboost"
"58","feasts",37,0.899159663865546,8,"HouseTwenty","xgboost"
"59","tsfeatures",59,0.932773109243697,8,"HouseTwenty","xgboost"
"60","TSFEL",143,0.88235294117647,8,"HouseTwenty","xgboost"
"61","Kats",35,0.949579831932773,8,"HouseTwenty","xgboost"
"62","tsfresh",734,0.949579831932773,8,"HouseTwenty","xgboost"
"63","quantiles",101,0.815126050420168,8,"HouseTwenty","xgboost"
"64","FFT (Mag^2 + Angle) + quantiles",301,0.823529411764706,8,"HouseTwenty","xgboost"
"65","catch22",22,0.932773109243697,9,"HouseTwenty","xgboost"
"66","feasts",36,0.899159663865546,9,"HouseTwenty","xgboost"
"67","tsfeatures",59,0.941176470588235,9,"HouseTwenty","xgboost"
"68","TSFEL",143,0.857142857142857,9,"HouseTwenty","xgboost"
"69","Kats",35,0.915966386554622,9,"HouseTwenty","xgboost"
"70","tsfresh",734,0.949579831932773,9,"HouseTwenty","xgboost"
"71","quantiles",101,0.789915966386555,9,"HouseTwenty","xgboost"
"72","FFT (Mag^2 + Angle) + quantiles",301,0.798319327731092,9,"HouseTwenty","xgboost"
"73","catch22",22,0.974789915966387,10,"HouseTwenty","xgboost"
"74","feasts",36,0.92436974789916,10,"HouseTwenty","xgboost"
"75","tsfeatures",59,0.957983193277311,10,"HouseTwenty","xgboost"
"76","TSFEL",143,0.88235294117647,10,"HouseTwenty","xgboost"
"77","Kats",35,0.949579831932773,10,"HouseTwenty","xgboost"
"78","tsfresh",735,0.966386554621849,10,"HouseTwenty","xgboost"
"79","quantiles",101,0.80672268907563,10,"HouseTwenty","xgboost"
"80","FFT (Mag^2 + Angle) + quantiles",301,0.907563025210084,10,"HouseTwenty","xgboost"
"81","catch22",22,0.957983193277311,11,"HouseTwenty","xgboost"
"82","feasts",37,0.949579831932773,11,"HouseTwenty","xgboost"
"83","tsfeatures",59,0.957983193277311,11,"HouseTwenty","xgboost"
"84","TSFEL",143,0.915966386554622,11,"HouseTwenty","xgboost"
"85","Kats",35,0.941176470588235,11,"HouseTwenty","xgboost"
"86","tsfresh",734,0.949579831932773,11,"HouseTwenty","xgboost"
"87","quantiles",101,0.831932773109244,11,"HouseTwenty","xgboost"
"88","FFT (Mag^2 + Angle) + quantiles",301,0.764705882352941,11,"HouseTwenty","xgboost"
"89","catch22",22,0.949579831932773,12,"HouseTwenty","xgboost"
"90","feasts",35,0.890756302521008,12,"HouseTwenty","xgboost"
"91","tsfeatures",59,0.915966386554622,12,"HouseTwenty","xgboost"
"92","TSFEL",143,0.941176470588235,12,"HouseTwenty","xgboost"
"93","Kats",35,0.92436974789916,12,"HouseTwenty","xgboost"
"94","tsfresh",737,0.907563025210084,12,"HouseTwenty","xgboost"
"95","quantiles",101,0.840336134453782,12,"HouseTwenty","xgboost"
"96","FFT (Mag^2 + Angle) + quantiles",301,0.873949579831933,12,"HouseTwenty","xgboost"
"97","catch22",22,0.949579831932773,13,"HouseTwenty","xgboost"
"98","feasts",35,0.890756302521008,13,"HouseTwenty","xgboost"
"99","tsfeatures",59,0.92436974789916,13,"HouseTwenty","xgboost"
"100","TSFEL",143,0.873949579831933,13,"HouseTwenty","xgboost"
"101","Kats",35,0.915966386554622,13,"HouseTwenty","xgboost"
"102","tsfresh",733,0.915966386554622,13,"HouseTwenty","xgboost"
"103","quantiles",101,0.80672268907563,13,"HouseTwenty","xgboost"
"104","FFT (Mag^2 + Angle) + quantiles",301,0.857142857142857,13,"HouseTwenty","xgboost"
"105","catch22",22,0.949579831932773,14,"HouseTwenty","xgboost"
"106","feasts",37,0.899159663865546,14,"HouseTwenty","xgboost"
"107","tsfeatures",59,0.932773109243697,14,"HouseTwenty","xgboost"
"108","TSFEL",143,0.907563025210084,14,"HouseTwenty","xgboost"
"109","Kats",35,0.957983193277311,14,"HouseTwenty","xgboost"
"110","tsfresh",734,0.983193277310924,14,"HouseTwenty","xgboost"
"111","quantiles",101,0.840336134453782,14,"HouseTwenty","xgboost"
"112","FFT (Mag^2 + Angle) + quantiles",301,0.873949579831933,14,"HouseTwenty","xgboost"
"113","catch22",22,0.941176470588235,15,"HouseTwenty","xgboost"
"114","feasts",35,0.857142857142857,15,"HouseTwenty","xgboost"
"115","tsfeatures",59,0.915966386554622,15,"HouseTwenty","xgboost"
"116","TSFEL",143,0.840336134453782,15,"HouseTwenty","xgboost"
"117","Kats",35,0.907563025210084,15,"HouseTwenty","xgboost"
"118","tsfresh",734,0.949579831932773,15,"HouseTwenty","xgboost"
"119","quantiles",101,0.789915966386555,15,"HouseTwenty","xgboost"
"120","FFT (Mag^2 + Angle) + quantiles",301,0.815126050420168,15,"HouseTwenty","xgboost"
"121","catch22",22,0.848739495798319,16,"HouseTwenty","xgboost"
"122","feasts",35,0.915966386554622,16,"HouseTwenty","xgboost"
"123","tsfeatures",59,0.941176470588235,16,"HouseTwenty","xgboost"
"124","TSFEL",143,0.941176470588235,16,"HouseTwenty","xgboost"
"125","Kats",35,0.932773109243697,16,"HouseTwenty","xgboost"
"126","tsfresh",735,0.966386554621849,16,"HouseTwenty","xgboost"
"127","quantiles",101,0.848739495798319,16,"HouseTwenty","xgboost"
"128","FFT (Mag^2 + Angle) + quantiles",301,0.857142857142857,16,"HouseTwenty","xgboost"
"129","catch22",22,0.957983193277311,17,"HouseTwenty","xgboost"
"130","feasts",36,0.932773109243697,17,"HouseTwenty","xgboost"
"131","tsfeatures",59,0.941176470588235,17,"HouseTwenty","xgboost"
"132","TSFEL",143,0.890756302521008,17,"HouseTwenty","xgboost"
"133","Kats",35,0.941176470588235,17,"HouseTwenty","xgboost"
"134","tsfresh",736,0.941176470588235,17,"HouseTwenty","xgboost"
"135","quantiles",101,0.739495798319328,17,"HouseTwenty","xgboost"
"136","FFT (Mag^2 + Angle) + quantiles",301,0.756302521008403,17,"HouseTwenty","xgboost"
"137","catch22",22,0.957983193277311,18,"HouseTwenty","xgboost"
"138","feasts",36,0.890756302521008,18,"HouseTwenty","xgboost"
"139","tsfeatures",59,0.907563025210084,18,"HouseTwenty","xgboost"
"140","TSFEL",143,0.92436974789916,18,"HouseTwenty","xgboost"
"141","Kats",35,0.932773109243697,18,"HouseTwenty","xgboost"
"142","tsfresh",736,0.983193277310924,18,"HouseTwenty","xgboost"
"143","quantiles",101,0.840336134453782,18,"HouseTwenty","xgboost"
"144","FFT (Mag^2 + Angle) + quantiles",301,0.831932773109244,18,"HouseTwenty","xgboost"
"145","catch22",22,0.957983193277311,19,"HouseTwenty","xgboost"
"146","feasts",35,0.88235294117647,19,"HouseTwenty","xgboost"
"147","tsfeatures",59,0.899159663865546,19,"HouseTwenty","xgboost"
"148","TSFEL",143,0.932773109243697,19,"HouseTwenty","xgboost"
"149","Kats",35,0.932773109243697,19,"HouseTwenty","xgboost"
"150","tsfresh",733,0.983193277310924,19,"HouseTwenty","xgboost"
"151","quantiles",101,0.815126050420168,19,"HouseTwenty","xgboost"
"152","FFT (Mag^2 + Angle) + quantiles",301,0.857142857142857,19,"HouseTwenty","xgboost"
"153","catch22",22,0.966386554621849,20,"HouseTwenty","xgboost"
"154","feasts",36,0.88235294117647,20,"HouseTwenty","xgboost"
"155","tsfeatures",59,0.88235294117647,20,"HouseTwenty","xgboost"
"156","TSFEL",143,0.781512605042017,20,"HouseTwenty","xgboost"
"157","Kats",35,0.88235294117647,20,"HouseTwenty","xgboost"
"158","tsfresh",734,0.92436974789916,20,"HouseTwenty","xgboost"
"159","quantiles",101,0.840336134453782,20,"HouseTwenty","xgboost"
"160","FFT (Mag^2 + Angle) + quantiles",301,0.823529411764706,20,"HouseTwenty","xgboost"
"161","catch22",22,0.92436974789916,21,"HouseTwenty","xgboost"
"162","feasts",36,0.890756302521008,21,"HouseTwenty","xgboost"
"163","tsfeatures",59,0.949579831932773,21,"HouseTwenty","xgboost"
"164","TSFEL",143,0.957983193277311,21,"HouseTwenty","xgboost"
"165","Kats",35,0.941176470588235,21,"HouseTwenty","xgboost"
"166","tsfresh",733,0.966386554621849,21,"HouseTwenty","xgboost"
"167","quantiles",101,0.815126050420168,21,"HouseTwenty","xgboost"
"168","FFT (Mag^2 + Angle) + quantiles",301,0.789915966386555,21,"HouseTwenty","xgboost"
"169","catch22",22,0.932773109243697,22,"HouseTwenty","xgboost"
"170","feasts",35,0.915966386554622,22,"HouseTwenty","xgboost"
"171","tsfeatures",57,0.932773109243697,22,"HouseTwenty","xgboost"
"172","TSFEL",143,0.932773109243697,22,"HouseTwenty","xgboost"
"173","Kats",35,0.92436974789916,22,"HouseTwenty","xgboost"
"174","tsfresh",733,0.92436974789916,22,"HouseTwenty","xgboost"
"175","quantiles",101,0.831932773109244,22,"HouseTwenty","xgboost"
"176","FFT (Mag^2 + Angle) + quantiles",301,0.823529411764706,22,"HouseTwenty","xgboost"
"177","catch22",22,0.890756302521008,23,"HouseTwenty","xgboost"
"178","feasts",35,0.92436974789916,23,"HouseTwenty","xgboost"
"179","tsfeatures",59,0.957983193277311,23,"HouseTwenty","xgboost"
"180","TSFEL",143,0.88235294117647,23,"HouseTwenty","xgboost"
"181","Kats",35,0.915966386554622,23,"HouseTwenty","xgboost"
"182","tsfresh",733,0.966386554621849,23,"HouseTwenty","xgboost"
"183","quantiles",101,0.823529411764706,23,"HouseTwenty","xgboost"
"184","FFT (Mag^2 + Angle) + quantiles",301,0.848739495798319,23,"HouseTwenty","xgboost"
"185","catch22",22,0.932773109243697,24,"HouseTwenty","xgboost"
"186","feasts",37,0.857142857142857,24,"HouseTwenty","xgboost"
"187","tsfeatures",59,0.865546218487395,24,"HouseTwenty","xgboost"
"188","TSFEL",143,0.88235294117647,24,"HouseTwenty","xgboost"
"189","Kats",35,0.88235294117647,24,"HouseTwenty","xgboost"
"190","tsfresh",735,0.932773109243697,24,"HouseTwenty","xgboost"
"191","quantiles",101,0.80672268907563,24,"HouseTwenty","xgboost"
"192","FFT (Mag^2 + Angle) + quantiles",301,0.815126050420168,24,"HouseTwenty","xgboost"
"193","catch22",22,0.949579831932773,25,"HouseTwenty","xgboost"
"194","feasts",36,0.890756302521008,25,"HouseTwenty","xgboost"
"195","tsfeatures",59,0.899159663865546,25,"HouseTwenty","xgboost"
"196","TSFEL",143,0.865546218487395,25,"HouseTwenty","xgboost"
"197","Kats",35,0.92436974789916,25,"HouseTwenty","xgboost"
"198","tsfresh",739,0.907563025210084,25,"HouseTwenty","xgboost"
"199","quantiles",101,0.789915966386555,25,"HouseTwenty","xgboost"
"200","FFT (Mag^2 + Angle) + quantiles",301,0.840336134453782,25,"HouseTwenty","xgboost"
"201","catch22",22,0.974789915966387,26,"HouseTwenty","xgboost"
"202","feasts",35,0.907563025210084,26,"HouseTwenty","xgboost"
"203","tsfeatures",59,0.941176470588235,26,"HouseTwenty","xgboost"
"204","TSFEL",143,0.957983193277311,26,"HouseTwenty","xgboost"
"205","Kats",35,0.941176470588235,26,"HouseTwenty","xgboost"
"206","tsfresh",734,0.949579831932773,26,"HouseTwenty","xgboost"
"207","quantiles",101,0.857142857142857,26,"HouseTwenty","xgboost"
"208","FFT (Mag^2 + Angle) + quantiles",301,0.915966386554622,26,"HouseTwenty","xgboost"
"209","catch22",22,0.949579831932773,27,"HouseTwenty","xgboost"
"210","feasts",36,0.915966386554622,27,"HouseTwenty","xgboost"
"211","tsfeatures",59,0.915966386554622,27,"HouseTwenty","xgboost"
"212","TSFEL",143,0.857142857142857,27,"HouseTwenty","xgboost"
"213","Kats",35,0.932773109243697,27,"HouseTwenty","xgboost"
"214","tsfresh",739,0.983193277310924,27,"HouseTwenty","xgboost"
"215","quantiles",101,0.798319327731092,27,"HouseTwenty","xgboost"
"216","FFT (Mag^2 + Angle) + quantiles",301,0.823529411764706,27,"HouseTwenty","xgboost"
"217","catch22",22,0.915966386554622,28,"HouseTwenty","xgboost"
"218","feasts",35,0.907563025210084,28,"HouseTwenty","xgboost"
"219","tsfeatures",59,0.932773109243697,28,"HouseTwenty","xgboost"
"220","TSFEL",143,0.92436974789916,28,"HouseTwenty","xgboost"
"221","Kats",35,0.915966386554622,28,"HouseTwenty","xgboost"
"222","tsfresh",737,0.974789915966387,28,"HouseTwenty","xgboost"
"223","quantiles",101,0.798319327731092,28,"HouseTwenty","xgboost"
"224","FFT (Mag^2 + Angle) + quantiles",301,0.798319327731092,28,"HouseTwenty","xgboost"
"225","catch22",22,0.899159663865546,29,"HouseTwenty","xgboost"
"226","feasts",36,0.873949579831933,29,"HouseTwenty","xgboost"
"227","tsfeatures",59,0.873949579831933,29,"HouseTwenty","xgboost"
"228","TSFEL",143,0.88235294117647,29,"HouseTwenty","xgboost"
"229","Kats",35,0.949579831932773,29,"HouseTwenty","xgboost"
"230","tsfresh",736,0.949579831932773,29,"HouseTwenty","xgboost"
"231","quantiles",101,0.798319327731092,29,"HouseTwenty","xgboost"
"232","FFT (Mag^2 + Angle) + quantiles",301,0.840336134453782,29,"HouseTwenty","xgboost"
"233","catch22",22,0.966386554621849,30,"HouseTwenty","xgboost"
"234","feasts",37,0.92436974789916,30,"HouseTwenty","xgboost"
"235","tsfeatures",59,0.957983193277311,30,"HouseTwenty","xgboost"
"236","TSFEL",143,0.88235294117647,30,"HouseTwenty","xgboost"
"237","Kats",35,0.915966386554622,30,"HouseTwenty","xgboost"
