"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",21,0.4,1,"InlineSkate","xgboost"
"feasts",34,0.467272727272727,1,"InlineSkate","xgboost"
"tsfeatures",58,0.470909090909091,1,"InlineSkate","xgboost"
"TSFEL",143,0.456363636363636,1,"InlineSkate","xgboost"
"Kats",35,0.509090909090909,1,"InlineSkate","xgboost"
"tsfresh",725,0.381818181818182,1,"InlineSkate","xgboost"
"quantiles",101,0.334545454545455,1,"InlineSkate","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.278181818181818,1,"InlineSkate","xgboost"
"FFT coefficients",399,0.269090909090909,1,"InlineSkate","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.278181818181818,1,"InlineSkate","xgboost"
"FFT (Re, Im) + quantiles",300,0.227272727272727,1,"InlineSkate","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.292727272727273,1,"InlineSkate","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.278181818181818,1,"InlineSkate","xgboost"
"catch22",21,0.378181818181818,2,"InlineSkate","xgboost"
"feasts",34,0.510909090909091,2,"InlineSkate","xgboost"
"tsfeatures",58,0.494545454545455,2,"InlineSkate","xgboost"
"TSFEL",143,0.549090909090909,2,"InlineSkate","xgboost"
"Kats",35,0.516363636363636,2,"InlineSkate","xgboost"
"tsfresh",731,0.430909090909091,2,"InlineSkate","xgboost"
"quantiles",101,0.363636363636364,2,"InlineSkate","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.312727272727273,2,"InlineSkate","xgboost"
"FFT coefficients",399,0.230909090909091,2,"InlineSkate","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.281818181818182,2,"InlineSkate","xgboost"
"FFT (Re, Im) + quantiles",300,0.294545454545455,2,"InlineSkate","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.307272727272727,2,"InlineSkate","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.3,2,"InlineSkate","xgboost"
"catch22",21,0.450909090909091,3,"InlineSkate","xgboost"
"feasts",34,0.527272727272727,3,"InlineSkate","xgboost"
"tsfeatures",58,0.574545454545455,3,"InlineSkate","xgboost"
"TSFEL",143,0.601818181818182,3,"InlineSkate","xgboost"
"Kats",36,0.534545454545455,3,"InlineSkate","xgboost"
"tsfresh",727,0.42,3,"InlineSkate","xgboost"
"quantiles",101,0.350909090909091,3,"InlineSkate","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.316363636363636,3,"InlineSkate","xgboost"
"FFT coefficients",399,0.272727272727273,3,"InlineSkate","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.294545454545455,3,"InlineSkate","xgboost"
"FFT (Re, Im) + quantiles",300,0.263636363636364,3,"InlineSkate","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.310909090909091,3,"InlineSkate","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.310909090909091,3,"InlineSkate","xgboost"
"catch22",21,0.44,4,"InlineSkate","xgboost"
"feasts",34,0.510909090909091,4,"InlineSkate","xgboost"
"tsfeatures",58,0.490909090909091,4,"InlineSkate","xgboost"
"TSFEL",143,0.474545454545455,4,"InlineSkate","xgboost"
"Kats",36,0.458181818181818,4,"InlineSkate","xgboost"
"tsfresh",726,0.414545454545455,4,"InlineSkate","xgboost"
"quantiles",101,0.370909090909091,4,"InlineSkate","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.303636363636364,4,"InlineSkate","xgboost"
"FFT coefficients",399,0.274545454545455,4,"InlineSkate","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.296363636363636,4,"InlineSkate","xgboost"
"FFT (Re, Im) + quantiles",300,0.256363636363636,4,"InlineSkate","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.298181818181818,4,"InlineSkate","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.303636363636364,4,"InlineSkate","xgboost"
"catch22",21,0.432727272727273,5,"InlineSkate","xgboost"
"feasts",34,0.470909090909091,5,"InlineSkate","xgboost"
"tsfeatures",58,0.46,5,"InlineSkate","xgboost"
"TSFEL",143,0.532727272727273,5,"InlineSkate","xgboost"
"Kats",35,0.498181818181818,5,"InlineSkate","xgboost"
"tsfresh",732,0.410909090909091,5,"InlineSkate","xgboost"
