"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.939759036144578,1,"InsectEPGRegularTrain","xgboost"
"feasts",37,0.963855421686747,1,"InsectEPGRegularTrain","xgboost"
"tsfeatures",59,0.971887550200803,1,"InsectEPGRegularTrain","xgboost"
"TSFEL",144,0.991967871485944,1,"InsectEPGRegularTrain","xgboost"
"Kats",36,0.979919678714859,1,"InsectEPGRegularTrain","xgboost"
"tsfresh",734,1,1,"InsectEPGRegularTrain","xgboost"
"quantiles",101,0.771084337349398,1,"InsectEPGRegularTrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.899598393574297,1,"InsectEPGRegularTrain","xgboost"
"FFT coefficients",399,0.847389558232932,1,"InsectEPGRegularTrain","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.887550200803213,1,"InsectEPGRegularTrain","xgboost"
"FFT (Re, Im) + quantiles",300,0.783132530120482,1,"InsectEPGRegularTrain","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.895582329317269,1,"InsectEPGRegularTrain","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.879518072289157,1,"InsectEPGRegularTrain","xgboost"
"catch22",22,0.943775100401606,2,"InsectEPGRegularTrain","xgboost"
"feasts",37,0.987951807228916,2,"InsectEPGRegularTrain","xgboost"
"tsfeatures",59,0.979919678714859,2,"InsectEPGRegularTrain","xgboost"
"TSFEL",144,0.951807228915663,2,"InsectEPGRegularTrain","xgboost"
"Kats",36,1,2,"InsectEPGRegularTrain","xgboost"
"tsfresh",734,0.987951807228916,2,"InsectEPGRegularTrain","xgboost"
"quantiles",101,0.76706827309237,2,"InsectEPGRegularTrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.855421686746988,2,"InsectEPGRegularTrain","xgboost"
"FFT coefficients",399,0.827309236947791,2,"InsectEPGRegularTrain","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.847389558232932,2,"InsectEPGRegularTrain","xgboost"
"FFT (Re, Im) + quantiles",300,0.759036144578313,2,"InsectEPGRegularTrain","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.847389558232932,2,"InsectEPGRegularTrain","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.859437751004016,2,"InsectEPGRegularTrain","xgboost"
"catch22",22,0.923694779116466,3,"InsectEPGRegularTrain","xgboost"
"feasts",37,0.963855421686747,3,"InsectEPGRegularTrain","xgboost"
"tsfeatures",59,0.979919678714859,3,"InsectEPGRegularTrain","xgboost"
"TSFEL",143,0.943775100401606,3,"InsectEPGRegularTrain","xgboost"
"Kats",36,0.995983935742972,3,"InsectEPGRegularTrain","xgboost"
"tsfresh",732,0.983935742971888,3,"InsectEPGRegularTrain","xgboost"
"quantiles",101,0.783132530120482,3,"InsectEPGRegularTrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.875502008032129,3,"InsectEPGRegularTrain","xgboost"
"FFT coefficients",399,0.835341365461847,3,"InsectEPGRegularTrain","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.867469879518072,3,"InsectEPGRegularTrain","xgboost"
"FFT (Re, Im) + quantiles",300,0.807228915662651,3,"InsectEPGRegularTrain","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.855421686746988,3,"InsectEPGRegularTrain","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.875502008032129,3,"InsectEPGRegularTrain","xgboost"
"catch22",22,0.943775100401606,4,"InsectEPGRegularTrain","xgboost"
"feasts",36,0.983935742971888,4,"InsectEPGRegularTrain","xgboost"
"tsfeatures",59,0.983935742971888,4,"InsectEPGRegularTrain","xgboost"
"TSFEL",143,0.979919678714859,4,"InsectEPGRegularTrain","xgboost"
"Kats",36,0.995983935742972,4,"InsectEPGRegularTrain","xgboost"
"tsfresh",734,0.983935742971888,4,"InsectEPGRegularTrain","xgboost"
"quantiles",101,0.674698795180723,4,"InsectEPGRegularTrain","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.839357429718876,4,"InsectEPGRegularTrain","xgboost"
"FFT coefficients",399,0.823293172690763,4,"InsectEPGRegularTrain","xgboost"
