"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.759036144578313,1,"InsectEPGSmallTrain","xgboost"
"2","feasts",35,0.943775100401606,1,"InsectEPGSmallTrain","xgboost"
"3","tsfeatures",59,0.947791164658635,1,"InsectEPGSmallTrain","xgboost"
"4","TSFEL",141,0.903614457831325,1,"InsectEPGSmallTrain","xgboost"
"5","Kats",36,0.93574297188755,1,"InsectEPGSmallTrain","xgboost"
"6","tsfresh",733,0.951807228915663,1,"InsectEPGSmallTrain","xgboost"
"7","quantiles",101,0.682730923694779,1,"InsectEPGSmallTrain","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.795180722891566,1,"InsectEPGSmallTrain","xgboost"
"9","catch22",22,0.8714859437751,2,"InsectEPGSmallTrain","xgboost"
"10","feasts",35,0.85140562248996,2,"InsectEPGSmallTrain","xgboost"
"11","tsfeatures",59,0.883534136546185,2,"InsectEPGSmallTrain","xgboost"
"12","TSFEL",141,0.903614457831325,2,"InsectEPGSmallTrain","xgboost"
"13","Kats",36,0.911646586345382,2,"InsectEPGSmallTrain","xgboost"
"14","tsfresh",732,0.839357429718876,2,"InsectEPGSmallTrain","xgboost"
"15","quantiles",101,0.710843373493976,2,"InsectEPGSmallTrain","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.76706827309237,2,"InsectEPGSmallTrain","xgboost"
"17","catch22",22,0.911646586345382,3,"InsectEPGSmallTrain","xgboost"
"18","feasts",35,0.955823293172691,3,"InsectEPGSmallTrain","xgboost"
"19","tsfeatures",59,0.959839357429719,3,"InsectEPGSmallTrain","xgboost"
"20","TSFEL",141,0.931726907630522,3,"InsectEPGSmallTrain","xgboost"
"21","Kats",36,0.983935742971888,3,"InsectEPGSmallTrain","xgboost"
"22","tsfresh",733,0.983935742971888,3,"InsectEPGSmallTrain","xgboost"
"23","quantiles",101,0.710843373493976,3,"InsectEPGSmallTrain","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.807228915662651,3,"InsectEPGSmallTrain","xgboost"
"25","catch22",22,0.698795180722892,4,"InsectEPGSmallTrain","xgboost"
"26","feasts",35,0.839357429718876,4,"InsectEPGSmallTrain","xgboost"
"27","tsfeatures",59,0.863453815261044,4,"InsectEPGSmallTrain","xgboost"
"28","TSFEL",142,0.867469879518072,4,"InsectEPGSmallTrain","xgboost"
"29","Kats",36,0.855421686746988,4,"InsectEPGSmallTrain","xgboost"
"30","tsfresh",732,0.843373493975904,4,"InsectEPGSmallTrain","xgboost"
"31","quantiles",101,0.706827309236948,4,"InsectEPGSmallTrain","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.795180722891566,4,"InsectEPGSmallTrain","xgboost"
"33","catch22",22,0.803212851405622,5,"InsectEPGSmallTrain","xgboost"
"34","feasts",36,0.879518072289157,5,"InsectEPGSmallTrain","xgboost"
"35","tsfeatures",59,0.93574297188755,5,"InsectEPGSmallTrain","xgboost"
"36","TSFEL",142,0.887550200803213,5,"InsectEPGSmallTrain","xgboost"
"37","Kats",36,0.967871485943775,5,"InsectEPGSmallTrain","xgboost"
"38","tsfresh",735,0.951807228915663,5,"InsectEPGSmallTrain","xgboost"
"39","quantiles",101,0.742971887550201,5,"InsectEPGSmallTrain","xgboost"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.755020080321285,5,"InsectEPGSmallTrain","xgboost"
"41","catch22",22,0.791164658634538,6,"InsectEPGSmallTrain","xgboost"
"42","feasts",35,0.903614457831325,6,"InsectEPGSmallTrain","xgboost"
"43","tsfeatures",59,0.931726907630522,6,"InsectEPGSmallTrain","xgboost"
"44","TSFEL",143,0.943775100401606,6,"InsectEPGSmallTrain","xgboost"
"45","Kats",36,0.971887550200803,6,"InsectEPGSmallTrain","xgboost"
"46","tsfresh",733,0.951807228915663,6,"InsectEPGSmallTrain","xgboost"
"47","quantiles",101,0.670682730923695,6,"InsectEPGSmallTrain","xgboost"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.746987951807229,6,"InsectEPGSmallTrain","xgboost"
"49","catch22",22,0.755020080321285,7,"InsectEPGSmallTrain","xgboost"
"50","feasts",35,0.93574297188755,7,"InsectEPGSmallTrain","xgboost"
"51","tsfeatures",59,0.943775100401606,7,"InsectEPGSmallTrain","xgboost"
"52","TSFEL",142,0.907630522088353,7,"InsectEPGSmallTrain","xgboost"
"53","Kats",36,0.927710843373494,7,"InsectEPGSmallTrain","xgboost"
"54","tsfresh",733,0.971887550200803,7,"InsectEPGSmallTrain","xgboost"
"55","quantiles",101,0.698795180722892,7,"InsectEPGSmallTrain","xgboost"
"56","FFT (Mag^2 + Angle) + quantiles",301,0.775100401606426,7,"InsectEPGSmallTrain","xgboost"
"57","catch22",22,0.831325301204819,8,"InsectEPGSmallTrain","xgboost"
"58","feasts",35,0.923694779116466,8,"InsectEPGSmallTrain","xgboost"
"59","tsfeatures",59,0.919678714859438,8,"InsectEPGSmallTrain","xgboost"
"60","TSFEL",142,0.939759036144578,8,"InsectEPGSmallTrain","xgboost"
"61","Kats",36,0.947791164658635,8,"InsectEPGSmallTrain","xgboost"
"62","tsfresh",734,0.714859437751004,8,"InsectEPGSmallTrain","xgboost"
"63","quantiles",101,0.678714859437751,8,"InsectEPGSmallTrain","xgboost"
"64","FFT (Mag^2 + Angle) + quantiles",301,0.674698795180723,8,"InsectEPGSmallTrain","xgboost"
"65","catch22",22,0.799196787148594,9,"InsectEPGSmallTrain","xgboost"
"66","feasts",36,0.891566265060241,9,"InsectEPGSmallTrain","xgboost"
"67","tsfeatures",59,0.971887550200803,9,"InsectEPGSmallTrain","xgboost"
"68","TSFEL",142,0.939759036144578,9,"InsectEPGSmallTrain","xgboost"
"69","Kats",36,0.991967871485944,9,"InsectEPGSmallTrain","xgboost"
"70","tsfresh",731,0.939759036144578,9,"InsectEPGSmallTrain","xgboost"
"71","quantiles",101,0.698795180722892,9,"InsectEPGSmallTrain","xgboost"
"72","FFT (Mag^2 + Angle) + quantiles",301,0.742971887550201,9,"InsectEPGSmallTrain","xgboost"
"73","catch22",22,0.815261044176707,10,"InsectEPGSmallTrain","xgboost"
"74","feasts",36,0.875502008032129,10,"InsectEPGSmallTrain","xgboost"
"75","tsfeatures",59,0.875502008032129,10,"InsectEPGSmallTrain","xgboost"
"76","TSFEL",142,0.959839357429719,10,"InsectEPGSmallTrain","xgboost"
"77","Kats",36,0.923694779116466,10,"InsectEPGSmallTrain","xgboost"
"78","tsfresh",731,0.931726907630522,10,"InsectEPGSmallTrain","xgboost"
"79","quantiles",101,0.72289156626506,10,"InsectEPGSmallTrain","xgboost"
"80","FFT (Mag^2 + Angle) + quantiles",301,0.815261044176707,10,"InsectEPGSmallTrain","xgboost"
"81","catch22",22,0.847389558232932,11,"InsectEPGSmallTrain","xgboost"
"82","feasts",36,0.911646586345382,11,"InsectEPGSmallTrain","xgboost"
"83","tsfeatures",59,0.887550200803213,11,"InsectEPGSmallTrain","xgboost"
"84","TSFEL",141,0.919678714859438,11,"InsectEPGSmallTrain","xgboost"
"85","Kats",36,0.895582329317269,11,"InsectEPGSmallTrain","xgboost"
"86","tsfresh",730,0.863453815261044,11,"InsectEPGSmallTrain","xgboost"
"87","quantiles",101,0.670682730923695,11,"InsectEPGSmallTrain","xgboost"
"88","FFT (Mag^2 + Angle) + quantiles",301,0.791164658634538,11,"InsectEPGSmallTrain","xgboost"
"89","catch22",22,0.78714859437751,12,"InsectEPGSmallTrain","xgboost"
"90","feasts",36,0.923694779116466,12,"InsectEPGSmallTrain","xgboost"
"91","tsfeatures",59,0.919678714859438,12,"InsectEPGSmallTrain","xgboost"
"92","TSFEL",141,0.839357429718876,12,"InsectEPGSmallTrain","xgboost"
"93","Kats",36,0.887550200803213,12,"InsectEPGSmallTrain","xgboost"
"94","tsfresh",730,0.847389558232932,12,"InsectEPGSmallTrain","xgboost"
"95","quantiles",101,0.670682730923695,12,"InsectEPGSmallTrain","xgboost"
"96","FFT (Mag^2 + Angle) + quantiles",301,0.606425702811245,12,"InsectEPGSmallTrain","xgboost"
"97","catch22",22,0.847389558232932,13,"InsectEPGSmallTrain","xgboost"
"98","feasts",36,0.859437751004016,13,"InsectEPGSmallTrain","xgboost"
"99","tsfeatures",59,0.963855421686747,13,"InsectEPGSmallTrain","xgboost"
"100","TSFEL",143,0.93574297188755,13,"InsectEPGSmallTrain","xgboost"
"101","Kats",36,0.947791164658635,13,"InsectEPGSmallTrain","xgboost"
"102","tsfresh",733,0.991967871485944,13,"InsectEPGSmallTrain","xgboost"
"103","quantiles",101,0.694779116465863,13,"InsectEPGSmallTrain","xgboost"
"104","FFT (Mag^2 + Angle) + quantiles",301,0.807228915662651,13,"InsectEPGSmallTrain","xgboost"
"105","catch22",22,0.803212851405622,14,"InsectEPGSmallTrain","xgboost"
"106","feasts",36,0.927710843373494,14,"InsectEPGSmallTrain","xgboost"
"107","tsfeatures",59,0.955823293172691,14,"InsectEPGSmallTrain","xgboost"
"108","TSFEL",142,0.907630522088353,14,"InsectEPGSmallTrain","xgboost"
"109","Kats",36,0.975903614457831,14,"InsectEPGSmallTrain","xgboost"
"110","tsfresh",732,0.991967871485944,14,"InsectEPGSmallTrain","xgboost"
"111","quantiles",101,0.63855421686747,14,"InsectEPGSmallTrain","xgboost"
"112","FFT (Mag^2 + Angle) + quantiles",301,0.751004016064257,14,"InsectEPGSmallTrain","xgboost"
"113","catch22",22,0.827309236947791,15,"InsectEPGSmallTrain","xgboost"
"114","feasts",35,0.895582329317269,15,"InsectEPGSmallTrain","xgboost"
"115","tsfeatures",59,0.907630522088353,15,"InsectEPGSmallTrain","xgboost"
"116","TSFEL",142,0.927710843373494,15,"InsectEPGSmallTrain","xgboost"
"117","Kats",36,0.93574297188755,15,"InsectEPGSmallTrain","xgboost"
"118","tsfresh",734,0.879518072289157,15,"InsectEPGSmallTrain","xgboost"
"119","quantiles",101,0.674698795180723,15,"InsectEPGSmallTrain","xgboost"
"120","FFT (Mag^2 + Angle) + quantiles",301,0.706827309236948,15,"InsectEPGSmallTrain","xgboost"
"121","catch22",22,0.795180722891566,16,"InsectEPGSmallTrain","xgboost"
"122","feasts",35,0.887550200803213,16,"InsectEPGSmallTrain","xgboost"
"123","tsfeatures",59,0.919678714859438,16,"InsectEPGSmallTrain","xgboost"
"124","TSFEL",142,0.947791164658635,16,"InsectEPGSmallTrain","xgboost"
"125","Kats",36,0.919678714859438,16,"InsectEPGSmallTrain","xgboost"
"126","tsfresh",730,0.983935742971888,16,"InsectEPGSmallTrain","xgboost"
"127","quantiles",101,0.694779116465863,16,"InsectEPGSmallTrain","xgboost"
"128","FFT (Mag^2 + Angle) + quantiles",301,0.726907630522088,16,"InsectEPGSmallTrain","xgboost"
"129","catch22",22,0.843373493975904,17,"InsectEPGSmallTrain","xgboost"
"130","feasts",36,0.847389558232932,17,"InsectEPGSmallTrain","xgboost"
"131","tsfeatures",59,0.879518072289157,17,"InsectEPGSmallTrain","xgboost"
"132","TSFEL",142,0.839357429718876,17,"InsectEPGSmallTrain","xgboost"
"133","Kats",36,0.883534136546185,17,"InsectEPGSmallTrain","xgboost"
"134","tsfresh",733,0.85140562248996,17,"InsectEPGSmallTrain","xgboost"
"135","quantiles",101,0.726907630522088,17,"InsectEPGSmallTrain","xgboost"
"136","FFT (Mag^2 + Angle) + quantiles",301,0.678714859437751,17,"InsectEPGSmallTrain","xgboost"
"137","catch22",22,0.779116465863454,18,"InsectEPGSmallTrain","xgboost"
"138","feasts",37,0.899598393574297,18,"InsectEPGSmallTrain","xgboost"
"139","tsfeatures",59,0.927710843373494,18,"InsectEPGSmallTrain","xgboost"
"140","TSFEL",144,0.943775100401606,18,"InsectEPGSmallTrain","xgboost"
"141","Kats",36,0.93574297188755,18,"InsectEPGSmallTrain","xgboost"
"142","tsfresh",733,0.875502008032129,18,"InsectEPGSmallTrain","xgboost"
"143","quantiles",101,0.670682730923695,18,"InsectEPGSmallTrain","xgboost"
"144","FFT (Mag^2 + Angle) + quantiles",301,0.726907630522088,18,"InsectEPGSmallTrain","xgboost"
"145","catch22",22,0.763052208835341,19,"InsectEPGSmallTrain","xgboost"
"146","feasts",35,0.859437751004016,19,"InsectEPGSmallTrain","xgboost"
"147","tsfeatures",59,0.859437751004016,19,"InsectEPGSmallTrain","xgboost"
"148","TSFEL",141,0.875502008032129,19,"InsectEPGSmallTrain","xgboost"
"149","Kats",36,0.875502008032129,19,"InsectEPGSmallTrain","xgboost"
"150","tsfresh",733,0.911646586345382,19,"InsectEPGSmallTrain","xgboost"
"151","quantiles",101,0.630522088353414,19,"InsectEPGSmallTrain","xgboost"
"152","FFT (Mag^2 + Angle) + quantiles",301,0.706827309236948,19,"InsectEPGSmallTrain","xgboost"
"153","catch22",22,0.742971887550201,20,"InsectEPGSmallTrain","xgboost"
"154","feasts",37,0.919678714859438,20,"InsectEPGSmallTrain","xgboost"
"155","tsfeatures",59,0.919678714859438,20,"InsectEPGSmallTrain","xgboost"
"156","TSFEL",143,0.911646586345382,20,"InsectEPGSmallTrain","xgboost"
"157","Kats",36,0.947791164658635,20,"InsectEPGSmallTrain","xgboost"
"158","tsfresh",735,0.967871485943775,20,"InsectEPGSmallTrain","xgboost"
"159","quantiles",101,0.742971887550201,20,"InsectEPGSmallTrain","xgboost"
"160","FFT (Mag^2 + Angle) + quantiles",301,0.807228915662651,20,"InsectEPGSmallTrain","xgboost"
"161","catch22",22,0.76706827309237,21,"InsectEPGSmallTrain","xgboost"
"162","feasts",35,0.943775100401606,21,"InsectEPGSmallTrain","xgboost"
"163","tsfeatures",59,0.931726907630522,21,"InsectEPGSmallTrain","xgboost"
"164","TSFEL",142,0.883534136546185,21,"InsectEPGSmallTrain","xgboost"
"165","Kats",36,0.983935742971888,21,"InsectEPGSmallTrain","xgboost"
"166","tsfresh",731,0.947791164658635,21,"InsectEPGSmallTrain","xgboost"
"167","quantiles",101,0.686746987951807,21,"InsectEPGSmallTrain","xgboost"
