"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.568686868686869,1,"InsectWingbeatSound","xgboost"
"2","feasts",37,0.464646464646465,1,"InsectWingbeatSound","xgboost"
"3","tsfeatures",59,0.543434343434343,1,"InsectWingbeatSound","xgboost"
"4","TSFEL",144,0.527272727272727,1,"InsectWingbeatSound","xgboost"
"5","Kats",35,0.46969696969697,1,"InsectWingbeatSound","xgboost"
"6","tsfresh",735,0.646464646464647,1,"InsectWingbeatSound","xgboost"
"7","quantiles",101,0.18989898989899,1,"InsectWingbeatSound","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.63030303030303,1,"InsectWingbeatSound","xgboost"
"9","catch22",22,0.534343434343434,2,"InsectWingbeatSound","xgboost"
"10","feasts",36,0.470707070707071,2,"InsectWingbeatSound","xgboost"
"11","tsfeatures",59,0.534343434343434,2,"InsectWingbeatSound","xgboost"
"12","TSFEL",144,0.54949494949495,2,"InsectWingbeatSound","xgboost"
"13","Kats",35,0.462626262626263,2,"InsectWingbeatSound","xgboost"
"14","tsfresh",735,0.674747474747475,2,"InsectWingbeatSound","xgboost"
"15","quantiles",101,0.209090909090909,2,"InsectWingbeatSound","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.618686868686869,2,"InsectWingbeatSound","xgboost"
"17","catch22",22,0.573232323232323,3,"InsectWingbeatSound","xgboost"
"18","feasts",37,0.48030303030303,3,"InsectWingbeatSound","xgboost"
"19","tsfeatures",59,0.552525252525253,3,"InsectWingbeatSound","xgboost"
"20","TSFEL",143,0.577272727272727,3,"InsectWingbeatSound","xgboost"
"21","Kats",35,0.484848484848485,3,"InsectWingbeatSound","xgboost"
"22","tsfresh",729,0.653535353535354,3,"InsectWingbeatSound","xgboost"
"23","quantiles",101,0.214141414141414,3,"InsectWingbeatSound","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.628282828282828,3,"InsectWingbeatSound","xgboost"
"25","catch22",22,0.562626262626263,4,"InsectWingbeatSound","xgboost"
"26","feasts",36,0.466161616161616,4,"InsectWingbeatSound","xgboost"
"27","tsfeatures",59,0.530808080808081,4,"InsectWingbeatSound","xgboost"
"28","TSFEL",144,0.537373737373737,4,"InsectWingbeatSound","xgboost"
"29","Kats",35,0.496464646464646,4,"InsectWingbeatSound","xgboost"
"30","tsfresh",736,0.638888888888889,4,"InsectWingbeatSound","xgboost"
"31","quantiles",101,0.221212121212121,4,"InsectWingbeatSound","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.613131313131313,4,"InsectWingbeatSound","xgboost"
"33","catch22",22,0.561111111111111,5,"InsectWingbeatSound","xgboost"
"34","feasts",37,0.465656565656566,5,"InsectWingbeatSound","xgboost"
"35","tsfeatures",59,0.529292929292929,5,"InsectWingbeatSound","xgboost"
"36","TSFEL",143,0.535858585858586,5,"InsectWingbeatSound","xgboost"
"37","Kats",35,0.489393939393939,5,"InsectWingbeatSound","xgboost"
"38","tsfresh",729,0.644444444444444,5,"InsectWingbeatSound","xgboost"
"39","quantiles",101,0.198989898989899,5,"InsectWingbeatSound","xgboost"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.596969696969697,5,"InsectWingbeatSound","xgboost"
"41","catch22",22,0.568181818181818,6,"InsectWingbeatSound","xgboost"
"42","feasts",37,0.473232323232323,6,"InsectWingbeatSound","xgboost"
"43","tsfeatures",59,0.543939393939394,6,"InsectWingbeatSound","xgboost"
"44","TSFEL",143,0.56010101010101,6,"InsectWingbeatSound","xgboost"
"45","Kats",35,0.478787878787879,6,"InsectWingbeatSound","xgboost"
"46","tsfresh",729,0.659090909090909,6,"InsectWingbeatSound","xgboost"
