"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",20,0.814144027598103,1,"MelbournePedestrian","xgboost"
"2","feasts",38,0.841310909874946,1,"MelbournePedestrian","xgboost"
"3","tsfeatures",54,0.840879689521345,1,"MelbournePedestrian","xgboost"
"4","TSFEL",126,0.857697283311772,1,"MelbournePedestrian","xgboost"
"5","Kats",36,0.819318671841311,1,"MelbournePedestrian","xgboost"
"6","tsfresh",367,0.891763691246227,1,"MelbournePedestrian","xgboost"
"7","quantiles",101,0.680465717981889,1,"MelbournePedestrian","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",127,0.858559724018974,1,"MelbournePedestrian","xgboost"
"9","catch22",20,0.807244501940492,2,"MelbournePedestrian","xgboost"
"10","feasts",38,0.830099180681328,2,"MelbournePedestrian","xgboost"
"11","tsfeatures",53,0.830099180681328,2,"MelbournePedestrian","xgboost"
"12","TSFEL",126,0.852091418714963,2,"MelbournePedestrian","xgboost"
"13","Kats",36,0.818025010780509,2,"MelbournePedestrian","xgboost"
"14","tsfresh",367,0.89391979301423,2,"MelbournePedestrian","xgboost"
"15","quantiles",101,0.692971108236309,2,"MelbournePedestrian","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",127,0.852522639068564,2,"MelbournePedestrian","xgboost"
"17","catch22",20,0.806813281586891,3,"MelbournePedestrian","xgboost"
"18","feasts",37,0.85036653730056,3,"MelbournePedestrian","xgboost"
"19","tsfeatures",53,0.852091418714963,3,"MelbournePedestrian","xgboost"
"20","TSFEL",124,0.870633893919793,3,"MelbournePedestrian","xgboost"
"21","Kats",36,0.823630875377318,3,"MelbournePedestrian","xgboost"
"22","tsfresh",367,0.900388098318241,3,"MelbournePedestrian","xgboost"
"23","quantiles",101,0.702889176369125,3,"MelbournePedestrian","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",127,0.856834842604571,3,"MelbournePedestrian","xgboost"
"25","catch22",20,0.811987925830099,4,"MelbournePedestrian","xgboost"
"26","feasts",38,0.838723587753342,4,"MelbournePedestrian","xgboost"
"27","tsfeatures",54,0.844329452350151,4,"MelbournePedestrian","xgboost"
"28","TSFEL",126,0.860284605433376,4,"MelbournePedestrian","xgboost"
"29","Kats",36,0.822768434670116,4,"MelbournePedestrian","xgboost"
"30","tsfresh",368,0.899525657611039,4,"MelbournePedestrian","xgboost"
"31","quantiles",101,0.692108667529107,4,"MelbournePedestrian","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",127,0.866321690383786,4,"MelbournePedestrian","xgboost"
"33","catch22",20,0.810263044415696,5,"MelbournePedestrian","xgboost"
"34","feasts",38,0.834411384217335,5,"MelbournePedestrian","xgboost"
"35","tsfeatures",53,0.832686502802932,5,"MelbournePedestrian","xgboost"
"36","TSFEL",126,0.85640362225097,5,"MelbournePedestrian","xgboost"
"37","Kats",36,0.818025010780509,5,"MelbournePedestrian","xgboost"
"38","tsfresh",368,0.884432945235015,5,"MelbournePedestrian","xgboost"
"39","quantiles",101,0.683053040103493,5,"MelbournePedestrian","xgboost"
"40","FFT (Mag^2 + Angle) + quantiles",127,0.853385079775765,5,"MelbournePedestrian","xgboost"
"41","catch22",20,0.808106942647693,6,"MelbournePedestrian","xgboost"
"42","feasts",38,0.843035791289349,6,"MelbournePedestrian","xgboost"
"43","tsfeatures",54,0.837861147046141,6,"MelbournePedestrian","xgboost"
"44","TSFEL",126,0.8749460974558,6,"MelbournePedestrian","xgboost"
"45","Kats",36,0.826649417852523,6,"MelbournePedestrian","xgboost"
"46","tsfresh",369,0.896075894782234,6,"MelbournePedestrian","xgboost"
"47","quantiles",101,0.697283311772316,6,"MelbournePedestrian","xgboost"
"48","FFT (Mag^2 + Angle) + quantiles",127,0.85640362225097,6,"MelbournePedestrian","xgboost"
"49","catch22",20,0.815006468305304,7,"MelbournePedestrian","xgboost"
"50","feasts",38,0.829236739974127,7,"MelbournePedestrian","xgboost"
"51","tsfeatures",53,0.832255282449332,7,"MelbournePedestrian","xgboost"
"52","TSFEL",126,0.858559724018974,7,"MelbournePedestrian","xgboost"
"53","Kats",36,0.808969383354894,7,"MelbournePedestrian","xgboost"
"54","tsfresh",367,0.895644674428633,7,"MelbournePedestrian","xgboost"
"55","quantiles",101,0.677878395860285,7,"MelbournePedestrian","xgboost"
"56","FFT (Mag^2 + Angle) + quantiles",127,0.852522639068564,7,"MelbournePedestrian","xgboost"
"57","catch22",20,0.818025010780509,8,"MelbournePedestrian","xgboost"
"58","feasts",38,0.84389823199655,8,"MelbournePedestrian","xgboost"
"59","tsfeatures",54,0.841742130228547,8,"MelbournePedestrian","xgboost"
"60","TSFEL",126,0.870633893919793,8,"MelbournePedestrian","xgboost"
"61","Kats",36,0.828805519620526,8,"MelbournePedestrian","xgboost"
"62","tsfresh",367,0.905131522207848,8,"MelbournePedestrian","xgboost"
"63","quantiles",101,0.686071582578698,8,"MelbournePedestrian","xgboost"
"64","FFT (Mag^2 + Angle) + quantiles",127,0.86890901250539,8,"MelbournePedestrian","xgboost"
"65","catch22",20,0.80595084087969,9,"MelbournePedestrian","xgboost"
"66","feasts",38,0.830099180681328,9,"MelbournePedestrian","xgboost"
"67","tsfeatures",54,0.820612332902113,9,"MelbournePedestrian","xgboost"
"68","TSFEL",124,0.860715825786977,9,"MelbournePedestrian","xgboost"
"69","Kats",36,0.813712807244502,9,"MelbournePedestrian","xgboost"
"70","tsfresh",368,0.891332470892626,9,"MelbournePedestrian","xgboost"
"71","quantiles",101,0.694695989650712,9,"MelbournePedestrian","xgboost"
"72","FFT (Mag^2 + Angle) + quantiles",127,0.850797757654161,9,"MelbournePedestrian","xgboost"
"73","catch22",20,0.808538163001294,10,"MelbournePedestrian","xgboost"
"74","feasts",38,0.84346701164295,10,"MelbournePedestrian","xgboost"
"75","tsfeatures",54,0.835705045278137,10,"MelbournePedestrian","xgboost"
"76","TSFEL",126,0.865028029322984,10,"MelbournePedestrian","xgboost"
"77","Kats",36,0.828374299266925,10,"MelbournePedestrian","xgboost"
"78","tsfresh",367,0.899525657611039,10,"MelbournePedestrian","xgboost"
"79","quantiles",101,0.704614057783527,10,"MelbournePedestrian","xgboost"
"80","FFT (Mag^2 + Angle) + quantiles",127,0.859422164726175,10,"MelbournePedestrian","xgboost"
"81","catch22",20,0.817162570073308,11,"MelbournePedestrian","xgboost"
"82","feasts",38,0.833548943510134,11,"MelbournePedestrian","xgboost"
"83","tsfeatures",54,0.834411384217335,11,"MelbournePedestrian","xgboost"
"84","TSFEL",126,0.859853385079776,11,"MelbournePedestrian","xgboost"
"85","Kats",36,0.814575247951703,11,"MelbournePedestrian","xgboost"
"86","tsfresh",368,0.905562742561449,11,"MelbournePedestrian","xgboost"
"87","quantiles",101,0.686934023285899,11,"MelbournePedestrian","xgboost"
"88","FFT (Mag^2 + Angle) + quantiles",127,0.865028029322984,11,"MelbournePedestrian","xgboost"
"89","catch22",20,0.794307891332471,12,"MelbournePedestrian","xgboost"
"90","feasts",38,0.842604570935748,12,"MelbournePedestrian","xgboost"
"91","tsfeatures",53,0.833548943510134,12,"MelbournePedestrian","xgboost"
"92","TSFEL",126,0.864165588615783,12,"MelbournePedestrian","xgboost"
"93","Kats",36,0.82492453643812,12,"MelbournePedestrian","xgboost"
"94","tsfresh",368,0.897369555843036,12,"MelbournePedestrian","xgboost"
"95","quantiles",101,0.69987063389392,12,"MelbournePedestrian","xgboost"
"96","FFT (Mag^2 + Angle) + quantiles",127,0.864165588615783,12,"MelbournePedestrian","xgboost"
"97","catch22",20,0.798188874514877,13,"MelbournePedestrian","xgboost"
"98","feasts",38,0.83096162138853,13,"MelbournePedestrian","xgboost"
"99","tsfeatures",54,0.834411384217335,13,"MelbournePedestrian","xgboost"
"100","TSFEL",126,0.848210435532557,13,"MelbournePedestrian","xgboost"
"101","Kats",36,0.821474773609314,13,"MelbournePedestrian","xgboost"
"102","tsfresh",367,0.887020267356619,13,"MelbournePedestrian","xgboost"
"103","quantiles",101,0.67529107373868,13,"MelbournePedestrian","xgboost"
"104","FFT (Mag^2 + Angle) + quantiles",127,0.846054333764554,13,"MelbournePedestrian","xgboost"
"105","catch22",20,0.800776196636481,14,"MelbournePedestrian","xgboost"
"106","feasts",38,0.836567485985338,14,"MelbournePedestrian","xgboost"
"107","tsfeatures",53,0.840448469167745,14,"MelbournePedestrian","xgboost"
"108","TSFEL",126,0.870633893919793,14,"MelbournePedestrian","xgboost"
"109","Kats",36,0.825786977145321,14,"MelbournePedestrian","xgboost"
"110","tsfresh",368,0.898663216903838,14,"MelbournePedestrian","xgboost"
"111","quantiles",101,0.688227684346701,14,"MelbournePedestrian","xgboost"
"112","FFT (Mag^2 + Angle) + quantiles",127,0.856834842604571,14,"MelbournePedestrian","xgboost"
"113","catch22",20,0.791289348857266,15,"MelbournePedestrian","xgboost"
"114","feasts",38,0.81845623113411,15,"MelbournePedestrian","xgboost"
"115","tsfeatures",54,0.819749892194912,15,"MelbournePedestrian","xgboost"
"116","TSFEL",126,0.85597240189737,15,"MelbournePedestrian","xgboost"
"117","Kats",36,0.808106942647693,15,"MelbournePedestrian","xgboost"
"118","tsfresh",367,0.894351013367831,15,"MelbournePedestrian","xgboost"
"119","quantiles",101,0.68132815868909,15,"MelbournePedestrian","xgboost"
"120","FFT (Mag^2 + Angle) + quantiles",127,0.853816300129366,15,"MelbournePedestrian","xgboost"
"121","catch22",20,0.814575247951703,16,"MelbournePedestrian","xgboost"
"122","feasts",38,0.839586028460543,16,"MelbournePedestrian","xgboost"
"123","tsfeatures",54,0.831824062095731,16,"MelbournePedestrian","xgboost"
"124","TSFEL",126,0.863734368262182,16,"MelbournePedestrian","xgboost"
"125","Kats",36,0.814144027598103,16,"MelbournePedestrian","xgboost"
"126","tsfresh",368,0.89348857266063,16,"MelbournePedestrian","xgboost"
"127","quantiles",101,0.686934023285899,16,"MelbournePedestrian","xgboost"
"128","FFT (Mag^2 + Angle) + quantiles",127,0.853385079775765,16,"MelbournePedestrian","xgboost"
"129","catch22",20,0.798620094868478,17,"MelbournePedestrian","xgboost"
"130","feasts",38,0.841742130228547,17,"MelbournePedestrian","xgboost"
"131","tsfeatures",54,0.826218197498922,17,"MelbournePedestrian","xgboost"
"132","TSFEL",124,0.865890470030185,17,"MelbournePedestrian","xgboost"
"133","Kats",36,0.83096162138853,17,"MelbournePedestrian","xgboost"
"134","tsfresh",368,0.89995687796464,17,"MelbournePedestrian","xgboost"
"135","quantiles",101,0.699439413540319,17,"MelbournePedestrian","xgboost"
"136","FFT (Mag^2 + Angle) + quantiles",127,0.871496334626994,17,"MelbournePedestrian","xgboost"
"137","catch22",20,0.813712807244502,18,"MelbournePedestrian","xgboost"
"138","feasts",38,0.836998706338939,18,"MelbournePedestrian","xgboost"
"139","tsfeatures",54,0.830099180681328,18,"MelbournePedestrian","xgboost"
"140","TSFEL",126,0.863303147908581,18,"MelbournePedestrian","xgboost"
"141","Kats",36,0.815006468305304,18,"MelbournePedestrian","xgboost"
"142","tsfresh",368,0.898231996550237,18,"MelbournePedestrian","xgboost"
"143","quantiles",101,0.694264769297111,18,"MelbournePedestrian","xgboost"
"144","FFT (Mag^2 + Angle) + quantiles",127,0.862009486847779,18,"MelbournePedestrian","xgboost"
"145","catch22",20,0.809400603708495,19,"MelbournePedestrian","xgboost"
"146","feasts",38,0.842173350582147,19,"MelbournePedestrian","xgboost"
"147","tsfeatures",54,0.844760672703752,19,"MelbournePedestrian","xgboost"
"148","TSFEL",126,0.86244070720138,19,"MelbournePedestrian","xgboost"
"149","Kats",36,0.832255282449332,19,"MelbournePedestrian","xgboost"
"150","tsfresh",368,0.890901250539025,19,"MelbournePedestrian","xgboost"
