"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.844274809160305,1,"NonInvasiveFetalECGThorax1","xgboost"
"2","feasts",36,0.849363867684478,1,"NonInvasiveFetalECGThorax1","xgboost"
"3","tsfeatures",59,0.86972010178117,1,"NonInvasiveFetalECGThorax1","xgboost"
"4","TSFEL",146,0.888040712468193,1,"NonInvasiveFetalECGThorax1","xgboost"
"5","Kats",34,0.855979643765903,1,"NonInvasiveFetalECGThorax1","xgboost"
"6","tsfresh",733,0.907379134860051,1,"NonInvasiveFetalECGThorax1","xgboost"
"7","quantiles",101,0.80763358778626,1,"NonInvasiveFetalECGThorax1","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.879898218829517,1,"NonInvasiveFetalECGThorax1","xgboost"
"9","catch22",22,0.826972010178117,2,"NonInvasiveFetalECGThorax1","xgboost"
"10","feasts",36,0.843256997455471,2,"NonInvasiveFetalECGThorax1","xgboost"
"11","tsfeatures",59,0.868193384223919,2,"NonInvasiveFetalECGThorax1","xgboost"
"12","TSFEL",146,0.87735368956743,2,"NonInvasiveFetalECGThorax1","xgboost"
"13","Kats",34,0.85089058524173,2,"NonInvasiveFetalECGThorax1","xgboost"
"14","tsfresh",733,0.915521628498728,2,"NonInvasiveFetalECGThorax1","xgboost"
"15","quantiles",101,0.811195928753181,2,"NonInvasiveFetalECGThorax1","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.891603053435114,2,"NonInvasiveFetalECGThorax1","xgboost"
"17","catch22",22,0.844783715012723,3,"NonInvasiveFetalECGThorax1","xgboost"
"18","feasts",36,0.844783715012723,3,"NonInvasiveFetalECGThorax1","xgboost"
"19","tsfeatures",59,0.862595419847328,3,"NonInvasiveFetalECGThorax1","xgboost"
"20","TSFEL",146,0.870737913486005,3,"NonInvasiveFetalECGThorax1","xgboost"
"21","Kats",34,0.849363867684478,3,"NonInvasiveFetalECGThorax1","xgboost"
"22","tsfresh",733,0.904325699745547,3,"NonInvasiveFetalECGThorax1","xgboost"
"23","quantiles",101,0.811195928753181,3,"NonInvasiveFetalECGThorax1","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.879898218829517,3,"NonInvasiveFetalECGThorax1","xgboost"
"25","catch22",22,0.842239185750636,4,"NonInvasiveFetalECGThorax1","xgboost"
"26","feasts",36,0.842239185750636,4,"NonInvasiveFetalECGThorax1","xgboost"
"27","tsfeatures",59,0.875826972010178,4,"NonInvasiveFetalECGThorax1","xgboost"
"28","TSFEL",146,0.882442748091603,4,"NonInvasiveFetalECGThorax1","xgboost"
"29","Kats",34,0.853435114503817,4,"NonInvasiveFetalECGThorax1","xgboost"
"30","tsfresh",733,0.912468193384224,4,"NonInvasiveFetalECGThorax1","xgboost"
"31","quantiles",101,0.802035623409669,4,"NonInvasiveFetalECGThorax1","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.88295165394402,4,"NonInvasiveFetalECGThorax1","xgboost"
"33","catch22",22,0.830534351145038,5,"NonInvasiveFetalECGThorax1","xgboost"
"34","feasts",36,0.838676844783715,5,"NonInvasiveFetalECGThorax1","xgboost"
