"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.756198347107438,1,"OSULeaf","xgboost"
"2","feasts",37,0.863636363636364,1,"OSULeaf","xgboost"
"3","tsfeatures",59,0.90495867768595,1,"OSULeaf","xgboost"
"4","TSFEL",144,0.834710743801653,1,"OSULeaf","xgboost"
"5","Kats",36,0.880165289256198,1,"OSULeaf","xgboost"
"6","tsfresh",731,0.884297520661157,1,"OSULeaf","xgboost"
"7","quantiles",101,0.487603305785124,1,"OSULeaf","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.789256198347107,1,"OSULeaf","xgboost"
"9","catch22",22,0.71900826446281,2,"OSULeaf","xgboost"
"10","feasts",37,0.818181818181818,2,"OSULeaf","xgboost"
"11","tsfeatures",59,0.863636363636364,2,"OSULeaf","xgboost"
"12","TSFEL",144,0.801652892561983,2,"OSULeaf","xgboost"
"13","Kats",36,0.859504132231405,2,"OSULeaf","xgboost"
"14","tsfresh",732,0.884297520661157,2,"OSULeaf","xgboost"
"15","quantiles",101,0.475206611570248,2,"OSULeaf","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.764462809917355,2,"OSULeaf","xgboost"
"17","catch22",22,0.677685950413223,3,"OSULeaf","xgboost"
"18","feasts",37,0.847107438016529,3,"OSULeaf","xgboost"
"19","tsfeatures",59,0.847107438016529,3,"OSULeaf","xgboost"
"20","TSFEL",144,0.855371900826446,3,"OSULeaf","xgboost"
"21","Kats",36,0.838842975206612,3,"OSULeaf","xgboost"
"22","tsfresh",732,0.888429752066116,3,"OSULeaf","xgboost"
"23","quantiles",101,0.524793388429752,3,"OSULeaf","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.785123966942149,3,"OSULeaf","xgboost"
"25","catch22",22,0.694214876033058,4,"OSULeaf","xgboost"
"26","feasts",37,0.87603305785124,4,"OSULeaf","xgboost"
"27","tsfeatures",59,0.884297520661157,4,"OSULeaf","xgboost"
"28","TSFEL",144,0.809917355371901,4,"OSULeaf","xgboost"
"29","Kats",36,0.896694214876033,4,"OSULeaf","xgboost"
"30","tsfresh",732,0.892561983471074,4,"OSULeaf","xgboost"
"31","quantiles",101,0.516528925619835,4,"OSULeaf","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.752066115702479,4,"OSULeaf","xgboost"
"33","catch22",22,0.71900826446281,5,"OSULeaf","xgboost"
"34","feasts",36,0.830578512396694,5,"OSULeaf","xgboost"
"35","tsfeatures",59,0.847107438016529,5,"OSULeaf","xgboost"
"36","TSFEL",144,0.797520661157025,5,"OSULeaf","xgboost"
"37","Kats",36,0.847107438016529,5,"OSULeaf","xgboost"
"38","tsfresh",731,0.859504132231405,5,"OSULeaf","xgboost"
"39","quantiles",101,0.454545454545455,5,"OSULeaf","xgboost"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.731404958677686,5,"OSULeaf","xgboost"
"41","catch22",22,0.702479338842975,6,"OSULeaf","xgboost"
"42","feasts",36,0.809917355371901,6,"OSULeaf","xgboost"
"43","tsfeatures",59,0.84297520661157,6,"OSULeaf","xgboost"
"44","TSFEL",144,0.797520661157025,6,"OSULeaf","xgboost"
"45","Kats",36,0.822314049586777,6,"OSULeaf","xgboost"
"46","tsfresh",732,0.87603305785124,6,"OSULeaf","xgboost"
"47","quantiles",101,0.574380165289256,6,"OSULeaf","xgboost"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.747933884297521,6,"OSULeaf","xgboost"
"49","catch22",22,0.702479338842975,7,"OSULeaf","xgboost"
"50","feasts",36,0.834710743801653,7,"OSULeaf","xgboost"
"51","tsfeatures",59,0.867768595041322,7,"OSULeaf","xgboost"
"52","TSFEL",144,0.805785123966942,7,"OSULeaf","xgboost"
