"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",19,0.666666666666667,1,"OliveOil","xgboost"
"2","feasts",31,0.7,1,"OliveOil","xgboost"
"3","tsfeatures",51,0.7,1,"OliveOil","xgboost"
"4","TSFEL",139,0.733333333333333,1,"OliveOil","xgboost"
"5","Kats",32,0.633333333333333,1,"OliveOil","xgboost"
"6","tsfresh",714,0.866666666666667,1,"OliveOil","xgboost"
"7","quantiles",101,0.933333333333333,1,"OliveOil","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.833333333333333,1,"OliveOil","xgboost"
"9","catch22",19,0.766666666666667,2,"OliveOil","xgboost"
"10","feasts",31,0.766666666666667,2,"OliveOil","xgboost"
"11","tsfeatures",51,0.7,2,"OliveOil","xgboost"
"12","TSFEL",139,0.8,2,"OliveOil","xgboost"
"13","Kats",33,0.733333333333333,2,"OliveOil","xgboost"
"14","tsfresh",714,0.9,2,"OliveOil","xgboost"
"15","quantiles",101,0.9,2,"OliveOil","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.933333333333333,2,"OliveOil","xgboost"
"17","catch22",19,0.766666666666667,3,"OliveOil","xgboost"
"18","feasts",31,0.766666666666667,3,"OliveOil","xgboost"
"19","tsfeatures",51,0.7,3,"OliveOil","xgboost"
"20","TSFEL",140,0.766666666666667,3,"OliveOil","xgboost"
"21","Kats",32,0.633333333333333,3,"OliveOil","xgboost"
"22","tsfresh",715,0.9,3,"OliveOil","xgboost"
"23","quantiles",101,0.9,3,"OliveOil","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.9,3,"OliveOil","xgboost"
"25","catch22",19,0.633333333333333,4,"OliveOil","xgboost"
"26","feasts",31,0.7,4,"OliveOil","xgboost"
"27","tsfeatures",51,0.633333333333333,4,"OliveOil","xgboost"
"28","TSFEL",140,0.833333333333333,4,"OliveOil","xgboost"
"29","Kats",33,0.633333333333333,4,"OliveOil","xgboost"
"30","tsfresh",715,0.833333333333333,4,"OliveOil","xgboost"
"31","quantiles",101,0.833333333333333,4,"OliveOil","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.866666666666667,4,"OliveOil","xgboost"
"33","catch22",17,0.666666666666667,5,"OliveOil","xgboost"
"34","feasts",31,0.7,5,"OliveOil","xgboost"
"35","tsfeatures",51,0.733333333333333,5,"OliveOil","xgboost"
"36","TSFEL",138,0.8,5,"OliveOil","xgboost"
"37","Kats",33,0.7,5,"OliveOil","xgboost"
"38","tsfresh",710,0.8,5,"OliveOil","xgboost"
"39","quantiles",101,0.766666666666667,5,"OliveOil","xgboost"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.833333333333333,5,"OliveOil","xgboost"
"41","catch22",19,0.866666666666667,6,"OliveOil","xgboost"
"42","feasts",31,0.766666666666667,6,"OliveOil","xgboost"
"43","tsfeatures",51,0.733333333333333,6,"OliveOil","xgboost"
"44","TSFEL",139,0.733333333333333,6,"OliveOil","xgboost"
"45","Kats",33,0.733333333333333,6,"OliveOil","xgboost"
"46","tsfresh",714,0.866666666666667,6,"OliveOil","xgboost"
"47","quantiles",101,0.833333333333333,6,"OliveOil","xgboost"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.9,6,"OliveOil","xgboost"
"49","catch22",19,0.766666666666667,7,"OliveOil","xgboost"
"50","feasts",31,0.633333333333333,7,"OliveOil","xgboost"
"51","tsfeatures",51,0.633333333333333,7,"OliveOil","xgboost"
"52","TSFEL",139,0.666666666666667,7,"OliveOil","xgboost"
"53","Kats",33,0.6,7,"OliveOil","xgboost"
"54","tsfresh",713,0.833333333333333,7,"OliveOil","xgboost"
"55","quantiles",101,0.833333333333333,7,"OliveOil","xgboost"
"56","FFT (Mag^2 + Angle) + quantiles",301,0.833333333333333,7,"OliveOil","xgboost"
"57","catch22",19,0.733333333333333,8,"OliveOil","xgboost"
"58","feasts",31,0.666666666666667,8,"OliveOil","xgboost"
"59","tsfeatures",51,0.6,8,"OliveOil","xgboost"
"60","TSFEL",140,0.733333333333333,8,"OliveOil","xgboost"
"61","Kats",32,0.633333333333333,8,"OliveOil","xgboost"
