"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.287447257383966,1,"Phoneme","xgboost"
"2","feasts",39,0.310126582278481,1,"Phoneme","xgboost"
"3","tsfeatures",59,0.323839662447257,1,"Phoneme","xgboost"
"4","TSFEL",144,0.319092827004219,1,"Phoneme","xgboost"
"5","Kats",36,0.305907172995781,1,"Phoneme","xgboost"
"6","tsfresh",732,0.305379746835443,1,"Phoneme","xgboost"
"7","quantiles",101,0.167194092827004,1,"Phoneme","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.176160337552743,1,"Phoneme","xgboost"
"9","catch22",22,0.28006329113924,2,"Phoneme","xgboost"
"10","feasts",39,0.294303797468354,2,"Phoneme","xgboost"
"11","tsfeatures",59,0.32331223628692,2,"Phoneme","xgboost"
"12","TSFEL",144,0.310126582278481,2,"Phoneme","xgboost"
"13","Kats",35,0.289556962025316,2,"Phoneme","xgboost"
"14","tsfresh",736,0.308016877637131,2,"Phoneme","xgboost"
"15","quantiles",101,0.153481012658228,2,"Phoneme","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.163502109704641,2,"Phoneme","xgboost"
"17","catch22",22,0.282700421940928,3,"Phoneme","xgboost"
"18","feasts",39,0.305907172995781,3,"Phoneme","xgboost"
"19","tsfeatures",59,0.306434599156118,3,"Phoneme","xgboost"
"20","TSFEL",144,0.324894514767932,3,"Phoneme","xgboost"
"21","Kats",35,0.292194092827004,3,"Phoneme","xgboost"
"22","tsfresh",733,0.289556962025316,3,"Phoneme","xgboost"
"23","quantiles",101,0.154535864978903,3,"Phoneme","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.169303797468354,3,"Phoneme","xgboost"
"25","catch22",22,0.27795358649789,4,"Phoneme","xgboost"
"26","feasts",38,0.301160337552743,4,"Phoneme","xgboost"
"27","tsfeatures",59,0.32964135021097,4,"Phoneme","xgboost"
"28","TSFEL",144,0.329113924050633,4,"Phoneme","xgboost"
"29","Kats",35,0.30379746835443,4,"Phoneme","xgboost"
"30","tsfresh",737,0.292721518987342,4,"Phoneme","xgboost"
"31","quantiles",101,0.178270042194093,4,"Phoneme","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.165611814345992,4,"Phoneme","xgboost"
"33","catch22",22,0.268459915611814,5,"Phoneme","xgboost"
"34","feasts",39,0.265295358649789,5,"Phoneme","xgboost"
"35","tsfeatures",59,0.305907172995781,5,"Phoneme","xgboost"
"36","TSFEL",144,0.296940928270042,5,"Phoneme","xgboost"
"37","Kats",36,0.283227848101266,5,"Phoneme","xgboost"
"38","tsfresh",737,0.301160337552743,5,"Phoneme","xgboost"
"39","quantiles",101,0.159810126582278,5,"Phoneme","xgboost"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.181962025316456,5,"Phoneme","xgboost"
"41","catch22",22,0.280590717299578,6,"Phoneme","xgboost"
"42","feasts",39,0.281118143459916,6,"Phoneme","xgboost"
"43","tsfeatures",59,0.314345991561181,6,"Phoneme","xgboost"
"44","TSFEL",144,0.312236286919831,6,"Phoneme","xgboost"
"45","Kats",36,0.27795358649789,6,"Phoneme","xgboost"
"46","tsfresh",738,0.288502109704641,6,"Phoneme","xgboost"
"47","quantiles",101,0.156645569620253,6,"Phoneme","xgboost"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.175632911392405,6,"Phoneme","xgboost"
"49","catch22",22,0.299050632911392,7,"Phoneme","xgboost"
"50","feasts",38,0.305379746835443,7,"Phoneme","xgboost"
"51","tsfeatures",59,0.315400843881857,7,"Phoneme","xgboost"
"52","TSFEL",144,0.321729957805907,7,"Phoneme","xgboost"
"53","Kats",36,0.296940928270042,7,"Phoneme","xgboost"
"54","tsfresh",737,0.305907172995781,7,"Phoneme","xgboost"
"55","quantiles",101,0.17457805907173,7,"Phoneme","xgboost"
"56","FFT (Mag^2 + Angle) + quantiles",301,0.172995780590717,7,"Phoneme","xgboost"
"57","catch22",22,0.267932489451477,8,"Phoneme","xgboost"
"58","feasts",39,0.29957805907173,8,"Phoneme","xgboost"
"59","tsfeatures",59,0.334388185654008,8,"Phoneme","xgboost"
"60","TSFEL",144,0.335970464135021,8,"Phoneme","xgboost"
"61","Kats",36,0.312236286919831,8,"Phoneme","xgboost"
"62","tsfresh",732,0.284810126582278,8,"Phoneme","xgboost"
"63","quantiles",101,0.173523206751055,8,"Phoneme","xgboost"
"64","FFT (Mag^2 + Angle) + quantiles",301,0.17457805907173,8,"Phoneme","xgboost"
"65","catch22",22,0.271097046413502,9,"Phoneme","xgboost"
"66","feasts",39,0.314873417721519,9,"Phoneme","xgboost"
"67","tsfeatures",59,0.32964135021097,9,"Phoneme","xgboost"
"68","TSFEL",144,0.30379746835443,9,"Phoneme","xgboost"
"69","Kats",36,0.297995780590717,9,"Phoneme","xgboost"
"70","tsfresh",736,0.294831223628692,9,"Phoneme","xgboost"
"71","quantiles",101,0.162447257383966,9,"Phoneme","xgboost"
"72","FFT (Mag^2 + Angle) + quantiles",301,0.166139240506329,9,"Phoneme","xgboost"
"73","catch22",22,0.266877637130802,10,"Phoneme","xgboost"
"74","feasts",38,0.292721518987342,10,"Phoneme","xgboost"
"75","tsfeatures",59,0.299050632911392,10,"Phoneme","xgboost"
"76","TSFEL",144,0.282172995780591,10,"Phoneme","xgboost"
"77","Kats",35,0.283227848101266,10,"Phoneme","xgboost"
"78","tsfresh",738,0.255801687763713,10,"Phoneme","xgboost"
"79","quantiles",101,0.151371308016878,10,"Phoneme","xgboost"
