"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.881666666666667,1,"SemgHandGenderCh2","xgboost"
"2","feasts",38,0.865,1,"SemgHandGenderCh2","xgboost"
"3","tsfeatures",57,0.886666666666667,1,"SemgHandGenderCh2","xgboost"
"4","TSFEL",144,0.88,1,"SemgHandGenderCh2","xgboost"
"5","Kats",35,0.853333333333333,1,"SemgHandGenderCh2","xgboost"
"6","tsfresh",737,0.931666666666667,1,"SemgHandGenderCh2","xgboost"
"7","quantiles",101,0.813333333333333,1,"SemgHandGenderCh2","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.86,1,"SemgHandGenderCh2","xgboost"
"9","catch22",22,0.893333333333333,2,"SemgHandGenderCh2","xgboost"
"10","feasts",38,0.885,2,"SemgHandGenderCh2","xgboost"
"11","tsfeatures",57,0.918333333333333,2,"SemgHandGenderCh2","xgboost"
"12","TSFEL",144,0.87,2,"SemgHandGenderCh2","xgboost"
"13","Kats",35,0.848333333333333,2,"SemgHandGenderCh2","xgboost"
"14","tsfresh",737,0.956666666666667,2,"SemgHandGenderCh2","xgboost"
"15","quantiles",101,0.796666666666667,2,"SemgHandGenderCh2","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.83,2,"SemgHandGenderCh2","xgboost"
"17","catch22",22,0.876666666666667,3,"SemgHandGenderCh2","xgboost"
"18","feasts",38,0.868333333333333,3,"SemgHandGenderCh2","xgboost"
"19","tsfeatures",57,0.873333333333333,3,"SemgHandGenderCh2","xgboost"
"20","TSFEL",144,0.88,3,"SemgHandGenderCh2","xgboost"
"21","Kats",35,0.845,3,"SemgHandGenderCh2","xgboost"
"22","tsfresh",738,0.943333333333333,3,"SemgHandGenderCh2","xgboost"
"23","quantiles",101,0.796666666666667,3,"SemgHandGenderCh2","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.885,3,"SemgHandGenderCh2","xgboost"
"25","catch22",22,0.88,4,"SemgHandGenderCh2","xgboost"
"26","feasts",38,0.863333333333333,4,"SemgHandGenderCh2","xgboost"
"27","tsfeatures",57,0.895,4,"SemgHandGenderCh2","xgboost"
"28","TSFEL",144,0.871666666666667,4,"SemgHandGenderCh2","xgboost"
"29","Kats",35,0.846666666666667,4,"SemgHandGenderCh2","xgboost"
"30","tsfresh",736,0.958333333333333,4,"SemgHandGenderCh2","xgboost"
"31","quantiles",101,0.825,4,"SemgHandGenderCh2","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.871666666666667,4,"SemgHandGenderCh2","xgboost"
"33","catch22",22,0.873333333333333,5,"SemgHandGenderCh2","xgboost"
"34","feasts",38,0.838333333333333,5,"SemgHandGenderCh2","xgboost"
"35","tsfeatures",57,0.86,5,"SemgHandGenderCh2","xgboost"
"36","TSFEL",144,0.853333333333333,5,"SemgHandGenderCh2","xgboost"
"37","Kats",35,0.836666666666667,5,"SemgHandGenderCh2","xgboost"
"38","tsfresh",736,0.938333333333333,5,"SemgHandGenderCh2","xgboost"
"39","quantiles",101,0.805,5,"SemgHandGenderCh2","xgboost"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.855,5,"SemgHandGenderCh2","xgboost"
"41","catch22",22,0.895,6,"SemgHandGenderCh2","xgboost"
"42","feasts",38,0.878333333333333,6,"SemgHandGenderCh2","xgboost"
"43","tsfeatures",57,0.906666666666667,6,"SemgHandGenderCh2","xgboost"
"44","TSFEL",144,0.88,6,"SemgHandGenderCh2","xgboost"
"45","Kats",35,0.855,6,"SemgHandGenderCh2","xgboost"
"46","tsfresh",737,0.958333333333333,6,"SemgHandGenderCh2","xgboost"
"47","quantiles",101,0.793333333333333,6,"SemgHandGenderCh2","xgboost"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.883333333333333,6,"SemgHandGenderCh2","xgboost"
"49","catch22",22,0.87,7,"SemgHandGenderCh2","xgboost"
"50","feasts",38,0.86,7,"SemgHandGenderCh2","xgboost"
"51","tsfeatures",57,0.883333333333333,7,"SemgHandGenderCh2","xgboost"
"52","TSFEL",144,0.883333333333333,7,"SemgHandGenderCh2","xgboost"
"53","Kats",35,0.845,7,"SemgHandGenderCh2","xgboost"
"54","tsfresh",737,0.958333333333333,7,"SemgHandGenderCh2","xgboost"
"55","quantiles",101,0.838333333333333,7,"SemgHandGenderCh2","xgboost"
"56","FFT (Mag^2 + Angle) + quantiles",301,0.865,7,"SemgHandGenderCh2","xgboost"
"57","catch22",22,0.883333333333333,8,"SemgHandGenderCh2","xgboost"
"58","feasts",38,0.876666666666667,8,"SemgHandGenderCh2","xgboost"
"59","tsfeatures",57,0.898333333333333,8,"SemgHandGenderCh2","xgboost"
"60","TSFEL",144,0.895,8,"SemgHandGenderCh2","xgboost"
"61","Kats",35,0.853333333333333,8,"SemgHandGenderCh2","xgboost"
"62","tsfresh",737,0.951666666666667,8,"SemgHandGenderCh2","xgboost"
"63","quantiles",101,0.816666666666667,8,"SemgHandGenderCh2","xgboost"
"64","FFT (Mag^2 + Angle) + quantiles",301,0.838333333333333,8,"SemgHandGenderCh2","xgboost"
"65","catch22",22,0.891666666666667,9,"SemgHandGenderCh2","xgboost"
"66","feasts",38,0.875,9,"SemgHandGenderCh2","xgboost"
"67","tsfeatures",57,0.895,9,"SemgHandGenderCh2","xgboost"
"68","TSFEL",144,0.895,9,"SemgHandGenderCh2","xgboost"
"69","Kats",35,0.865,9,"SemgHandGenderCh2","xgboost"
"70","tsfresh",736,0.955,9,"SemgHandGenderCh2","xgboost"
"71","quantiles",101,0.821666666666667,9,"SemgHandGenderCh2","xgboost"
"72","FFT (Mag^2 + Angle) + quantiles",301,0.89,9,"SemgHandGenderCh2","xgboost"
"73","catch22",22,0.876666666666667,10,"SemgHandGenderCh2","xgboost"
"74","feasts",38,0.901666666666667,10,"SemgHandGenderCh2","xgboost"
"75","tsfeatures",57,0.926666666666667,10,"SemgHandGenderCh2","xgboost"
"76","TSFEL",144,0.926666666666667,10,"SemgHandGenderCh2","xgboost"
"77","Kats",35,0.845,10,"SemgHandGenderCh2","xgboost"
"78","tsfresh",737,0.97,10,"SemgHandGenderCh2","xgboost"
"79","quantiles",101,0.81,10,"SemgHandGenderCh2","xgboost"
"80","FFT (Mag^2 + Angle) + quantiles",301,0.861666666666667,10,"SemgHandGenderCh2","xgboost"
"81","catch22",22,0.871666666666667,11,"SemgHandGenderCh2","xgboost"
"82","feasts",38,0.88,11,"SemgHandGenderCh2","xgboost"
