"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.664444444444444,1,"SemgHandMovementCh2","xgboost"
"2","feasts",38,0.655555555555556,1,"SemgHandMovementCh2","xgboost"
"3","tsfeatures",57,0.72,1,"SemgHandMovementCh2","xgboost"
"4","TSFEL",144,0.655555555555556,1,"SemgHandMovementCh2","xgboost"
"5","Kats",35,0.62,1,"SemgHandMovementCh2","xgboost"
"6","tsfresh",737,0.717777777777778,1,"SemgHandMovementCh2","xgboost"
"7","quantiles",101,0.477777777777778,1,"SemgHandMovementCh2","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.593333333333333,1,"SemgHandMovementCh2","xgboost"
"9","catch22",22,0.671111111111111,2,"SemgHandMovementCh2","xgboost"
"10","feasts",38,0.695555555555556,2,"SemgHandMovementCh2","xgboost"
"11","tsfeatures",57,0.724444444444444,2,"SemgHandMovementCh2","xgboost"
"12","TSFEL",144,0.651111111111111,2,"SemgHandMovementCh2","xgboost"
"13","Kats",35,0.675555555555556,2,"SemgHandMovementCh2","xgboost"
"14","tsfresh",738,0.706666666666667,2,"SemgHandMovementCh2","xgboost"
"15","quantiles",101,0.511111111111111,2,"SemgHandMovementCh2","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.644444444444444,2,"SemgHandMovementCh2","xgboost"
"17","catch22",22,0.622222222222222,3,"SemgHandMovementCh2","xgboost"
"18","feasts",38,0.644444444444444,3,"SemgHandMovementCh2","xgboost"
"19","tsfeatures",57,0.684444444444444,3,"SemgHandMovementCh2","xgboost"
"20","TSFEL",144,0.644444444444444,3,"SemgHandMovementCh2","xgboost"
"21","Kats",35,0.622222222222222,3,"SemgHandMovementCh2","xgboost"
"22","tsfresh",737,0.684444444444444,3,"SemgHandMovementCh2","xgboost"
"23","quantiles",101,0.453333333333333,3,"SemgHandMovementCh2","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.56,3,"SemgHandMovementCh2","xgboost"
"25","catch22",22,0.677777777777778,4,"SemgHandMovementCh2","xgboost"
"26","feasts",38,0.653333333333333,4,"SemgHandMovementCh2","xgboost"
"27","tsfeatures",57,0.704444444444444,4,"SemgHandMovementCh2","xgboost"
"28","TSFEL",144,0.653333333333333,4,"SemgHandMovementCh2","xgboost"
"29","Kats",35,0.668888888888889,4,"SemgHandMovementCh2","xgboost"
"30","tsfresh",737,0.746666666666667,4,"SemgHandMovementCh2","xgboost"
"31","quantiles",101,0.48,4,"SemgHandMovementCh2","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.633333333333333,4,"SemgHandMovementCh2","xgboost"
"33","catch22",22,0.666666666666667,5,"SemgHandMovementCh2","xgboost"
