"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.824444444444444,1,"SemgHandSubjectCh2","xgboost"
"2","feasts",38,0.822222222222222,1,"SemgHandSubjectCh2","xgboost"
"3","tsfeatures",57,0.855555555555556,1,"SemgHandSubjectCh2","xgboost"
"4","TSFEL",144,0.846666666666667,1,"SemgHandSubjectCh2","xgboost"
"5","Kats",35,0.804444444444444,1,"SemgHandSubjectCh2","xgboost"
"6","tsfresh",737,0.902222222222222,1,"SemgHandSubjectCh2","xgboost"
"7","quantiles",101,0.722222222222222,1,"SemgHandSubjectCh2","xgboost"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.853333333333333,1,"SemgHandSubjectCh2","xgboost"
"9","catch22",22,0.84,2,"SemgHandSubjectCh2","xgboost"
"10","feasts",38,0.826666666666667,2,"SemgHandSubjectCh2","xgboost"
"11","tsfeatures",57,0.88,2,"SemgHandSubjectCh2","xgboost"
"12","TSFEL",144,0.871111111111111,2,"SemgHandSubjectCh2","xgboost"
"13","Kats",35,0.817777777777778,2,"SemgHandSubjectCh2","xgboost"
"14","tsfresh",736,0.915555555555556,2,"SemgHandSubjectCh2","xgboost"
"15","quantiles",101,0.724444444444444,2,"SemgHandSubjectCh2","xgboost"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.842222222222222,2,"SemgHandSubjectCh2","xgboost"
"17","catch22",22,0.862222222222222,3,"SemgHandSubjectCh2","xgboost"
"18","feasts",37,0.855555555555556,3,"SemgHandSubjectCh2","xgboost"
"19","tsfeatures",57,0.882222222222222,3,"SemgHandSubjectCh2","xgboost"
"20","TSFEL",144,0.873333333333333,3,"SemgHandSubjectCh2","xgboost"
"21","Kats",35,0.797777777777778,3,"SemgHandSubjectCh2","xgboost"
"22","tsfresh",737,0.926666666666667,3,"SemgHandSubjectCh2","xgboost"
"23","quantiles",101,0.764444444444444,3,"SemgHandSubjectCh2","xgboost"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.864444444444444,3,"SemgHandSubjectCh2","xgboost"
"25","catch22",22,0.857777777777778,4,"SemgHandSubjectCh2","xgboost"
"26","feasts",38,0.813333333333333,4,"SemgHandSubjectCh2","xgboost"
"27","tsfeatures",57,0.862222222222222,4,"SemgHandSubjectCh2","xgboost"
"28","TSFEL",144,0.842222222222222,4,"SemgHandSubjectCh2","xgboost"
"29","Kats",35,0.808888888888889,4,"SemgHandSubjectCh2","xgboost"
"30","tsfresh",737,0.908888888888889,4,"SemgHandSubjectCh2","xgboost"
"31","quantiles",101,0.755555555555556,4,"SemgHandSubjectCh2","xgboost"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.864444444444444,4,"SemgHandSubjectCh2","xgboost"
"33","catch22",22,0.846666666666667,5,"SemgHandSubjectCh2","xgboost"
"34","feasts",38,0.842222222222222,5,"SemgHandSubjectCh2","xgboost"
"35","tsfeatures",57,0.893333333333333,5,"SemgHandSubjectCh2","xgboost"
"36","TSFEL",144,0.868888888888889,5,"SemgHandSubjectCh2","xgboost"
"37","Kats",35,0.826666666666667,5,"SemgHandSubjectCh2","xgboost"
"38","tsfresh",737,0.931111111111111,5,"SemgHandSubjectCh2","xgboost"
"39","quantiles",101,0.8,5,"SemgHandSubjectCh2","xgboost"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.895555555555556,5,"SemgHandSubjectCh2","xgboost"
"41","catch22",22,0.855555555555556,6,"SemgHandSubjectCh2","xgboost"
"42","feasts",38,0.848888888888889,6,"SemgHandSubjectCh2","xgboost"
"43","tsfeatures",57,0.864444444444444,6,"SemgHandSubjectCh2","xgboost"
"44","TSFEL",144,0.86,6,"SemgHandSubjectCh2","xgboost"
"45","Kats",35,0.831111111111111,6,"SemgHandSubjectCh2","xgboost"
"46","tsfresh",736,0.917777777777778,6,"SemgHandSubjectCh2","xgboost"
"47","quantiles",101,0.76,6,"SemgHandSubjectCh2","xgboost"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.862222222222222,6,"SemgHandSubjectCh2","xgboost"
"49","catch22",22,0.842222222222222,7,"SemgHandSubjectCh2","xgboost"
"50","feasts",38,0.835555555555556,7,"SemgHandSubjectCh2","xgboost"
"51","tsfeatures",57,0.891111111111111,7,"SemgHandSubjectCh2","xgboost"
"52","TSFEL",144,0.868888888888889,7,"SemgHandSubjectCh2","xgboost"
"53","Kats",35,0.817777777777778,7,"SemgHandSubjectCh2","xgboost"
"54","tsfresh",737,0.908888888888889,7,"SemgHandSubjectCh2","xgboost"
"55","quantiles",101,0.755555555555556,7,"SemgHandSubjectCh2","xgboost"
"56","FFT (Mag^2 + Angle) + quantiles",301,0.835555555555556,7,"SemgHandSubjectCh2","xgboost"
"57","catch22",22,0.846666666666667,8,"SemgHandSubjectCh2","xgboost"
"58","feasts",38,0.853333333333333,8,"SemgHandSubjectCh2","xgboost"
"59","tsfeatures",57,0.877777777777778,8,"SemgHandSubjectCh2","xgboost"
"60","TSFEL",144,0.835555555555556,8,"SemgHandSubjectCh2","xgboost"
"61","Kats",35,0.826666666666667,8,"SemgHandSubjectCh2","xgboost"
"62","tsfresh",737,0.895555555555556,8,"SemgHandSubjectCh2","xgboost"
"63","quantiles",101,0.742222222222222,8,"SemgHandSubjectCh2","xgboost"
"64","FFT (Mag^2 + Angle) + quantiles",301,0.868888888888889,8,"SemgHandSubjectCh2","xgboost"
"65","catch22",22,0.811111111111111,9,"SemgHandSubjectCh2","xgboost"
"66","feasts",38,0.813333333333333,9,"SemgHandSubjectCh2","xgboost"
"67","tsfeatures",57,0.857777777777778,9,"SemgHandSubjectCh2","xgboost"
"68","TSFEL",144,0.846666666666667,9,"SemgHandSubjectCh2","xgboost"
"69","Kats",35,0.815555555555556,9,"SemgHandSubjectCh2","xgboost"
"70","tsfresh",736,0.897777777777778,9,"SemgHandSubjectCh2","xgboost"
"71","quantiles",101,0.711111111111111,9,"SemgHandSubjectCh2","xgboost"
